"Student Counts by District and English Learner Status"
"All Districts"
"2016-17"

"",,"English Learner Status",,
"EdAdvance","=""2420014""",219,0,219
"Ellington School District","=""0480011""",2593,54,2647
"Elm City College Preparatory School District","=""2890013""",703,23,726
"Elm City Montessori School District","=""2910013""",134,6,140
"Enfield School District","=""0490011""",5142,107,5249
"Essex School District","=""0500011""",361,10,371
"Explorations District","=""2720013""",92,0,92
"Fairfield School District","=""0510011""",9797,230,10027
"Farmington School District","=""0520011""",3951,127,4078
"Franklin School District","=""0530011""",163,0,163
"Glastonbury School District","=""0540011""",5894,102,5996
"Granby School District","=""0560011""",1873,7,1880
"Great Oaks Charter School District","=""2940013""",273,51,324
"Greenwich School District","=""0570011""",8518,453,8971
"Griswold School District","=""0580011""",1824,24,1848
"Groton School District","=""0590011""",4356,105,4461
"Guilford School District","=""0600011""",3374,39,3413
"Hamden School District","=""0620011""",5181,312,5493
"Hampton School District","=""0630011""",105,0,105
"Hartford School District","=""0640011""",17009,3884,20893
"Hartland School District","=""0650011""",189,0,189
"Hebron School District","=""0670011""","*","*",706
"Highville Charter School District","=""2860013""","*","*",502
"Integrated Day Charter School District","=""2640013""",294,36,330
"Interdistrict School for Arts and Comm District","=""2650013""",248,22,270
"Jumoke Academy District","=""2610013""",753,0,753
"Kent School District","=""0680011""","*","*",235
"Killingly School District","=""0690011""",2491,59,2550
"Learn","=""2450014""",2219,202,2421
"Lebanon School District","=""0710011""",1014,6,1020
"Ledyard School District","=""0720011""",2376,19,2395
"Lisbon School District","=""0730011""","*","*",401
"Litchfield School District","=""0740011""","*","*",946
"Madison School District","=""0760011""",2923,18,2941
"Manchester School District","=""0770011""",5916,375,6291
"Mansfield School District","=""0780011""",1161,56,1217
"Marlborough School District","=""0790011""","*","*",535
"Meriden School District","=""0800011""",6766,1183,7949
"Middletown School District","=""0830011""",4524,178,4702
"Milford School District","=""0840011""",5774,152,5926
"Monroe School District","=""0850011""",3177,12,3189
"Montville School District","=""0860011""",2127,83,2210
"Naugatuck School District","=""0880011""",4072,209,4281
"New Beginnings Inc Family Academy District","=""2800013""",499,0,499
"New Britain School District","=""0890011""",8579,1566,10145
"New Canaan School District","=""0900011""",4213,47,4260
"New Fairfield School District","=""0910011""",2363,31,2394
"New Hartford School District","=""0920011""","*","*",444
"New Haven School District","=""0930011""",18635,3346,21981
"New London School District","=""0950011""",2762,797,3559
"New Milford School District","=""0960011""",4086,131,4217
"Newington School District","=""0940011""",3869,200,4069
"Newtown School District","=""0970011""",4458,12,4470
"Norfolk School District","=""0980011""",102,0,102
"North Branford School District","=""0990011""",1825,17,1842
"North Canaan School District","=""1000011""",267,11,278
"North Haven School District","=""1010011""",3065,97,3162
"North Stonington School District","=""1020011""","*","*",731
"Norwalk School District","=""1030011""",9815,1683,11498
"Norwich Free Academy District","=""9010022""",2198,140,2338
"Norwich School District","=""1040011""",3087,565,3652
"Odyssey Community School District","=""2630013""",311,17,328
"Old Saybrook School District","=""1060011""",1269,48,1317
"Orange School District","=""1070011""",1096,71,1167
"Oxford School District","=""1080011""",1919,33,1952
"Park City Prep Charter School District","=""2830013""",344,16,360
"Path Academy District","=""2930013""",127,30,157
"Plainfield School District","=""1090011""",2263,29,2292
"Plainville School District","=""1100011""",2270,96,2366
"Plymouth School District","=""1110011""",1488,16,1504
"Pomfret School District","=""1120011""","*","*",377
"Portland School District","=""1130011""",1318,19,1337
"Preston School District","=""1140011""","*","*",430
"Putnam School District","=""1160011""",1147,41,1188
"Redding School District","=""1170011""",922,15,937
"Regional School District 01","=""2010012""","*","*",426
"Regional School District 04","=""2040012""","*","*",952
"Regional School District 05","=""2050012""",2238,10,2248
"Regional School District 06","=""2060012""",966,9,975
"Regional School District 07","=""2070012""",1104,0,1104
"Regional School District 08","=""2080012""","*","*",1558
"Regional School District 09","=""2090012""","*","*",970
"Regional School District 10","=""2100012""",2338,28,2366
"Regional School District 11","=""2110012""","*","*",251
"Regional School District 12","=""2120012""",698,12,710
"Regional School District 13","=""2130012""","*","*",1745
"Regional School District 14","=""2140012""",1748,20,1768
"Regional School District 15","=""2150012""",3692,37,3729
"Regional School District 16","=""2160012""",2194,17,2211
"Regional School District 17","=""2170012""",2111,6,2117
"Regional School District 18","=""2180012""",1296,12,1308
"Regional School District 19","=""2190012""",1188,16,1204
"Ridgefield School District","=""1180011""",4923,61,4984
"Rocky Hill School District","=""1190011""",2432,189,2621
"Salem School District","=""1210011""",409,0,409
"Salisbury School District","=""1220011""",266,14,280
"Scotland School District","=""1230011""",116,0,116
"Seymour School District","=""1240011""",2102,56,2158
"Sharon School District","=""1250011""","*","*",150
"Shelton School District","=""1260011""",4586,229,4815
"Sherman School District","=""1270011""",309,6,315
"Side By Side Charter School District","=""2700013""",219,17,236
"Simsbury School District","=""1280011""",4097,64,4161
"Somers School District","=""1290011""","*","*",1431
"South Windsor School District","=""1320011""",4013,175,4188
"Southington School District","=""1310011""",6477,105,6582
"Sprague School District","=""1330011""","*","*",339
"Stafford School District","=""1340011""","*","*",1526
"Stamford Academy District","=""2820013""",148,0,148
"Stamford Charter School for Excellence District","=""2960013""",217,0,217
"Stamford School District","=""1350011""",13979,2121,16100
"Sterling School District","=""1360011""",431,0,431
"Stonington School District","=""1370011""",2097,11,2108
"Stratford School District","=""1380011""",6489,367,6856
"Suffield School District","=""1390011""",2262,19,2281
"The Bridge Academy District","=""2690013""",274,7,281
"The Gilbert School District","=""9020022""",548,14,562
"The Woodstock Academy District","=""9030022""",1065,0,1065
"Thomaston School District","=""1400011""",885,13,898
"Thompson School District","=""1410011""","*","*",1018
"Tolland School District","=""1420011""",2476,8,2484
"Torrington School District","=""1430011""",3824,377,4201
"Trailblazers Academy District","=""2780013""","*","*",129
"Trumbull School District","=""1440011""",6552,133,6685
"Unified School District #1","=""3360015""",363,0,363
"Unified School District #2","=""3470015""",156,0,156
"Union School District","=""1450011""","*",0,"*"
"Vernon School District","=""1460011""",3126,98,3224
"Voluntown School District","=""1470011""",285,0,285
"Wallingford School District","=""1480011""",5599,309,5908
"Waterbury School District","=""1510011""",16448,2553,19001
"Waterford School District","=""1520011""",2484,51,2535
"Watertown School District","=""1530011""",2702,80,2782
"West Hartford School District","=""1550011""",9242,523,9765
"West Haven School District","=""1560011""",5034,752,5786
"Westbrook School District","=""1540011""",704,63,767
"Weston School District","=""1570011""",2353,21,2374
"Westport School District","=""1580011""",5575,48,5623
"Wethersfield School District","=""1590011""",3315,281,3596
"Willington School District","=""1600011""","*","*",428
"Wilton School District","=""1610011""",4064,14,4078
"Winchester School District","=""1620011""",521,44,565
"Windham School District","=""1630011""",2488,849,3337
"Windsor Locks School District","=""1650011""",1498,74,1572
"Windsor School District","=""1640011""",3079,133,3212
"Wolcott School District","=""1660011""",2230,55,2285
"Woodbridge School District","=""1670011""",770,10,780
"Woodstock School District","=""1690011""","*","*",842
"Total","=""""",502110,36789,538899

