"Student Counts by District and English Learner Status"
"All Districts"
"2010-11"

"",,"English Learner Status",,
"Kent School District","=""0680011""","*","*",287
"Killingly School District","=""0690011""",2656,55,2711
"Learn","=""2450014""",1173,122,1295
"Lebanon School District","=""0710011""","*","*",1412
"Ledyard School District","=""0720011""",2611,32,2643
"Lisbon School District","=""0730011""",535,0,535
"Litchfield School District","=""0740011""",1170,6,1176
"Madison School District","=""0760011""",3622,8,3630
"Manchester School District","=""0770011""",6515,347,6862
"Mansfield School District","=""0780011""",1293,38,1331
"Marlborough School District","=""0790011""","*","*",675
"Meriden School District","=""0800011""",7454,952,8406
"Middletown School District","=""0830011""",5107,144,5251
"Milford School District","=""0840011""",6871,117,6988
"Monroe School District","=""0850011""",3735,26,3761
"Montville School District","=""0860011""",2567,103,2670
"Naugatuck School District","=""0880011""",4496,178,4674
"New Beginnings Inc Family Academy District","=""2800013""",360,0,360
"New Britain School District","=""0890011""",8502,1720,10222
"New Canaan School District","=""0900011""",4116,27,4143
"New Fairfield School District","=""0910011""",2900,20,2920
"New Hartford School District","=""0920011""","*","*",610
"New Haven School District","=""0930011""",17720,2474,20194
"New London School District","=""0950011""",2444,662,3106
"New Milford School District","=""0960011""",4644,129,4773
"Newington School District","=""0940011""",4303,144,4447
"Newtown School District","=""0970011""",5456,8,5464
"Norfolk School District","=""0980011""",141,0,141
"North Branford School District","=""0990011""",2271,22,2293
"North Canaan School District","=""1000011""",308,10,318
"North Haven School District","=""1010011""",3571,53,3624
"North Stonington School District","=""1020011""","*","*",796
"Norwalk School District","=""1030011""",9782,1361,11143
"Norwich Free Academy District","=""9010022""",2284,97,2381
"Norwich School District","=""1040011""",3441,436,3877
"Odyssey Community School District","=""2630013""",181,0,181
"Old Saybrook School District","=""1060011""",1540,37,1577
"Orange School District","=""1070011""",1266,18,1284
"Oxford School District","=""1080011""",2174,31,2205
"Park City Prep Charter School District","=""2830013""","*","*",250
"Plainfield School District","=""1090011""",2626,19,2645
"Plainville School District","=""1100011""",2405,81,2486
"Plymouth School District","=""1110011""",1733,12,1745
"Pomfret School District","=""1120011""",509,9,518
"Portland School District","=""1130011""",1401,7,1408
"Preston School District","=""1140011""",428,10,438
"Putnam School District","=""1160011""",1264,37,1301
"Redding School District","=""1170011""","*","*",1246
"Regional School District 01","=""2010012""",506,0,506
"Regional School District 04","=""2040012""",977,6,983
"Regional School District 05","=""2050012""",2488,7,2495
"Regional School District 06","=""2060012""",1040,13,1053
"Regional School District 07","=""2070012""","*","*",1179
"Regional School District 08","=""2080012""","*","*",1780
"Regional School District 09","=""2090012""","*","*",985
"Regional School District 10","=""2100012""",2752,21,2773
"Regional School District 11","=""2110012""",282,0,282
"Regional School District 12","=""2120012""","*","*",933
"Regional School District 13","=""2130012""",2042,10,2052
"Regional School District 14","=""2140012""",2078,26,2104
"Regional School District 15","=""2150012""",4421,19,4440
"Regional School District 16","=""2160012""",2521,25,2546
"Regional School District 17","=""2170012""","*","*",2485
"Regional School District 18","=""2180012""","*","*",1499
"Regional School District 19","=""2190012""",1187,10,1197
"Ridgefield School District","=""1180011""",5395,42,5437
"Rocky Hill School District","=""1190011""",2519,74,2593
"Salem School District","=""1210011""","*","*",463
"Salisbury School District","=""1220011""",310,0,310
"Scotland School District","=""1230011""",143,0,143
"Seymour School District","=""1240011""",2348,76,2424
"Sharon School District","=""1250011""",197,0,197
"Shelton School District","=""1260011""",5159,146,5305
"Sherman School District","=""1270011""","*","*",409
"Side By Side Charter School District","=""2700013""",215,18,233
"Simsbury School District","=""1280011""",4722,59,4781
"Somers School District","=""1290011""",1629,11,1640
"South Windsor School District","=""1320011""",4523,76,4599
"Southington School District","=""1310011""",6716,116,6832
"Sprague School District","=""1330011""","*","*",373
"Stafford School District","=""1340011""",1848,17,1865
"Stamford Academy District","=""2820013""",137,0,137
"Stamford School District","=""1350011""",13250,2140,15390
"Sterling School District","=""1360011""",486,0,486
"Stonington School District","=""1370011""",2506,9,2515
"Stratford School District","=""1380011""",7018,320,7338
"Suffield School District","=""1390011""",2511,9,2520
"The Bridge Academy District","=""2690013""","*","*",271
"The Gilbert School District","=""9020022""",319,6,325
"The Woodstock Academy District","=""9030022""","*","*",1096
"Thomaston School District","=""1400011""","*","*",1129
"Thompson School District","=""1410011""","*","*",1277
"Tolland School District","=""1420011""",3060,14,3074
"Torrington School District","=""1430011""",4300,320,4620
"Trailblazers Academy District","=""2780013""",162,0,162
"Trumbull School District","=""1440011""",6886,106,6992
"Unified School District #1","=""3360015""",816,0,816
"Unified School District #2","=""3470015""","*","*",305
"Union School District","=""1450011""",82,0,82
"Vernon School District","=""1460011""",3533,82,3615
"Voluntown School District","=""1470011""",318,0,318
"Wallingford School District","=""1480011""",6357,243,6600
"Waterbury School District","=""1510011""",16162,2026,18188
"Waterford School District","=""1520011""",2795,34,2829
"Watertown School District","=""1530011""",3124,63,3187
"West Hartford School District","=""1550011""",9697,572,10269
"West Haven School District","=""1560011""",5636,630,6266
"Westbrook School District","=""1540011""",926,24,950
"Weston School District","=""1570011""",2529,12,2541
"Westport School District","=""1580011""",5739,61,5800
"Wethersfield School District","=""1590011""",3635,184,3819
"Willington School District","=""1600011""","*","*",514
"Wilton School District","=""1610011""",4315,25,4340
"Winchester School District","=""1620011""",945,19,964
"Windham School District","=""1630011""",2566,831,3397
"Windsor Locks School District","=""1650011""",1741,58,1799
"Windsor School District","=""1640011""",3555,97,3652
"Wolcott School District","=""1660011""",2717,35,2752
"Woodbridge School District","=""1670011""",703,20,723
"Woodstock School District","=""1690011""",923,9,932
"Total","=""""",533864,30635,564499

