"Student Counts by District and English Learner Status"
"All Districts"
"2007-08"

"",,"English Learner Status",,
"Franklin School District","=""0530011""",235,235,0
"Glastonbury School District","=""0540011""",6783,6882,99
"Granby School District","=""0560011""","*",2339,"*"
"Greenwich School District","=""0570011""",8417,9014,597
"Griswold School District","=""0580011""",2127,2146,19
"Groton School District","=""0590011""",5099,5198,99
"Guilford School District","=""0600011""",3793,3839,46
"Hamden School District","=""0620011""",6229,6306,77
"Hampton School District","=""0630011""","*",166,"*"
"Hartford School District","=""0640011""",18915,22679,3764
"Hartland School District","=""0650011""",236,236,0
"Hebron School District","=""0670011""","*",1206,"*"
"Highville Charter School District","=""2860013""",277,277,0
"Integrated Day Charter School District","=""2640013""",322,330,8
"Interdistrict School for Arts and Comm District","=""2650013""",169,181,12
"Jumoke Academy District","=""2610013""",369,369,0
"Kent School District","=""0680011""",257,257,0
"Killingly School District","=""0690011""",2669,2735,66
"Learn","=""2450014""",983,1077,94
"Lebanon School District","=""0710011""","*",1530,"*"
"Ledyard School District","=""0720011""",2865,2905,40
"Lisbon School District","=""0730011""",579,579,0
"Litchfield School District","=""0740011""",1215,1215,0
"Madison School District","=""0760011""","*",3796,"*"
"Manchester School District","=""0770011""",6660,6913,253
"Mansfield School District","=""0780011""",1272,1307,35
"Marlborough School District","=""0790011""","*",663,"*"
"Meriden School District","=""0800011""",7950,8908,958
"Middletown School District","=""0830011""",4949,5088,139
"Milford School District","=""0840011""",7217,7400,183
"Monroe School District","=""0850011""",4215,4226,11
"Montville School District","=""0860011""",2758,2871,113
"Naugatuck School District","=""0880011""",4694,4931,237
"New Beginnings Inc Family Academy District","=""2800013""",362,362,0
"New Britain School District","=""0890011""",8986,10719,1733
"New Canaan School District","=""0900011""",4110,4130,20
"New Fairfield School District","=""0910011""",3030,3048,18
"New Hartford School District","=""0920011""",618,618,0
"New Haven School District","=""0930011""",17644,19981,2337
"New London School District","=""0950011""",2294,2933,639
"New Milford School District","=""0960011""",4909,5034,125
"Newington School District","=""0940011""",4404,4566,162
"Newtown School District","=""0970011""","*",5663,"*"
"Norfolk School District","=""0980011""",168,168,0
"North Branford School District","=""0990011""",2415,2434,19
"North Canaan School District","=""1000011""",351,359,8
"North Haven School District","=""1010011""",3826,3897,71
"North Stonington School District","=""1020011""","*",805,"*"
"Norwalk School District","=""1030011""",9412,10729,1317
"Norwich Free Academy District","=""9010022""",2387,2449,62
"Norwich School District","=""1040011""",3687,4070,383
"Odyssey Community School District","=""2630013""",177,177,0
"Old Saybrook School District","=""1060011""",1560,1621,61
"Orange School District","=""1070011""",1367,1377,10
"Oxford School District","=""1080011""",1832,1861,29
"Park City Prep Charter School District","=""2830013""",206,206,0
"Plainfield School District","=""1090011""",2763,2784,21
"Plainville School District","=""1100011""",2533,2629,96
"Plymouth School District","=""1110011""",1900,1913,13
"Pomfret School District","=""1120011""","*",543,"*"
"Portland School District","=""1130011""","*",1433,"*"
"Preston School District","=""1140011""",499,509,10
"Putnam School District","=""1160011""",1286,1319,33
"Redding School District","=""1170011""","*",1309,"*"
"Regional School District 01","=""2010012""",570,570,0
"Regional School District 04","=""2040012""","*",961,"*"
"Regional School District 05","=""2050012""",2468,2483,15
"Regional School District 06","=""2060012""",1116,1130,14
"Regional School District 07","=""2070012""","*",1155,"*"
"Regional School District 08","=""2080012""",1676,1676,0
"Regional School District 09","=""2090012""","*",979,"*"
"Regional School District 10","=""2100012""",2833,2855,22
"Regional School District 11","=""2110012""",299,299,0
"Regional School District 12","=""2120012""",1055,1062,7
"Regional School District 13","=""2130012""",2146,2156,10
"Regional School District 14","=""2140012""",2196,2215,19
"Regional School District 15","=""2150012""",4552,4583,31
"Regional School District 16","=""2160012""",2667,2691,24
"Regional School District 17","=""2170012""","*",2562,"*"
"Regional School District 18","=""2180012""","*",1538,"*"
"Regional School District 19","=""2190012""",1183,1191,8
"Ridgefield School District","=""1180011""",5524,5560,36
"Rocky Hill School District","=""1190011""",2534,2622,88
"Salem School District","=""1210011""",506,506,0
"Salisbury School District","=""1220011""",307,307,0
"Scotland School District","=""1230011""",190,190,0
"Seymour School District","=""1240011""",2578,2619,41
"Sharon School District","=""1250011""","*",219,"*"
"Shelton School District","=""1260011""",5553,5670,117
"Sherman School District","=""1270011""","*",459,"*"
"Side By Side Charter School District","=""2700013""",215,230,15
"Simsbury School District","=""1280011""",4904,4973,69
"Somers School District","=""1290011""",1722,1734,12
"South Windsor School District","=""1320011""",4873,4972,99
"Southington School District","=""1310011""",6840,6947,107
"Sprague School District","=""1330011""","*",356,"*"
"Stafford School District","=""1340011""",1902,1917,15
"Stamford Academy District","=""2820013""",131,131,0
"Stamford School District","=""1350011""",12821,14982,2161
"Sterling School District","=""1360011""",504,504,0
"Stonington School District","=""1370011""",2536,2549,13
"Stratford School District","=""1380011""",7143,7440,297
"Suffield School District","=""1390011""","*",2594,"*"
"The Bridge Academy District","=""2690013""",260,260,0
"The Gilbert School District","=""9020022""",401,408,7
"The Woodstock Academy District","=""9030022""",1153,1153,0
"Thomaston School District","=""1400011""",1264,1272,8
"Thompson School District","=""1410011""","*",1488,"*"
"Tolland School District","=""1420011""",3128,3143,15
"Torrington School District","=""1430011""",4577,4868,291
"Trailblazers Academy District","=""2780013""",150,150,0
"Trumbull School District","=""1440011""",6825,6918,93
"Unified School District #1","=""3360015""",1195,1195,0
"Unified School District #2","=""3470015""",375,375,0
"Union School District","=""1450011""",73,73,0
"Vernon School District","=""1460011""",3665,3722,57
"Voluntown School District","=""1470011""",315,315,0
"Wallingford School District","=""1480011""",6584,6855,271
"Waterbury School District","=""1510011""",16204,18401,2197
"Waterford School District","=""1520011""",2927,2954,27
"Watertown School District","=""1530011""",3341,3412,71
"West Hartford School District","=""1550011""",9395,10045,650
"West Haven School District","=""1560011""",6018,6490,472
"Westbrook School District","=""1540011""",973,985,12
"Weston School District","=""1570011""",2570,2591,21
"Westport School District","=""1580011""",5617,5700,83
"Wethersfield School District","=""1590011""",3660,3838,178
"Willington School District","=""1600011""","*",601,"*"
"Wilton School District","=""1610011""",4350,4384,34
"Winchester School District","=""1620011""",1028,1073,45
"Windham School District","=""1630011""",2973,3675,702
"Windsor Locks School District","=""1650011""",1774,1843,69
"Windsor School District","=""1640011""",4019,4128,109
"Wolcott School District","=""1660011""",2882,2928,46
"Woodbridge School District","=""1670011""",777,788,11
"Woodstock School District","=""1690011""",940,951,11
"Total","=""""",544760,574848,30088

