"Student Counts by District and English Learner Status"
"All Districts"
"2013-14"

"",,"English Learner Status",,
"Old Saybrook School District","=""1060011""",1432,14,1446
"Orange School District","=""1070011""",1157,35,1192
"Oxford School District","=""1080011""",2020,33,2053
"Park City Prep Charter School District","=""2830013""","*","*",260
"Plainfield School District","=""1090011""",2433,29,2462
"Plainville School District","=""1100011""",2223,115,2338
"Plymouth School District","=""1110011""",1570,7,1577
"Pomfret School District","=""1120011""","*","*",426
"Portland School District","=""1130011""",1367,15,1382
"Preston School District","=""1140011""",427,6,433
"Putnam School District","=""1160011""",1238,27,1265
"Redding School District","=""1170011""",1053,7,1060
"Regional School District 01","=""2010012""","*","*",432
"Regional School District 04","=""2040012""",974,9,983
"Regional School District 05","=""2050012""",2359,13,2372
"Regional School District 06","=""2060012""",990,6,996
"Regional School District 07","=""2070012""","*","*",1139
"Regional School District 08","=""2080012""","*","*",1743
"Regional School District 09","=""2090012""","*","*",1082
"Regional School District 10","=""2100012""",2555,22,2577
"Regional School District 11","=""2110012""","*","*",295
"Regional School District 12","=""2120012""","*","*",800
"Regional School District 13","=""2130012""",1867,8,1875
"Regional School District 14","=""2140012""",1887,18,1905
"Regional School District 15","=""2150012""",3966,36,4002
"Regional School District 16","=""2160012""",2324,28,2352
"Regional School District 17","=""2170012""",2275,6,2281
"Regional School District 18","=""2180012""",1397,14,1411
"Regional School District 19","=""2190012""",1192,13,1205
"Ridgefield School District","=""1180011""",5244,49,5293
"Rocky Hill School District","=""1190011""",2317,108,2425
"Salem School District","=""1210011""","*","*",435
"Salisbury School District","=""1220011""","*","*",280
"Scotland School District","=""1230011""",133,0,133
"Seymour School District","=""1240011""",2223,83,2306
"Sharon School District","=""1250011""","*","*",177
"Shelton School District","=""1260011""",4789,193,4982
"Sherman School District","=""1270011""","*","*",373
"Side By Side Charter School District","=""2700013""",219,16,235
"Simsbury School District","=""1280011""",4338,39,4377
"Somers School District","=""1290011""","*","*",1515
"South Windsor School District","=""1320011""",4176,111,4287
"Southington School District","=""1310011""",6594,110,6704
"Sprague School District","=""1330011""","*","*",365
"Stafford School District","=""1340011""",1628,6,1634
"Stamford Academy District","=""2820013""",147,0,147
"Stamford School District","=""1350011""",14024,1903,15927
"Sterling School District","=""1360011""",485,0,485
"Stonington School District","=""1370011""",2307,13,2320
"Stratford School District","=""1380011""",6928,288,7216
"Suffield School District","=""1390011""",2421,8,2429
"The Bridge Academy District","=""2690013""","*","*",277
"The Gilbert School District","=""9020022""",515,22,537
"The Woodstock Academy District","=""9030022""","*","*",1033
"Thomaston School District","=""1400011""",950,0,950
"Thompson School District","=""1410011""","*","*",1079
"Tolland School District","=""1420011""",2717,15,2732
"Torrington School District","=""1430011""",4015,338,4353
"Trailblazers Academy District","=""2780013""",162,0,162
"Trumbull School District","=""1440011""",6702,122,6824
"Unified School District #1","=""3360015""",539,0,539
"Unified School District #2","=""3470015""","*","*",228
"Union School District","=""1450011""",78,0,78
"Vernon School District","=""1460011""",3261,89,3350
"Voluntown School District","=""1470011""",310,0,310
"Wallingford School District","=""1480011""",5839,269,6108
"Waterbury School District","=""1510011""",16585,2121,18706
"Waterford School District","=""1520011""",2539,33,2572
"Watertown School District","=""1530011""",2860,72,2932
"West Hartford School District","=""1550011""",9413,506,9919
"West Haven School District","=""1560011""",5329,681,6010
"Westbrook School District","=""1540011""",813,26,839
"Weston School District","=""1570011""",2408,13,2421
"Westport School District","=""1580011""",5730,56,5786
"Wethersfield School District","=""1590011""",3524,203,3727
"Willington School District","=""1600011""","*","*",458
"Wilton School District","=""1610011""",4282,17,4299
"Winchester School District","=""1620011""",631,21,652
"Windham School District","=""1630011""",2494,779,3273
"Windsor Locks School District","=""1650011""",1621,66,1687
"Windsor School District","=""1640011""",3163,120,3283
"Wolcott School District","=""1660011""",2451,40,2491
"Woodbridge School District","=""1670011""",753,17,770
"Woodstock School District","=""1690011""",904,0,904
"Total","=""""",518265,31612,549877

