"Student Counts by District and English Learner Status"
"All Districts"
"2023-24"

"",,"English Learner Status",,
"Meriden School District","=""0800011""",7146,1643,8789
"Middletown School District","=""0830011""",4141,237,4378
"Milford School District","=""0840011""",5172,155,5327
"Monroe School District","=""0850011""",3380,90,3470
"Montville School District","=""0860011""",1922,99,2021
"Naugatuck School District","=""0880011""",3724,507,4231
"New Beginnings Inc Family Academy District","=""2800013""",347,45,392
"New Britain School District","=""0890011""",8010,1890,9900
"New Canaan School District","=""0900011""",4077,32,4109
"New Fairfield School District","=""0910011""",2073,81,2154
"New Hartford School District","=""0920011""",448,7,455
"New Haven School District","=""0930011""",14714,4252,18966
"New London School District","=""0950011""",1994,928,2922
"New Milford School District","=""0960011""",3300,302,3602
"Newington School District","=""0940011""",3523,370,3893
"Newtown School District","=""0970011""",3885,66,3951
"Norfolk School District","=""0980011""","*","*",56
"North Branford School District","=""0990011""",1518,23,1541
"North Canaan School District","=""1000011""",231,13,244
"North Haven School District","=""1010011""",3044,192,3236
"North Stonington School District","=""1020011""","*","*",741
"Norwalk School District","=""1030011""",9036,2484,11520
"Norwich Free Academy District","=""9010022""",1795,276,2071
"Norwich School District","=""1040011""",2569,767,3336
"Odyssey Community School District","=""2630013""",323,47,370
"Old Saybrook School District","=""1060011""",953,77,1030
"Orange School District","=""1070011""",1212,69,1281
"Oxford School District","=""1080011""",1639,28,1667
"Park City Prep Charter School District","=""2830013""",341,62,403
"Plainfield School District","=""1090011""",1870,25,1895
"Plainville School District","=""1100011""",2083,172,2255
"Plymouth School District","=""1110011""",1237,42,1279
"Pomfret School District","=""1120011""",343,6,349
"Portland School District","=""1130011""",1199,44,1243
"Preston School District","=""1140011""",439,11,450
"Putnam School District","=""1160011""",1124,57,1181
"Redding School District","=""1170011""",850,15,865
"Regional School District 01","=""2010012""",307,7,314
"Regional School District 04","=""2040012""",705,18,723
"Regional School District 05","=""2050012""",2082,30,2112
"Regional School District 06","=""2060012""",835,13,848
"Regional School District 07","=""2070012""","*","*",831
"Regional School District 08","=""2080012""","*","*",1162
"Regional School District 09","=""2090012""","*","*",749
"Regional School District 10","=""2100012""",2085,36,2121
"Regional School District 11","=""2110012""",212,0,212
"Regional School District 12","=""2120012""",787,10,797
"Regional School District 13","=""2130012""",1329,21,1350
"Regional School District 14","=""2140012""",1557,24,1581
"Regional School District 15","=""2150012""",3361,74,3435
"Regional School District 16","=""2160012""",1886,45,1931
"Regional School District 17","=""2170012""",1755,15,1770
"Regional School District 18","=""2180012""",1257,35,1292
"Regional School District 19","=""2190012""",1064,20,1084
"Ridgefield School District","=""1180011""",4386,88,4474
"Rocky Hill School District","=""1190011""",2274,256,2530
"Salem School District","=""1210011""","*","*",386
"Salisbury School District","=""1220011""",297,6,303
"Scotland School District","=""1230011""","*","*",103
"Seymour School District","=""1240011""",1953,148,2101
"Sharon School District","=""1250011""","*","*",106
"Shelton School District","=""1260011""",4164,349,4513
"Sherman School District","=""1270011""",246,0,246
"Side By Side Charter School District","=""2700013""",192,44,236
"Simsbury School District","=""1280011""",4091,74,4165
"Somers School District","=""1290011""",1343,14,1357
"South Windsor School District","=""1320011""",4542,480,5022
"Southington School District","=""1310011""",6026,216,6242
"Sprague School District","=""1330011""",280,11,291
"Stafford School District","=""1340011""",1306,12,1318
"Stamford Charter School for Excellence District","=""2960013""",493,47,540
"Stamford School District","=""1350011""",13523,2816,16339
"Sterling School District","=""1360011""","*","*",328
"Stonington School District","=""1370011""",1752,10,1762
"Stratford School District","=""1380011""",6072,671,6743
"Suffield School District","=""1390011""",1973,65,2038
"The Bridge Academy District","=""2690013""",270,11,281
"The Gilbert School District","=""9020022""",432,15,447
"The Woodstock Academy District","=""9030022""","*","*",974
"Thomaston School District","=""1400011""",762,14,776
"Thompson School District","=""1410011""",869,16,885
"Tolland School District","=""1420011""",2178,32,2210
"Torrington School District","=""1430011""",3360,585,3945
"Trumbull School District","=""1440011""",6661,279,6940
"Unified School District #1","=""3360015""",135,9,144
"Unified School District #2","=""3470015""","*","*",69
"Union School District","=""1450011""","*",0,"*"
"Vernon School District","=""1460011""",3105,121,3226
"Voluntown School District","=""1470011""",236,0,236
"Wallingford School District","=""1480011""",4895,397,5292
"Waterbury School District","=""1510011""",15211,3745,18956
"Waterford School District","=""1520011""",2215,126,2341
"Watertown School District","=""1530011""",2452,126,2578
"West Hartford School District","=""1550011""",8471,790,9261
"West Haven School District","=""1560011""",4744,1254,5998
"Westbrook School District","=""1540011""",506,91,597
"Weston School District","=""1570011""",2139,29,2168
"Westport School District","=""1580011""",5275,58,5333
"Wethersfield School District","=""1590011""",3210,374,3584
"Willington School District","=""1600011""",388,6,394
"Wilton School District","=""1610011""",3738,71,3809
"Winchester School District","=""1620011""",589,30,619
"Windham School District","=""1630011""",2197,1029,3226
"Windsor Locks School District","=""1650011""",1381,106,1487
"Windsor School District","=""1640011""",3237,105,3342
"Wolcott School District","=""1660011""",2018,114,2132
"Woodbridge School District","=""1670011""",835,47,882
"Woodstock School District","=""1690011""",764,11,775
"Total","=""""",458574,54078,512652

