"Student Counts by District and English Learner Status"
"All Districts"
"2020-21"

"",,"English Learner Status",,
"Stratford School District","=""1380011""",6261,438,6699
"Suffield School District","=""1390011""",2024,49,2073
"The Bridge Academy District","=""2690013""",272,9,281
"The Gilbert School District","=""9020022""",442,10,452
"The Woodstock Academy District","=""9030022""","*","*",1044
"Thomaston School District","=""1400011""",811,14,825
"Thompson School District","=""1410011""","*","*",976
"Tolland School District","=""1420011""",2264,17,2281
"Torrington School District","=""1430011""",3321,383,3704
"Trumbull School District","=""1440011""",6461,278,6739
"Unified School District #1","=""3360015""",139,6,145
"Unified School District #2","=""3470015""","*","*",75
"Union School District","=""1450011""","*",0,"*"
"Vernon School District","=""1460011""",2932,118,3050
"Voluntown School District","=""1470011""",248,0,248
"Wallingford School District","=""1480011""",5138,313,5451
"Waterbury School District","=""1510011""",15485,2965,18450
"Waterford School District","=""1520011""",2303,64,2367
"Watertown School District","=""1530011""",2529,110,2639
"West Hartford School District","=""1550011""",8634,571,9205
"West Haven School District","=""1560011""",4939,862,5801
"Westbrook School District","=""1540011""",577,73,650
"Weston School District","=""1570011""",2262,16,2278
"Westport School District","=""1580011""",5299,59,5358
"Wethersfield School District","=""1590011""",3244,330,3574
"Willington School District","=""1600011""",391,7,398
"Wilton School District","=""1610011""",3695,28,3723
"Winchester School District","=""1620011""",534,20,554
"Windham School District","=""1630011""",2298,958,3256
"Windsor Locks School District","=""1650011""",1434,100,1534
"Windsor School District","=""1640011""",3205,120,3325
"Wolcott School District","=""1660011""",2086,74,2160
"Woodbridge School District","=""1670011""",793,24,817
"Woodstock School District","=""1690011""","*","*",798
"Total","=""""",470605,42474,513079

