"Student Counts by District and Special Education Status"
"All Districts"
"2020-21"

"",,"Special Education Status",,
"Norwich Free Academy District","=""9010022""",1853,260,2113
"Norwich School District","=""1040011""",2701,676,3377
"Odyssey Community School District","=""2630013""",301,27,328
"Old Saybrook School District","=""1060011""",916,158,1074
"Orange School District","=""1070011""",1114,120,1234
"Oxford School District","=""1080011""",1421,197,1618
"Park City Prep Charter School District","=""2830013""",327,33,360
"Plainfield School District","=""1090011""",1653,357,2010
"Plainville School District","=""1100011""",1944,321,2265
"Plymouth School District","=""1110011""",1058,242,1300
"Pomfret School District","=""1120011""",298,41,339
"Portland School District","=""1130011""",1084,195,1279
"Preston School District","=""1140011""",337,68,405
"Putnam School District","=""1160011""",875,239,1114
"Redding School District","=""1170011""",682,124,806
"Regional School District 01","=""2010012""",265,58,323
"Regional School District 04","=""2040012""",667,171,838
"Regional School District 05","=""2050012""",1908,276,2184
"Regional School District 06","=""2060012""",726,154,880
"Regional School District 07","=""2070012""",797,194,991
"Regional School District 08","=""2080012""",1113,189,1302
"Regional School District 09","=""2090012""",722,113,835
"Regional School District 10","=""2100012""",1920,281,2201
"Regional School District 11","=""2110012""",165,40,205
"Regional School District 12","=""2120012""",585,103,688
"Regional School District 13","=""2130012""",1165,275,1440
"Regional School District 14","=""2140012""",1332,248,1580
"Regional School District 15","=""2150012""",2868,645,3513
"Regional School District 16","=""2160012""",1739,262,2001
"Regional School District 17","=""2170012""",1533,316,1849
"Regional School District 18","=""2180012""",1111,172,1283
"Regional School District 19","=""2190012""",921,184,1105
"Ridgefield School District","=""1180011""",3888,668,4556
"Rocky Hill School District","=""1190011""",2298,344,2642
"Salem School District","=""1210011""",331,59,390
"Salisbury School District","=""1220011""",274,36,310
"Scotland School District","=""1230011""",68,20,88
"Seymour School District","=""1240011""",1799,311,2110
"Sharon School District","=""1250011""",86,26,112
"Shelton School District","=""1260011""",3717,688,4405
"Sherman School District","=""1270011""",208,44,252
"Side By Side Charter School District","=""2700013""",215,20,235
"Simsbury School District","=""1280011""",3410,612,4022
"Somers School District","=""1290011""",1098,207,1305
"South Windsor School District","=""1320011""",3941,617,4558
"Southington School District","=""1310011""",5250,940,6190
"Sprague School District","=""1330011""",208,46,254
"Stafford School District","=""1340011""",1138,214,1352
"Stamford Charter School for Excellence District","=""2960013""",363,28,391
"Stamford School District","=""1350011""",13853,2420,16273
"Sterling School District","=""1360011""",261,51,312
"Stonington School District","=""1370011""",1608,293,1901
"Stratford School District","=""1380011""",5637,1062,6699
"Suffield School District","=""1390011""",1780,293,2073
"The Bridge Academy District","=""2690013""",221,60,281
"The Gilbert School District","=""9020022""",379,73,452
"The Woodstock Academy District","=""9030022""",970,74,1044
"Thomaston School District","=""1400011""",695,130,825
"Thompson School District","=""1410011""",781,195,976
"Tolland School District","=""1420011""",1959,322,2281
"Torrington School District","=""1430011""",2989,715,3704
"Trumbull School District","=""1440011""",5859,880,6739
"Unified School District #1","=""3360015""",20,125,145
"Unified School District #2","=""3470015""",12,63,75
"Union School District","=""1450011""",38,"*","*"
"Vernon School District","=""1460011""",2499,551,3050
"Voluntown School District","=""1470011""",211,37,248
"Wallingford School District","=""1480011""",4535,916,5451
"Waterbury School District","=""1510011""",14825,3625,18450
"Waterford School District","=""1520011""",1973,394,2367
"Watertown School District","=""1530011""",2237,402,2639
"West Hartford School District","=""1550011""",7846,1359,9205
"West Haven School District","=""1560011""",4746,1055,5801
"Westbrook School District","=""1540011""",546,104,650
"Weston School District","=""1570011""",2008,270,2278
"Westport School District","=""1580011""",4635,723,5358
"Wethersfield School District","=""1590011""",3065,509,3574
"Willington School District","=""1600011""",323,75,398
"Wilton School District","=""1610011""",3116,607,3723
"Winchester School District","=""1620011""",426,128,554
"Windham School District","=""1630011""",2606,650,3256
"Windsor Locks School District","=""1650011""",1273,261,1534
"Windsor School District","=""1640011""",2651,674,3325
"Wolcott School District","=""1660011""",1846,314,2160
"Woodbridge School District","=""1670011""",723,94,817
"Woodstock School District","=""1690011""",705,93,798
"Total","=""""",429456,83623,513079

