"Student Counts by District and Special Education Status"
"All Districts"
"2022-23"

"",,"Special Education Status",,
"Unified School District #2","=""3470015""",11,61,72
"Union School District","=""1450011""",44,"*","*"
"Vernon School District","=""1460011""",2567,581,3148
"Voluntown School District","=""1470011""",213,37,250
"Wallingford School District","=""1480011""",4370,965,5335
"Waterbury School District","=""1510011""",15033,3668,18701
"Waterford School District","=""1520011""",1934,404,2338
"Watertown School District","=""1530011""",2180,418,2598
"West Hartford School District","=""1550011""",7678,1553,9231
"West Haven School District","=""1560011""",4818,1158,5976
"Westbrook School District","=""1540011""",524,93,617
"Weston School District","=""1570011""",1895,302,2197
"Westport School District","=""1580011""",4626,761,5387
"Wethersfield School District","=""1590011""",3105,541,3646
"Willington School District","=""1600011""",330,68,398
"Wilton School District","=""1610011""",3128,660,3788
"Winchester School District","=""1620011""",497,109,606
"Windham School District","=""1630011""",2585,639,3224
"Windsor Locks School District","=""1650011""",1270,279,1549
"Windsor School District","=""1640011""",2641,696,3337
"Wolcott School District","=""1660011""",1806,333,2139
"Woodbridge School District","=""1670011""",730,118,848
"Woodstock School District","=""1690011""",655,119,774
"Total","=""""",425453,88060,513513

