"Student Counts by District and Special Education Status"
"All Districts"
"2009-10"

"",,"Special Education Status",,
"Plymouth School District","=""1110011""",1564,235,1799
"Pomfret School District","=""1120011""",468,71,539
"Portland School District","=""1130011""",1309,130,1439
"Preston School District","=""1140011""",381,57,438
"Putnam School District","=""1160011""",1017,222,1239
"Redding School District","=""1170011""",1112,157,1269
"Regional School District 01","=""2010012""",446,70,516
"Regional School District 04","=""2040012""",854,127,981
"Regional School District 05","=""2050012""",2230,268,2498
"Regional School District 06","=""2060012""",949,127,1076
"Regional School District 07","=""2070012""",1025,147,1172
"Regional School District 08","=""2080012""",1523,220,1743
"Regional School District 09","=""2090012""",856,117,973
"Regional School District 10","=""2100012""",2552,279,2831
"Regional School District 11","=""2110012""",249,51,300
"Regional School District 12","=""2120012""",836,137,973
"Regional School District 13","=""2130012""",1816,278,2094
"Regional School District 14","=""2140012""",1872,257,2129
"Regional School District 15","=""2150012""",3996,562,4558
"Regional School District 16","=""2160012""",2325,269,2594
"Regional School District 17","=""2170012""",2228,275,2503
"Regional School District 18","=""2180012""",1329,161,1490
"Regional School District 19","=""2190012""",1009,192,1201
"Ridgefield School District","=""1180011""",4938,518,5456
"Rocky Hill School District","=""1190011""",2394,255,2649
"Salem School District","=""1210011""",447,47,494
"Salisbury School District","=""1220011""",279,32,311
"Scotland School District","=""1230011""",136,25,161
"Seymour School District","=""1240011""",2234,208,2442
"Sharon School District","=""1250011""",162,43,205
"Shelton School District","=""1260011""",4919,561,5480
"Sherman School District","=""1270011""",389,57,446
"Side By Side Charter School District","=""2700013""",214,18,232
"Simsbury School District","=""1280011""",4299,587,4886
"Somers School District","=""1290011""",1489,171,1660
"South Windsor School District","=""1320011""",4091,605,4696
"Southington School District","=""1310011""",6083,756,6839
"Sprague School District","=""1330011""",325,27,352
"Stafford School District","=""1340011""",1686,168,1854
"Stamford Academy District","=""2820013""",101,30,131
"Stamford School District","=""1350011""",13755,1379,15134
"Sterling School District","=""1360011""",459,49,508
"Stonington School District","=""1370011""",2218,320,2538
"Stratford School District","=""1380011""",6661,720,7381
"Suffield School District","=""1390011""",2289,281,2570
"The Bridge Academy District","=""2690013""",230,33,263
"The Gilbert School District","=""9020022""",336,45,381
"The Woodstock Academy District","=""9030022""",1097,56,1153
"Thomaston School District","=""1400011""",1006,172,1178
"Thompson School District","=""1410011""",1202,140,1342
"Tolland School District","=""1420011""",2818,350,3168
"Torrington School District","=""1430011""",3931,815,4746
"Trailblazers Academy District","=""2780013""",131,34,165
"Trumbull School District","=""1440011""",6400,639,7039
"Unified School District #1","=""3360015""",597,393,990
"Unified School District #2","=""3470015""",72,258,330
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",3302,399,3701
"Voluntown School District","=""1470011""",282,21,303
"Wallingford School District","=""1480011""",5881,820,6701
"Waterbury School District","=""1510011""",15292,2968,18260
"Waterford School District","=""1520011""",2563,327,2890
"Watertown School District","=""1530011""",2893,357,3250
"West Hartford School District","=""1550011""",9054,1183,10237
"West Haven School District","=""1560011""",5570,733,6303
"Westbrook School District","=""1540011""",890,86,976
"Weston School District","=""1570011""",2325,247,2572
"Westport School District","=""1580011""",5131,607,5738
"Wethersfield School District","=""1590011""",3429,404,3833
"Willington School District","=""1600011""",462,83,545
"Wilton School District","=""1610011""",3898,460,4358
"Winchester School District","=""1620011""",804,168,972
"Windham School District","=""1630011""",2885,608,3493
"Windsor Locks School District","=""1650011""",1615,200,1815
"Windsor School District","=""1640011""",3309,488,3797
"Wolcott School District","=""1660011""",2498,265,2763
"Woodbridge School District","=""1670011""",662,71,733
"Woodstock School District","=""1690011""",841,82,923
"Total","=""""",499494,68298,567792

