"Student Counts by District and Special Education Status"
"All Districts"
"2014-15"

"",,"Special Education Status",,
"Rocky Hill School District","=""1190011""",2246,241,2487
"Salem School District","=""1210011""",347,52,399
"Salisbury School District","=""1220011""",238,35,273
"Scotland School District","=""1230011""",107,22,129
"Seymour School District","=""1240011""",2011,275,2286
"Sharon School District","=""1250011""",138,39,177
"Shelton School District","=""1260011""",4299,648,4947
"Sherman School District","=""1270011""",297,52,349
"Side By Side Charter School District","=""2700013""",220,15,235
"Simsbury School District","=""1280011""",3757,550,4307
"Somers School District","=""1290011""",1319,161,1480
"South Windsor School District","=""1320011""",3662,554,4216
"Southington School District","=""1310011""",5803,823,6626
"Sprague School District","=""1330011""",317,49,366
"Stafford School District","=""1340011""",1403,183,1586
"Stamford Academy District","=""2820013""",110,31,141
"Stamford School District","=""1350011""",14328,1757,16085
"Sterling School District","=""1360011""",411,56,467
"Stonington School District","=""1370011""",1942,325,2267
"Stratford School District","=""1380011""",6247,813,7060
"Suffield School District","=""1390011""",2137,260,2397
"The Bridge Academy District","=""2690013""",238,37,275
"The Gilbert School District","=""9020022""",463,89,552
"The Woodstock Academy District","=""9030022""",956,56,1012
"Thomaston School District","=""1400011""",771,141,912
"Thompson School District","=""1410011""",895,121,1016
"Tolland School District","=""1420011""",2371,306,2677
"Torrington School District","=""1430011""",3528,775,4303
"Trailblazers Academy District","=""2780013""",80,39,119
"Trumbull School District","=""1440011""",6058,658,6716
"Unified School District #1","=""3360015""",235,175,410
"Unified School District #2","=""3470015""",65,150,215
"Union School District","=""1450011""",64,16,80
"Vernon School District","=""1460011""",2787,495,3282
"Voluntown School District","=""1470011""",266,51,317
"Wallingford School District","=""1480011""",5398,707,6105
"Waterbury School District","=""1510011""",15548,3330,18878
"Waterford School District","=""1520011""",2186,366,2552
"Watertown School District","=""1530011""",2505,343,2848
"West Hartford School District","=""1550011""",8622,1172,9794
"West Haven School District","=""1560011""",5009,931,5940
"Westbrook School District","=""1540011""",710,97,807
"Weston School District","=""1570011""",2195,218,2413
"Westport School District","=""1580011""",5172,600,5772
"Wethersfield School District","=""1590011""",3129,518,3647
"Willington School District","=""1600011""",365,65,430
"Wilton School District","=""1610011""",3687,585,4272
"Winchester School District","=""1620011""",485,124,609
"Windham School District","=""1630011""",2704,486,3190
"Windsor Locks School District","=""1650011""",1449,215,1664
"Windsor School District","=""1640011""",2643,525,3168
"Wolcott School District","=""1660011""",2134,231,2365
"Woodbridge School District","=""1670011""",726,71,797
"Woodstock School District","=""1690011""",788,85,873
"Total","=""""",473576,72773,546349

