"Student Counts by District and Special Education Status"
"All Districts"
"2010-11"

"",,"Special Education Status",,
"Norwich Free Academy District","=""9010022""",2045,336,2381
"Norwich School District","=""1040011""",3273,604,3877
"Odyssey Community School District","=""2630013""",160,21,181
"Old Saybrook School District","=""1060011""",1398,179,1577
"Orange School District","=""1070011""",1151,133,1284
"Oxford School District","=""1080011""",2054,151,2205
"Park City Prep Charter School District","=""2830013""",229,21,250
"Plainfield School District","=""1090011""",2336,309,2645
"Plainville School District","=""1100011""",2138,348,2486
"Plymouth School District","=""1110011""",1506,239,1745
"Pomfret School District","=""1120011""",452,66,518
"Portland School District","=""1130011""",1300,108,1408
"Preston School District","=""1140011""",365,73,438
"Putnam School District","=""1160011""",1088,213,1301
"Redding School District","=""1170011""",1093,153,1246
"Regional School District 01","=""2010012""",444,62,506
"Regional School District 04","=""2040012""",849,134,983
"Regional School District 05","=""2050012""",2223,272,2495
"Regional School District 06","=""2060012""",924,129,1053
"Regional School District 07","=""2070012""",1017,162,1179
"Regional School District 08","=""2080012""",1549,231,1780
"Regional School District 09","=""2090012""",860,125,985
"Regional School District 10","=""2100012""",2507,266,2773
"Regional School District 11","=""2110012""",228,54,282
"Regional School District 12","=""2120012""",815,118,933
"Regional School District 13","=""2130012""",1766,286,2052
"Regional School District 14","=""2140012""",1841,263,2104
"Regional School District 15","=""2150012""",3888,552,4440
"Regional School District 16","=""2160012""",2277,269,2546
"Regional School District 17","=""2170012""",2180,305,2485
"Regional School District 18","=""2180012""",1345,154,1499
"Regional School District 19","=""2190012""",995,202,1197
"Ridgefield School District","=""1180011""",4987,450,5437
"Rocky Hill School District","=""1190011""",2353,240,2593
"Salem School District","=""1210011""",426,37,463
"Salisbury School District","=""1220011""",274,36,310
"Scotland School District","=""1230011""",121,22,143
"Seymour School District","=""1240011""",2187,237,2424
"Sharon School District","=""1250011""",153,44,197
"Shelton School District","=""1260011""",4777,528,5305
"Sherman School District","=""1270011""",351,58,409
"Side By Side Charter School District","=""2700013""",220,13,233
"Simsbury School District","=""1280011""",4232,549,4781
"Somers School District","=""1290011""",1485,155,1640
"South Windsor School District","=""1320011""",4039,560,4599
"Southington School District","=""1310011""",6061,771,6832
"Sprague School District","=""1330011""",339,34,373
"Stafford School District","=""1340011""",1690,175,1865
"Stamford Academy District","=""2820013""",112,25,137
"Stamford School District","=""1350011""",14005,1385,15390
"Sterling School District","=""1360011""",438,48,486
"Stonington School District","=""1370011""",2201,314,2515
"Stratford School District","=""1380011""",6608,730,7338
"Suffield School District","=""1390011""",2254,266,2520
"The Bridge Academy District","=""2690013""",238,33,271
"The Gilbert School District","=""9020022""",300,25,325
"The Woodstock Academy District","=""9030022""",1041,55,1096
"Thomaston School District","=""1400011""",965,164,1129
"Thompson School District","=""1410011""",1140,137,1277
"Tolland School District","=""1420011""",2748,326,3074
"Torrington School District","=""1430011""",3784,836,4620
"Trailblazers Academy District","=""2780013""",126,36,162
"Trumbull School District","=""1440011""",6385,607,6992
"Unified School District #1","=""3360015""",466,350,816
"Unified School District #2","=""3470015""",72,233,305
"Union School District","=""1450011""",76,6,82
"Vernon School District","=""1460011""",3192,423,3615
"Voluntown School District","=""1470011""",287,31,318
"Wallingford School District","=""1480011""",5791,809,6600
"Waterbury School District","=""1510011""",15249,2939,18188
"Waterford School District","=""1520011""",2513,316,2829
"Watertown School District","=""1530011""",2845,342,3187
"West Hartford School District","=""1550011""",9121,1148,10269
"West Haven School District","=""1560011""",5508,758,6266
"Westbrook School District","=""1540011""",864,86,950
"Weston School District","=""1570011""",2307,234,2541
"Westport School District","=""1580011""",5178,622,5800
"Wethersfield School District","=""1590011""",3427,392,3819
"Willington School District","=""1600011""",439,75,514
"Wilton School District","=""1610011""",3861,479,4340
"Winchester School District","=""1620011""",781,183,964
"Windham School District","=""1630011""",2834,563,3397
"Windsor Locks School District","=""1650011""",1596,203,1799
"Windsor School District","=""1640011""",3142,510,3652
"Wolcott School District","=""1660011""",2490,262,2752
"Woodbridge School District","=""1670011""",658,65,723
"Woodstock School District","=""1690011""",855,77,932
"Total","=""""",496733,67766,564499

