"Student Counts by District and Special Education Status"
"All Districts"
"2021-22"

"",,"Special Education Status",,
"Glastonbury School District","=""0540011""",5036,664,5700
"Goodwin University Educational Services (GUES)","=""2310018""",882,183,1065
"Granby School District","=""0560011""",1487,278,1765
"Great Oaks Charter School District","=""2940013""",540,110,650
"Greenwich School District","=""0570011""",7446,1184,8630
"Griswold School District","=""0580011""",1375,344,1719
"Groton School District","=""0590011""",3335,778,4113
"Guilford School District","=""0600011""",2731,405,3136
"Hamden School District","=""0620011""",4457,1005,5462
"Hampton School District","=""0630011""",55,19,74
"Hartford School District","=""0640011""",13698,3485,17183
"Hartland School District","=""0650011""",110,30,140
"Hebron School District","=""0670011""",606,73,679
"Highville Charter School District","=""2860013""",465,36,501
"Integrated Day Charter School District","=""2640013""",322,31,353
"Interdistrict School for Arts and Comm District","=""2650013""",227,52,279
"Jumoke Academy District","=""2610013""",637,49,686
"Kent School District","=""0680011""",185,27,212
"Killingly School District","=""0690011""",1943,444,2387
"Learn","=""2450014""",1193,220,1413
"Lebanon School District","=""0710011""",783,153,936
"Ledyard School District","=""0720011""",2025,425,2450
"Lisbon School District","=""0730011""",350,79,429
"Litchfield School District","=""0740011""",692,150,842
"Madison School District","=""0760011""",2087,374,2461
"Manchester School District","=""0770011""",5142,1057,6199
"Mansfield School District","=""0780011""",856,142,998
"Marlborough School District","=""0790011""",397,51,448
"Meriden School District","=""0800011""",6756,1765,8521
"Middletown School District","=""0830011""",3749,681,4430
"Milford School District","=""0840011""",4544,872,5416
"Monroe School District","=""0850011""",2865,480,3345
"Montville School District","=""0860011""",1618,381,1999
"Naugatuck School District","=""0880011""",3524,787,4311
"New Beginnings Inc Family Academy District","=""2800013""",449,35,484
"New Britain School District","=""0890011""",7612,2126,9738
"New Canaan School District","=""0900011""",3613,524,4137
"New Fairfield School District","=""0910011""",1784,348,2132
"New Hartford School District","=""0920011""",362,68,430
"New Haven School District","=""0930011""",16461,2959,19420
"New London School District","=""0950011""",2526,596,3122
"New Milford School District","=""0960011""",3095,599,3694
"Newington School District","=""0940011""",3301,621,3922
"Newtown School District","=""0970011""",3422,629,4051
"Norfolk School District","=""0980011""",57,13,70
"North Branford School District","=""0990011""",1340,245,1585
"North Canaan School District","=""1000011""",202,32,234
"North Haven School District","=""1010011""",2755,405,3160
"North Stonington School District","=""1020011""",695,78,773
"Norwalk School District","=""1030011""",9696,1762,11458
"Norwich Free Academy District","=""9010022""",1815,264,2079
"Norwich School District","=""1040011""",2648,639,3287
"Odyssey Community School District","=""2630013""",298,30,328
"Old Saybrook School District","=""1060011""",914,174,1088
"Orange School District","=""1070011""",1146,112,1258
"Oxford School District","=""1080011""",1464,239,1703
"Park City Prep Charter School District","=""2830013""",330,31,361
"Plainfield School District","=""1090011""",1613,378,1991
"Plainville School District","=""1100011""",1956,339,2295
"Plymouth School District","=""1110011""",1044,264,1308
"Pomfret School District","=""1120011""",312,49,361
"Portland School District","=""1130011""",1026,213,1239
"Preston School District","=""1140011""",365,62,427
"Putnam School District","=""1160011""",907,231,1138
"Redding School District","=""1170011""",703,129,832
"Regional School District 01","=""2010012""",282,64,346
"Regional School District 04","=""2040012""",660,156,816
"Regional School District 05","=""2050012""",1864,281,2145
"Regional School District 06","=""2060012""",731,156,887
"Regional School District 07","=""2070012""",720,191,911
"Regional School District 08","=""2080012""",1038,183,1221
"Regional School District 09","=""2090012""",696,126,822
"Regional School District 10","=""2100012""",1893,282,2175
"Regional School District 11","=""2110012""",167,42,209
"Regional School District 12","=""2120012""",663,100,763
"Regional School District 13","=""2130012""",1072,294,1366
"Regional School District 14","=""2140012""",1321,273,1594
"Regional School District 15","=""2150012""",2881,658,3539
"Regional School District 16","=""2160012""",1687,286,1973
"Regional School District 17","=""2170012""",1498,290,1788
"Regional School District 18","=""2180012""",1123,174,1297
"Regional School District 19","=""2190012""",950,188,1138
"Ridgefield School District","=""1180011""",3840,738,4578
"Rocky Hill School District","=""1190011""",2192,345,2537
"Salem School District","=""1210011""",332,58,390
"Salisbury School District","=""1220011""",274,31,305
"Scotland School District","=""1230011""",80,21,101
"Seymour School District","=""1240011""",1753,319,2072
"Sharon School District","=""1250011""",74,22,96
"Shelton School District","=""1260011""",3735,688,4423
"Sherman School District","=""1270011""",225,38,263
"Side By Side Charter School District","=""2700013""",212,24,236
"Simsbury School District","=""1280011""",3425,664,4089
"Somers School District","=""1290011""",1131,216,1347
"South Windsor School District","=""1320011""",4123,655,4778
"Southington School District","=""1310011""",5270,996,6266
"Sprague School District","=""1330011""",239,46,285
"Stafford School District","=""1340011""",1154,232,1386
"Stamford Charter School for Excellence District","=""2960013""",471,35,506
"Stamford School District","=""1350011""",13568,2511,16079
"Sterling School District","=""1360011""",282,53,335
"Stonington School District","=""1370011""",1562,269,1831
"Stratford School District","=""1380011""",5713,1147,6860
"Suffield School District","=""1390011""",1742,309,2051
"The Bridge Academy District","=""2690013""",224,55,279
"The Gilbert School District","=""9020022""",365,73,438
"The Woodstock Academy District","=""9030022""",987,73,1060
"Thomaston School District","=""1400011""",720,124,844
"Thompson School District","=""1410011""",755,206,961
"Tolland School District","=""1420011""",1900,333,2233
"Torrington School District","=""1430011""",3175,711,3886
"Trumbull School District","=""1440011""",5948,948,6896
"Unified School District #1","=""3360015""",20,136,156
"Unified School District #2","=""3470015""",8,70,78
"Union School District","=""1450011""",33,"*","*"
"Vernon School District","=""1460011""",2563,620,3183
"Voluntown School District","=""1470011""",213,35,248
"Wallingford School District","=""1480011""",4403,939,5342
"Waterbury School District","=""1510011""",15021,3639,18660
"Waterford School District","=""1520011""",1948,400,2348
"Watertown School District","=""1530011""",2187,417,2604
"West Hartford School District","=""1550011""",7739,1461,9200
"West Haven School District","=""1560011""",4744,1095,5839
"Westbrook School District","=""1540011""",537,98,635
"Weston School District","=""1570011""",1957,282,2239
"Westport School District","=""1580011""",4577,759,5336
"Wethersfield School District","=""1590011""",3102,520,3622
"Willington School District","=""1600011""",320,67,387
"Wilton School District","=""1610011""",3148,610,3758
"Winchester School District","=""1620011""",452,126,578
"Windham School District","=""1630011""",2574,632,3206
"Windsor Locks School District","=""1650011""",1260,263,1523
"Windsor School District","=""1640011""",2625,663,3288
"Wolcott School District","=""1660011""",1819,341,2160
"Woodbridge School District","=""1670011""",742,105,847
"Woodstock School District","=""1690011""",686,108,794
"Total","=""""",428088,85527,513615

