"Student Counts by District and Special Education Status"
"All Districts"
"2023-24"

"",,"Special Education Status",,
"Plainville School District","=""1100011""",1916,339,2255
"Plymouth School District","=""1110011""",963,316,1279
"Pomfret School District","=""1120011""",295,54,349
"Portland School District","=""1130011""",975,268,1243
"Preston School District","=""1140011""",381,69,450
"Putnam School District","=""1160011""",944,237,1181
"Redding School District","=""1170011""",723,142,865
"Regional School District 01","=""2010012""",258,56,314
"Regional School District 04","=""2040012""",582,141,723
"Regional School District 05","=""2050012""",1833,279,2112
"Regional School District 06","=""2060012""",701,147,848
"Regional School District 07","=""2070012""",637,194,831
"Regional School District 08","=""2080012""",977,185,1162
"Regional School District 09","=""2090012""",631,118,749
"Regional School District 10","=""2100012""",1759,362,2121
"Regional School District 11","=""2110012""",164,48,212
"Regional School District 12","=""2120012""",680,117,797
"Regional School District 13","=""2130012""",1044,306,1350
"Regional School District 14","=""2140012""",1266,315,1581
"Regional School District 15","=""2150012""",2800,635,3435
"Regional School District 16","=""2160012""",1621,310,1931
"Regional School District 17","=""2170012""",1463,307,1770
"Regional School District 18","=""2180012""",1107,185,1292
"Regional School District 19","=""2190012""",888,196,1084
"Ridgefield School District","=""1180011""",3678,796,4474
"Rocky Hill School District","=""1190011""",2158,372,2530
"Salem School District","=""1210011""",315,71,386
"Salisbury School District","=""1220011""",259,44,303
"Scotland School District","=""1230011""",75,28,103
"Seymour School District","=""1240011""",1745,356,2101
"Sharon School District","=""1250011""",86,20,106
"Shelton School District","=""1260011""",3759,754,4513
"Sherman School District","=""1270011""",217,29,246
"Side By Side Charter School District","=""2700013""",214,22,236
"Simsbury School District","=""1280011""",3409,756,4165
"Somers School District","=""1290011""",1140,217,1357
"South Windsor School District","=""1320011""",4356,666,5022
"Southington School District","=""1310011""",5207,1035,6242
"Sprague School District","=""1330011""",239,52,291
"Stafford School District","=""1340011""",1052,266,1318
"Stamford Charter School for Excellence District","=""2960013""",515,25,540
"Stamford School District","=""1350011""",13591,2748,16339
"Sterling School District","=""1360011""",265,63,328
"Stonington School District","=""1370011""",1484,278,1762
"Stratford School District","=""1380011""",5530,1213,6743
"Suffield School District","=""1390011""",1718,320,2038
"The Bridge Academy District","=""2690013""",230,51,281
"The Gilbert School District","=""9020022""",382,65,447
"The Woodstock Academy District","=""9030022""",889,85,974
"Thomaston School District","=""1400011""",662,114,776
"Thompson School District","=""1410011""",701,184,885
"Tolland School District","=""1420011""",1839,371,2210
"Torrington School District","=""1430011""",3189,756,3945
"Trumbull School District","=""1440011""",5887,1053,6940
"Unified School District #1","=""3360015""","*","*",144
"Unified School District #2","=""3470015""","*","*",69
"Union School District","=""1450011""",41,"*","*"
"Vernon School District","=""1460011""",2605,621,3226
"Voluntown School District","=""1470011""",198,38,236
"Wallingford School District","=""1480011""",4294,998,5292
"Waterbury School District","=""1510011""",15223,3733,18956
"Waterford School District","=""1520011""",1922,419,2341
"Watertown School District","=""1530011""",2145,433,2578
"West Hartford School District","=""1550011""",7613,1648,9261
"West Haven School District","=""1560011""",4818,1180,5998
"Westbrook School District","=""1540011""",507,90,597
"Weston School District","=""1570011""",1829,339,2168
"Westport School District","=""1580011""",4565,768,5333
"Wethersfield School District","=""1590011""",3030,554,3584
"Willington School District","=""1600011""",323,71,394
"Wilton School District","=""1610011""",3147,662,3809
"Winchester School District","=""1620011""",507,112,619
"Windham School District","=""1630011""",2539,687,3226
"Windsor Locks School District","=""1650011""",1204,283,1487
"Windsor School District","=""1640011""",2619,723,3342
"Wolcott School District","=""1660011""",1774,358,2132
"Woodbridge School District","=""1670011""",769,113,882
"Woodstock School District","=""1690011""",649,126,775
"Total","=""""",420805,91847,512652

