"Student Counts by District and Special Education Status"
"All Districts"
"2016-17"

"",,"Special Education Status",,
"Kent School District","=""0680011""",214,21,235
"Killingly School District","=""0690011""",2159,391,2550
"Learn","=""2450014""",2064,357,2421
"Lebanon School District","=""0710011""",868,152,1020
"Ledyard School District","=""0720011""",1979,416,2395
"Lisbon School District","=""0730011""",345,56,401
"Litchfield School District","=""0740011""",813,133,946
"Madison School District","=""0760011""",2554,387,2941
"Manchester School District","=""0770011""",5396,895,6291
"Mansfield School District","=""0780011""",1076,141,1217
"Marlborough School District","=""0790011""",476,59,535
"Meriden School District","=""0800011""",6393,1556,7949
"Middletown School District","=""0830011""",4049,653,4702
"Milford School District","=""0840011""",5165,761,5926
"Monroe School District","=""0850011""",2827,362,3189
"Montville School District","=""0860011""",1878,332,2210
"Naugatuck School District","=""0880011""",3594,687,4281
"New Beginnings Inc Family Academy District","=""2800013""",462,37,499
"New Britain School District","=""0890011""",8266,1879,10145
"New Canaan School District","=""0900011""",3797,463,4260
"New Fairfield School District","=""0910011""",2155,239,2394
"New Hartford School District","=""0920011""",387,57,444
"New Haven School District","=""0930011""",19008,2973,21981
"New London School District","=""0950011""",2953,606,3559
"New Milford School District","=""0960011""",3636,581,4217
"Newington School District","=""0940011""",3539,530,4069
"Newtown School District","=""0970011""",3952,518,4470
"Norfolk School District","=""0980011""",84,18,102
"North Branford School District","=""0990011""",1587,255,1842
"North Canaan School District","=""1000011""",238,40,278
"North Haven School District","=""1010011""",2812,350,3162
"North Stonington School District","=""1020011""",671,60,731
"Norwalk School District","=""1030011""",9921,1577,11498
"Norwich Free Academy District","=""9010022""",2066,272,2338
"Norwich School District","=""1040011""",2925,727,3652
"Odyssey Community School District","=""2630013""",305,23,328
"Old Saybrook School District","=""1060011""",1140,177,1317
"Orange School District","=""1070011""",1073,94,1167
"Oxford School District","=""1080011""",1694,258,1952
"Park City Prep Charter School District","=""2830013""",322,38,360
"Path Academy District","=""2930013""",127,30,157
"Plainfield School District","=""1090011""",1972,320,2292
"Plainville School District","=""1100011""",2062,304,2366
"Plymouth School District","=""1110011""",1263,241,1504
"Pomfret School District","=""1120011""",337,40,377
"Portland School District","=""1130011""",1192,145,1337
"Preston School District","=""1140011""",357,73,430
"Putnam School District","=""1160011""",978,210,1188
"Redding School District","=""1170011""",817,120,937
"Regional School District 01","=""2010012""",348,78,426
"Regional School District 04","=""2040012""",809,143,952
"Regional School District 05","=""2050012""",1979,269,2248
"Regional School District 06","=""2060012""",823,152,975
"Regional School District 07","=""2070012""",959,145,1104
"Regional School District 08","=""2080012""",1372,186,1558
"Regional School District 09","=""2090012""",857,113,970
"Regional School District 10","=""2100012""",2106,260,2366
"Regional School District 11","=""2110012""",202,49,251
"Regional School District 12","=""2120012""",602,108,710
"Regional School District 13","=""2130012""",1478,267,1745
"Regional School District 14","=""2140012""",1535,233,1768
"Regional School District 15","=""2150012""",3144,585,3729
"Regional School District 16","=""2160012""",1898,313,2211
"Regional School District 17","=""2170012""",1748,369,2117
"Regional School District 18","=""2180012""",1139,169,1308
"Regional School District 19","=""2190012""",1024,180,1204
"Ridgefield School District","=""1180011""",4493,491,4984
"Rocky Hill School District","=""1190011""",2351,270,2621
"Salem School District","=""1210011""",333,76,409
"Salisbury School District","=""1220011""",253,27,280
"Scotland School District","=""1230011""",98,18,116
"Seymour School District","=""1240011""",1865,293,2158
"Sharon School District","=""1250011""",121,29,150
"Shelton School District","=""1260011""",4136,679,4815
"Sherman School District","=""1270011""",274,41,315
"Side By Side Charter School District","=""2700013""",216,20,236
"Simsbury School District","=""1280011""",3601,560,4161
"Somers School District","=""1290011""",1239,192,1431
"South Windsor School District","=""1320011""",3617,571,4188
"Southington School District","=""1310011""",5701,881,6582
"Sprague School District","=""1330011""",288,51,339
"Stafford School District","=""1340011""",1315,211,1526
"Stamford Academy District","=""2820013""",106,42,148
"Stamford Charter School for Excellence District","=""2960013""",209,8,217
"Stamford School District","=""1350011""",14074,2026,16100
"Sterling School District","=""1360011""",381,50,431
"Stonington School District","=""1370011""",1787,321,2108
"Stratford School District","=""1380011""",5978,878,6856
"Suffield School District","=""1390011""",1991,290,2281
"The Bridge Academy District","=""2690013""",238,43,281
"The Gilbert School District","=""9020022""",473,89,562
"The Woodstock Academy District","=""9030022""",992,73,1065
"Thomaston School District","=""1400011""",752,146,898
"Thompson School District","=""1410011""",879,139,1018
"Tolland School District","=""1420011""",2178,306,2484
"Torrington School District","=""1430011""",3362,839,4201
"Trailblazers Academy District","=""2780013""",86,43,129
"Trumbull School District","=""1440011""",5943,742,6685
"Unified School District #1","=""3360015""",208,155,363
"Unified School District #2","=""3470015""","*","*",156
"Union School District","=""1450011""",57,"*","*"
"Vernon School District","=""1460011""",2679,545,3224
"Voluntown School District","=""1470011""",234,51,285
"Wallingford School District","=""1480011""",5178,730,5908
"Waterbury School District","=""1510011""",15541,3460,19001
"Waterford School District","=""1520011""",2172,363,2535
"Watertown School District","=""1530011""",2411,371,2782
"West Hartford School District","=""1550011""",8557,1208,9765
"West Haven School District","=""1560011""",4784,1002,5786
"Westbrook School District","=""1540011""",662,105,767
"Weston School District","=""1570011""",2142,232,2374
"Westport School District","=""1580011""",5018,605,5623
"Wethersfield School District","=""1590011""",3082,514,3596
"Willington School District","=""1600011""",358,70,428
"Wilton School District","=""1610011""",3519,559,4078
"Winchester School District","=""1620011""",437,128,565
"Windham School District","=""1630011""",2734,603,3337
"Windsor Locks School District","=""1650011""",1346,226,1572
"Windsor School District","=""1640011""",2643,569,3212
"Wolcott School District","=""1660011""",2017,268,2285
"Woodbridge School District","=""1670011""",702,78,780
"Woodstock School District","=""1690011""",751,91,842
"Total","=""""",461871,77028,538899

