"Student Counts by District and Special Education Status"
"All Districts"
"2013-14"

"",,"Special Education Status",,
"New Beginnings Inc Family Academy District","=""2800013""",371,31,402
"New Britain School District","=""0890011""",8488,1648,10136
"New Canaan School District","=""0900011""",3813,379,4192
"New Fairfield School District","=""0910011""",2448,282,2730
"New Hartford School District","=""0920011""",485,60,545
"New Haven School District","=""0930011""",18925,2495,21420
"New London School District","=""0950011""",2544,571,3115
"New Milford School District","=""0960011""",3903,601,4504
"Newington School District","=""0940011""",3690,554,4244
"Newtown School District","=""0970011""",4480,440,4920
"Norfolk School District","=""0980011""",95,22,117
"North Branford School District","=""0990011""",1727,291,2018
"North Canaan School District","=""1000011""",251,44,295
"North Haven School District","=""1010011""",3039,363,3402
"North Stonington School District","=""1020011""",676,75,751
"Norwalk School District","=""1030011""",9894,1275,11169
"Norwich Free Academy District","=""9010022""",2046,278,2324
"Norwich School District","=""1040011""",3181,623,3804
"Odyssey Community School District","=""2630013""",298,27,325
"Old Saybrook School District","=""1060011""",1224,222,1446
"Orange School District","=""1070011""",1079,113,1192
"Oxford School District","=""1080011""",1832,221,2053
"Park City Prep Charter School District","=""2830013""",238,22,260
"Plainfield School District","=""1090011""",2160,302,2462
"Plainville School District","=""1100011""",1992,346,2338
"Plymouth School District","=""1110011""",1339,238,1577
"Pomfret School District","=""1120011""",380,46,426
"Portland School District","=""1130011""",1244,138,1382
"Preston School District","=""1140011""",365,68,433
"Putnam School District","=""1160011""",1063,202,1265
"Redding School District","=""1170011""",917,143,1060
"Regional School District 01","=""2010012""",373,59,432
"Regional School District 04","=""2040012""",842,141,983
"Regional School District 05","=""2050012""",2116,256,2372
"Regional School District 06","=""2060012""",860,136,996
"Regional School District 07","=""2070012""",1004,135,1139
"Regional School District 08","=""2080012""",1536,207,1743
"Regional School District 09","=""2090012""",958,124,1082
"Regional School District 10","=""2100012""",2319,258,2577
"Regional School District 11","=""2110012""",236,59,295
"Regional School District 12","=""2120012""",681,119,800
"Regional School District 13","=""2130012""",1592,283,1875
"Regional School District 14","=""2140012""",1704,201,1905
"Regional School District 15","=""2150012""",3500,502,4002
"Regional School District 16","=""2160012""",2045,307,2352
"Regional School District 17","=""2170012""",1936,345,2281
"Regional School District 18","=""2180012""",1243,168,1411
"Regional School District 19","=""2190012""",1011,194,1205
"Ridgefield School District","=""1180011""",4833,460,5293
"Rocky Hill School District","=""1190011""",2194,231,2425
"Salem School District","=""1210011""",388,47,435
"Salisbury School District","=""1220011""",247,33,280
"Scotland School District","=""1230011""",109,24,133
"Seymour School District","=""1240011""",2040,266,2306
"Sharon School District","=""1250011""",135,42,177
"Shelton School District","=""1260011""",4348,634,4982
"Sherman School District","=""1270011""",323,50,373
"Side By Side Charter School District","=""2700013""",222,13,235
"Simsbury School District","=""1280011""",3855,522,4377
"Somers School District","=""1290011""",1342,173,1515
"South Windsor School District","=""1320011""",3720,567,4287
"Southington School District","=""1310011""",5872,832,6704
"Sprague School District","=""1330011""",327,38,365
"Stafford School District","=""1340011""",1442,192,1634
"Stamford Academy District","=""2820013""",122,25,147
"Stamford School District","=""1350011""",14241,1686,15927
"Sterling School District","=""1360011""",420,65,485
"Stonington School District","=""1370011""",2018,302,2320
"Stratford School District","=""1380011""",6450,766,7216
"Suffield School District","=""1390011""",2157,272,2429
"The Bridge Academy District","=""2690013""",241,36,277
"The Gilbert School District","=""9020022""",457,80,537
"The Woodstock Academy District","=""9030022""",976,57,1033
"Thomaston School District","=""1400011""",809,141,950
"Thompson School District","=""1410011""",962,117,1079
"Tolland School District","=""1420011""",2416,316,2732
"Torrington School District","=""1430011""",3609,744,4353
"Trailblazers Academy District","=""2780013""",122,40,162
"Trumbull School District","=""1440011""",6206,618,6824
"Unified School District #1","=""3360015""",306,233,539
"Unified School District #2","=""3470015""",68,160,228
"Union School District","=""1450011""",68,10,78
"Vernon School District","=""1460011""",2888,462,3350
"Voluntown School District","=""1470011""",271,39,310
"Wallingford School District","=""1480011""",5382,726,6108
"Waterbury School District","=""1510011""",15516,3190,18706
"Waterford School District","=""1520011""",2230,342,2572
"Watertown School District","=""1530011""",2578,354,2932
"West Hartford School District","=""1550011""",8774,1145,9919
"West Haven School District","=""1560011""",5167,843,6010
"Westbrook School District","=""1540011""",746,93,839
"Weston School District","=""1570011""",2207,214,2421
"Westport School District","=""1580011""",5213,573,5786
"Wethersfield School District","=""1590011""",3247,480,3727
"Willington School District","=""1600011""",390,68,458
"Wilton School District","=""1610011""",3762,537,4299
"Winchester School District","=""1620011""",517,135,652
"Windham School District","=""1630011""",2764,509,3273
"Windsor Locks School District","=""1650011""",1473,214,1687
"Windsor School District","=""1640011""",2761,522,3283
"Wolcott School District","=""1660011""",2256,235,2491
"Woodbridge School District","=""1670011""",708,62,770
"Woodstock School District","=""1690011""",816,88,904
"Total","=""""",479434,70443,549877

