"Student Counts by District and Special Education Status"
"All Districts"
"2008-09"

"",,"Special Education Status",,
"Stamford Academy District","=""2820013""",110,21,131
"Stamford School District","=""1350011""",13487,1469,14956
"Sterling School District","=""1360011""",468,45,513
"Stonington School District","=""1370011""",2228,298,2526
"Stratford School District","=""1380011""",6632,735,7367
"Suffield School District","=""1390011""",2298,281,2579
"The Bridge Academy District","=""2690013""",229,33,262
"The Gilbert School District","=""9020022""",358,42,400
"The Woodstock Academy District","=""9030022""",1124,60,1184
"Thomaston School District","=""1400011""",1043,186,1229
"Thompson School District","=""1410011""",1267,139,1406
"Tolland School District","=""1420011""",2809,350,3159
"Torrington School District","=""1430011""",3986,772,4758
"Trailblazers Academy District","=""2780013""",120,30,150
"Trumbull School District","=""1440011""",6343,613,6956
"Unified School District #1","=""3360015""",605,413,1018
"Unified School District #2","=""3470015""",62,274,336
"Union School District","=""1450011""","*","*",79
"Vernon School District","=""1460011""",3214,392,3606
"Voluntown School District","=""1470011""",282,27,309
"Wallingford School District","=""1480011""",6018,810,6828
"Waterbury School District","=""1510011""",15592,2845,18437
"Waterford School District","=""1520011""",2585,315,2900
"Watertown School District","=""1530011""",2973,373,3346
"West Hartford School District","=""1550011""",8910,1219,10129
"West Haven School District","=""1560011""",5599,714,6313
"Westbrook School District","=""1540011""",882,88,970
"Weston School District","=""1570011""",2368,218,2586
"Westport School District","=""1580011""",5201,581,5782
"Wethersfield School District","=""1590011""",3443,389,3832
"Willington School District","=""1600011""",488,80,568
"Wilton School District","=""1610011""",3965,431,4396
"Winchester School District","=""1620011""",824,180,1004
"Windham School District","=""1630011""",2885,638,3523
"Windsor Locks School District","=""1650011""",1657,201,1858
"Windsor School District","=""1640011""",3512,492,4004
"Wolcott School District","=""1660011""",2584,281,2865
"Woodbridge School District","=""1670011""",684,72,756
"Woodstock School District","=""1690011""",842,88,930
"Total","=""""",502584,68464,571048

