"Student Counts by District and Special Education Status"
"All Districts"
"2019-20"

"",,"Special Education Status",,
"Thompson School District","=""1410011""",821,174,995
"Tolland School District","=""1420011""",2032,322,2354
"Torrington School District","=""1430011""",3092,765,3857
"Trumbull School District","=""1440011""",5956,852,6808
"Unified School District #1","=""3360015""",20,138,158
"Unified School District #2","=""3470015""",11,84,95
"Union School District","=""1450011""",37,9,46
"Vernon School District","=""1460011""",2607,544,3151
"Voluntown School District","=""1470011""",215,49,264
"Wallingford School District","=""1480011""",4782,911,5693
"Waterbury School District","=""1510011""",15170,3637,18807
"Waterford School District","=""1520011""",2043,426,2469
"Watertown School District","=""1530011""",2322,402,2724
"West Hartford School District","=""1550011""",8187,1315,9502
"West Haven School District","=""1560011""",4827,1038,5865
"Westbrook School District","=""1540011""",565,104,669
"Weston School District","=""1570011""",2024,266,2290
"Westport School District","=""1580011""",4640,704,5344
"Wethersfield School District","=""1590011""",3091,519,3610
"Willington School District","=""1600011""",355,84,439
"Wilton School District","=""1610011""",3266,604,3870
"Winchester School District","=""1620011""",453,122,575
"Windham School District","=""1630011""",2683,662,3345
"Windsor Locks School District","=""1650011""",1325,274,1599
"Windsor School District","=""1640011""",2678,667,3345
"Wolcott School District","=""1660011""",1903,293,2196
"Woodbridge School District","=""1670011""",750,91,841
"Woodstock School District","=""1690011""",716,108,824
"Total","=""""",443431,84398,527829

