"Student Counts by District and Special Education Status"
"All Districts"
"2012-13"

"",,"Special Education Status",,
"New Haven School District","=""0930011""",18775,2471,21246
"New London School District","=""0950011""",2546,561,3107
"New Milford School District","=""0960011""",4010,610,4620
"Newington School District","=""0940011""",3799,544,4343
"Newtown School District","=""0970011""",4743,416,5159
"Norfolk School District","=""0980011""",99,22,121
"North Branford School District","=""0990011""",1801,293,2094
"North Canaan School District","=""1000011""",273,42,315
"North Haven School District","=""1010011""",3185,352,3537
"North Stonington School District","=""1020011""",693,71,764
"Norwalk School District","=""1030011""",9922,1226,11148
"Norwich Free Academy District","=""9010022""",1993,271,2264
"Norwich School District","=""1040011""",3200,669,3869
"Odyssey Community School District","=""2630013""",293,31,324
"Old Saybrook School District","=""1060011""",1277,228,1505
"Orange School District","=""1070011""",1133,115,1248
"Oxford School District","=""1080011""",1944,159,2103
"Park City Prep Charter School District","=""2830013""",228,23,251
"Plainfield School District","=""1090011""",2183,324,2507
"Plainville School District","=""1100011""",2046,330,2376
"Plymouth School District","=""1110011""",1375,244,1619
"Pomfret School District","=""1120011""",422,54,476
"Portland School District","=""1130011""",1250,132,1382
"Preston School District","=""1140011""",350,65,415
"Putnam School District","=""1160011""",1080,193,1273
"Redding School District","=""1170011""",988,145,1133
"Regional School District 01","=""2010012""",371,53,424
"Regional School District 04","=""2040012""",858,136,994
"Regional School District 05","=""2050012""",2106,263,2369
"Regional School District 06","=""2060012""",898,136,1034
"Regional School District 07","=""2070012""",1013,133,1146
"Regional School District 08","=""2080012""",1564,212,1776
"Regional School District 09","=""2090012""",911,121,1032
"Regional School District 10","=""2100012""",2368,270,2638
"Regional School District 11","=""2110012""",229,61,290
"Regional School District 12","=""2120012""",727,116,843
"Regional School District 13","=""2130012""",1674,286,1960
"Regional School District 14","=""2140012""",1722,221,1943
"Regional School District 15","=""2150012""",3562,531,4093
"Regional School District 16","=""2160012""",2136,293,2429
"Regional School District 17","=""2170012""",1977,343,2320
"Regional School District 18","=""2180012""",1279,171,1450
"Regional School District 19","=""2190012""",1033,202,1235
"Ridgefield School District","=""1180011""",4839,457,5296
"Rocky Hill School District","=""1190011""",2248,222,2470
"Salem School District","=""1210011""",388,40,428
"Salisbury School District","=""1220011""",271,39,310
"Scotland School District","=""1230011""",104,23,127
"Seymour School District","=""1240011""",2044,250,2294
"Sharon School District","=""1250011""",150,38,188
"Shelton School District","=""1260011""",4544,586,5130
"Sherman School District","=""1270011""",323,61,384
"Side By Side Charter School District","=""2700013""",221,12,233
"Simsbury School District","=""1280011""",4038,515,4553
"Somers School District","=""1290011""",1415,171,1586
"South Windsor School District","=""1320011""",3765,556,4321
"Southington School District","=""1310011""",5909,831,6740
"Sprague School District","=""1330011""",341,32,373
"Stafford School District","=""1340011""",1538,189,1727
"Stamford Academy District","=""2820013""",123,15,138
"Stamford School District","=""1350011""",14278,1556,15834
"Sterling School District","=""1360011""",435,67,502
"Stonington School District","=""1370011""",2075,294,2369
"Stratford School District","=""1380011""",6522,717,7239
"Suffield School District","=""1390011""",2194,263,2457
"The Bridge Academy District","=""2690013""",236,40,276
"The Gilbert School District","=""9020022""",426,79,505
"The Woodstock Academy District","=""9030022""",1004,51,1055
"Thomaston School District","=""1400011""",876,141,1017
"Thompson School District","=""1410011""",1039,128,1167
"Tolland School District","=""1420011""",2537,320,2857
"Torrington School District","=""1430011""",3694,752,4446
"Trailblazers Academy District","=""2780013""",120,48,168
"Trumbull School District","=""1440011""",6304,633,6937
"Unified School District #1","=""3360015""",392,249,641
"Unified School District #2","=""3470015""",53,174,227
"Union School District","=""1450011""",63,"*","*"
"Vernon School District","=""1460011""",3031,446,3477
"Voluntown School District","=""1470011""",285,36,321
"Wallingford School District","=""1480011""",5501,791,6292
"Waterbury School District","=""1510011""",15442,3043,18485
"Waterford School District","=""1520011""",2317,325,2642
"Watertown School District","=""1530011""",2684,352,3036
"West Hartford School District","=""1550011""",8953,1125,10078
"West Haven School District","=""1560011""",5267,812,6079
"Westbrook School District","=""1540011""",777,100,877
"Weston School District","=""1570011""",2205,223,2428
"Westport School District","=""1580011""",5229,589,5818
"Wethersfield School District","=""1590011""",3250,453,3703
"Willington School District","=""1600011""",408,72,480
"Wilton School District","=""1610011""",3790,522,4312
"Winchester School District","=""1620011""",542,156,698
"Windham School District","=""1630011""",2712,511,3223
"Windsor Locks School District","=""1650011""",1554,207,1761
"Windsor School District","=""1640011""",2863,552,3415
"Wolcott School District","=""1660011""",2347,233,2580
"Woodbridge School District","=""1670011""",680,65,745
"Woodstock School District","=""1690011""",816,81,897
"Total","=""""",485314,69490,554804

