"Student Counts by District and Special Education Status"
"All Districts"
"2011-12"

"",,"Special Education Status",,
"Montville School District","=""0860011""",2288,287,2575
"Naugatuck School District","=""0880011""",3964,571,4535
"New Beginnings Inc Family Academy District","=""2800013""",339,22,361
"New Britain School District","=""0890011""",8665,1603,10268
"New Canaan School District","=""0900011""",3758,415,4173
"New Fairfield School District","=""0910011""",2572,306,2878
"New Hartford School District","=""0920011""",517,66,583
"New Haven School District","=""0930011""",18368,2281,20649
"New London School District","=""0950011""",2490,508,2998
"New Milford School District","=""0960011""",4063,625,4688
"Newington School District","=""0940011""",3836,542,4378
"Newtown School District","=""0970011""",4881,435,5316
"Norfolk School District","=""0980011""",101,23,124
"North Branford School District","=""0990011""",1918,269,2187
"North Canaan School District","=""1000011""",268,40,308
"North Haven School District","=""1010011""",3238,342,3580
"North Stonington School District","=""1020011""",703,78,781
"Norwalk School District","=""1030011""",10030,1153,11183
"Norwich Free Academy District","=""9010022""",2015,300,2315
"Norwich School District","=""1040011""",3253,630,3883
"Odyssey Community School District","=""2630013""",278,36,314
"Old Saybrook School District","=""1060011""",1366,205,1571
"Orange School District","=""1070011""",1143,130,1273
"Oxford School District","=""1080011""",2002,145,2147
"Park City Prep Charter School District","=""2830013""",234,23,257
"Plainfield School District","=""1090011""",2262,331,2593
"Plainville School District","=""1100011""",2088,336,2424
"Plymouth School District","=""1110011""",1420,245,1665
"Pomfret School District","=""1120011""",413,62,475
"Portland School District","=""1130011""",1246,126,1372
"Preston School District","=""1140011""",343,61,404
"Putnam School District","=""1160011""",1072,192,1264
"Redding School District","=""1170011""",1048,162,1210
"Regional School District 01","=""2010012""",408,59,467
"Regional School District 04","=""2040012""",827,136,963
"Regional School District 05","=""2050012""",2174,270,2444
"Regional School District 06","=""2060012""",907,138,1045
"Regional School District 07","=""2070012""",1005,158,1163
"Regional School District 08","=""2080012""",1571,221,1792
"Regional School District 09","=""2090012""",901,121,1022
"Regional School District 10","=""2100012""",2398,281,2679
"Regional School District 11","=""2110012""",235,65,300
"Regional School District 12","=""2120012""",766,123,889
"Regional School District 13","=""2130012""",1710,291,2001
"Regional School District 14","=""2140012""",1786,232,2018
"Regional School District 15","=""2150012""",3706,535,4241
"Regional School District 16","=""2160012""",2214,273,2487
"Regional School District 17","=""2170012""",2067,328,2395
"Regional School District 18","=""2180012""",1288,168,1456
"Regional School District 19","=""2190012""",1042,196,1238
"Ridgefield School District","=""1180011""",4945,434,5379
"Rocky Hill School District","=""1190011""",2319,220,2539
"Salem School District","=""1210011""",407,38,445
"Salisbury School District","=""1220011""",279,32,311
"Scotland School District","=""1230011""",108,24,132
"Seymour School District","=""1240011""",2060,250,2310
"Sharon School District","=""1250011""",152,39,191
"Shelton School District","=""1260011""",4690,555,5245
"Sherman School District","=""1270011""",334,64,398
"Side By Side Charter School District","=""2700013""",218,14,232
"Simsbury School District","=""1280011""",4168,522,4690
"Somers School District","=""1290011""",1458,164,1622
"South Windsor School District","=""1320011""",3865,530,4395
"Southington School District","=""1310011""",5982,763,6745
"Sprague School District","=""1330011""",344,36,380
"Stafford School District","=""1340011""",1646,184,1830
"Stamford Academy District","=""2820013""",108,30,138
"Stamford School District","=""1350011""",14112,1459,15571
"Sterling School District","=""1360011""",444,50,494
"Stonington School District","=""1370011""",2131,299,2430
"Stratford School District","=""1380011""",6592,708,7300
"Suffield School District","=""1390011""",2230,273,2503
"The Bridge Academy District","=""2690013""",239,37,276
"The Gilbert School District","=""9020022""",475,67,542
"The Woodstock Academy District","=""9030022""",1039,59,1098
"Thomaston School District","=""1400011""",925,139,1064
"Thompson School District","=""1410011""",1076,126,1202
"Tolland School District","=""1420011""",2656,320,2976
"Torrington School District","=""1430011""",3764,801,4565
"Trailblazers Academy District","=""2780013""",132,38,170
"Trumbull School District","=""1440011""",6357,602,6959
"Unified School District #1","=""3360015""",442,302,744
"Unified School District #2","=""3470015""",57,205,262
"Union School District","=""1450011""",65,9,74
"Vernon School District","=""1460011""",3146,444,3590
"Voluntown School District","=""1470011""",288,35,323
"Wallingford School District","=""1480011""",5617,818,6435
"Waterbury School District","=""1510011""",15288,2887,18175
"Waterford School District","=""1520011""",2392,319,2711
"Watertown School District","=""1530011""",2758,348,3106
"West Hartford School District","=""1550011""",9030,1117,10147
"West Haven School District","=""1560011""",5352,779,6131
"Westbrook School District","=""1540011""",840,88,928
"Weston School District","=""1570011""",2259,231,2490
"Westport School District","=""1580011""",5173,584,5757
"Wethersfield School District","=""1590011""",3279,432,3711
"Willington School District","=""1600011""",430,65,495
"Wilton School District","=""1610011""",3843,493,4336
"Winchester School District","=""1620011""",541,168,709
"Windham School District","=""1630011""",2730,541,3271
"Windsor Locks School District","=""1650011""",1550,213,1763
"Windsor School District","=""1640011""",2991,529,3520
"Wolcott School District","=""1660011""",2409,255,2664
"Woodbridge School District","=""1670011""",670,68,738
"Woodstock School District","=""1690011""",817,77,894
"Total","=""""",490455,67923,558378

