"NAME","S1901_C01_001E","S1901_C01_012E","S1901_C01_013E","state","county","county subdivision"
"Ledyard town, Southeastern Connecticut Planning Region, Connecticut","5567","94509","115616","09","180","42600"
"Lisbon town, Southeastern Connecticut Planning Region, Connecticut","1590","86932","103532","09","180","43230"
"Montville town, Southeastern Connecticut Planning Region, Connecticut","6596","84710","104726","09","180","48900"
"New London town, Southeastern Connecticut Planning Region, Connecticut","11125","56237","72393","09","180","52350"
"North Stonington town, Southeastern Connecticut Planning Region, Connecticut","2163","91932","109328","09","180","55500"
"Norwich town, Southeastern Connecticut Planning Region, Connecticut","17165","62713","82763","09","180","56270"
"Preston town, Southeastern Connecticut Planning Region, Connecticut","1786","103816","118978","09","180","62150"
"Salem town, Southeastern Connecticut Planning Region, Connecticut","1603","114434","143195","09","180","66210"
"Sprague town, Southeastern Connecticut Planning Region, Connecticut","1106","94464","107353","09","180","71670"
"Stonington town, Southeastern Connecticut Planning Region, Connecticut","8323","102174","137388","09","180","73770"
"Waterford town, Southeastern Connecticut Planning Region, Connecticut","8023","102906","119361","09","180","80280"
"Windham town, Southeastern Connecticut Planning Region, Connecticut","9307","54533","68426","09","180","86790"
"County subdivisions not defined, Western Connecticut Planning Region, Connecticut","0","-666666666","-666666666","09","190","00000"
"Bethel town, Western Connecticut Planning Region, Connecticut","7390","108382","144102","09","190","04720"
"Bridgewater town, Western Connecticut Planning Region, Connecticut","696","149643","231132","09","190","08210"
"Brookfield town, Western Connecticut Planning Region, Connecticut","6584","132950","166309","09","190","08980"
"Danbury town, Western Connecticut Planning Region, Connecticut","31692","79983","112609","09","190","18500"
"Darien town, Western Connecticut Planning Region, Connecticut","7116","250001","443894","09","190","18850"
"Greenwich town, Western Connecticut Planning Region, Connecticut","22662","185850","338010","09","190","33620"
"New Canaan town, Western Connecticut Planning Region, Connecticut","7025","250001","401410","09","190","50580"
"New Fairfield town, Western Connecticut Planning Region, Connecticut","4590","140844","161684","09","190","50860"
"New Milford town, Western Connecticut Planning Region, Connecticut","10775","98313","118495","09","190","52630"
"Newtown town, Western Connecticut Planning Region, Connecticut","9563","142039","182260","09","190","52980"
"Norwalk town, Western Connecticut Planning Region, Connecticut","35272","97879","144892","09","190","56060"
"Redding town, Western Connecticut Planning Region, Connecticut","3374","165391","226694","09","190","63480"
"Ridgefield town, Western Connecticut Planning Region, Connecticut","9191","169363","251329","09","190","63970"
"Sherman town, Western Connecticut Planning Region, Connecticut","1573","113490","209678","09","190","68310"
"Stamford town, Western Connecticut Planning Region, Connecticut","53520","100718","147572","09","190","73070"
"Weston town, Western Connecticut Planning Region, Connecticut","3549","220754","323338","09","190","83430"
"Westport town, Western Connecticut Planning Region, Connecticut","9725","242868","361677","09","190","83500"
"Wilton town, Western Connecticut Planning Region, Connecticut","6210","230545","314035","09","190","86370"
