District,District Code,fiscal_year,ppe_total,cpi_u,deflator,ppe_total_real
Norfolk School District,980011.0,2011,17869.0,224.923,1.431432090093054,25578.26001787278
Norfolk School District,980011.0,2012,20465.0,229.586,1.402359028860645,28699.277525633093
Norfolk School District,980011.0,2013,21364.0,232.952,1.3820958824135443,29527.09643188296
Norfolk School District,980011.0,2014,23327.0,236.715,1.3601250448851994,31727.636922037047
Norfolk School District,980011.0,2015,23250.0,237.002,1.3584779875275312,31584.6132100151
Norfolk School District,980011.0,2016,23863.0,240.005,1.3414803858252953,32011.746446949022
Norfolk School District,980011.0,2017,26409.0,245.121,1.3134819130143889,34687.74384079699
Norfolk School District,980011.0,2018,27291.0,251.1,1.282206292313819,34992.69192353644
Norfolk School District,980011.0,2019,26384.0,255.653,1.2593711006716135,33227.24712011985
Norfolk School District,980011.0,2020,32254.0,258.856,1.2437880520443798,40117.13983063943
Norfolk School District,980011.0,2021,29837.0,270.973,1.1881700390813843,35451.429456071266
Norfolk School District,980011.0,2022,36387.0,292.626,1.1002508321201807,40034.82702835702
Norfolk School District,980011.0,2023,37637.0,304.703,1.056642041594602,39768.83651949604
Norfolk School District,980011.0,2024,49304.0,313.698,1.026343808376209,50602.85512818061
Norfolk School District,980011.0,2025,46016.0,321.962,1.0,46016.0
North Branford School District,990011.0,2007,10612.0,207.344,1.5527914962574272,16478.223358283816
North Branford School District,990011.0,2008,11096.0,215.254,1.4957306252148626,16596.627017384115
North Branford School District,990011.0,2009,11561.0,214.565,1.5005336378253675,17347.669386899073
North Branford School District,990011.0,2010,12304.0,218.076,1.4763752086428583,18165.32056714173
North Branford School District,990011.0,2011,12893.0,224.923,1.431432090093054,18455.453937569742
North Branford School District,990011.0,2012,13424.0,229.586,1.402359028860645,18825.26760342529
North Branford School District,990011.0,2013,13897.0,232.952,1.3820958824135443,19206.986477901024
North Branford School District,990011.0,2014,14383.0,236.715,1.3601250448851994,19562.678520583824
North Branford School District,990011.0,2015,15242.0,237.002,1.3584779875275312,20705.921485894632
North Branford School District,990011.0,2016,16020.0,240.005,1.3414803858252953,21490.51578092123
North Branford School District,990011.0,2017,16470.0,245.121,1.3134819130143889,21633.04710734698
North Branford School District,990011.0,2018,17030.0,251.1,1.282206292313819,21835.973158104334
North Branford School District,990011.0,2019,18418.0,255.653,1.2593711006716135,23195.096932169778
North Branford School District,990011.0,2020,19031.0,258.856,1.2437880520443798,23670.530418456598
North Branford School District,990011.0,2021,20151.0,270.973,1.1881700390813843,23942.814457528973
North Branford School District,990011.0,2022,20717.0,292.626,1.1002508321201807,22793.896489033785
North Branford School District,990011.0,2023,22260.0,304.703,1.056642041594602,23520.85184589584
North Branford School District,990011.0,2024,23080.0,313.698,1.026343808376209,23688.015097322907
North Branford School District,990011.0,2025,22191.0,321.962,1.0,22191.0
