fiscal_year,lea_id,district,required_nss,actual_nss,foundation_budget,actual_to_required,actual_to_foundation
2024,196,Nahant,2998777.0,4920992.8,2954392.42,1.641,1.665653
2024,197,Nantucket,25201462.0,45306650.6,25201462.49,1.797779,1.797779
2024,198,Natick,65231071.0,100972040.7878,65231071.03382,1.547913,1.547913
2024,199,Needham,70773643.0,124242385.0195,70773642.888,1.755489,1.755489
2024,201,New Bedford,259908138.0,260229794.619231,259908138.26,1.001238,1.001238
2024,204,Newburyport,27448208.0,43701517.221132,27448207.99,1.592145,1.592145
2024,207,Newton,156764604.0,277271740.5845,156764603.61603,1.768714,1.768714
2024,208,Norfolk,12913097.0,17627958.8,11993145.444,1.365122,1.469836
2024,209,North Adams,21755056.0,25965210.369915,21755055.92,1.193525,1.193525
2024,210,Northampton,36035690.0,48737527.464346,35618666.02,1.352479,1.368314
2024,211,North Andover,57569717.0,74829410.611985,57569717.3,1.299805,1.299805
2024,212,North Attleborough,53477072.0,61714347.601685,51608133.33,1.154034,1.195826
2024,213,Northborough,19946645.0,32273120.429147,19538316.1,1.617972,1.651786
2024,214,Northbridge,30378737.0,30416701.718523,28109617.77,1.00125,1.082075
2024,215,North Brookfield,8281137.0,9415947.902713,8281136.67,1.137036,1.137036
2024,217,North Reading,30503504.0,45004401.207943,29062440.79226,1.475385,1.548542
2024,218,Norton,34108804.0,41071899.342214,29128867.22,1.204144,1.410007
2024,219,Norwell,25956169.0,38874078.789,25956168.80505,1.497682,1.497682
2024,220,Norwood,53483624.0,72655909.389054,53483623.86872,1.35847,1.35847
2024,221,Oak Bluffs,6470638.0,12793725.553125,6470637.93,1.977197,1.977197
2024,223,Orange,9212500.0,9298351.76044,9212499.92,1.009319,1.009319
2024,224,Orleans,2198644.0,5559484.24,2114047.88,2.528597,2.629782
2024,226,Oxford,21950127.0,23838982.0777,21950126.81,1.086052,1.086052
2024,227,Palmer,19001379.0,22331576.03247,19001379.49,1.175261,1.175261
2024,229,Peabody,91177549.0,100478838.142684,91177548.53,1.102013,1.102013
2024,230,Pelham,880195.0,2156083.0,858482.56,2.449552,2.511505
2024,231,Pembroke,37893263.0,43619869.017143,33926554.38199,1.151125,1.285715
2024,234,Petersham,1133843.0,1852670.8,1133842.72,1.633975,1.633975
2024,236,Pittsfield,92916030.0,107091643.353554,92916030.26,1.152564,1.152564
2024,238,Plainville,9149627.0,11680334.18288,8340185.27,1.276591,1.400489
2024,239,Plymouth,111949867.0,146064329.817966,111949866.57694,1.30473,1.30473
2024,240,Plympton,3146739.0,4603566.75,3146739.0944,1.462964,1.462964
2024,242,Provincetown,1715209.0,6207133.648,1708796.98,3.618879,3.632458
2024,243,Quincy,164068489.0,187630843.13023,164068488.81256,1.143613,1.143613
2024,244,Randolph,50608513.0,64816132.987817,50608513.30912,1.280736,1.280736
2024,246,Reading,48678959.0,64297079.23,46064559.29886,1.320839,1.395804
2024,248,Revere,147953763.581068,140864849.351,142967579.12336,0.952087,0.985292
2024,249,Richmond,1886554.0,3876181.56688,1653453.75,2.054636,2.344294
2024,250,Rochester,6254354.0,7469273.3625,6163095.86,1.194252,1.211935
2024,251,Rockland,34848972.0,40528473.266429,34848972.48256,1.162975,1.162975
2024,252,Rockport,8297650.0,17951959.746613,8129580.11886,2.163499,2.208227
2024,253,Rowe,766043.0,2163420.61,751366.82,2.82415,2.879313
2024,258,Salem,69935642.0,86937843.197672,69935642.15,1.243112,1.243112
2024,261,Sandwich,31640927.0,52888962.287929,29251950.23,1.671536,1.808049
2024,262,Saugus,42085454.0,46399798.365188,42085454.03,1.102514,1.102514
2024,263,Savoy,952223.0,1003224.9,576479.4,1.053561,1.740261
2024,264,Scituate,34295600.0,52757344.103,34295600.022,1.538312,1.538312
2024,265,Seekonk,25865535.0,36312559.058571,25865534.95,1.403897,1.403897
2024,266,Sharon,44179615.0,66882905.41,44179615.27148,1.513886,1.513886
2024,269,Sherborn,4712584.0,8828376.43509,4685609.03213,1.873362,1.884147
2024,271,Shrewsbury,78965302.0,98480040.720105,74633713.99,1.247131,1.319511
2024,272,Shutesbury,1466387.0,2626346.12782,1442294.22,1.791032,1.82095
2024,273,Somerset,21144660.0,29202125.60125,21144659.59,1.381064,1.381064
2024,274,Somerville,93142031.0,130458919.783494,88070540.9755,1.400645,1.4813
2024,275,Southampton,6932617.0,8037962.907222,6284662.0,1.159441,1.278981
2024,276,Southborough,14579611.0,27902868.2908,14230837.1264,1.913828,1.960733
2024,277,Southbridge,38095221.0,38971664.852747,38095220.9,1.023007,1.023007
2024,278,South Hadley,25928070.0,30668798.763975,25928069.82,1.182842,1.182842
2024,281,Springfield,525763854.810405,525763849.655322,525763852.88,1.0,1.0
2024,284,Stoneham,32165600.0,46557032.07665,32165599.71124,1.447417,1.447417
2024,285,Stoughton,56987020.0,68836932.7252,56987020.29598,1.207941,1.207941
2024,287,Sturbridge,10737440.0,14656049.6087,10737439.59,1.364948,1.364948
2024,288,Sudbury,28628096.0,51146124.4,28628096.43,1.786571,1.786571
2024,289,Sunderland,2451309.0,4049964.452,1946645.52,1.652164,2.080484
2024,290,Sutton,18420093.0,22659660.552191,16076441.03,1.23016,1.409495
2024,291,Swampscott,26012947.0,36963815.751371,26012947.4,1.420978,1.420978
2024,292,Swansea,26694463.0,30622416.782,26694462.58,1.147145,1.147145
2024,293,Taunton,131396476.0,135120374.773907,131396476.31,1.028341,1.028341
2024,295,Tewksbury,46367537.0,64176426.019634,41191248.02,1.384081,1.558011
2024,296,Tisbury,5475942.0,11859151.400614,5475942.18,2.165682,2.165682
2024,298,Topsfield,6737747.0,12650354.65,6737747.492,1.877535,1.877535
