District,District Code,fiscal_year,enrollment_total,n_black,n_hispanic,n_white,n_native_american,n_asian,n_two_or_more,n_pacific_islander,n_ell,n_free_lunch,n_reduced_lunch,n_sped,n_frpl,n_black_hispanic,pct_white,pct_black,pct_hispanic,pct_asian,pct_native_american,pct_two_or_more,pct_pacific_islander,pct_black_hispanic,pct_ell,pct_free_lunch,pct_frpl,pct_sped,pct_nonwhite
Sherman School District,1270011,2013,384.0,,7.0,359.0,,,11.0,0.0,,,,61.0,,10.0,93.48958333333334,,1.8229166666666667,,,2.864583333333333,0.0,2.604166666666667,,,,15.885416666666666,6.510416666666657
Side By Side Charter School District,2700013,2013,233.0,67.0,83.0,47.0,0.0,21.0,,,13.0,63.0,21.0,12.0,84.0,150.0,20.171673819742487,28.75536480686695,35.622317596566525,9.012875536480687,0.0,,,64.37768240343348,5.579399141630901,27.038626609442062,36.05150214592275,5.150214592274678,79.8283261802575
Simsbury School District,1280011,2013,4553.0,231.0,235.0,3801.0,0.0,246.0,40.0,0.0,50.0,295.0,82.0,515.0,377.0,466.0,83.48341752690533,5.073577860751153,5.1614320228420825,5.403030968592137,0.0,0.8785416209092906,0.0,10.235009883593236,1.0981770261366133,6.479244454206018,8.280254777070063,11.311223369207116,16.516582473094672
Somers School District,1290011,2013,1586.0,35.0,56.0,1442.0,,24.0,26.0,,7.0,42.0,58.0,171.0,100.0,91.0,90.92055485498108,2.2068095838587642,3.5308953341740232,1.5132408575031526,,1.639344262295082,,5.737704918032787,0.4413619167717529,2.648171500630517,6.305170239596469,10.781841109709962,9.079445145018923
South Windsor School District,1320011,2013,4321.0,244.0,319.0,3102.0,,504.0,134.0,,97.0,360.0,113.0,556.0,473.0,563.0,71.78893774589216,5.646841009025688,7.38255033557047,11.66396667438093,,3.101133996760009,,13.029391344596158,2.244850728997917,8.33140476741495,10.94654015274242,12.867391807451977,28.211062254107844
Southington School District,1310011,2013,6740.0,132.0,366.0,5861.0,,203.0,165.0,,123.0,739.0,221.0,831.0,960.0,498.0,86.95845697329378,1.9584569732937687,5.43026706231454,3.0118694362017804,,2.4480712166172105,,7.388724035608309,1.824925816023739,10.96439169139466,14.243323442136498,12.329376854599406,13.041543026706222
Sprague School District,1330011,2013,373.0,7.0,46.0,285.0,,,33.0,0.0,,125.0,28.0,32.0,153.0,53.0,76.40750670241286,1.876675603217158,12.332439678284182,,,8.847184986595174,0.0,14.209115281501342,,33.51206434316354,41.01876675603217,8.579088471849866,23.59249329758714
Stafford School District,1340011,2013,1727.0,16.0,87.0,1556.0,,21.0,36.0,,11.0,390.0,111.0,189.0,501.0,103.0,90.09843659525188,0.9264620729588882,5.037637521713955,1.2159814707585408,,2.0845396641574987,,5.9640995946728435,0.6369426751592357,22.5825130283729,29.009843659525185,10.943833236826867,9.901563404748117
Stamford Academy District,2820013,2013,138.0,79.0,51.0,,0.0,,,0.0,0.0,124.0,,15.0,124.0,130.0,,57.2463768115942,36.95652173913043,,0.0,,0.0,94.20289855072464,0.0,89.85507246376811,89.85507246376811,10.869565217391305,
Stamford School District,1350011,2013,15834.0,3118.0,5763.0,5445.0,,1345.0,154.0,,2009.0,6543.0,1339.0,1556.0,7882.0,8881.0,34.38802576733611,19.69180245042314,36.396362258431225,8.494379184034356,,0.9725906277630416,,56.08816470885436,12.68788682581786,41.32247063281546,49.778956675508404,9.826954654540861,65.6119742326639
Sterling School District,1360011,2013,502.0,,20.0,458.0,,,15.0,0.0,0.0,137.0,22.0,67.0,159.0,23.0,91.23505976095618,,3.9840637450199203,,,2.9880478087649402,0.0,4.581673306772909,0.0,27.290836653386453,31.673306772908365,13.346613545816732,8.764940239043824
Stonington School District,1370011,2013,2369.0,56.0,82.0,2125.0,,78.0,23.0,,13.0,353.0,103.0,294.0,456.0,138.0,89.7002954833263,2.3638666103841284,3.4613761080624736,3.292528493035036,,0.9708737864077669,,5.825242718446602,0.5487547488391726,14.90080202617138,19.248628113127904,12.410299704516675,10.2997045166737
Stratford School District,1380011,2013,7239.0,1535.0,1897.0,3398.0,,216.0,176.0,,282.0,2211.0,874.0,717.0,3085.0,3432.0,46.94018510844039,21.20458626882166,26.205276971957453,2.983837546622462,,2.4312750379886725,,47.40986324077912,3.8955656858682137,30.542892664732697,42.616383478380996,9.90468296726067,53.05981489155961
Suffield School District,1390011,2013,2457.0,92.0,112.0,2174.0,,63.0,,0.0,12.0,192.0,75.0,263.0,267.0,204.0,88.48188848188848,3.7444037444037446,4.5584045584045585,2.564102564102564,,,0.0,8.302808302808302,0.4884004884004884,7.814407814407814,10.866910866910867,10.704110704110704,11.518111518111525
The Bridge Academy District,2690013,2013,276.0,148.0,104.0,,,,17.0,,,162.0,61.0,40.0,223.0,252.0,,53.62318840579711,37.68115942028986,,,6.159420289855073,,91.30434782608695,,58.69565217391305,80.79710144927536,14.492753623188406,
The Gilbert School District,9020022,2013,505.0,14.0,62.0,394.0,,,24.0,0.0,17.0,159.0,59.0,79.0,218.0,76.0,78.01980198019803,2.7722772277227725,12.277227722772277,,,4.752475247524752,0.0,15.049504950495049,3.3663366336633667,31.485148514851485,43.16831683168317,15.643564356435643,21.980198019801975
The Woodstock Academy District,9030022,2013,1055.0,,32.0,926.0,,70.0,15.0,0.0,,0.0,41.0,51.0,41.0,35.0,87.77251184834122,,3.033175355450237,6.6350710900473935,,1.4218009478672986,0.0,3.3175355450236967,,0.0,3.886255924170616,4.834123222748815,12.227488151658775
Thomaston School District,1400011,2013,1017.0,8.0,24.0,959.0,,11.0,12.0,,,144.0,64.0,141.0,208.0,32.0,94.29695181907572,0.7866273352999017,2.359882005899705,1.0816125860373649,,1.1799410029498525,,3.146509341199607,,14.15929203539823,20.45231071779744,13.864306784660767,5.703048180924284
Thompson School District,1410011,2013,1167.0,,34.0,1088.0,,,35.0,0.0,0.0,301.0,93.0,128.0,394.0,37.0,93.23050556983719,,2.9134532990574122,,,2.999143101970865,0.0,3.1705227077977725,0.0,25.79263067694944,33.7617823479006,10.968294772922023,6.769494430162808
Tolland School District,1420011,2013,2857.0,42.0,70.0,2630.0,7.0,105.0,,,21.0,115.0,43.0,320.0,158.0,112.0,92.05460273013651,1.4700735036751837,2.4501225061253065,3.6751837591879597,0.2450122506125306,,,3.9201960098004895,0.7350367518375919,4.025201260063003,5.530276513825691,11.2005600280014,7.945397269863491
Torrington School District,1430011,2013,4446.0,190.0,838.0,3109.0,11.0,154.0,138.0,6.0,315.0,1694.0,366.0,752.0,2060.0,1028.0,69.92802519118308,4.273504273504273,18.848403058929375,3.4637876743139904,0.24741340530814215,3.1039136302294197,0.1349527665317139,23.121907332433647,7.08502024291498,38.10166441745389,46.333783175888435,16.91408007197481,30.07197480881692
Trailblazers Academy District,2780013,2013,168.0,91.0,70.0,7.0,0.0,0.0,0.0,0.0,0.0,130.0,17.0,48.0,147.0,161.0,4.166666666666666,54.166666666666664,41.66666666666667,0.0,0.0,0.0,0.0,95.83333333333334,0.0,77.38095238095238,87.5,28.57142857142857,95.83333333333333
Trumbull School District,1440011,2013,6937.0,302.0,548.0,5575.0,,480.0,17.0,,112.0,407.0,208.0,633.0,615.0,850.0,80.36615251549661,4.353466916534525,7.8996684445725815,6.919417615684013,,0.24506270722214216,,12.253135361107107,1.6145307769929365,5.867089519965403,8.86550382009514,9.124981980683293,19.63384748450339
Unified School District #1,3360015,2013,641.0,341.0,204.0,82.0,,,11.0,0.0,0.0,641.0,0.0,249.0,641.0,545.0,12.792511700468017,53.198127925117,31.825273010920434,,,1.71606864274571,0.0,85.02340093603745,0.0,100.0,100.0,38.84555382215289,87.20748829953199
Unified School District #2,3470015,2013,227.0,87.0,65.0,64.0,,,,0.0,,192.0,0.0,174.0,192.0,152.0,28.193832599118945,38.32599118942731,28.634361233480178,,,,0.0,66.96035242290749,,84.58149779735683,84.58149779735683,76.65198237885463,71.80616740088105
Union School District,1450011,2013,,,,68.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,
Vernon School District,1460011,2013,3477.0,463.0,413.0,2369.0,9.0,169.0,54.0,0.0,69.0,1106.0,166.0,446.0,1272.0,876.0,68.13344837503595,13.316077077940752,11.87805579522577,4.860511935576647,0.2588438308886971,1.553062985332183,0.0,25.194132873166524,1.984469370146678,31.80903077365545,36.5832614322692,12.82714984181766,31.866551624964046
Voluntown School District,1470011,2013,321.0,7.0,11.0,284.0,,,14.0,0.0,0.0,52.0,28.0,36.0,80.0,18.0,88.47352024922118,2.1806853582554515,3.4267912772585665,,,4.361370716510903,0.0,5.607476635514018,0.0,16.1993769470405,24.922118380062305,11.214953271028037,11.526479750778819
Wallingford School District,1480011,2013,6292.0,148.0,893.0,4908.0,,307.0,22.0,,270.0,893.0,206.0,791.0,1099.0,1041.0,78.00381436745073,2.3521932612841705,14.19262555626192,4.879211697393516,,0.34965034965034963,,16.54481881754609,4.291163382072473,14.19262555626192,17.466624284806105,12.571519389701209,21.99618563254927
Waterbury School District,1510011,2013,18485.0,4564.0,8935.0,4038.0,75.0,319.0,544.0,10.0,2061.0,13504.0,1478.0,3043.0,14982.0,13499.0,21.844738977549362,24.69028942385718,48.33648904517176,1.7257235596429537,0.4057343792263998,2.942926697322153,0.054097917230186636,73.02677846902894,11.149580741141465,73.05382742764404,81.04949959426561,16.461996213145795,78.15526102245065
Waterford School District,1520011,2013,2642.0,113.0,208.0,2110.0,25.0,147.0,39.0,0.0,35.0,306.0,113.0,325.0,419.0,321.0,79.86373959121877,4.277062831188493,7.872823618470856,5.563966691900076,0.9462528387585163,1.4761544284632853,0.0,12.149886449659348,1.3247539742619228,11.58213474640424,15.859197577592731,12.301286903860712,20.136260408781226
Watertown School District,1530011,2013,3036.0,65.0,202.0,2615.0,8.0,71.0,75.0,0.0,76.0,446.0,178.0,352.0,624.0,267.0,86.133069828722,2.140974967061924,6.653491436100131,2.3386034255599473,0.2635046113306983,2.4703557312252964,0.0,8.794466403162057,2.503293807641634,14.69038208168643,20.55335968379447,11.594202898550725,13.866930171278
West Hartford School District,1550011,2013,10078.0,877.0,1568.0,6184.0,,1123.0,298.0,,518.0,1560.0,458.0,1125.0,2018.0,2445.0,61.36138122643382,8.702123437189918,15.558642587815042,11.143083945227229,,2.956935899980155,,24.260766025004962,5.139908712046041,15.479261758285373,20.0238142488589,11.162929152609644,38.63861877356618
West Haven School District,1560011,2013,6079.0,1321.0,1915.0,2391.0,,210.0,232.0,,665.0,2661.0,458.0,812.0,3119.0,3236.0,39.332126994571475,21.730547787465042,31.50189175851291,3.4545155453199543,,3.8164171738772823,,53.23243954597796,10.93929922684652,43.77364698141142,51.30778088501399,13.357460108570487,60.667873005428525
Westbrook School District,1540011,2013,877.0,,61.0,783.0,,17.0,10.0,0.0,24.0,96.0,16.0,100.0,112.0,64.0,89.28164196123147,,6.955530216647662,1.9384264538198404,,1.1402508551881414,0.0,7.297605473204105,2.7366020524515395,10.946408209806158,12.770809578107183,11.402508551881414,10.718358038768528
Weston School District,1570011,2013,2428.0,,74.0,2171.0,,82.0,62.0,0.0,8.0,20.0,17.0,223.0,37.0,77.0,89.41515650741351,,3.047775947281713,3.3772652388797364,,2.5535420098846786,0.0,3.1713344316309717,0.3294892915980231,0.8237232289950577,1.5238879736408566,9.184514003294893,10.584843492586486
Westport School District,1580011,2013,5818.0,92.0,228.0,5102.0,,294.0,97.0,,58.0,174.0,39.0,589.0,213.0,320.0,87.6933654176693,1.581299415606738,3.9188724647645237,5.0532829150910965,,1.6672396012375388,,5.500171880371261,0.9969061533172912,2.9907184599518737,3.661051907872121,10.123753867308354,12.306634582330702
Wethersfield School District,1590011,2013,3703.0,167.0,538.0,2753.0,,172.0,62.0,,164.0,513.0,204.0,453.0,717.0,705.0,74.34512557385902,4.509856872805833,14.528760464488252,4.644882527680259,,1.674318120442884,,19.038617337294088,4.428841479881177,13.853632190116121,19.36267890899271,12.233324331623008,25.654874426140978
Willington School District,1600011,2013,480.0,6.0,27.0,430.0,0.0,,11.0,,,61.0,10.0,72.0,71.0,33.0,89.58333333333334,1.25,5.625,,0.0,2.2916666666666665,,6.875000000000001,,12.708333333333332,14.791666666666666,15.0,10.416666666666657
Wilton School District,1610011,2013,4312.0,64.0,124.0,3762.0,,304.0,53.0,,26.0,61.0,16.0,522.0,77.0,188.0,87.24489795918367,1.4842300556586272,2.87569573283859,7.050092764378478,,1.2291280148423005,,4.3599257884972165,0.6029684601113172,1.414656771799629,1.7857142857142856,12.105751391465677,12.755102040816325
Winchester School District,1620011,2013,698.0,19.0,46.0,627.0,,,,0.0,18.0,355.0,64.0,156.0,419.0,65.0,89.82808022922636,2.722063037249284,6.59025787965616,,,,0.0,9.312320916905444,2.5787965616045847,50.85959885386819,60.02865329512894,22.349570200573066,10.171919770773641
Windham School District,1630011,2013,3223.0,136.0,2144.0,831.0,16.0,26.0,70.0,0.0,775.0,2198.0,235.0,511.0,2433.0,2280.0,25.783431585479367,4.219671113869066,66.52187403040645,0.8067018305926157,0.49643189574930185,2.171889543903196,0.0,70.74154514427552,24.04591995035681,68.19733167856035,75.48867514737822,15.854793670493327,74.21656841452064
Windsor Locks School District,1650011,2013,1761.0,151.0,164.0,1219.0,,155.0,64.0,,54.0,496.0,135.0,207.0,631.0,315.0,69.22203293583192,8.574673480976717,9.312890403180011,8.801817149346961,,3.634298693923907,,17.88756388415673,3.0664395229982966,28.16581487791028,35.83191368540602,11.754684838160136,30.77796706416808
Windsor School District,1640011,2013,3415.0,1595.0,494.0,1021.0,,157.0,140.0,,120.0,868.0,293.0,552.0,1161.0,2089.0,29.897510980966324,46.705710102489014,14.46559297218155,4.597364568081992,,4.099560761346998,,61.17130307467057,3.513909224011713,25.41727672035139,33.997071742313324,16.16398243045388,70.10248901903367
Wolcott School District,1660011,2013,2580.0,51.0,107.0,2290.0,,49.0,78.0,,35.0,380.0,182.0,233.0,562.0,158.0,88.75968992248062,1.9767441860465116,4.147286821705427,1.8992248062015504,,3.0232558139534884,,6.124031007751938,1.3565891472868217,14.728682170542637,21.782945736434108,9.031007751937985,11.240310077519382
Woodbridge School District,1670011,2013,745.0,26.0,39.0,548.0,,111.0,12.0,,15.0,25.0,16.0,65.0,41.0,65.0,73.55704697986577,3.48993288590604,5.23489932885906,14.899328859060404,,1.6107382550335572,,8.724832214765101,2.013422818791946,3.3557046979865772,5.503355704697987,8.724832214765101,26.442953020134226
Woodstock School District,1690011,2013,897.0,,28.0,834.0,0.0,,23.0,0.0,,84.0,23.0,81.0,107.0,31.0,92.97658862876254,,3.121516164994426,,0.0,2.564102564102564,0.0,3.455964325529543,,9.364548494983277,11.928651059085842,9.03010033444816,7.023411371237458
Achievement First Bridgeport Academy District,2850013,2014,835.0,469.0,341.0,10.0,,,7.0,0.0,101.0,552.0,107.0,58.0,659.0,810.0,1.1976047904191618,56.16766467065868,40.83832335329342,,,0.8383233532934131,0.0,97.0059880239521,12.095808383233534,66.10778443113773,78.92215568862275,6.946107784431138,98.80239520958084
Achievement First Hartford Academy District,2880013,2014,870.0,720.0,136.0,,,,10.0,,30.0,,0.0,77.0,0.0,856.0,,82.75862068965517,15.632183908045977,,,1.1494252873563218,,98.39080459770115,3.4482758620689653,,0.0,8.85057471264368,
Amistad Academy District,2790013,2014,937.0,561.0,343.0,,,0.0,17.0,0.0,102.0,705.0,87.0,51.0,792.0,904.0,,59.87193169690501,36.60618996798292,0.0,,1.814300960512273,0.0,96.47812166488794,10.88580576307364,75.2401280683031,84.52508004268944,5.44290288153682,
Andover School District,0010011,2014,299.0,,12.0,274.0,0.0,,7.0,0.0,,,,22.0,,15.0,91.63879598662207,,4.013377926421405,,0.0,2.341137123745819,0.0,5.016722408026756,,,,7.357859531772576,8.361204013377929
Ansonia School District,0020011,2014,2338.0,431.0,708.0,1086.0,6.0,40.0,48.0,19.0,84.0,1257.0,287.0,318.0,1544.0,1139.0,46.44995722840034,18.434559452523523,30.28229255774166,1.7108639863130881,0.2566295979469632,2.0530367835757057,0.8126603934987169,48.716852010265185,3.592814371257485,53.76390076988879,66.0393498716852,13.60136869118905,53.55004277159966
Area Cooperative Educational Services,2440014,2014,1933.0,566.0,569.0,661.0,,77.0,,0.0,46.0,913.0,180.0,734.0,1093.0,1135.0,34.19555095706156,29.28091050181066,29.436109674081738,3.983445421624418,,,0.0,58.7170201758924,2.379720641489912,47.23228142783238,56.54423176409726,37.97206414899121,65.80444904293844
Ashford School District,0030011,2014,424.0,,26.0,384.0,0.0,,7.0,0.0,6.0,107.0,19.0,50.0,126.0,29.0,90.56603773584906,,6.132075471698113,,0.0,1.650943396226415,0.0,6.839622641509433,1.4150943396226416,25.235849056603776,29.71698113207547,11.79245283018868,9.433962264150935
Avon School District,0040011,2014,3387.0,125.0,206.0,2565.0,,369.0,113.0,,46.0,158.0,46.0,354.0,204.0,331.0,75.73073516386182,3.690581635665781,6.082078535577207,10.894596988485384,,3.3362857986418657,,9.772660171242988,1.3581340419250074,4.664895187481547,6.023029229406554,10.45172719220549,24.269264836138177
Barkhamsted School District,0050011,2014,307.0,,,298.0,0.0,,,0.0,,13.0,11.0,44.0,24.0,,97.06840390879479,,,,0.0,,0.0,,,4.234527687296417,7.81758957654723,14.332247557003258,2.9315960912052077
Berlin School District,0070011,2014,2963.0,69.0,256.0,2465.0,,90.0,79.0,,74.0,354.0,66.0,314.0,420.0,325.0,83.19271009112386,2.328720890988863,8.639892001349983,3.0374620317246035,,2.6662166722915965,,10.968612892338845,2.4974687816402295,11.947350658116774,14.174822814714815,10.597367532905839,16.807289908876143
Bethany School District,0080011,2014,436.0,11.0,10.0,369.0,,43.0,,0.0,0.0,15.0,6.0,57.0,21.0,21.0,84.63302752293578,2.522935779816514,2.293577981651376,9.862385321100918,,,0.0,4.81651376146789,0.0,3.4403669724770642,4.81651376146789,13.073394495412844,15.366972477064223
Bethel School District,0090011,2014,3000.0,,416.0,2254.0,0.0,193.0,75.0,,73.0,405.0,150.0,325.0,555.0,419.0,75.13333333333333,,13.866666666666665,6.433333333333334,0.0,2.5,,13.966666666666667,2.433333333333333,13.5,18.5,10.833333333333334,24.866666666666674
Bloomfield School District,0110011,2014,2096.0,1547.0,224.0,236.0,,34.0,50.0,,29.0,880.0,198.0,243.0,1078.0,1771.0,11.259541984732824,73.80725190839695,10.687022900763358,1.6221374045801527,,2.385496183206107,,84.4942748091603,1.383587786259542,41.98473282442748,51.43129770992366,11.59351145038168,88.74045801526718
Bolton School District,0120011,2014,869.0,49.0,36.0,744.0,0.0,24.0,16.0,0.0,7.0,105.0,13.0,89.0,118.0,85.0,85.6156501726122,5.638665132336018,4.1426927502876865,2.761795166858458,0.0,1.8411967779056386,0.0,9.781357882623706,0.805523590333717,12.082853855005753,13.578826237054084,10.241657077100115,14.384349827387794
Bozrah School District,0130011,2014,244.0,14.0,16.0,207.0,,,,,,51.0,15.0,30.0,66.0,30.0,84.8360655737705,5.737704918032787,6.557377049180328,,,,,12.295081967213115,,20.901639344262296,27.049180327868854,12.295081967213115,15.163934426229503
Branford School District,0140011,2014,3245.0,101.0,272.0,2547.0,,248.0,,0.0,103.0,577.0,182.0,412.0,759.0,373.0,78.4899845916795,3.1124807395993837,8.382126348228043,7.6425269645608624,,,0.0,11.494607087827427,3.174114021571649,17.78120184899846,23.389830508474578,12.696456086286595,21.5100154083205
Brass City Charter School District,2900013,2014,115.0,35.0,47.0,20.0,0.0,,,0.0,0.0,60.0,13.0,,73.0,82.0,17.391304347826086,30.434782608695656,40.869565217391305,,0.0,,0.0,71.30434782608695,0.0,52.17391304347826,63.47826086956522,,82.6086956521739
Bridgeport School District,0150011,2014,20929.0,7856.0,10191.0,2112.0,75.0,581.0,93.0,21.0,2696.0,20755.0,145.0,2782.0,20900.0,18047.0,10.09126092981031,37.53643270103684,48.693200821826174,2.77605236752831,0.358354436427923,0.4443595011706245,0.10033924219981843,86.22963352286301,12.881647474795738,99.16861770748721,99.8614362845812,13.292560561899755,89.90873907018968
Bristol School District,0170011,2014,8268.0,550.0,1743.0,5453.0,,266.0,242.0,,317.0,3107.0,608.0,1334.0,3715.0,2293.0,65.95307208514755,6.652152878567972,21.081277213352685,3.217223028543783,,2.926947266569908,,27.733430091920656,3.8340590227382685,37.57861635220126,44.932268988872764,16.134494436381228,34.046927914852446
Brookfield School District,0180011,2014,2771.0,49.0,166.0,2362.0,10.0,177.0,,,43.0,187.0,51.0,318.0,238.0,215.0,85.23998556477805,1.7683146878383256,5.990617105738001,6.387585709130278,0.36088054853843377,,,7.758931793576326,1.5517863587152654,6.748466257668712,8.588957055214724,11.476001443522193,14.760014435221947
Brooklyn School District,0190011,2014,926.0,13.0,62.0,798.0,,19.0,30.0,,8.0,220.0,24.0,104.0,244.0,75.0,86.17710583153347,1.4038876889848813,6.695464362850973,2.0518358531317493,,3.2397408207343417,,8.099352051835854,0.8639308855291578,23.758099352051836,26.34989200863931,11.23110151187905,13.822894168466533
Canaan School District,0210011,2014,,0.0,,67.0,0.0,0.0,,0.0,,,0.0,,0.0,3.0,,,,,,,,,,,,,
Canterbury School District,0220011,2014,464.0,,21.0,419.0,0.0,0.0,,0.0,,81.0,29.0,51.0,110.0,24.0,90.30172413793103,,4.525862068965517,0.0,0.0,,0.0,5.172413793103448,,17.45689655172414,23.70689655172414,10.991379310344827,9.698275862068968
Canton School District,0230011,2014,1700.0,76.0,95.0,1459.0,,45.0,,0.0,12.0,136.0,28.0,167.0,164.0,171.0,85.82352941176471,4.470588235294118,5.588235294117648,2.6470588235294117,,,0.0,10.058823529411764,0.7058823529411765,8.0,9.647058823529411,9.823529411764707,14.17647058823529
Capitol Region Education Council,2410014,2014,7177.0,2045.0,2084.0,2339.0,,440.0,243.0,,221.0,2588.0,631.0,1082.0,3219.0,4129.0,32.59021875435419,28.49379963773164,29.037202173610144,6.130695276577958,,3.3858158004737358,,57.53100181134179,3.0792810366448373,36.05963494496308,44.8516093075101,15.075937021039431,67.4097812456458
Chaplin School District,0240011,2014,183.0,,12.0,159.0,0.0,,9.0,0.0,,53.0,15.0,23.0,68.0,15.0,86.88524590163934,,6.557377049180328,,0.0,4.918032786885246,0.0,8.19672131147541,,28.96174863387978,37.15846994535519,12.568306010928962,13.114754098360663
Cheshire School District,0250011,2014,4620.0,128.0,180.0,3843.0,11.0,434.0,24.0,0.0,30.0,255.0,75.0,485.0,330.0,308.0,83.18181818181817,2.7705627705627704,3.896103896103896,9.393939393939393,0.2380952380952381,0.5194805194805194,0.0,6.666666666666667,0.6493506493506493,5.51948051948052,7.142857142857142,10.497835497835498,16.818181818181827
Chester School District,0260011,2014,228.0,,,209.0,0.0,,8.0,0.0,0.0,,,34.0,,,91.66666666666666,,,,0.0,3.508771929824561,0.0,,0.0,,,14.912280701754385,8.333333333333343
Clinton School District,0270011,2014,1961.0,15.0,202.0,1648.0,,49.0,38.0,,65.0,341.0,73.0,205.0,414.0,217.0,84.03875573686894,0.7649158592554819,10.30086690464049,2.498725140234574,,1.9377868434472207,,11.065782763895973,3.314635390107088,17.389087200407953,21.1116777154513,10.453850076491586,15.961244263131064
Colchester School District,0280011,2014,2744.0,68.0,140.0,2412.0,,57.0,47.0,,22.0,346.0,82.0,373.0,428.0,208.0,87.90087463556851,2.478134110787172,5.1020408163265305,2.077259475218659,,1.7128279883381923,,7.580174927113703,0.8017492711370262,12.609329446064141,15.597667638483964,13.5932944606414,12.099125364431487
Colebrook School District,0290011,2014,99.0,0.0,,87.0,0.0,0.0,,0.0,0.0,,,15.0,,3.0,87.87878787878788,0.0,,0.0,0.0,,0.0,3.0303030303030303,0.0,,,15.151515151515152,12.121212121212125
Columbia School District,0300011,2014,474.0,6.0,24.0,436.0,0.0,,,0.0,0.0,,,53.0,,30.0,91.9831223628692,1.2658227848101267,5.063291139240507,,0.0,,0.0,6.329113924050633,0.0,,,11.181434599156118,8.016877637130804
Common Ground High School District,2680013,2014,180.0,58.0,75.0,39.0,0.0,,,0.0,,90.0,13.0,31.0,103.0,133.0,21.666666666666668,32.22222222222222,41.66666666666667,,0.0,,0.0,73.88888888888889,,50.0,57.22222222222222,17.22222222222222,78.33333333333333
Connecticut Technical Education and Career System,9000016,2014,10698.0,1360.0,3511.0,5353.0,47.0,95.0,323.0,9.0,287.0,4042.0,835.0,880.0,4877.0,4871.0,50.037390166386245,12.712656571321743,32.819218545522524,0.88801645167321,0.4393344550383249,3.0192559356889137,0.08412787436904094,45.531875116844276,2.68274443821275,37.782763133295944,45.58796036642363,8.22583660497289,49.962609833613755
Cooperative Educational Services,2430014,2014,822.0,239.0,247.0,281.0,0.0,32.0,,,0.0,162.0,76.0,341.0,238.0,486.0,34.18491484184915,29.075425790754256,30.04866180048662,3.8929440389294405,0.0,,,59.12408759124088,0.0,19.708029197080293,28.953771289537713,41.48418491484185,65.81508515815085
Cornwall School District,0310011,2014,105.0,,9.0,87.0,0.0,,6.0,0.0,,22.0,0.0,17.0,22.0,12.0,82.85714285714286,,8.571428571428571,,0.0,5.714285714285714,0.0,11.428571428571429,,20.952380952380953,20.952380952380953,16.19047619047619,17.14285714285714
Coventry School District,0320011,2014,1693.0,,79.0,1522.0,,16.0,58.0,0.0,,253.0,49.0,220.0,302.0,82.0,89.89958653278204,,4.666272888363851,0.9450679267572357,,3.4258712344949793,0.0,4.843473124630833,,14.94388659184879,17.838157117542824,12.99468399291199,10.100413467217962
Cromwell School District,0330011,2014,1968.0,172.0,153.0,1502.0,,120.0,15.0,,47.0,235.0,84.0,209.0,319.0,325.0,76.3211382113821,8.739837398373984,7.774390243902439,6.097560975609756,,0.7621951219512195,,16.51422764227642,2.388211382113821,11.941056910569106,16.209349593495933,10.619918699186993,23.678861788617894
Danbury School District,0340011,2014,10793.0,829.0,4594.0,4321.0,9.0,765.0,269.0,6.0,2199.0,4398.0,1373.0,1268.0,5771.0,5423.0,40.03520800518855,7.680904289817474,42.56462522005003,7.0879273603261375,0.08338738070971927,2.4923561567682757,0.05559158713981284,50.2455295098675,20.374316686741405,40.74863337348281,53.46984156397665,11.748355415547113,59.96479199481145
Darien School District,0350011,2014,4929.0,25.0,185.0,4498.0,9.0,182.0,30.0,0.0,15.0,22.0,17.0,557.0,39.0,210.0,91.25583282613105,0.5072022722661798,3.7532968147697297,3.6924325420977886,0.18259281801582472,0.6086427267194157,0.0,4.26049908703591,0.30432136335970783,0.44633799959423814,0.7912355447352405,11.300466626090484,8.744167173868945
Deep River School District,0360011,2014,333.0,,28.0,295.0,0.0,,,0.0,14.0,39.0,11.0,43.0,50.0,31.0,88.58858858858859,,8.408408408408409,,0.0,,0.0,9.30930930930931,4.2042042042042045,11.711711711711711,15.015015015015015,12.912912912912914,11.411411411411407
Derby School District,0370011,2014,1522.0,238.0,379.0,816.0,0.0,33.0,49.0,7.0,90.0,714.0,120.0,206.0,834.0,617.0,53.613666228646515,15.637319316688567,24.90144546649146,2.1681997371879107,0.0,3.2194480946123525,0.45992115637319314,40.53876478318003,5.913272010512484,46.911957950065705,54.796320630749015,13.534822601839686,46.386333771353485
East Granby School District,0400011,2014,874.0,68.0,54.0,683.0,,42.0,,0.0,12.0,63.0,0.0,95.0,63.0,122.0,78.14645308924484,7.780320366132723,6.178489702517163,4.805491990846682,,,0.0,13.958810068649885,1.3729977116704806,7.208237986270023,7.208237986270023,10.869565217391305,21.853546910755156
East Haddam School District,0410011,2014,1199.0,,23.0,1152.0,,7.0,9.0,0.0,,110.0,47.0,185.0,157.0,26.0,96.08006672226855,,1.9182652210175146,0.5838198498748958,,0.7506255212677231,0.0,2.168473728106756,,9.174311926605505,13.094245204336946,15.42952460383653,3.9199332777314453
