District,District Code,fiscal_year,enrollment_total,n_black,n_hispanic,n_white,n_native_american,n_asian,n_two_or_more,n_pacific_islander,n_ell,n_free_lunch,n_reduced_lunch,n_sped,n_frpl,n_black_hispanic,pct_white,pct_black,pct_hispanic,pct_asian,pct_native_american,pct_two_or_more,pct_pacific_islander,pct_black_hispanic,pct_ell,pct_free_lunch,pct_frpl,pct_sped,pct_nonwhite
Bethel School District,0090011,2008,3157.0,,321.0,2549.0,,218.0,,,118.0,149.0,114.0,326.0,263.0,324.0,80.7412100095027,,10.167880899588216,6.9052898321191005,,,,10.262907823883435,3.737725688945201,4.71967057332911,8.330693696547355,10.326259106746912,19.258789990497306
Bloomfield School District,0110011,2008,2240.0,1951.0,158.0,113.0,,,,,9.0,643.0,245.0,227.0,888.0,2109.0,5.044642857142858,87.09821428571428,7.053571428571429,,,,,94.15178571428572,0.40178571428571425,28.705357142857142,39.64285714285714,10.133928571428571,94.95535714285714
Bolton School District,0120011,2008,876.0,30.0,,816.0,,17.0,,,0.0,38.0,13.0,86.0,51.0,33.0,93.15068493150685,3.4246575342465753,,1.9406392694063925,,,,3.767123287671233,0.0,4.337899543378995,5.821917808219178,9.817351598173515,6.849315068493155
Bozrah School District,0130011,2008,269.0,10.0,16.0,241.0,,,,,,23.0,14.0,45.0,37.0,26.0,89.59107806691449,3.717472118959108,5.947955390334572,,,,,9.66542750929368,,8.550185873605948,13.754646840148698,16.728624535315987,10.408921933085509
Branford School District,0140011,2008,3514.0,107.0,187.0,2980.0,10.0,230.0,,,81.0,283.0,175.0,472.0,458.0,294.0,84.80364257256687,3.0449630051223675,5.321570859419465,6.545247581104155,0.28457598178713717,,,8.366533864541832,2.305065452475811,8.053500284575982,13.033579965850883,13.431986340352875,15.196357427433128
Bridgeport School District,0150011,2008,20958.0,8714.0,9703.0,1895.0,38.0,608.0,,,2839.0,19660.0,860.0,2629.0,20520.0,18417.0,9.041893310430385,41.578394885008116,46.2973566179979,2.901040175589274,0.18131501097432962,,,87.87575150300601,13.546139898845311,93.80666094092948,97.91010592613799,12.544135890829278,90.95810668956962
Bristol School District,0170011,2008,8980.0,686.0,1289.0,6763.0,20.0,222.0,,,274.0,2106.0,747.0,1161.0,2853.0,1975.0,75.3118040089087,7.639198218262806,14.354120267260578,2.472160356347439,0.22271714922048996,,,21.993318485523385,3.0512249443207127,23.452115812917597,31.770601336302896,12.928730512249443,24.688195991091305
Brookfield School District,0180011,2008,2955.0,,102.0,2706.0,,111.0,,,38.0,39.0,35.0,218.0,74.0,105.0,91.57360406091371,,3.451776649746193,3.7563451776649748,,,,3.5532994923857872,1.2859560067681897,1.3197969543147208,2.504230118443316,7.377326565143824,8.42639593908629
Brooklyn School District,0190011,2008,993.0,,17.0,946.0,,18.0,,,0.0,109.0,60.0,104.0,169.0,20.0,95.26686807653574,,1.7119838872104733,1.812688821752266,,,,2.014098690835851,0.0,10.976837865055387,17.01913393756294,10.473313192346426,4.733131923464256
Canaan School District,0210011,2008,102.0,,,94.0,,,,,0.0,12.0,0.0,13.0,12.0,,92.15686274509804,,,,,,,,0.0,11.76470588235294,11.76470588235294,12.745098039215685,7.843137254901961
Canterbury School District,0220011,2008,584.0,12.0,17.0,544.0,,,,,,67.0,26.0,64.0,93.0,29.0,93.15068493150685,2.054794520547945,2.910958904109589,,,,,4.965753424657534,,11.472602739726028,15.924657534246576,10.95890410958904,6.849315068493155
Canton School District,0230011,2008,1739.0,48.0,,1605.0,,44.0,,,14.0,31.0,16.0,216.0,47.0,51.0,92.29442208165612,2.760207015526164,,2.5301897642323175,,,,2.93271995399655,0.8050603795284648,1.7826336975273145,2.7027027027027026,12.42093156986774,7.705577918343877
