District,ppe_instructional_staff,ppe_instructional_supplies,ppe_instruction_media,ppe_student_support,ppe_admin_support,ppe_plant,ppe_transportation,ppe_other,ppe_total,fiscal_year,District Code
Regional School District 18,9141,276,929,1410,2078,2742,842.0,388,18323,2012,2180012.0
Regional School District 19,8808,394,263,949,1800,1259,1198.0,629,15840,2012,2190012.0
Ridgefield School District,9164,221,822,749,1298,1477,891.0,116,15243,2012,1180011.0
Rocky Hill School District,8187,200,764,916,1041,1504,517.0,0,13231,2012,1190011.0
Salem School District,8673,981,101,421,2413,1862,1052.0,0,16839,2012,1210011.0
Salisbury School District,11895,242,531,961,1796,2931,1024.0,10,20483,2012,1220011.0
Scotland School District,11122,901,420,1250,2383,1518,615.0,219,19055,2012,1230011.0
Seymour School District,7214,305,388,903,1928,1699,605.0,186,13216,2012,1240011.0
Sharon School District,13508,380,472,1767,2990,2490,1171.0,65,23521,2012,1250011.0
Shelton School District,7181,230,325,1110,1311,1404,777.0,103,12617,2012,1260011.0
Sherman School District,10975,95,674,132,1432,1371,765.0,100,14068,2012,1270011.0
Side By Side Charter School District,6544,447,47,1679,1855,1151,,0,11722,2012,2700013.0
Simsbury School District,8384,224,771,924,1186,1491,571.0,125,13769,2012,1280011.0
Somers School District,7621,258,284,780,1238,1227,643.0,170,12788,2012,1290011.0
South Windsor School District,8639,349,617,1099,1578,1459,730.0,362,15168,2012,1320011.0
Southington School District,7752,153,140,911,1310,1091,530.0,118,12500,2012,1310011.0
Sprague School District,7978,529,99,578,1988,1181,1026.0,0,14299,2012,1330011.0
Stafford School District,8219,209,340,1035,1521,1537,1110.0,39,14518,2012,1340011.0
Stamford Academy District,8565,179,0,4269,8025,237,,559,22103,2012,2820013.0
Stamford School District,9573,239,886,1065,1907,1395,815.0,0,16472,2012,1350011.0
Sterling School District,7667,402,390,350,1095,1035,921.0,63,14943,2012,1360011.0
Stonington School District,7887,114,567,848,1101,1540,884.0,185,13776,2012,1370011.0
Stratford School District,7747,134,426,1356,1261,1258,647.0,215,13570,2012,1380011.0
Suffield School District,7853,248,99,831,1730,1065,601.0,7,13068,2012,1390011.0
The Bridge Academy District,7136,248,73,866,1132,874,,340,10712,2012,2690013.0
Thomaston School District,8500,291,26,681,1750,1479,757.0,284,12867,2012,1400011.0
Thompson School District,6914,128,156,1084,2053,1636,807.0,255,14166,2012,1410011.0
Tolland School District,7422,138,505,510,1184,1100,732.0,24,12273,2012,1420011.0
Torrington School District,8960,138,421,807,1152,1358,868.0,115,14515,2012,1430011.0
Trailblazers Academy District,9321,106,0,3119,10833,1066,,815,25341,2012,2780013.0
Trumbull School District,7583,222,443,1007,1503,1293,708.0,117,13403,2012,1440011.0
Union School District,8666,609,60,908,2712,2029,2112.0,0,15854,2012,1450011.0
Vernon School District,8117,169,681,934,1157,1282,650.0,152,13224,2012,1460011.0
Voluntown School District,7975,438,321,1265,2003,1280,839.0,140,15560,2012,1470011.0
Wallingford School District,8316,91,366,938,1762,2039,959.0,215,15013,2012,1480011.0
Waterbury School District,7979,237,1776,743,1231,1156,628.0,516,14535,2012,1510011.0
Waterford School District,9864,380,176,1049,1566,1705,811.0,307,14937,2012,1520011.0
Watertown School District,7228,240,223,694,1577,1361,687.0,15,12441,2012,1530011.0
West Hartford School District,7848,170,714,916,1629,1267,575.0,122,13494,2012,1550011.0
West Haven School District,7840,241,391,654,934,2320,599.0,269,12291,2012,1560011.0
Westbrook School District,10233,344,332,558,1537,1624,593.0,438,15984,2012,1540011.0
Weston School District,10669,173,1454,1211,1474,2136,674.0,444,18728,2012,1570011.0
Westport School District,10417,492,560,1461,1866,1801,730.0,265,18097,2012,1580011.0
Wethersfield School District,8295,593,284,867,1234,1271,630.0,177,13759,2012,1590011.0
Willington School District,9711,446,514,903,2032,1338,608.0,0,16246,2012,1600011.0
Wilton School District,10199,273,731,1597,1684,1456,819.0,0,17297,2012,1610011.0
Winchester School District,9749,82,348,2076,2421,1489,900.0,0,17277,2012,1620011.0
Windham School District,9638,450,411,1021,1552,1297,798.0,183,16053,2012,1630011.0
Windsor Locks School District,9423,250,670,929,1541,1865,679.0,247,15594,2012,1650011.0
Windsor School District,9800,381,698,1460,2109,1754,978.0,185,16456,2012,1640011.0
Wolcott School District,7924,223,250,448,1272,1446,692.0,275,11955,2012,1660011.0
Woodbridge School District,11208,401,55,201,2354,1779,357.0,0,16980,2012,1670011.0
Woodstock School District,7762,225,196,840,1002,1178,693.0,6,12530,2012,1690011.0
Achievement First Bridgeport Academy District,6121,448,371,1187,3381,498,,626,12780,2013,2850013.0
Achievement First Hartford Academy District,7018,349,317,795,2868,46,,48,11474,2013,2880013.0
Amistad Academy District,6440,374,517,1111,2289,481,,570,11895,2013,2790013.0
Andover School District,8372,266,251,499,1940,1400,368.0,0,13996,2013,10011.0
Ansonia School District,7076,386,207,527,1534,2843,665.0,231,13360,2013,20011.0
Ashford School District,10027,791,140,560,1864,1343,855.0,148,16704,2013,30011.0
Avon School District,8948,263,320,1064,1390,1276,664.0,30,14108,2013,40011.0
Barkhamsted School District,7328,116,455,151,1269,1149,451.0,0,11469,2013,50011.0
Berlin School District,7735,381,428,1435,1628,1737,704.0,304,14349,2013,70011.0
Bethany School District,8927,403,203,334,1569,1966,389.0,0,14529,2013,80011.0
Bethel School District,8592,233,990,991,1375,1223,748.0,198,14935,2013,90011.0
Bloomfield School District,10334,403,894,1423,2983,2552,921.0,235,18556,2013,110011.0
Bolton School District,8491,106,603,1102,1729,1308,888.0,241,14996,2013,120011.0
Bozrah School District,9697,387,158,868,1802,1495,877.0,42,16998,2013,130011.0
Branford School District,9374,292,658,977,1392,1312,853.0,339,15592,2013,140011.0
Bridgeport School District,8393,335,233,923,1333,1371,703.0,46,13761,2013,150011.0
Bristol School District,7585,119,543,829,984,1079,689.0,364,12654,2013,170011.0
Brookfield School District,8441,156,703,969,1418,1325,678.0,302,14203,2013,180011.0
Brooklyn School District,7806,108,205,776,1027,1310,844.0,0,13069,2013,190011.0
Canaan School District,17448,534,558,1475,3873,2559,970.0,168,26640,2013,210011.0
Canterbury School District,10076,223,161,977,1689,4127,1170.0,81,20059,2013,220011.0
Canton School District,7429,211,343,1821,1632,1342,904.0,262,14155,2013,230011.0
Chaplin School District,10865,343,751,1398,1926,1559,690.0,65,18158,2013,240011.0
Cheshire School District,7915,238,543,852,1318,1331,811.0,209,13670,2013,250011.0
Chester School District,9201,254,112,2315,2484,1833,273.0,135,16242,2013,260011.0
Clinton School District,9787,458,229,1066,1320,1144,783.0,56,15288,2013,270011.0
Colchester School District,7729,161,237,1080,1342,1284,868.0,156,13264,2013,280011.0
Colebrook School District,10295,262,149,389,3141,1729,441.0,148,16872,2013,290011.0
Columbia School District,7178,288,202,3232,1936,1178,931.0,814,16897,2013,300011.0
Common Ground High School District,6010,396,1599,1153,3278,699,,1343,14549,2013,2680013.0
Cornwall School District,16150,643,817,1559,3960,3051,1602.0,7,27759,2013,310011.0
Coventry School District,9285,357,113,838,1396,1330,1019.0,35,14649,2013,320011.0
Cromwell School District,8679,294,184,666,1406,1410,553.0,188,13342,2013,330011.0
Danbury School District,8143,276,172,622,1192,714,591.0,85,12154,2013,340011.0
Darien School District,11054,264,809,533,1347,1579,600.0,257,17061,2013,350011.0
Deep River School District,8844,254,178,2275,2000,1418,414.0,57,15574,2013,360011.0
Derby School District,7420,222,121,1000,1694,1377,563.0,124,12753,2013,370011.0
East Granby School District,9792,597,743,972,2173,1685,617.0,293,16181,2013,400011.0
East Haddam School District,8651,369,266,863,1616,1867,912.0,1,15028,2013,410011.0
East Hampton School District,8823,201,396,919,1833,1483,709.0,944,15107,2013,420011.0
East Hartford School District,9320,199,301,558,1701,1365,659.0,101,12939,2013,430011.0
East Haven School District,7927,122,41,1303,1987,1136,759.0,278,13681,2013,440011.0
East Lyme School District,8488,164,626,828,1380,1753,635.0,278,14493,2013,450011.0
East Windsor School District,9286,248,343,1044,2755,1036,1098.0,74,15426,2013,470011.0
Eastford School District,9805,490,449,1600,2061,1742,1046.0,0,19178,2013,390011.0
Easton School District,10392,205,436,188,1890,1553,737.0,1,16068,2013,460011.0
Ellington School District,7033,213,334,988,945,1281,693.0,166,11825,2013,480011.0
Elm City College Preparatory School District,6302,380,733,1336,3985,591,,614,14029,2013,2890013.0
Enfield School District,9043,117,151,185,1648,1292,725.0,171,13310,2013,490011.0
Essex School District,8416,269,139,1881,1787,1274,343.0,65,15547,2013,500011.0
Explorations District,8613,76,436,1212,3361,2301,,90,16881,2013,2720013.0
Fairfield School District,8378,169,987,1132,1720,1588,772.0,197,15381,2013,510011.0
Farmington School District,9699,258,489,954,1021,1208,634.0,51,14785,2013,520011.0
Franklin School District,8027,120,132,751,1776,1860,904.0,0,14816,2013,530011.0
Glastonbury School District,7904,239,748,824,1513,1542,742.0,209,13841,2013,540011.0
Granby School District,7495,399,461,937,1426,1594,646.0,275,13205,2013,560011.0
Greenwich School District,12250,405,388,1228,1697,1468,515.0,0,18494,2013,570011.0
Griswold School District,7609,88,118,537,2027,1410,806.0,152,13067,2013,580011.0
Groton School District,9089,475,481,1155,1669,1521,933.0,0,15184,2013,590011.0
Guilford School District,8617,258,490,926,1600,1407,878.0,205,15312,2013,600011.0
Hamden School District,10542,163,246,1425,1655,1760,972.0,175,16270,2013,620011.0
Hampton School District,11335,417,684,1751,2947,1967,715.0,171,22542,2013,630011.0
Hartford School District,9019,500,325,1351,2269,1635,1254.0,8,16735,2013,640011.0
Hartland School District,8089,269,823,1849,2034,1369,830.0,644,15210,2013,650011.0
Hebron School District,8443,127,645,974,1399,1065,272.0,0,13011,2013,670011.0
Highville Charter School District,5979,529,219,334,1897,1890,,836,11898,2013,2860013.0
Integrated Day Charter School District,5888,192,428,319,1974,1131,,344,10305,2013,2640013.0
Interdistrict School for Arts and Comm District,8137,256,827,353,2555,1220,,0,13371,2013,2650013.0
Jumoke Academy District,5687,361,776,1709,2047,1579,,12,12172,2013,2610013.0
Kent School District,11344,450,371,1239,2000,2199,1076.0,50,19672,2013,680011.0
Killingly School District,7738,128,821,871,1562,1505,974.0,0,14953,2013,690011.0
Lebanon School District,7633,402,343,1099,1524,1730,974.0,171,14628,2013,710011.0
Ledyard School District,7622,234,343,813,1623,1058,1044.0,155,13264,2013,720011.0
Lisbon School District,9687,141,61,1648,1481,1254,1017.0,0,17489,2013,730011.0
Litchfield School District,8794,256,871,1426,1623,1811,962.0,390,16794,2013,740011.0
Madison School District,8125,387,570,1222,1262,1481,933.0,384,14873,2013,760011.0
Manchester School District,9730,212,740,1147,1718,1684,676.0,237,15326,2013,770011.0
Mansfield School District,10259,404,551,890,2188,1310,490.0,68,16669,2013,780011.0
Marlborough School District,7705,196,371,343,1149,1044,307.0,70,11244,2013,790011.0
Meriden School District,7706,248,114,971,1278,1528,655.0,105,12754,2013,800011.0
Middletown School District,8913,178,378,850,1213,1703,1203.0,323,14870,2013,830011.0
Milford School District,10714,444,287,504,1587,1682,647.0,168,16365,2013,840011.0
Monroe School District,9153,166,651,1181,1293,1701,693.0,149,15255,2013,850011.0
Montville School District,8928,350,338,965,1337,1675,913.0,232,14661,2013,860011.0
Naugatuck School District,9044,194,190,1003,1704,1320,667.0,166,14053,2013,880011.0
New Beginnings Inc Family Academy District,5848,459,68,880,1506,1265,,823,10971,2013,2800013.0
New Britain School District,8654,171,128,438,1203,900,1074.0,0,12616,2013,890011.0
New Canaan School District,10075,193,585,1983,2131,1890,915.0,333,18758,2013,900011.0
New Fairfield School District,8101,253,435,934,1477,1137,584.0,184,13420,2013,910011.0
New Hartford School District,9110,166,105,583,1347,1738,595.0,0,14294,2013,920011.0
New Haven School District,9498,356,339,254,1671,1469,1265.0,92,15520,2013,930011.0
New London School District,7378,561,490,1153,2103,1743,931.0,127,13353,2013,950011.0
New Milford School District,7358,219,240,871,1464,1226,968.0,230,12970,2013,960011.0
Newington School District,8430,509,486,822,1462,2126,738.0,189,14962,2013,940011.0
Newtown School District,7616,204,324,1150,1429,1971,793.0,171,13995,2013,970011.0
Norfolk School District,11337,335,778,456,3956,3088,783.0,16,21364,2013,980011.0
North Branford School District,7371,229,783,1124,1454,1661,1003.0,402,13897,2013,990011.0
North Canaan School District,10685,326,117,1282,1863,1719,758.0,53,17381,2013,1000011.0
North Haven School District,7139,318,298,1325,1891,1180,737.0,151,13445,2013,1010011.0
North Stonington School District,9259,909,217,705,1796,1821,1073.0,23,15647,2013,1020011.0
Norwalk School District,10122,99,66,1089,2114,1396,498.0,103,15878,2013,1030011.0
Norwich School District,9366,352,244,1369,879,1197,1109.0,0,16212,2013,1040011.0
Odyssey Community School District,5849,162,289,167,1754,1318,,0,9539,2013,2630013.0
Old Saybrook School District,8458,377,765,995,1507,1898,617.0,343,15855,2013,1060011.0
Orange School District,9265,229,531,1350,1278,1429,395.0,114,15041,2013,1070011.0
Oxford School District,7729,285,48,784,1683,1248,685.0,465,13262,2013,1080011.0
Park City Prep Charter School District,4213,317,328,1139,2985,2148,,0,11130,2013,2830013.0
Plainfield School District,7371,176,241,1038,1369,1247,1008.0,132,13293,2013,1090011.0
Plainville School District,8968,208,476,670,1783,1426,573.0,0,14605,2013,1100011.0
Plymouth School District,8656,486,286,354,1301,1850,1171.0,277,13618,2013,1110011.0
Pomfret School District,9136,354,269,242,1265,1320,994.0,32,15526,2013,1120011.0
Portland School District,7727,336,388,830,1582,1793,590.0,235,13485,2013,1130011.0
Preston School District,11220,134,302,897,2074,2658,1526.0,99,20860,2013,1140011.0
Putnam School District,8016,406,198,1714,1623,1387,803.0,184,16262,2013,1160011.0
Redding School District,13835,240,433,184,1670,2037,764.0,2,20322,2013,1170011.0
Regional School District 01,12695,569,1222,1804,2447,3010,341.0,806,23117,2013,2010012.0
Regional School District 04,8331,218,290,966,2136,1904,627.0,761,15485,2013,2040012.0
Regional School District 05,8304,208,477,1046,2253,1646,836.0,402,15992,2013,2050012.0
Regional School District 06,9223,637,657,1101,1905,1820,985.0,282,16734,2013,2060012.0
Regional School District 07,8501,345,212,677,1677,1885,1347.0,429,15444,2013,2070012.0
Regional School District 08,7758,106,576,680,1108,1211,668.0,205,12574,2013,2080012.0
Regional School District 09,12394,352,463,130,1691,2302,1124.0,1,19522,2013,2090012.0
Regional School District 10,7510,225,824,899,1224,1390,837.0,0,13341,2013,2100012.0
Regional School District 11,9341,275,391,1461,3703,2256,1335.0,767,19865,2013,2110012.0
Regional School District 12,12407,963,1069,2125,2454,2794,1661.0,486,24481,2013,2120012.0
Regional School District 13,9446,174,483,1581,1964,1804,851.0,307,16832,2013,2130012.0
Regional School District 14,8256,263,745,1298,1353,1765,982.0,436,16021,2013,2140012.0
Regional School District 15,8429,116,359,1299,1491,1546,953.0,344,14824,2013,2150012.0
Regional School District 16,7531,204,783,917,1667,1338,953.0,221,13921,2013,2160012.0
Regional School District 17,8428,266,264,762,1789,2059,1405.0,282,15619,2013,2170012.0
Regional School District 18,9234,308,954,1437,2157,2687,811.0,419,18297,2013,2180012.0
Regional School District 19,8916,355,297,942,1901,1286,1237.0,610,16000,2013,2190012.0
Ridgefield School District,9514,188,858,799,1221,1596,937.0,174,16004,2013,1180011.0
Rocky Hill School District,8470,206,902,922,1102,1630,554.0,0,13713,2013,1190011.0
Salem School District,9609,443,95,382,2412,1961,1198.0,0,17751,2013,1210011.0
Salisbury School District,12150,206,533,971,1875,2312,1105.0,7,20212,2013,1220011.0
Scotland School District,11617,439,320,1160,2976,2299,678.0,189,20333,2013,1230011.0
Seymour School District,7366,318,425,945,1970,1429,635.0,197,13377,2013,1240011.0
Sharon School District,13383,396,432,1889,3041,3377,1313.0,114,24424,2013,1250011.0
Shelton School District,7676,204,215,867,1416,1560,760.0,151,12969,2013,1260011.0
Sherman School District,11536,226,715,140,1513,1327,789.0,101,17169,2013,1270011.0
Side By Side Charter School District,6759,175,57,1640,1954,1154,,0,11739,2013,2700013.0
Simsbury School District,8633,202,909,1012,1256,1484,566.0,164,14256,2013,1280011.0
Somers School District,7689,352,301,849,1251,1290,633.0,187,13151,2013,1290011.0
South Windsor School District,8608,369,653,1133,1559,1558,733.0,431,15462,2013,1320011.0
Southington School District,7794,207,204,902,1408,1115,537.0,119,12763,2013,1310011.0
Sprague School District,7646,583,152,548,2087,1252,950.0,0,13772,2013,1330011.0
Stafford School District,8845,275,386,1110,1715,1735,1271.0,39,15741,2013,1340011.0
Stamford Academy District,8392,176,0,3879,9051,230,,513,22761,2013,2820013.0
Stamford School District,9482,282,942,1028,1967,1454,794.0,0,16566,2013,1350011.0
Sterling School District,7775,188,528,334,1117,1071,760.0,89,12912,2013,1360011.0
Stonington School District,8141,109,616,864,1311,1597,1009.0,190,14455,2013,1370011.0
Stratford School District,7982,119,345,1372,1314,1228,641.0,221,13744,2013,1380011.0
Suffield School District,8575,349,113,865,1372,876,615.0,195,13495,2013,1390011.0
The Bridge Academy District,7389,431,121,1078,1369,909,,420,11745,2013,2690013.0
Thomaston School District,8573,372,24,787,1943,1466,835.0,306,13402,2013,1400011.0
Thompson School District,7172,121,156,1209,2097,1678,595.0,240,14623,2013,1410011.0
Tolland School District,7696,158,546,548,1272,1190,758.0,38,12900,2013,1420011.0
Torrington School District,9251,139,607,873,1258,1368,825.0,119,15159,2013,1430011.0
Trailblazers Academy District,8859,104,0,2968,11765,1337,,789,25859,2013,2780013.0
Trumbull School District,8003,241,564,1067,1552,1314,685.0,155,14138,2013,1440011.0
Union School District,9687,387,77,710,3443,1985,1343.0,0,15556,2013,1450011.0
Vernon School District,8567,107,731,1047,1245,1259,658.0,157,13664,2013,1460011.0
Voluntown School District,8530,330,242,1653,1956,1298,985.0,141,16250,2013,1470011.0
Wallingford School District,8311,620,464,960,2178,1328,990.0,240,15361,2013,1480011.0
Waterbury School District,7935,231,1614,739,1286,1132,621.0,537,14349,2013,1510011.0
Waterford School District,10382,322,177,1136,1685,1839,855.0,332,15571,2013,1520011.0
Watertown School District,7750,116,220,600,1616,1517,730.0,2,13234,2013,1530011.0
West Hartford School District,8214,172,736,953,1688,1332,593.0,127,13996,2013,1550011.0
West Haven School District,8065,248,425,718,977,2468,630.0,275,12689,2013,1560011.0
Westbrook School District,11535,596,311,327,1782,1861,642.0,541,18081,2013,1540011.0
Weston School District,10729,154,1605,1358,1558,2394,671.0,504,19452,2013,1570011.0
Westport School District,10916,488,610,1518,1829,1800,746.0,246,18619,2013,1580011.0
Wethersfield School District,7281,408,296,2355,1135,1343,569.0,176,13961,2013,1590011.0
Willington School District,10278,484,569,903,2087,1483,624.0,3,16912,2013,1600011.0
Wilton School District,10456,208,721,1642,1777,1546,766.0,0,17699,2013,1610011.0
Winchester School District,12151,53,249,1964,2175,1029,1037.0,0,18619,2013,1620011.0
Windham School District,9746,292,192,937,1769,1260,809.0,186,16097,2013,1630011.0
Windsor Locks School District,9794,269,646,956,1631,2501,674.0,268,16661,2013,1650011.0
Windsor School District,9937,297,787,1493,2064,1725,1040.0,188,16569,2013,1640011.0
Wolcott School District,7925,243,250,489,1351,1597,749.0,270,12381,2013,1660011.0
Woodbridge School District,11283,476,98,207,2587,1707,362.0,0,17244,2013,1670011.0
Woodstock School District,7941,164,181,805,913,1267,584.0,17,12389,2013,1690011.0
Achievement First Bridgeport Academy District,6772,591,334,1148,3141,481,,669,13304,2014,2850013.0
Achievement First Hartford Academy District,7721,734,192,186,3033,96,,36,12050,2014,2880013.0
Amistad Academy District,7055,362,436,878,3240,482,,556,13132,2014,2790013.0
Andover School District,9197,352,276,548,2228,1519,400.0,0,15224,2014,10011.0
Ansonia School District,7441,724,240,490,1689,1213,712.0,296,13014,2014,20011.0
Ashford School District,10645,723,151,613,2075,1760,657.0,80,17295,2014,30011.0
Avon School District,8946,241,260,1071,1608,1397,728.0,242,14756,2014,40011.0
Barkhamsted School District,8268,238,645,176,1512,1389,445.0,1,13399,2014,50011.0
Berlin School District,7909,532,428,1733,1555,1978,746.0,336,15102,2014,70011.0
Bethany School District,9537,727,207,406,1800,2180,366.0,0,16027,2014,80011.0
Bethel School District,8687,189,1118,1097,1435,1280,769.0,211,15487,2014,90011.0
Bloomfield School District,10997,748,920,1476,3124,2433,1003.0,275,19764,2014,110011.0
Bolton School District,8802,475,542,1127,1974,1342,855.0,273,15843,2014,120011.0
Bozrah School District,10365,664,149,863,1799,1675,837.0,0,18145,2014,130011.0
Branford School District,9280,367,722,1045,1579,1507,872.0,356,16123,2014,140011.0
Brass City Charter School District,4707,1060,204,128,2847,1362,,996,11312,2014,2900013.0
Bridgeport School District,8511,564,194,889,1321,1218,811.0,50,14010,2014,150011.0
Bristol School District,8041,166,495,904,1001,1214,768.0,360,13348,2014,170011.0
Brookfield School District,8792,215,747,970,1626,1038,742.0,255,14494,2014,180011.0
Brooklyn School District,7980,172,246,901,1043,1315,885.0,0,13554,2014,190011.0
Canaan School District,16630,565,506,1363,3659,3369,1011.0,162,26605,2014,210011.0
Canterbury School District,10738,279,162,1091,1853,2422,1135.0,73,19760,2014,220011.0
Canton School District,7643,442,346,1914,1644,1335,926.0,544,14866,2014,230011.0
Chaplin School District,11673,546,788,1642,1851,1564,691.0,76,18825,2014,240011.0
Cheshire School District,8170,340,565,865,1352,1376,842.0,213,14139,2014,250011.0
Chester School District,9871,562,168,2665,2772,2115,260.0,185,18109,2014,260011.0
Clinton School District,9880,575,335,1022,1513,1227,748.0,81,15751,2014,270011.0
Colchester School District,8287,385,313,1188,1557,1365,874.0,176,14370,2014,280011.0
Colebrook School District,11016,194,164,396,3041,2059,480.0,143,17734,2014,290011.0
Columbia School District,8349,349,222,3661,1682,2797,994.0,808,19551,2014,300011.0
Common Ground High School District,5794,289,2139,1470,3104,784,,1381,14998,2014,2680013.0
Cornwall School District,16605,560,697,1276,3660,3001,1729.0,6,27931,2014,310011.0
Coventry School District,9516,500,243,959,1571,1546,985.0,18,15457,2014,320011.0
Cromwell School District,9091,262,157,735,1436,1416,587.0,199,13736,2014,330011.0
Danbury School District,8312,329,186,643,1216,1023,609.0,90,12891,2014,340011.0
Darien School District,11029,333,905,565,1613,1734,634.0,272,17900,2014,350011.0
Deep River School District,9334,364,228,2474,2148,1548,419.0,67,17137,2014,360011.0
Derby School District,7876,353,59,1257,1655,1423,504.0,164,13421,2014,370011.0
East Granby School District,9442,655,1048,970,2164,1819,688.0,302,16461,2014,400011.0
East Haddam School District,9299,251,336,963,1902,2094,1033.0,7,16357,2014,410011.0
East Hampton School District,9032,227,477,987,1816,1432,744.0,10,14509,2014,420011.0
East Hartford School District,9357,387,145,949,1662,1677,656.0,14,13484,2014,430011.0
East Haven School District,8458,376,85,1509,2018,1255,773.0,317,14930,2014,440011.0
East Lyme School District,8981,176,662,857,1386,2084,607.0,306,15236,2014,450011.0
East Windsor School District,10161,147,343,1396,2620,1285,1164.0,64,16359,2014,470011.0
Eastford School District,10945,445,908,1887,2442,1786,1147.0,0,21839,2014,390011.0
Easton School District,11103,308,442,210,2198,1629,780.0,0,17431,2014,460011.0
Ellington School District,7751,323,606,983,1012,1250,718.0,167,12804,2014,480011.0
Elm City College Preparatory School District,6571,489,413,1517,3602,581,,663,13954,2014,2890013.0
Enfield School District,9323,183,218,213,1938,1427,769.0,198,14033,2014,490011.0
Essex School District,8733,301,169,1987,1870,1344,310.0,57,16112,2014,500011.0
Explorations District,8631,115,292,795,2467,2505,,75,15647,2014,2720013.0
Fairfield School District,8628,131,965,1167,1712,1565,774.0,200,15660,2014,510011.0
Farmington School District,9693,439,974,1020,1065,1286,632.0,52,15518,2014,520011.0
Franklin School District,8902,10,118,817,2072,2216,1156.0,42,16672,2014,530011.0
Glastonbury School District,8358,405,808,881,1765,1609,765.0,203,14767,2014,540011.0
Granby School District,7696,407,464,986,1440,1643,658.0,306,13645,2014,560011.0
Greenwich School District,14124,361,463,1401,1891,1602,554.0,0,21059,2014,570011.0
Griswold School District,7611,82,303,374,2095,1425,863.0,179,13380,2014,580011.0
Groton School District,9366,247,441,1124,1545,1568,1019.0,21,15315,2014,590011.0
Guilford School District,9072,292,522,980,1630,1451,915.0,225,15963,2014,600011.0
Hamden School District,10978,238,260,1406,1687,1874,1025.0,171,16908,2014,620011.0
Hampton School District,10902,467,543,2149,3326,1936,804.0,68,22490,2014,630011.0
Hartford School District,9128,531,426,1435,2499,1829,1167.0,10,17236,2014,640011.0
Hartland School District,9280,305,1085,1918,2093,1467,807.0,3045,18863,2014,650011.0
Hebron School District,8893,201,604,997,1776,1187,269.0,0,13816,2014,670011.0
Highville Charter School District,6035,317,267,186,1991,2088,,894,11899,2014,2860013.0
Integrated Day Charter School District,6154,317,477,523,2190,1199,,463,11343,2014,2640013.0
Interdistrict School for Arts and Comm District,7496,456,1140,538,2838,1195,,0,13688,2014,2650013.0
Jumoke Academy District,5669,483,35,1255,1787,1337,,2,10570,2014,2610013.0
Kent School District,11561,528,420,1239,2139,2019,1125.0,110,20118,2014,680011.0
Killingly School District,7981,233,874,813,1528,1624,867.0,0,15958,2014,690011.0
Lebanon School District,9147,439,347,516,1548,2236,1063.0,298,16175,2014,710011.0
Ledyard School District,7807,201,373,852,1703,1132,1011.0,164,13501,2014,720011.0
Lisbon School District,10138,401,116,1445,1593,1426,1037.0,31,18699,2014,730011.0
Litchfield School District,9326,203,979,1332,1677,1926,946.0,436,17443,2014,740011.0
Madison School District,8627,396,647,1226,1186,1623,1013.0,404,15676,2014,760011.0
Manchester School District,9823,264,957,1191,1916,1807,696.0,249,15886,2014,770011.0
Mansfield School District,10856,656,457,1044,2241,1359,510.0,66,17602,2014,780011.0
Marlborough School District,8139,283,466,219,1246,1203,307.0,0,11913,2014,790011.0
Meriden School District,8290,316,125,1004,1295,1568,693.0,124,13415,2014,800011.0
Middletown School District,9570,211,299,913,1291,1871,1280.0,280,15816,2014,830011.0
Milford School District,11318,472,312,528,1720,1740,682.0,316,17453,2014,840011.0
Monroe School District,9198,141,778,1049,1636,1612,712.0,160,15640,2014,850011.0
Montville School District,9087,440,335,956,1377,1735,872.0,239,14858,2014,860011.0
Naugatuck School District,9429,195,171,1005,1932,1480,710.0,124,14653,2014,880011.0
New Beginnings Inc Family Academy District,7688,612,12,847,2232,1262,,894,13571,2014,2800013.0
New Britain School District,9427,201,121,427,1187,1171,1049.0,0,13579,2014,890011.0
New Canaan School District,10222,273,661,1990,2267,1899,904.0,330,19312,2014,900011.0
New Fairfield School District,8234,359,414,1043,1431,1231,609.0,207,13811,2014,910011.0
New Hartford School District,9450,258,153,618,1473,1774,587.0,7,14761,2014,920011.0
New Haven School District,9772,420,284,229,1725,1412,1290.0,176,15882,2014,930011.0
New London School District,8202,760,489,1280,2623,1834,1055.0,135,14908,2014,950011.0
New Milford School District,7714,224,270,952,1551,1374,1085.0,228,13832,2014,960011.0
Newington School District,9038,490,515,837,1621,2017,721.0,182,15506,2014,940011.0
Newtown School District,8095,233,383,1663,1645,2167,851.0,178,15695,2014,970011.0
Norfolk School District,11958,275,726,448,4937,2840,862.0,22,23327,2014,980011.0
North Branford School District,7420,190,891,1175,1575,1777,1130.0,419,14383,2014,990011.0
North Canaan School District,11410,405,171,1396,1918,1856,802.0,62,18510,2014,1000011.0
North Haven School District,7644,175,286,1370,2110,1280,843.0,173,14344,2014,1010011.0
North Stonington School District,9561,844,289,955,2335,1527,1174.0,1,16701,2014,1020011.0
Norwalk School District,10552,193,87,1217,2228,1421,541.0,111,16839,2014,1030011.0
Norwich School District,9097,542,161,1562,984,1525,1146.0,0,16812,2014,1040011.0
Odyssey Community School District,6229,252,289,163,1832,1429,,0,10193,2014,2630013.0
Old Saybrook School District,9089,557,848,1106,1805,1818,712.0,372,17155,2014,1060011.0
Orange School District,9990,308,696,1030,1486,1417,417.0,150,15993,2014,1070011.0
Oxford School District,8305,296,69,884,1724,1122,763.0,487,13980,2014,1080011.0
