District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Watertown School District,2018,ELA,214.0,208.0,97.2,207.0,64.3,512.0
West Hartford School District,2018,ELA,766.0,749.0,97.8,748.0,79.4,570.0
West Haven School District,2018,ELA,371.0,338.0,91.1,336.0,43.8,469.0
Westbrook School District,2018,ELA,59.0,56.0,94.9,56.0,80.4,552.0
Weston School District,2018,ELA,211.0,205.0,97.2,202.0,92.6,608.0
Westport School District,2018,ELA,485.0,477.0,98.4,475.0,91.2,609.0
Wethersfield School District,2018,ELA,290.0,282.0,97.2,282.0,69.9,524.0
Wilton School District,2018,ELA,326.0,317.0,97.2,317.0,88.6,601.0
Winchester School District,2018,ELA,,,,,,
Windham School District,2018,ELA,128.0,118.0,92.2,117.0,,427.0
Windsor Locks School District,2018,ELA,115.0,114.0,99.1,114.0,59.6,506.0
Windsor School District,2018,ELA,279.0,265.0,95.0,265.0,58.9,503.0
Wolcott School District,2018,ELA,202.0,198.0,98.0,198.0,67.7,512.0
Woodstock School District,2018,ELA,,,,,,
"CT School Day SAT, 2017-18 All Districts, ELA, All Students Export .csv file  Level 1Not Met Level 2Approaching Level 3Met Level 4Exceeded Level 3&4Met or Exceeded  District TotalNumberofStudents TotalNumberTested CT SchoolDay SATParticipationRate TotalNumberwithScoredTests Count % Count % Count % Count % Count % AverageScore Achievement First Bridgeport Academy District  53  45  84.9  45  6  13.3  11  24.4  22  48.9  6  13.3  28  62.2  510 Achievement First Hartford Academy District  36  36  100.0  36  12  33.3 * * 17  47.2 * * * * 458 Amistad Academy District  51  45  88.2  45 * * 12  26.7  22  48.9 * * * * 522 Ansonia School District  150  148  98.7  148  34  23.0  40  27.0  61  41.2  13  8.8  74  50.0  488 Area Cooperative Educational Services  20  13  65.0  13 * * * * * * * * * * * Avon School District  226  218  96.5  218  9  4.1  13  6.0  100  45.9  96  44.0  196  89.9  602 Berlin School District  232  231  99.6  231  25  10.8  27  11.7  123  53.2  56  24.2  179  77.5  547 Bethel School District  233  230  98.7  229  32  14.0  36  15.7  110  48.0  51  22.3  161  70.3  533 Bloomfield School District  156  152  97.4  151  32  21.2  39  25.8  71  47.0  9  6.0  80  53.0  491 Bolton School District  67  67  100.0  67  9  13.4  15  22.4  27  40.3  16  23.9  43  64.2  531 Branford School District  225  217  96.4  217  41  18.9  42  19.4  104  47.9  30  13.8  134  61.8  511 Bridgeport School District  1,218  1,052  86.4  1,050  478  45.5  239  22.8  294  28.0  39  3.7  333  31.7  441 Bristol School District  594  566  95.3  566  149  26.3  113  20.0  249  44.0  55  9.7  304  53.7  492 Brookfield School District  217  209  96.3  208  12  5.8  28  13.5  118  56.7  50  24.0  168  80.8  557 Brooklyn School District * * * * * * * * * * * * * * * Canton School District  120  117  97.5  117 * * * * 68  58.1  37  31.6  105  89.7  587 Capital Preparatory Harbor School District  31  29  93.5  29  7  24.1  11  37.9  11  37.9  0  0.0  11  37.9  463 Capitol Region Education Council  523  488  93.3  485  123  25.4  114  23.5  184  37.9  64  13.2  248  51.1  492 Cheshire School District  375  358  95.5  358  27  7.5  42  11.7  209  58.4  80  22.3  289  80.7  555 Clinton School District  141  138  97.9  138  21  15.2  19  13.8  75  54.3  23  16.7  98  71.0  530 Colchester School District  189  183  96.8  182  15  8.2  33  18.1  102  56.0  32  17.6  134  73.6  538 Columbia School District * * * * * * * * * * * * * * * Common Ground High School District  46  45  97.8  45  13  28.9  6  13.3  18  40.0  8  17.8  26  57.8  499 Connecticut Technical Education and Career System  2,435  2,389  98.1  2,384  806  33.8  720  30.2  800  33.6  58  2.4  858  36.0  456 Cooperative Educational Services  20  18  90.0  18 * * * * * * * * * * * Coventry School District  104  104  100.0  101  12  11.9  13  12.9  60  59.4  16  15.8  76  75.2  530 Cromwell School District  132  126  95.5  125  18  14.4  22  17.6  65  52.0  20  16.0  85  68.0  525 Danbury School District  686  662  96.5  662  188  28.4  145  21.9  278  42.0  51  7.7  329  49.7  480 Darien School District  339  306  90.3  305  9  3.0  19  6.2  142  46.6  135  44.3  277  90.8  601 Derby School District  70  66  94.3  66 * * 21  31.8  22  33.3 * * * * 471 East Granby School District  73  73  100.0  73 * * * * 48  65.8  15  20.5  63  86.3  550 East Haddam School District  74  71  95.9  71  8  11.3  8  11.3  45  63.4  10  14.1  55  77.5  534 East Hampton School District  130  127  97.7  127  16  12.6  14  11.0  70  55.1  27  21.3  97  76.4  540 East Hartford School District  530  503  94.9  503  146  29.0  130  25.8  195  38.8  32  6.4  227  45.1  471 East Haven School District  210  197  93.8  196  56  28.6  44  22.4  86  43.9  10  5.1  96  49.0  479 East Lyme School District  254  246  96.9  246  23  9.3  42  17.1  122  49.6  59  24.0  181  73.6  546 East Windsor School District  67  65  97.0  65  20  30.8 * * 27  41.5 * * * * 471 Eastern Connecticut Regional Educational Service Center (EASTCONN)  80  70  87.5  68  22  32.4 * * 23  33.8 * * * * 465 EdAdvance  8  6 * 6 * * * * * * * * * * * Ellington School District  199  196  98.5  196  21  10.7  28  14.3  115  58.7  32  16.3  147  75.0  536 Elm City College Preparatory School District  29  28  96.6  28 * * * * 16  57.1 * * * * 506 Enfield School District  311  306  98.4  306  36  11.8  65  21.2  184  60.1  21  6.9  205  67.0  509 Explorations District  24  24  100.0  23 * * * * 12  52.2  0  0.0  12  52.2  480 Fairfield School District  778  762  97.9  758  55  7.3  81  10.7  382  50.4  240  31.7  622  82.1  570 Farmington School District  289  284  98.3  283  21  7.4  16  5.7  139  49.1  107  37.8  246  86.9  583 Glastonbury School District  507  501  98.8  500  37  7.4  60  12.0  247  49.4  156  31.2  403  80.6  571 Granby School District  176  173  98.3  172  11  6.4  18  10.5  94  54.7  49  28.5  143  83.1  561 Greenwich School District  685  657  95.9  657  31  4.7  59  9.0  303  46.1  264  40.2  567  86.3  591 Griswold School District  134  125  93.3  125  31  24.8  28  22.4  55  44.0  11  8.8  66  52.8  487 Groton School District  273  251  91.9  244  45  18.4  46  18.9  117  48.0  36  14.8  153  62.7  514 Guilford School District  269  268  99.6  268  10  3.7  26  9.7  123  45.9  109  40.7  232  86.6  589 Hamden School District  363  341  93.9  340  78  22.9  71  20.9  150  44.1  41  12.1  191  56.2  497 Hartford School District  1,227  1,085  88.4  1,082  454  42.0  261  24.1  299  27.6  68  6.3  367  33.9  448 Highville Charter School District  15  14 * 14 * * * * * * * * * * * Jumoke Academy District  15  12 * 12 * * * * * * * * * * * Killingly School District  193  182  94.3  181  34  18.8  37  20.4  91  50.3  19  10.5  110  60.8  506 Learn  205  199  97.1  199  47  23.6  34  17.1  87  43.7  31  15.6  118  59.3  510 Lebanon School District  92  91  98.9  91  18  19.8  14  15.4  43  47.3  16  17.6  59  64.8  522 Ledyard School District  192  186  96.9  186  26  14.0  25  13.4  98  52.7  37  19.9  135  72.6  537 Litchfield School District  72  71  98.6  70 * * * * 43  61.4  13  18.6  56  80.0  551 Madison School District  271  262  96.7  262 * * * * 148  56.5  96  36.6  244  93.1  593 Manchester School District  432  389  90.0  386  105  27.2  83  21.5  171  44.3  27  7.0  198  51.3  483 Meriden School District  514  471  91.6  466  153  32.8  113  24.2  169  36.3  31  6.7  200  42.9  470 Middletown School District  325  302  92.9  301  86  28.6  65  21.6  125  41.5  25  8.3  150  49.8  485 Milford School District  435  424  97.5  422  48  11.4  69  16.4  246  58.3  59  14.0  305  72.3  529 Monroe School District  247  237  96.0  237  21  8.9  20  8.4  124  52.3  72  30.4  196  82.7  569 Montville School District  143  138  96.5  138  27  19.6  23  16.7  67  48.6  21  15.2  88  63.8  516 Naugatuck School District  296  270  91.2  269  63  23.4  64  23.8  128  47.6  14  5.2  142  52.8  483 New Britain School District  611  535  87.6  534  259  48.5  119  22.3  142  26.6  14  2.6  156  29.2  433 New Canaan School District  312  302  96.8  302  13  4.3  18  6.0  123  40.7  148  49.0  271  89.7  604 New Fairfield School District  221  216  97.7  216  9  4.2  21  9.7  138  63.9  48  22.2  186  86.1  563 New Haven School District  1,279  1,169  91.4  1,168  448  38.4  288  24.7  353  30.2  79  6.8  432  37.0  458 New London School District  248  233  94.0  232  100  43.1  41  17.7  74  31.9  17  7.3  91  39.2  454 New Milford School District  307  288  93.8  288  28  9.7  35  12.2  175  60.8  50  17.4  225  78.1  542 Newington School District  319  311  97.5  310  33  10.6  46  14.8  169  54.5  62  20.0  231  74.5  539 Newtown School District  409  392  95.8  391  27  6.9  42  10.7  233  59.6  89  22.8  322  82.4  557 North Branford School District  130  128  98.5  128  15  11.7  26  20.3  71  55.5  16  12.5  87  68.0  516 North Haven School District  250  247  98.8  245  29  11.8  38  15.5  135  55.1  43  17.6  178  72.7  533 North Stonington School District  42  40  95.2  40  10  25.0 * * 20  50.0 * * * * 502 Norwalk School District  832  796  95.7  795  204  25.7  176  22.1  332  41.8  83  10.4  415  52.2  489 Norwich Free Academy District  552  529  95.8  528  135  25.6  104  19.7  230  43.6  59  11.2  289  54.7  496 Norwich School District  15  14 * 14 * * * * * * * * * * * Old Saybrook School District  109  104  95.4  104 * * * * 53  51.0  36  34.6  89  85.6  578 Oxford School District  158  156  98.7  156  24  15.4  20  12.8  84  53.8  28  17.9  112  71.8  536 Path Academy District  24  11  45.8  11 * * * * * * * * * * * Plainfield School District  163  148  90.8  144  34  23.6  31  21.5  69  47.9  10  6.9  79  54.9  489 Plainville School District  180  174  96.7  174  24  13.8  36  20.7  95  54.6  19  10.9  114  65.5  512 Plymouth School District  126  122  96.8  119  22  18.5  23  19.3  66  55.5  8  6.7  74  62.2  501 Portland School District  102  102  100.0  102  7  6.9  13  12.7  59  57.8  23  22.5  82  80.4  552 Putnam School District  78  74  94.9  74  20  27.0 * * 37  50.0 * * * * 478 Regional School District 01  110  106  96.4  106  19  17.9  18  17.0  51  48.1  18  17.0  69  65.1  522 Regional School District 04  144  138  95.8  138  8  5.8  14  10.1  82  59.4  34  24.6  116  84.1  559 Regional School District 05  361  356  98.6  356  18  5.1  36  10.1  183  51.4  119  33.4  302  84.8  582 Regional School District 06  88  84  95.5  84  6  7.1  13  15.5  50  59.5  15  17.9  65  77.4  543 Regional School District 07  198  194  98.0  194  18  9.3  17  8.8  111  57.2  48  24.7  159  82.0  563 Regional School District 08  230  222  96.5  222  15  6.8  21  9.5  124  55.9  62  27.9  186  83.8  571 Regional School District 09  231  223  96.5  221  11  5.0  20  9.0  113  51.1  77  34.8  190  86.0  581 Regional School District 10  190  189  99.5  189  14  7.4  14  7.4  108  57.1  53  28.0  161  85.2  569 Regional School District 11  41  41  100.0  41  9  22.0 * * 20  48.8 * * * * 499 Regional School District 12  67  67  100.0  67  7  10.4  11  16.4  37  55.2  12  17.9  49  73.1  530 Regional School District 13  138  135  97.8  135  6  4.4  19  14.1  82  60.7  28  20.7  110  81.5  553 Regional School District 14  193  190  98.4  190  24  12.6  30  15.8  106  55.8  30  15.8  136  71.6  525 Regional School District 15  304  297  97.7  294  22  7.5  26  8.8  172  58.5  74  25.2  246  83.7  564 Regional School District 16  167  163  97.6  163  17  10.4  23  14.1  97  59.5  26  16.0  123  75.5  539 Regional School District 17  165  164  99.4  164 * * * * 88  53.7  48  29.3  136  82.9  570 Regional School District 18  116  109  94.0  109 * * * * 59  54.1  38  34.9  97  89.0  577 Regional School District 19  288  256  88.9  256  21  8.2  40  15.6  137  53.5  58  22.7  195  76.2  552 Ridgefield School District  404  383  94.8  381  19  5.0  22  5.8  177  46.5  163  42.8  340  89.2  598 Rocky Hill School District  182  181  99.5  181  22  12.2  35  19.3  86  47.5  38  21.0  124  68.5  537 Salem School District * * * * * * * * * * * * * * * Seymour School District  166  161  97.0  161  27  16.8  23  14.3  81  50.3  30  18.6  111  68.9  530 Shelton School District  356  346  97.2  345  37  10.7  60  17.4  182  52.8  66  19.1  248  71.9  536 Simsbury School District  358  344  96.1  344  11  3.2  24  7.0  160  46.5  149  43.3  309  89.8  603 Somers School District  124  124  100.0  124  18  14.5  10  8.1  77  62.1  19  15.3  96  77.4  523 South Windsor School District  321  317  98.8  316  30  9.5  52  16.5  165  52.2  69  21.8  234  74.1  545 Southington School District  464  448  96.6  447  49  11.0  72  16.1  244  54.6  82  18.3  326  72.9  535 Sprague School District * * * * * * * * * * * * * * * Stafford School District  93  89  95.7  89  22  24.7  16  18.0  39  43.8  12  13.5  51  57.3  506 Stamford Academy District  41  32  78.0  32  24  75.0  8  25.0  0  0.0  0  0.0  0  0.0  380 Stamford School District  1,093  1,032  94.4  1,027  276  26.9  199  19.4  404  39.3  148  14.4  552  53.7  496 Stonington School District  175  163  93.1  163  27  16.6  15  9.2  85  52.1  36  22.1  121  74.2  539 Stratford School District  489  469  95.9  469  123  26.2  110  23.5  205  43.7  31  6.6  236  50.3  482 Suffield School District  215  213  99.1  213  12  5.6  22  10.3  125  58.7  54  25.4  179  84.0  560 The Bridge Academy District  34  34  100.0  34 * * 13  38.2  11  32.4 * * * * 462 The Gilbert School District  120  116  96.7  116  30  25.9  28  24.1  51  44.0  7  6.0  58  50.0  487 The Woodstock Academy District  299  297  99.3  297  31  10.4  44  14.8  174  58.6  48  16.2  222  74.7  536 Thomaston School District  69  68  98.6  68  8  11.8  11  16.2  33  48.5  16  23.5  49  72.1  543 Thompson School District  69  65  94.2  65  13  20.0 * * 36  55.4 * * * * 496 Tolland School District  197  194  98.5  193  10  5.2  27  14.0  109  56.5  47  24.4  156  80.8  564 Torrington School District  196  191  97.4  191  59  30.9  35  18.3  89  46.6  8  4.2  97  50.8  475 Trumbull School District  526  515  97.9  515  31  6.0  64  12.4  275  53.4  145  28.2  420  81.6  564 Unified School District #2  16  14 * 14 * * * * * * * * * * * Vernon School District  203  191  94.1  190  33  17.4  33  17.4  96  50.5  28  14.7  124  65.3  513 Voluntown School District * * * * * * * * * * * * * * * Wallingford School District  460  446  97.0  444  68  15.3  81  18.2  227  51.1  68  15.3  295  66.4  518 Waterbury School District  1,161  1,068  92.0  1,061  506  47.7  264  24.9  262  24.7  29  2.7  291  27.4  436 Waterford School District  193  191  99.0  189  18  9.5  33  17.5  102  54.0  36  19.0  138  73.0  537 Watertown School District  214  208  97.2  207  38  18.4  36  17.4  111  53.6  22  10.6  133  64.3  512 West Hartford School District  766  749  97.8  748  75  10.0  79  10.6  330  44.1  264  35.3  594  79.4  570 West Haven School District  371  338  91.1  336  97  28.9  92  27.4  128  38.1  19  5.7  147  43.8  469 Westbrook School District  59  56  94.9  56 * * * * 31  55.4  14  25.0  45  80.4  552 Weston School District  211  205  97.2  202  7  3.5  8  4.0  91  45.0  96  47.5  187  92.6  608 Westport School District  485  477  98.4  475  21  4.4  21  4.4  202  42.5  231  48.6  433  91.2  609 Wethersfield School District  290  282  97.2  282  30  10.6  55  19.5  165  58.5  32  11.3  197  69.9  524 Wilton School District  326  317  97.2  317  14  4.4  22  6.9  132  41.6  149  47.0  281  88.6  601 Winchester School District * * * * * * * * * * * * * * * Windham School District  128  118  92.2  117  64  54.7 * * 27  23.1 * * * * 427 Windsor Locks School District  115  114  99.1  114  22  19.3  24  21.1  55  48.2  13  11.4  68  59.6  506 Windsor School District  279  265  95.0  265  49  18.5  60  22.6  130  49.1  26  9.8  156  58.9  503 Wolcott School District  202  198  98.0  198  32  16.2  32  16.2  117  59.1  17  8.6  134  67.7  512 Woodstock School District * * * * * * * * * * * * * * * * The data are suppressed to ensure confidentiality. For more information, please view the Suppression Guidelines.",2018,ELA,,,,,,
