District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Elm City College Preparatory School District,2022,ELA,45.0,42.0,93.3,42.0,23.8,427.0
Enfield School District,2022,ELA,357.0,349.0,97.8,349.0,52.4,485.0
Explorations District,2022,ELA,22.0,21.0,95.5,21.0,,478.0
Fairfield School District,2022,ELA,735.0,702.0,95.5,702.0,80.3,562.0
Farmington School District,2022,ELA,295.0,289.0,98.0,288.0,81.6,573.0
Glastonbury School District,2022,ELA,473.0,457.0,96.6,455.0,79.1,563.0
Goodwin University Educational Services (GUES),2022,ELA,122.0,113.0,92.6,112.0,,457.0
Granby School District,2022,ELA,124.0,123.0,99.2,123.0,76.4,547.0
Great Oaks Charter School District,2022,ELA,73.0,67.0,91.8,67.0,9.0,408.0
Greenwich School District,2022,ELA,671.0,658.0,98.1,655.0,77.7,570.0
Griswold School District,2022,ELA,116.0,111.0,95.7,111.0,55.9,487.0
Groton School District,2022,ELA,221.0,197.0,89.1,197.0,57.9,495.0
Guilford School District,2022,ELA,289.0,284.0,98.3,284.0,80.3,565.0
Hamden School District,2022,ELA,416.0,375.0,90.1,371.0,49.9,486.0
Hartford School District,2022,ELA,1029.0,775.0,75.3,773.0,32.3,436.0
Highville Charter School District,2022,ELA,11.0,10.0,,10.0,,
Jumoke Academy District,2022,ELA,7.0,7.0,,6.0,,
Killingly School District,2022,ELA,174.0,161.0,92.5,160.0,59.4,504.0
Learn,2022,ELA,96.0,96.0,100.0,96.0,78.1,565.0
Lebanon School District,2022,ELA,71.0,70.0,98.6,70.0,60.0,509.0
Ledyard School District,2022,ELA,191.0,191.0,100.0,191.0,64.9,517.0
Litchfield School District,2022,ELA,57.0,56.0,98.2,55.0,61.8,529.0
Madison School District,2022,ELA,219.0,215.0,98.2,215.0,76.3,553.0
Manchester School District,2022,ELA,397.0,323.0,81.4,322.0,41.6,461.0
Meriden School District,2022,ELA,582.0,538.0,92.4,537.0,35.4,453.0
Middletown School District,2022,ELA,321.0,299.0,93.1,299.0,41.1,463.0
Milford School District,2022,ELA,402.0,379.0,94.3,378.0,62.4,514.0
Monroe School District,2022,ELA,250.0,239.0,95.6,237.0,77.6,548.0
Montville School District,2022,ELA,106.0,102.0,96.2,101.0,62.4,509.0
Naugatuck School District,2022,ELA,316.0,258.0,81.6,258.0,45.7,471.0
New Britain School District,2022,ELA,501.0,447.0,89.2,443.0,29.3,436.0
New Canaan School District,2022,ELA,327.0,314.0,96.0,314.0,87.6,587.0
New Fairfield School District,2022,ELA,147.0,143.0,97.3,143.0,65.0,513.0
New Haven School District,2022,ELA,1233.0,1027.0,83.3,1020.0,28.2,439.0
New London School District,2022,ELA,163.0,148.0,90.8,148.0,27.7,433.0
New Milford School District,2022,ELA,332.0,307.0,92.5,307.0,67.4,528.0
Newington School District,2022,ELA,320.0,313.0,97.8,311.0,56.9,498.0
Newtown School District,2022,ELA,360.0,345.0,95.8,345.0,72.5,539.0
North Branford School District,2022,ELA,116.0,114.0,98.3,114.0,68.4,518.0
North Haven School District,2022,ELA,208.0,197.0,94.7,197.0,65.5,516.0
North Stonington School District,2022,ELA,56.0,56.0,100.0,56.0,85.7,566.0
Norwalk School District,2022,ELA,914.0,846.0,92.6,843.0,46.0,477.0
Norwich Free Academy District,2022,ELA,537.0,478.0,89.0,475.0,49.7,479.0
Norwich School District,2022,ELA,,,,,,
Old Saybrook School District,2022,ELA,94.0,91.0,96.8,91.0,68.1,538.0
Oxford School District,2022,ELA,140.0,139.0,99.3,139.0,64.7,519.0
Plainfield School District,2022,ELA,137.0,124.0,90.5,121.0,,463.0
Plainville School District,2022,ELA,157.0,152.0,96.8,152.0,54.6,491.0
Plymouth School District,2022,ELA,88.0,81.0,92.0,81.0,,490.0
Portland School District,2022,ELA,77.0,76.0,98.7,76.0,65.8,514.0
Putnam School District,2022,ELA,61.0,59.0,96.7,59.0,,470.0
Regional School District 01,2022,ELA,87.0,84.0,96.6,84.0,54.8,493.0
Regional School District 04,2022,ELA,131.0,124.0,94.7,122.0,80.3,563.0
Regional School District 05,2022,ELA,318.0,307.0,96.5,307.0,86.6,576.0
Regional School District 06,2022,ELA,99.0,97.0,98.0,97.0,75.3,549.0
Regional School District 07,2022,ELA,159.0,149.0,93.7,149.0,68.5,521.0
Regional School District 08,2022,ELA,203.0,200.0,98.5,199.0,78.4,549.0
Regional School District 09,2022,ELA,200.0,195.0,97.5,195.0,82.1,571.0
Regional School District 10,2022,ELA,161.0,154.0,95.7,154.0,74.0,536.0
Regional School District 11,2022,ELA,29.0,29.0,100.0,28.0,,501.0
Regional School District 12,2022,ELA,70.0,65.0,92.9,65.0,69.2,529.0
Regional School District 13,2022,ELA,110.0,105.0,95.5,105.0,79.0,542.0
Regional School District 14,2022,ELA,168.0,163.0,97.0,161.0,63.4,510.0
Regional School District 15,2022,ELA,284.0,264.0,93.0,264.0,78.8,550.0
Regional School District 16,2022,ELA,153.0,152.0,99.3,151.0,60.3,514.0
Regional School District 17,2022,ELA,154.0,153.0,99.4,153.0,70.6,545.0
Regional School District 18,2022,ELA,112.0,110.0,98.2,110.0,88.2,583.0
Regional School District 19,2022,ELA,250.0,235.0,94.0,235.0,73.6,550.0
Ridgefield School District,2022,ELA,392.0,367.0,93.6,367.0,88.3,592.0
Rocky Hill School District,2022,ELA,174.0,166.0,95.4,166.0,76.5,549.0
Seymour School District,2022,ELA,155.0,146.0,94.2,144.0,56.3,503.0
Shelton School District,2022,ELA,329.0,320.0,97.3,319.0,57.4,509.0
Sherman School District,2022,ELA,,0.0,,0.0,,
Simsbury School District,2022,ELA,287.0,281.0,97.9,281.0,84.0,577.0
Somers School District,2022,ELA,109.0,105.0,96.3,105.0,66.7,521.0
South Windsor School District,2022,ELA,345.0,339.0,98.3,339.0,69.9,541.0
Southington School District,2022,ELA,528.0,509.0,96.4,509.0,69.2,522.0
Sprague School District,2022,ELA,,0.0,,0.0,,
Stafford School District,2022,ELA,87.0,84.0,96.6,84.0,61.9,512.0
Stamford School District,2022,ELA,973.0,860.0,88.4,860.0,52.0,493.0
Stonington School District,2022,ELA,143.0,139.0,97.2,138.0,73.2,537.0
Stratford School District,2022,ELA,510.0,495.0,97.1,495.0,37.4,466.0
Suffield School District,2022,ELA,166.0,164.0,98.8,164.0,68.3,530.0
The Bridge Academy District,2022,ELA,42.0,41.0,97.6,41.0,,416.0
The Gilbert School District,2022,ELA,68.0,65.0,95.6,65.0,,496.0
The Woodstock Academy District,2022,ELA,315.0,309.0,98.1,306.0,64.1,516.0
Thomaston School District,2022,ELA,61.0,61.0,100.0,61.0,68.9,510.0
Thompson School District,2022,ELA,48.0,37.0,77.1,37.0,,491.0
Tolland School District,2022,ELA,181.0,180.0,99.4,180.0,78.3,546.0
Torrington School District,2022,ELA,207.0,179.0,86.5,175.0,48.0,477.0
Trumbull School District,2022,ELA,494.0,486.0,98.4,485.0,75.5,546.0
Unified School District #2,2022,ELA,9.0,7.0,,,,
Vernon School District,2022,ELA,215.0,204.0,94.9,203.0,46.8,474.0
Wallingford School District,2022,ELA,421.0,398.0,94.5,398.0,62.3,513.0
Waterbury School District,2022,ELA,1046.0,994.0,95.0,991.0,22.7,425.0
Waterford School District,2022,ELA,178.0,176.0,98.9,176.0,69.3,529.0
Watertown School District,2022,ELA,193.0,183.0,94.8,182.0,52.7,493.0
West Hartford School District,2022,ELA,717.0,700.0,97.6,700.0,74.6,549.0
West Haven School District,2022,ELA,409.0,377.0,92.2,373.0,34.9,449.0
Westbrook School District,2022,ELA,64.0,63.0,98.4,63.0,63.5,521.0
Weston School District,2022,ELA,184.0,181.0,98.4,181.0,92.3,607.0
Westport School District,2022,ELA,437.0,435.0,99.5,435.0,90.6,604.0
Wethersfield School District,2022,ELA,292.0,287.0,98.3,287.0,57.1,502.0
Wilton School District,2022,ELA,337.0,323.0,95.8,323.0,87.3,590.0
Windham School District,2022,ELA,150.0,138.0,92.0,138.0,,424.0
Windsor Locks School District,2022,ELA,110.0,98.0,89.1,98.0,46.9,469.0
Windsor School District,2022,ELA,279.0,266.0,95.3,265.0,47.2,478.0
Wolcott School District,2022,ELA,175.0,162.0,92.6,162.0,64.8,512.0
"CT School Day SAT, 2021-22 All Districts, ELA, All Students Export .csv file  Level 1Not Met Level 2Approaching Level 3Met Level 4Exceeded Level 3&4Met or Exceeded  District TotalNumberofStudents TotalNumberTested CT SchoolDay SATParticipationRate TotalNumberwithScoredTests Count % Count % Count % Count % Count % AverageScore Achievement First Bridgeport Academy District  69  66  95.7  65  25  38.5  22  33.8 * * * * 18  27.7  444 Achievement First Hartford Academy District  72  68  94.4  68  37  54.4 * * 17  25.0 * * * * 428 Amistad Academy District  69  65  94.2  64  27  42.2  20  31.3 * * * * 17  26.6  436 Ansonia School District  118  112  94.9  111  53  47.7 * * 35  31.5 * * * * 443 Area Cooperative Educational Services  21  13  61.9  13 * * * * * * * * * * * Avon School District  229  227  99.1  227  18  7.9  25  11.0  99  43.6  85  37.4  184  81.1  576 Berlin School District  236  234  99.2  234  27  11.5  52  22.2  126  53.8  29  12.4  155  66.2  522 Bethel School District  245  238  97.1  236  29  12.3  53  22.5  121  51.3  33  14.0  154  65.3  519 Bloomfield School District  145  137  94.5  137  51  37.2  34  24.8  45  32.8  7  5.1  52  38.0  457 Bolton School District  78  71  91.0  71  9  12.7  10  14.1  32  45.1  20  28.2  52  73.2  551 Branford School District  209  202  96.7  202  49  24.3  46  22.8  85  42.1  22  10.9  107  53.0  495 Bridgeport School District  1,045  969  92.7  962  456  47.4  240  24.9  237  24.6  29  3.0  266  27.7  434 Bristol School District  603  582  96.5  581  152  26.2  131  22.5  263  45.3  35  6.0  298  51.3  482 Brookfield School District  218  210  96.3  210  18  8.6  38  18.1  121  57.6  33  15.7  154  73.3  539 Brooklyn School District * * * * * * * * * * * * * * * Canterbury School District * * * * * * * * * * * * * * * Canton School District  125  120  96.0  119  15  12.6  11  9.2  65  54.6  28  23.5  93  78.2  548 Capital Preparatory Harbor School District  53  52  98.1  52  24  46.2  18  34.6  10  19.2  0  0.0  10  19.2  426 Capitol Region Education Council  483  425  88.0  423  167  39.5  119  28.1  115  27.2  22  5.2  137  32.4  445 Cheshire School District  324  319  98.5  319  23  7.2  45  14.1  173  54.2  78  24.5  251  78.7  553 Clinton School District  159  155  97.5  152  28  18.4  19  12.5  83  54.6  22  14.5  105  69.1  519 Colchester School District  172  168  97.7  168  21  12.5  36  21.4  93  55.4  18  10.7  111  66.1  516 Common Ground High School District  54  51  94.4  50  24  48.0  16  32.0 * * * * 10  20.0  431 Connecticut Technical Education and Career System  2,663  2,575  96.7  2,563  1,075  41.9  734  28.6  700  27.3  54  2.1  754  29.4  440 Cooperative Educational Services  18  11 * 10 * * * * * * * * * * * Coventry School District  99  94  94.9  93  17  18.3  16  17.2  50  53.8  10  10.8  60  64.5  510 Cromwell School District  146  141  96.6  140  20  14.3  35  25.0  72  51.4  13  9.3  85  60.7  508 Danbury School District  775  735  94.8  734  291  39.6  166  22.6  238  32.4  39  5.3  277  37.7  457 Darien School District  338  327  96.7  327  10  3.1  28  8.6  153  46.8  136  41.6  289  88.4  599 Derby School District  66  62  93.9  62  18  29.0 * * 28  45.2 * * * * 467 East Granby School District  72  72  100.0  72  9  12.5  11  15.3  34  47.2  18  25.0  52  72.2  545 East Haddam School District  60  59  98.3  57  6  10.5  8  14.0  36  63.2  7  12.3  43  75.4  533 East Hampton School District  129  123  95.3  123  29  23.6  27  22.0  52  42.3  15  12.2  67  54.5  502 East Hartford School District  421  405  96.2  403  170  42.2  103  25.6  107  26.6  23  5.7  130  32.3  448 East Haven School District  200  182  91.0  181  69  38.1  36  19.9  65  35.9  11  6.1  76  42.0  461 East Lyme School District  250  239  95.6  239  13  5.4  30  12.6  122  51.0  74  31.0  196  82.0  571 East Windsor School District  62  61  98.4  59  20  33.9  20  33.9 * * * * 19  32.2  464 Eastern Connecticut Regional Educational Service Center (EASTCONN)  95  87  91.6  87  25  28.7 * * 41  47.1 * * * * 483 Eastford School District * * * * * * * * * * * * * * * EdAdvance  7 * * * * * * * * * * * * * * Ellington School District  193  182  94.3  182  26  14.3  28  15.4  93  51.1  35  19.2  128  70.3  535 Elm City College Preparatory School District  45  42  93.3  42  15  35.7  17  40.5  10  23.8  0  0.0  10  23.8  427 Enfield School District  357  349  97.8  349  72  20.6  94  26.9  160  45.8  23  6.6  183  52.4  485 Explorations District  22  21  95.5  21  8  38.1 * * * * * * * * 478 Fairfield School District  735  702  95.5  702  58  8.3  80  11.4  366  52.1  198  28.2  564  80.3  562 Farmington School District  295  289  98.0  288  21  7.3  32  11.1  139  48.3  96  33.3  235  81.6  573 Glastonbury School District  473  457  96.6  455  34  7.5  61  13.4  227  49.9  133  29.2  360  79.1  563 Goodwin University Educational Services (GUES)  122  113  92.6  112  41  36.6 * * 44  39.3 * * * * 457 Granby School District  124  123  99.2  123  13  10.6  16  13.0  64  52.0  30  24.4  94  76.4  547 Great Oaks Charter School District  73  67  91.8  67  38  56.7  23  34.3  6  9.0  0  0.0  6  9.0  408 Greenwich School District  671  658  98.1  655  67  10.2  79  12.1  276  42.1  233  35.6  509  77.7  570 Griswold School District  116  111  95.7  111  29  26.1  20  18.0  53  47.7  9  8.1  62  55.9  487 Groton School District  221  197  89.1  197  42  21.3  41  20.8  94  47.7  20  10.2  114  57.9  495 Guilford School District  289  284  98.3  284  17  6.0  39  13.7  145  51.1  83  29.2  228  80.3  565 Hamden School District  416  375  90.1  371  97  26.1  89  24.0  146  39.4  39  10.5  185  49.9  486 Hartford School District  1,029  775  75.3  773  395  51.1  128  16.6  215  27.8  35  4.5  250  32.3  436 Highville Charter School District  11  10 * 10 * * * * * * * * * * * Jumoke Academy District  7  7 * 6 * * * * * * * * * * * Killingly School District  174  161  92.5  160  27  16.9  38  23.8  82  51.3  13  8.1  95  59.4  504 Learn  96  96  100.0  96  6  6.3  15  15.6  47  49.0  28  29.2  75  78.1  565 Lebanon School District  71  70  98.6  70  7  10.0  21  30.0  34  48.6  8  11.4  42  60.0  509 Ledyard School District  191  191  100.0  191  32  16.8  35  18.3  95  49.7  29  15.2  124  64.9  517 Litchfield School District  57  56  98.2  55  11  20.0  10  18.2  22  40.0  12  21.8  34  61.8  529 Madison School District  219  215  98.2  215  14  6.5  37  17.2  110  51.2  54  25.1  164  76.3  553 Manchester School District  397  323  81.4  322  103  32.0  85  26.4  120  37.3  14  4.3  134  41.6  461 Meriden School District  582  538  92.4  537  208  38.7  139  25.9  158  29.4  32  6.0  190  35.4  453 Middletown School District  321  299  93.1  299  104  34.8  72  24.1  99  33.1  24  8.0  123  41.1  463 Milford School District  402  379  94.3  378  54  14.3  88  23.3  191  50.5  45  11.9  236  62.4  514 Monroe School District  250  239  95.6  237  16  6.8  37  15.6  131  55.3  53  22.4  184  77.6  548 Montville School District  106  102  96.2  101  19  18.8  19  18.8  48  47.5  15  14.9  63  62.4  509 Naugatuck School District  316  258  81.6  258  71  27.5  69  26.7  103  39.9  15  5.8  118  45.7  471 New Britain School District  501  447  89.2  443  213  48.1  100  22.6  118  26.6  12  2.7  130  29.3  436 New Canaan School District  327  314  96.0  314  13  4.1  26  8.3  160  51.0  115  36.6  275  87.6  587 New Fairfield School District  147  143  97.3  143  18  12.6  32  22.4  80  55.9  13  9.1  93  65.0  513 New Haven School District  1,233  1,027  83.3  1,020  502  49.2  230  22.5  224  22.0  64  6.3  288  28.2  439 New London School District  163  148  90.8  148  78  52.7  29  19.6  35  23.6  6  4.1  41  27.7  433 New Milford School District  332  307  92.5  307  35  11.4  65  21.2  154  50.2  53  17.3  207  67.4  528 Newington School District  320  313  97.8  311  62  19.9  72  23.2  150  48.2  27  8.7  177  56.9  498 Newtown School District  360  345  95.8  345  34  9.9  61  17.7  178  51.6  72  20.9  250  72.5  539 North Branford School District  116  114  98.3  114  16  14.0  20  17.5  66  57.9  12  10.5  78  68.4  518 North Haven School District  208  197  94.7  197  26  13.2  42  21.3  107  54.3  22  11.2  129  65.5  516 North Stonington School District  56  56  100.0  56 * * * * 29  51.8  19  33.9  48  85.7  566 Norwalk School District  914  846  92.6  843  264  31.3  191  22.7  300  35.6  88  10.4  388  46.0  477 Norwich Free Academy District  537  478  89.0  475  142  29.9  97  20.4  200  42.1  36  7.6  236  49.7  479 Norwich School District * * * * * * * * * * * * * * * Old Saybrook School District  94  91  96.8  91  14  15.4  15  16.5  38  41.8  24  26.4  62  68.1  538 Oxford School District  140  139  99.3  139  16  11.5  33  23.7  67  48.2  23  16.5  90  64.7  519 Plainfield School District  137  124  90.5  121 * * 37  30.6  45  37.2 * * * * 463 Plainville School District  157  152  96.8  152  37  24.3  32  21.1  74  48.7  9  5.9  83  54.6  491 Plymouth School District  88  81  92.0  81 * * 23  28.4  40  49.4 * * * * 490 Portland School District  77  76  98.7  76  13  17.1  13  17.1  41  53.9  9  11.8  50  65.8  514 Putnam School District  61  59  96.7  59 * * 19  32.2  23  39.0 * * * * 470 Regional School District 01  87  84  96.6  84  18  21.4  20  23.8  38  45.2  8  9.5  46  54.8  493 Regional School District 04  131  124  94.7  122  11  9.0  13  10.7  63  51.6  35  28.7  98  80.3  563 Regional School District 05  318  307  96.5  307  9  2.9  32  10.4  173  56.4  93  30.3  266  86.6  576 Regional School District 06  99  97  98.0  97  9  9.3  15  15.5  51  52.6  22  22.7  73  75.3  549 Regional School District 07  159  149  93.7  149  19  12.8  28  18.8  78  52.3  24  16.1  102  68.5  521 Regional School District 08  203  200  98.5  199  19  9.5  24  12.1  113  56.8  43  21.6  156  78.4  549 Regional School District 09  200  195  97.5  195  9  4.6  26  13.3  107  54.9  53  27.2  160  82.1  571 Regional School District 10  161  154  95.7  154  10  6.5  30  19.5  85  55.2  29  18.8  114  74.0  536 Regional School District 11  29  29  100.0  28 * * 8  28.6  8  28.6 * * * * 501 Regional School District 12  70  65  92.9  65  7  10.8  13  20.0  34  52.3  11  16.9  45  69.2  529 Regional School District 13  110  105  95.5  105  11  10.5  11  10.5  60  57.1  23  21.9  83  79.0  542 Regional School District 14  168  163  97.0  161  24  14.9  35  21.7  83  51.6  19  11.8  102  63.4  510 Regional School District 15  284  264  93.0  264  19  7.2  37  14.0  148  56.1  60  22.7  208  78.8  550 Regional School District 16  153  152  99.3  151  21  13.9  39  25.8  73  48.3  18  11.9  91  60.3  514 Regional School District 17  154  153  99.4  153  13  8.5  32  20.9  73  47.7  35  22.9  108  70.6  545 Regional School District 18  112  110  98.2  110 * * * * 59  53.6  38  34.5  97  88.2  583 Regional School District 19  250  235  94.0  235  15  6.4  47  20.0  122  51.9  51  21.7  173  73.6  550 Ridgefield School District  392  367  93.6  367  10  2.7  33  9.0  178  48.5  146  39.8  324  88.3  592 Rocky Hill School District  174  166  95.4  166  12  7.2  27  16.3  89  53.6  38  22.9  127  76.5  549 Seymour School District  155  146  94.2  144  24  16.7  39  27.1  67  46.5  14  9.7  81  56.3  503 Shelton School District  329  320  97.3  319  59  18.5  77  24.1  135  42.3  48  15.0  183  57.4  509 Sherman School District * 0 * 0 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A Simsbury School District  287  281  97.9  281  17  6.0  28  10.0  141  50.2  95  33.8  236  84.0  577 Somers School District  109  105  96.3  105  12  11.4  23  21.9  59  56.2  11  10.5  70  66.7  521 South Windsor School District  345  339  98.3  339  42  12.4  60  17.7  160  47.2  77  22.7  237  69.9  541 Southington School District  528  509  96.4  509  71  13.9  86  16.9  292  57.4  60  11.8  352  69.2  522 Sprague School District * 0 * 0 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A Stafford School District  87  84  96.6  84  9  10.7  23  27.4  46  54.8  6  7.1  52  61.9  512 Stamford School District  973  860  88.4  860  243  28.3  170  19.8  322  37.4  125  14.5  447  52.0  493 Stonington School District  143  139  97.2  138  26  18.8  11  8.0  68  49.3  33  23.9  101  73.2  537 Stratford School District  510  495  97.1  495  147  29.7  163  32.9  154  31.1  31  6.3  185  37.4  466 Suffield School District  166  164  98.8  164  18  11.0  34  20.7  81  49.4  31  18.9  112  68.3  530 The Bridge Academy District  42  41  97.6  41  20  48.8  16  39.0 * * * * * * 416 The Gilbert School District  68  65  95.6  65 * * 17  26.2  32  49.2 * * * * 496 The Woodstock Academy District  315  309  98.1  306  51  16.7  59  19.3  156  51.0  40  13.1  196  64.1  516 Thomaston School District  61  61  100.0  61  9  14.8  10  16.4  35  57.4  7  11.5  42  68.9  510 Thompson School District  48  37  77.1  37 * * 11  29.7  20  54.1 * * * * 491 Tolland School District  181  180  99.4  180  10  5.6  29  16.1  109  60.6  32  17.8  141  78.3  546 Torrington School District  207  179  86.5  175  45  25.7  46  26.3  73  41.7  11  6.3  84  48.0  477 Trumbull School District  494  486  98.4  485  53  10.9  66  13.6  257  53.0  109  22.5  366  75.5  546 Unified School District #2  9  7 * * * * * * * * * * * * * Vernon School District  215  204  94.9  203  71  35.0  37  18.2  77  37.9  18  8.9  95  46.8  474 Wallingford School District  421  398  94.5  398  65  16.3  85  21.4  187  47.0  61  15.3  248  62.3  513 Waterbury School District  1,046  994  95.0  991  512  51.7  254  25.6  206  20.8  19  1.9  225  22.7  425 Waterford School District  178  176  98.9  176  20  11.4  34  19.3  95  54.0  27  15.3  122  69.3  529 Watertown School District  193  183  94.8  182  41  22.5  45  24.7  74  40.7  22  12.1  96  52.7  493 West Hartford School District  717  700  97.6  700  78  11.1  100  14.3  334  47.7  188  26.9  522  74.6  549 West Haven School District  409  377  92.2  373  141  37.8  102  27.3  116  31.1  14  3.8  130  34.9  449 Westbrook School District  64  63  98.4  63  13  20.6  10  15.9  29  46.0  11  17.5  40  63.5  521 Weston School District  184  181  98.4  181 * * * * 85  47.0  82  45.3  167  92.3  607 Westport School District  437  435  99.5  435  16  3.7  25  5.7  202  46.4  192  44.1  394  90.6  604 Wethersfield School District  292  287  98.3  287  58  20.2  65  22.6  129  44.9  35  12.2  164  57.1  502 Wilton School District  337  323  95.8  323  7  2.2  34  10.5  168  52.0  114  35.3  282  87.3  590 Windham School District  150  138  92.0  138  76  55.1 * * 30  21.7 * * * * 424 Windsor Locks School District  110  98  89.1  98  31  31.6  21  21.4  35  35.7  11  11.2  46  46.9  469 Windsor School District  279  266  95.3  265  77  29.1  63  23.8  107  40.4  18  6.8  125  47.2  478 Wolcott School District  175  162  92.6  162  21  13.0  36  22.2  90  55.6  15  9.3  105  64.8  512 * The data are suppressed to ensure confidentiality. For more information, please view the Suppression Guidelines.",2022,ELA,,,,,,
