town_code,district_code,town,fiscal_year,source_sheet,source_file,source_type,count_date,drg,wealth_decile,alliance_flag,psd_flag,reform_flag,pic_rank_raw,pic_score,resident_students,frpl_count,frpl_pct,frpl_weighted,conc_pov_threshold,conc_pov_threshold_students,excess_frpl_students,excess_frpl_weighted,conc_pov_students_above_threshold,ell_count,ell_pct,ell_weighted,need_students,engl_grand_list_years,engl_avg,population_year,population,engl_per_capita,engl_median,engl_threshold,engl_factor,mhi_year,mhi,mhi_median,mhi_threshold,mhi_factor,wealth_adj_factor,base_aid_ratio,pic_bar_adjustment,final_base_aid_ratio,rsd_students,rsd_grades,rsd_per_pupil_bonus,rsd_bonus,endowed_students,endowed_grades,endowed_bonus,foundation,base_formula_aid,fully_funded_grant,fully_funded_grant_hh,fy2017_actual,fy2018_statutory_pre_holdback,prior_year_entitlement,phase_in_gap_base,phase_in_start_base,hh_floor_fy2017,grant_adjustment,ff_greater_than_prior,phase_in_amount,entitlement_no_hh,entitlement,derived_columns,backend_resident_students,backend_frpl_count,backend_ell_count,backend_engl_per_capita,backend_mhi,backend_fully_funded_grant,backend_final_base_aid_ratio,backend_pic_score
34,34,Danbury,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,H,,,,,56,238.8940024965255,11118.86,6128,0.5511356380060546,,0.75,,,0.0,,2814.0,0.2530834995674016,,,,,,,119087.52,,,,,65981,,,,,,,,,,,,,,,11525.0,,55029870,,31290480,31290480.0,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,11118.86,6128,2814,119087.52,65981,55029870,,238.8940024965255
35,35,Darien,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,A,,,,,167,43.05508106193665,4797.17,108,0.0225132734508053,,0.75,,,0.0,,11.0,0.0022930185922116,,,,,,,580917.25,,,,,199444,,,,,,,,,,,,,,,11525.0,,556798,,406683,386348.85,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,4797.17,108,11,580917.25,199444,556798,,43.05508106193665
36,36,Deep River,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,116,213.9602220331768,613.78,122,0.1987682883117729,,0.75,,,0.0,,12.0,0.0195509791782071,,,,,,,149439.25,,,,,65577,,,,,,,,,,,,,,,11525.0,,1821045,,1675092,1591337.4,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,613.78,122,12,149439.25,65577,1821045,,213.9602220331768
37,37,Derby,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,H,,,,,12,312.45347171029346,1536.13,909,0.5917467922636755,,0.75,,,0.0,,58.0,0.0377572210685293,,,,,,,75756.72,,,,,52136,,,,,,,,,,,,,,,11525.0,,12630035,,7902388,7902388.0,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,1536.13,909,58,75756.72,52136,12630035,,312.45347171029346
38,38,Durham,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,C,,,,,118,213.2716605294517,1166.48,97,0.0831561621287977,,0.75,,,0.0,,4.0,0.0034291200877854,,,,,,,139110.37,,,,,117328,,,,,,,,,,,,,,,11525.0,,2019767,,3895303,3700537.85,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,1166.48,97,4,139110.37,117328,2019767,,213.2716605294517
39,39,Eastford,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,101,219.5507338901947,187.15,23,0.1228960726689821,,0.75,,,0.0,,0.0,0.0,,,,,,,118136.6,,,,,73173,,,,,,,,,,,,,,,11525.0,,762172,,1091881,1037286.95,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,187.15,23,0,118136.6,73173,762172,,219.5507338901947
40,40,East Granby,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,D,,,,,121,211.70852061102377,890.23,77,0.0864945014209811,,0.75,,,0.0,,6.0,0.0067398312795569,,,,,,,161075.86,,,,,71272,,,,,,,,,,,,,,,11525.0,,1891576,,1439845,1367852.75,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,890.23,77,6,161075.86,71272,1891576,,211.70852061102377
41,41,East Haddam,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,E,,,,,97,220.73089619361576,1065.33,165,0.1548815859874405,,0.75,,,0.0,,1.0,0.0009386762787117,,,,,,,132752.67,,,,,82773,,,,,,,,,,,,,,,11525.0,,3311983,,3686134,3501827.3,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,1065.33,165,1,132752.67,82773,3311983,,220.73089619361576
42,42,East Hampton,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,D,,,,,103,219.2546890088477,1973.11,264,0.1337989265677027,,0.75,,,0.0,,8.0,0.004054512926294,,,,,,,124324.7,,,,,96066,,,,,,,,,,,,,,,11525.0,,6008550,,7538993,7162043.35,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,1973.11,264,8,124324.7,96066,6008550,,219.2546890088477
43,43,East Hartford,2018,backend_data,ecs_component_tool.xlsx,SSFP copy of OFA shell (core inputs only),10/2016,H,,,,,8,351.0347803005978,7968.32,4702,0.5900867435042769,,0.75,,,0.0,,752.0,0.0943737199309264,,,,,,,75540.59,,,,,50355,,,,,,,,,,,,,,,11525.0,,67679125,,49075156,49075156.0,,n/a (PA 17-2 statutory amounts and holdbacks),,False,,,,,,fy2017_actual=CSDE FY2017 entitlement; drg=other years,7968.32,4702,752,75540.59,50355,67679125,,351.0347803005978
