town_code,grade,subject,fiscal_year,policy_year,delta_2018,exposure,delta_sd,delta_gcs,k,gcs_baseline,gcs_simulated,n_tests,town,resident_students,frpl_share,delta_nominal_per_student
10,8,mth,2024,2,90.21537534127391,2,0.0006444815270806394,0.002388168531228797,3.705565529622981,9.708269992520842,9.71065816105207,102.33333333333331,Bethlehem,358.66,0.32063793007304964,112.70562649863379
10,8,rla,2024,2,90.21537534127391,2,0.0006444815270806394,0.0021273306204813037,3.3008403361344536,9.071011623440397,9.073138954060878,102.66666666666669,Bethlehem,358.66,0.32063793007304964,112.70562649863379
10,3,mth,2025,3,89.29143863465106,3,0.0010699552080823186,0.0028865099210263877,2.6977857570317187,3.294105011611748,3.2969915215327745,96.66666666666669,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,3,rla,2025,3,89.29143863465106,3,0.0010699552080823186,0.0037043827372261777,3.462184873949579,3.728966374579636,3.7326707573168623,97.0,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,4,mth,2025,3,89.29143863465106,3,0.0010699552080823186,0.003081163651281938,2.8797127468581696,5.124143713969989,5.127224877621271,92.66666666666669,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,4,rla,2025,3,89.29143863465106,3,0.0010699552080823186,0.003644441268986272,3.406162464985994,5.19465862651625,5.198303067785236,92.66666666666669,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,5,mth,2025,3,89.29143863465106,3,0.0010699552080823186,0.003296307247880178,3.0807899461400368,5.678038536756813,5.681334844004693,98.0,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,5,rla,2025,3,89.29143863465106,3,0.0010699552080823186,0.003606078729312733,3.3703081232492997,5.935110470850193,5.938716549579506,98.0,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,6,mth,2025,3,89.29143863465106,3,0.0010699552080823186,0.003508889611185582,3.279473369239977,6.411538127511655,6.41504701712284,96.0,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,6,rla,2025,3,89.29143863465106,3,0.0010699552080823186,0.0035653185309095963,3.332212885154061,7.16175858597498,7.16532390450589,96.0,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,7,mth,2025,3,89.29143863465106,3,0.0010699552080823186,0.003736839374248004,3.49251944943148,7.733683336310652,7.737420175684901,105.66666666666669,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,7,rla,2025,3,89.29143863465106,3,0.0010699552080823186,0.0035413419436136346,3.3098039215686272,7.855234640395802,7.858775982339416,106.0,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,8,mth,2025,3,89.29143863465106,3,0.0010699552080823186,0.003964789137310423,3.705565529622981,9.708269992520842,9.712234781658152,102.33333333333331,Bethlehem,353.07,0.2549069589599796,114.49004446710285
10,8,rla,2025,3,89.29143863465106,3,0.0010699552080823186,0.0035317513086952496,3.3008403361344536,9.071011623440397,9.074543374749092,102.66666666666669,Bethlehem,353.07,0.2549069589599796,114.49004446710285
