district,district_code,school,school_code,low_grade,high_grade,enrollment,pct_high_needs,ppe_instruction,ppe_support_services_students,ppe_improvement_of_instruction,ppe_library_and_media_services,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_operation_and_maintenance_of_plant,ppe_transportation_other_than_to_from_home,ppe_enterprise_operations,ppe_minor_school_construction,ppe_total,fiscal_year,cpi_u,deflator,ppe_instruction_real,ppe_support_services_students_real,ppe_improvement_of_instruction_real,ppe_library_and_media_services_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_operation_and_maintenance_of_plant_real,ppe_transportation_other_than_to_from_home_real,ppe_enterprise_operations_real,ppe_minor_school_construction_real,ppe_total_real
Regional School District 05,2050012,Amity Middle School: Bethany,2055112,7,8,330,13.9,10430,1075,215,521,0,1750,2146,42,256,0.0,16437,2018,251.1,1.282206292313819,13373.411628833133,1378.3717642373556,275.6743528474711,668.0294782954998,0.0,2243.8610115491833,2751.614703305456,53.8526642771804,328.2448108323377,0.0,21075.624826762243
Regional School District 05,2050012,Amity Middle School: Orange,2055212,7,8,391,14.8,9044,1038,221,381,0,1458,1734,36,206,0.0,14118,2018,251.1,1.282206292313819,11596.27370768618,1330.9301314217441,283.36759060135404,488.5205973715651,0.0,1869.4567741935482,2223.3457108721623,46.15942652329749,264.1344962166467,0.0,18102.1884348865
Regional School District 05,2050012,Amity Regional High School,2056112,9,12,1476,16.1,9528,1220,208,196,0,1363,1502,102,645,0.0,14765,2018,251.1,1.282206292313819,12216.861553166069,1564.2916766228593,266.6989088012744,251.31243329350855,0.0,1747.6471764237353,1925.8738510553562,130.78504181600954,827.0230585424133,0.0,18931.77590601354
Regional School District 06,2060012,Goshen Center School,2060112,PK,6,195,23.1,8156,1677,75,46,39,1012,1287,0,0,3724.0,16018,2018,251.1,1.282206292313819,10457.674520111508,2150.2599522102746,96.16547192353643,58.98148944643568,50.006045400238946,1297.5927678215849,1650.1994982078852,0.0,0.0,4774.936232576662,20538.380390282753
Regional School District 06,2060012,James Morris School,2060212,PK,6,134,30.6,9643,1803,95,61,42,1624,1711,0,2,3510.0,18490,2018,251.1,1.282206292313819,12364.315276782158,2311.817945041816,121.80959776981281,78.21458383114296,53.8526642771804,2082.3030187176423,2193.8549661489446,0.0,2.564412584627638,4500.544086021505,23707.994344882514
Regional School District 06,2060012,Wamogo Regional High School,2066112,7,12,522,27.2,8052,1541,123,240,263,904,1786,97,599,529.0,14133,2018,251.1,1.282206292313819,10324.325065710871,1975.8798964555951,157.71137395459974,307.7295101553166,337.22025487853443,1159.1144882516924,2290.020438072481,124.37401035444046,768.0415690959776,678.2871286340103,18121.421529271207
Regional School District 06,2060012,Warren Elementary School,2060312,PK,6,67,19.4,10417,2575,96,723,314,2483,2724,0,27,6480.0,25839,2018,251.1,1.282206292313819,13356.742947033053,3301.681202708084,123.09180406212664,927.0351493428913,402.6127757865392,3183.7182238152127,3492.7299402628432,0.0,34.619569892473116,8308.696774193548,33130.92838709677
Regional School District 07,2070012,Northwestern Regional High School,2076112,9,12,704,13.4,10337,1177,20,127,0,1129,2305,82,552,0.0,15728,2018,251.1,1.282206292313819,13254.166443647948,1509.156806053365,25.64412584627638,162.84019912385503,0.0,1447.6109040223018,2955.485503783353,105.14091596973317,707.7778733572281,0.0,20166.540565511747
Regional School District 07,2070012,Northwestern Regional Middle School,2075112,7,8,296,20.9,13045,1379,14,127,0,1164,2584,25,326,0.0,18664,2018,251.1,1.282206292313819,16726.38108323377,1768.1624771007566,17.950888092393466,162.84019912385503,0.0,1492.4881242532854,3313.2210593389086,32.05515730784548,417.99925129430505,0.0,23931.09823974512
Regional School District 08,2080012,RHAM High School,2086112,9,12,1013,17.1,7063,727,0,62,382,981,16,79,436,0.0,9746,2018,251.1,1.282206292313819,9056.223042612504,932.1639745121465,0.0,79.49679012345679,489.8028036638789,1257.8443727598565,20.515300677021106,101.29429709279171,559.0419434488251,0.0,12496.382524890481
Regional School District 08,2080012,RHAM Middle School,2085112,7,8,467,20.3,7674,767,0,86,538,1136,18,31,225,0.0,10475,2018,251.1,1.282206292313819,9839.651087216247,983.4522262046993,0.0,110.26974113898844,689.8269852648347,1456.5863480684984,23.079713261648745,39.748395061728395,288.4964157706093,0.0,13431.110911987254
Regional School District 09,2090012,Joel Barlow High School,2096112,9,12,893,13.2,15240,332,0,355,0,1077,2363,170,0,0.0,19537,2018,251.1,1.282206292313819,19540.823894862602,425.69248904818795,0.0,455.1832337714058,0.0,1380.9361768219833,3029.8534687375545,217.97506969334924,0.0,0.0,25050.464332935084
Regional School District 10,2100012,Har-Bur Middle School,2105112,5,8,767,16.0,9722,961,324,481,0,822,1084,9,0,0.0,13404,2018,251.1,1.282206292313819,12465.60957387495,1232.2002469135803,415.43483870967736,616.741226602947,0.0,1053.9735722819594,1389.9116208681799,11.539856630824373,0.0,0.0,17186.69314217443
Regional School District 10,2100012,Harwinton Consolidated School,2100312,PK,4,361,21.3,8915,803,147,717,0,1039,2531,0,0,0.0,14152,2018,251.1,1.282206292313819,11430.869095977698,1029.6116527279967,188.4843249701314,919.3419115890083,0.0,1332.212337714058,3245.2641258462763,0.0,0.0,0.0,18145.78344882517
Regional School District 10,2100012,Lake Garda Elementary School,2100212,PK,4,445,18.9,8020,850,146,487,0,880,1021,0,0,0.0,11404,2018,251.1,1.282206292313819,10283.29446435683,1089.8753484667463,187.2021186778176,624.43446435683,0.0,1128.3415372361608,1309.1326244524093,0.0,0.0,0.0,14622.280557546794
Regional School District 10,2100012,Lewis S. Mills High School,2106112,9,12,762,15.5,9562,1235,395,507,0,751,1602,107,0,0.0,14160,2018,251.1,1.282206292313819,12260.456567104738,1583.5247710075666,506.4714854639586,650.0785902031063,0.0,962.9369255276781,2054.0944802867384,137.19607327757865,0.0,0.0,18156.041099163678
Regional School District 11,2110012,Parish Hill High School,2116112,7,12,233,46.8,11683,2045,0,415,397,2034,2931,178,992,0.0,20676,2018,251.1,1.282206292313819,14980.016113102349,2622.11186778176,0.0,532.115611310235,509.0358980485862,2608.007598566308,3758.1466427718037,228.2327200318598,1271.9486419753086,0.0,26510.897299880522
Regional School District 12,2120012,Booth Free School,2120212,K,5,70,12.9,18085,2836,1952,0,0,2381,3424,31,65,220.0,28995,2018,251.1,1.282206292313819,23188.700796495417,3636.337045001991,2502.8666825965747,0.0,0.0,3052.9331819992035,4390.274344882517,39.748395061728395,83.34340900039824,282.0853843090402,37177.57144563919
Regional School District 12,2120012,Shepaug Valley School,2120312,6,12,423,21.5,13108,2108,1687,0,0,1474,3258,137,1066,348.0,23186,2018,251.1,1.282206292313819,16807.16007964954,2702.890864197531,2163.082015133413,0.0,0.0,1889.9720748705693,4177.428100358423,175.66226204699322,1366.831907606531,446.20778972520907,29729.23509358821
Regional School District 12,2120012,The Burnham School,2120112,K,5,49,12.2,20194,3177,2150,0,0,3424,4168,50,110,570.0,33844,2018,251.1,1.282206292313819,25892.873866985265,4073.5693906810034,2756.743528474711,0.0,0.0,4390.274344882517,5344.235826363998,64.11031461569095,141.0426921545201,730.8575866188769,43394.98975706889
Regional School District 12,2120012,Washington Primary School,2120412,PK,5,147,25.2,12020,2395,1414,0,0,1777,3021,24,37,161.0,20849,2018,251.1,1.282206292313819,15412.119633612107,3070.8840700915966,1813.0396973317402,0.0,0.0,2278.4805814416563,3873.5452090800477,30.77295101553166,47.44163281561131,206.43521306252487,26732.718988450815
Regional School District 13,2130012,Coginchaug Regional High School,2136112,9,12,532,21.6,10229,2152,242,354,59,1522,2277,114,0,0.0,16948,2018,251.1,1.282206292313819,13115.688164078056,2759.3079410593386,310.2939227399442,453.90102747909197,75.65017124651533,1951.5179769016327,2919.583727598566,146.1715173237754,0.0,0.0,21730.832242134606
Regional School District 13,2130012,Frank Ward Strong School,2135112,7,8,287,20.9,9343,2569,242,271,583,1472,2069,32,0,0.0,16581,2018,251.1,1.282206292313819,11979.653389088013,3293.9879649542013,310.2939227399442,347.47790521704496,747.5262684189565,1887.4076622859418,2652.8848187972917,41.03060135404221,0.0,0.0,21260.262532855435
Regional School District 13,2130012,Frederick Brewster School,2130112,PK,3,263,22.8,8130,3544,248,385,2074,1466,1825,0,0,0.0,17671,2018,251.1,1.282206292313819,10424.337156511348,4544.1390999601745,317.98716049382716,493.64942254082035,2659.295850258861,1879.7144245320587,2340.02648347272,0.0,0.0,0.0,22657.8673914775
Regional School District 13,2130012,John Lyman School,2130512,K,4,237,18.1,8565,2914,240,332,2111,1429,1751,0,0,0.0,17342,2018,251.1,1.282206292313819,10982.09689366786,3736.349135802469,307.7295101553166,425.69248904818795,2706.737483074472,1832.2727917164475,2245.143217841497,0.0,0.0,0.0,22236.02152130625
Regional School District 13,2130012,Middlefield Memorial School,2130412,4,6,330,24.8,8345,2208,241,375,1304,1224,1656,0,0,0.0,15353,2018,251.1,1.282206292313819,10700.011509358821,2831.1114934289126,309.0117164476304,480.8273596176822,1671.9970051772202,1569.4205017921147,2123.3336200716844,0.0,0.0,0.0,19685.713205894066
Regional School District 14,2140012,Bethlehem Elementary School,2140112,PK,5,267,28.8,9212,2270,184,427,503,1198,2431,0,0,0.0,16225,2018,251.1,1.282206292313819,11811.6843647949,2910.6082835523694,235.92595778574272,547.5020868180007,644.949765033851,1536.0831381919552,3117.043496614894,0.0,0.0,0.0,20803.797092791716
Regional School District 14,2140012,Mitchell Elementary School,2140212,PK,5,369,20.6,8743,1511,186,369,504,1016,1891,4,0,0.0,14224,2018,251.1,1.282206292313819,11210.32961369972,1937.4137076861807,238.49037037037036,473.13412186379924,646.2319713261649,1302.7215929908402,2424.652098765432,5.128825169255276,0.0,0.0,18238.102301871764
Regional School District 14,2140012,Nonnewaug High School,2146112,9,12,710,20.7,10725,1549,198,153,594,1175,1865,152,0,0.0,16411,2018,251.1,1.282206292313819,13751.66248506571,1986.137546794106,253.87684587813618,196.17756272401434,761.6305376344086,1506.5923934687376,2391.314735165273,194.8953564317005,0.0,0.0,21042.287463162087
Regional School District 14,2140012,Woodbury Middle School,2145112,6,8,358,20.9,9658,2071,184,356,760,1345,2638,28,0,0.0,17040,2018,251.1,1.282206292313819,12383.548371166866,2655.449231381919,235.92595778574272,456.4654400637196,974.4767821585025,1724.5674631620866,3382.4601991238546,35.90177618478693,0.0,0.0,21848.795221027478
Regional School District 15,2150012,Gainfield Elementary School,2150412,PK,5,347,20.7,9171,1192,186,455,0,1160,1525,1,18,0.0,13707,2018,251.1,1.282206292313819,11759.113906810035,1528.3899004380723,238.49037037037036,583.4038630027877,0.0,1487.3592990840302,1955.364595778574,1.282206292313819,23.079713261648745,0.0,17575.20164874552
Regional School District 15,2150012,Long Meadow Elementary School,2150712,PK,5,506,27.9,10158,1725,59,304,0,904,1765,0,17,0.0,14931,2018,251.1,1.282206292313819,13024.651517323775,2211.805854241338,75.65017124651533,389.790712863401,0.0,1159.1144882516924,2263.0941059338907,0.0,21.797506969334925,0.0,19144.622150537634
Regional School District 15,2150012,Memorial Middle School,2155212,6,8,439,21.4,10009,1181,51,200,0,1370,1490,1,158,0.0,14462,2018,251.1,1.282206292313819,12833.602779769015,1514.2856312226204,65.39252090800477,256.4412584627638,0.0,1756.6226204699321,1910.4873755475905,1.282206292313819,202.58859418558342,0.0,18543.26739944245
Regional School District 15,2150012,Middlebury Elementary School,2150612,PK,5,297,23.9,10757,1522,214,528,0,1270,1692,2,22,0.0,16007,2018,251.1,1.282206292313819,13792.693086419753,1951.5179769016327,274.3921465551573,677.0049223416964,0.0,1628.4019912385502,2169.493046594982,2.564412584627638,28.20853843090402,0.0,20524.2761210673
Regional School District 15,2150012,Pomperaug Elementary School,2150512,PK,5,328,20.1,10922,2089,189,420,0,1281,2005,0,22,0.0,16929,2018,251.1,1.282206292313819,14004.257124651533,2678.528944643568,242.3369892473118,538.5266427718041,0.0,1642.5062604540024,2570.8236160892075,0.0,28.20853843090402,0.0,21706.470322580644
Regional School District 15,2150012,Pomperaug Regional High School,2156212,9,12,1197,18.0,9215,894,64,250,319,1294,2003,7,292,0.0,14339,2018,251.1,1.282206292313819,11815.530983671842,1146.2924253285544,82.06120270808442,320.5515730784548,409.0238072481083,1659.174942254082,2568.2592035045795,8.975444046196733,374.4042373556352,0.0,18385.55602548785
Regional School District 15,2150012,Rochambeau Middle School,2155112,6,8,484,20.5,9946,1059,51,256,0,1270,1657,1,137,0.0,14376,2018,251.1,1.282206292313819,12752.823783353246,1357.8564635603345,65.39252090800477,328.2448108323377,0.0,1628.4019912385502,2124.615826363998,1.282206292313819,175.66226204699322,0.0,18432.997658303462
Regional School District 16,2160012,Laurel Ledge School,2160112,PK,5,344,37.2,8118,1323,193,533,0,803,1369,0,0,0.0,12338,2018,251.1,1.282206292313819,10408.950681003584,1696.3589247311827,247.4658144165671,683.4159538032656,0.0,1029.6116527279967,1755.3404141776184,0.0,0.0,0.0,15819.8612345679
Regional School District 16,2160012,Long River Middle School,2165112,6,8,556,26.3,7942,1413,196,662,0,728,1433,0,19,0.0,12393,2018,251.1,1.282206292313819,10183.28237355635,1811.7574910394264,251.31243329350855,848.8205655117482,0.0,933.4461808044603,1837.4016168857029,0.0,24.36191955396256,0.0,15890.38258064516
Regional School District 16,2160012,Prospect Elementary School,2160512,PK,5,609,24.1,8124,1182,195,406,0,830,941,0,0,0.0,11679,2018,251.1,1.282206292313819,10416.643918757467,1515.5678375149341,250.03022700119473,520.5757546794106,0.0,1064.23122262047,1206.5561210673038,0.0,0.0,0.0,14974.887287933094
Regional School District 16,2160012,Woodland Regional High School,2166012,9,12,666,21.2,8952,1683,197,726,0,1135,2285,0,662,0.0,15639,2018,251.1,1.282206292313819,11478.310728793309,2157.9531899641574,252.59463958582236,930.8817682198327,0.0,1455.3041417761847,2929.8413779370767,0.0,848.8205655117482,0.0,20052.424205495816
Regional School District 17,2170012,Burr District Elementary School,2170212,PK,4,263,30.0,11129,1263,12,539,0,1152,1454,0,0,0.0,15549,2018,251.1,1.282206292313819,14269.673827160494,1619.4265471923536,15.38647550776583,691.1091915571485,0.0,1477.1016487455197,1864.327949024293,0.0,0.0,0.0,19937.025639187574
Regional School District 17,2170012,Haddam Elementary School,2170112,K,4,190,24.7,11053,1031,16,662,0,1471,1778,0,0,0.0,16010,2018,251.1,1.282206292313819,14172.226148944643,1321.9546873755476,20.515300677021106,848.8205655117482,0.0,1886.1254559936278,2279.7627877339705,0.0,0.0,0.0,20528.122739944243
Regional School District 17,2170012,Haddam-Killingworth High School,2176112,9,12,673,20.8,8912,1829,18,473,0,1186,2401,155,0,0.0,14974,2018,251.1,1.282206292313819,11427.022477100756,2345.1553086419754,23.079713261648745,606.4835762644365,0.0,1520.6966626841895,3078.5773078454795,198.74197530864197,0.0,0.0,19199.75702110713
Regional School District 17,2170012,Haddam-Killingworth Middle School,2175112,5,8,663,22.6,9668,1025,28,270,0,874,1480,20,0,0.0,13365,2018,251.1,1.282206292313819,12396.370434090004,1314.2614496216645,35.90177618478693,346.1956989247312,0.0,1120.648299482278,1897.6653126244523,25.64412584627638,0.0,0.0,17136.687096774192
Regional School District 17,2170012,Killingworth Elementary School,2170312,PK,4,257,18.7,11947,992,15,555,0,1174,1540,0,0,0.0,16223,2018,251.1,1.282206292313819,15318.518574273197,1271.9486419753086,19.233094384707286,711.6244922341696,0.0,1505.3101871764236,1974.5976901632814,0.0,0.0,0.0,20801.232680207086
Regional School District 18,2180012,Center School,2180312,PK,PK,44,29.5,31074,2436,257,2043,1548,285,10629,0,0,0.0,48272,2018,251.1,1.282206292313819,39843.278327359614,3123.4545280764632,329.52701712465154,2619.5474551971324,1984.855340501792,365.42879330943845,13628.570681003583,0.0,0.0,0.0,61894.66214257268
Regional School District 18,2180012,Lyme Consolidated School,2180112,K,5,201,20.9,11787,1811,257,145,493,1484,3123,24,0,0.0,19123,2018,251.1,1.282206292313819,15113.365567502986,2322.0755953803264,329.52701712465154,185.91991238550378,632.1277021107128,1902.7941377937075,4004.330250896057,30.77295101553166,0.0,0.0,24519.630927917162
Regional School District 18,2180012,Lyme-Old Lyme High School,2186112,9,12,473,14.0,10113,1398,257,289,479,1560,2863,278,0,0.0,17237,2018,251.1,1.282206292313819,12966.952234169652,1792.524396654719,329.52701712465154,370.5576184786937,614.1768140183193,2000.2418160095579,3670.956614894464,356.4533492632417,0.0,0.0,22101.3898606133
Regional School District 18,2180012,Lyme-Old Lyme Middle School,2185112,6,8,302,16.2,11048,1534,257,400,476,1581,3130,72,0,0.0,18498,2018,251.1,1.282206292313819,14165.815117483073,1966.9044524093986,329.52701712465154,512.8825169255276,610.3301951413779,2027.168148148148,4013.305694942254,92.31885304659498,0.0,0.0,23718.251995221024
Regional School District 18,2180012,Mile Creek School,2180212,K,5,250,22.8,10585,966,257,419,282,1248,2389,24,0,0.0,16170,2018,251.1,1.282206292313819,13572.153604141775,1238.6112783751494,329.52701712465154,537.2444364794902,361.58217443249697,1600.1934528076463,3063.190832337714,30.77295101553166,0.0,0.0,20733.275746714455
Regional School District 19,2190012,E. O. Smith High School,2196112,9,12,1132,28.5,11286,1109,26,164,0,624,1482,146,728,0.0,15565,2018,251.1,1.282206292313819,14470.980215053762,1421.9667781760254,33.3373636001593,210.28183193946634,0.0,800.0967264038231,1900.22972520908,187.2021186778176,933.4461808044603,0.0,19957.540939864593
Ridgefield School District,1180011,Barlow Mountain Elementary School,1180811,PK,5,329,21.6,11856,0,293,441,576,1276,1596,0,0,0.0,16039,2018,251.1,1.282206292313819,15201.83780167264,0.0,375.686443647949,565.4529749103942,738.5508243727598,1636.0952289924332,2046.4012425328553,0.0,0.0,0.0,20565.306722421345
Ridgefield School District,1180011,Branchville Elementary School,1180611,PK,5,360,15.3,11069,0,293,443,576,1278,1289,0,0,0.0,14948,2018,251.1,1.282206292313819,14192.741449621664,0.0,375.686443647949,568.0173874950218,738.5508243727598,1638.6596415770607,1652.763910792513,0.0,0.0,0.0,19166.41965750697
Ridgefield School District,1180011,East Ridge Middle School,1185111,6,8,697,12.9,12366,38,296,206,597,1268,2090,0,13,0.0,16873,2018,251.1,1.282206292313819,15855.763010752687,48.72383910792512,379.53306252489045,264.1344962166467,765.47715651135,1625.8375786539227,2679.811150935882,0.0,16.66868180007965,0.0,21634.666770211068
Ridgefield School District,1180011,Farmingville Elementary School,1180411,PK,5,329,7.6,11096,0,293,437,576,1270,1288,0,0,0.0,14960,2018,251.1,1.282206292313819,14227.361019514137,0.0,375.686443647949,560.324149741139,738.5508243727598,1628.4019912385502,1651.481704500199,0.0,0.0,0.0,19181.806133014732
Ridgefield School District,1180011,Ridgebury Elementary School,1180311,PK,5,338,14.2,11573,0,293,448,576,1276,1387,0,0,0.0,15554,2018,251.1,1.282206292313819,14838.973420947828,0.0,375.686443647949,574.4284189565909,738.5508243727598,1636.0952289924332,1778.4201274392672,0.0,0.0,0.0,19943.436670649142
Ridgefield School District,1180011,Ridgefield High School,1186111,9,12,1658,10.0,11198,842,310,248,590,1084,2056,110,732,0.0,17171,2018,251.1,1.282206292313819,14358.146061330146,1079.6176981282356,397.48395061728394,317.98716049382716,756.5017124651532,1389.9116208681799,2636.2161369972123,141.0426921545201,938.5750059737156,0.0,22016.764245320588
Ridgefield School District,1180011,Scotland Elementary School,1180511,PK,5,374,9.4,11170,0,293,432,576,1273,1240,0,0,0.0,14983,2018,251.1,1.282206292313819,14322.24428514536,0.0,375.686443647949,553.9131182795699,738.5508243727598,1632.2486101154918,1589.9358024691358,0.0,0.0,0.0,19211.29687773795
Ridgefield School District,1180011,Scotts Ridge Middle School,1185211,6,8,500,14.4,10553,44,297,267,631,1207,2378,0,14,0.0,15391,2018,251.1,1.282206292313819,13531.123002787734,56.41707686180804,380.8152688172043,342.3490800477897,809.0721704500198,1547.6229948227797,3049.086563122262,0.0,17.950888092393466,0.0,19734.43704500199
Ridgefield School District,1180011,Veterans Park Elementary School,1180211,PK,5,282,20.2,11790,0,293,450,576,1274,1272,0,0,0.0,15655,2018,251.1,1.282206292313819,15117.212186379928,0.0,375.686443647949,576.9928315412186,738.5508243727598,1633.5308164078056,1630.9664038231779,0.0,0.0,0.0,20072.93950617284
Rocky Hill School District,1190011,Albert D. Griswold Middle School,1195111,5,8,626,24.3,12790,1038,216,199,279,807,1073,20,0,1294.0,17719,2018,251.1,1.282206292313819,16399.418478693748,1330.9301314217441,276.95655913978493,255.15905217045,357.73555555555555,1034.740477897252,1375.807351652728,25.64412584627638,0.0,1659.174942254082,22719.41329350856
Rocky Hill School District,1190011,Myrtle H. Stevens School,1190411,K,5,577,35.5,7744,1023,175,222,279,580,1187,0,0,686.0,11895,2018,251.1,1.282206292313819,9929.405527678215,1311.697037037037,224.38610115491835,284.6497968936678,357.73555555555555,743.6796495420151,1521.9788689765032,0.0,0.0,879.5935165272799,15251.843847072878
Rocky Hill School District,1190011,Rocky Hill High School,1196111,9,12,737,25.1,9809,1085,190,228,330,900,1624,102,0,66.0,14335,2018,251.1,1.282206292313819,12577.161521306252,1391.1938271604938,243.61919553962562,292.3430346475508,423.1280764635603,1153.9856630824372,2082.3030187176423,130.78504181600954,0.0,84.62561529271206,18380.427200318598
Rocky Hill School District,1190011,West Hill School,1190511,PK,5,752,26.7,7061,1021,173,129,279,637,1039,0,0,163.0,10503,2018,251.1,1.282206292313819,9053.658630027876,1309.1326244524093,221.82168857029072,165.40461170848266,357.73555555555555,816.7654082039028,1332.212337714058,0.0,0.0,208.99962564715253,13467.012688172043
Salem School District,1210011,Salem Elementary School,1210111,PK,8,397,23.4,8620,2322,0,137,203,1285,1976,20,0,0.0,14562,2018,251.1,1.282206292313819,11052.618239745121,2977.283010752688,0.0,175.66226204699322,260.2878773397053,1647.6350856232575,2533.6396336121065,25.64412584627638,0.0,0.0,18671.488028673833
Salisbury School District,1220011,Salisbury Central School,1220111,PK,8,298,24.2,15173,802,86,390,389,984,2597,93,0,0.0,20513,2018,251.1,1.282206292313819,19454.916073277578,1028.329446435683,110.26974113898844,500.06045400238946,498.7782477100756,1261.690991636798,3329.889741138988,119.24518518518518,0.0,0.0,26301.897674233373
Scotland School District,1230011,Scotland Elementary School,1230111,PK,6,119,39.5,11637,2066,0,108,666,1669,1983,11,0,0.0,18140,2018,251.1,1.282206292313819,14921.034623655913,2649.03819992035,0.0,138.47827956989246,853.9493906810035,2140.0023018717643,2542.615077658303,14.10426921545201,0.0,0.0,23259.22214257268
Seymour School District,1240011,Bungay School,1240111,K,5,450,32.2,9063,872,302,228,104,1363,1323,1,0,0.0,13258,2018,251.1,1.282206292313819,11620.635627240143,1118.0838868976502,387.22630027877335,292.3430346475508,133.3494544006372,1747.6471764237353,1696.3589247311827,1.282206292313819,0.0,0.0,16999.491023496616
Seymour School District,1240011,Chatfield-LoPresti School,1240211,PK,5,546,44.1,8579,939,122,202,104,1147,1252,1,0,0.0,12346,2018,251.1,1.282206292313819,11000.047781760255,1203.9917084826761,156.42916766228592,259.00567104739144,133.3494544006372,1470.6906172839506,1605.3222779769014,1.282206292313819,0.0,0.0,15830.118884906411
Seymour School District,1240011,Seymour High School,1246111,9,12,660,35.5,8306,1181,122,159,104,1363,1830,79,678,0.0,13822,2018,251.1,1.282206292313819,10650.005463958581,1514.2856312226204,156.42916766228592,203.87080047789723,133.3494544006372,1747.6471764237353,2346.437514934289,101.29429709279171,869.3358661887694,0.0,17722.65537236161
Seymour School District,1240011,Seymour Middle School,1245111,6,8,511,38.9,9265,1420,123,4,104,1496,1785,13,109,0.0,14319,2018,251.1,1.282206292313819,11879.641298287534,1820.7329350856232,157.71137395459974,5.128825169255276,133.3494544006372,1918.1806133014734,2288.738231780167,16.66868180007965,139.76048586220628,0.0,18359.911899641575
Sharon School District,1250011,Sharon Center School,1250111,PK,8,139,42.4,16604,1662,507,61,222,1807,1915,177,9,0.0,22964,2018,251.1,1.282206292313819,21289.753277578653,2131.0268578255673,650.0785902031063,78.21458383114296,284.6497968936678,2316.946770211071,2455.4250497809635,226.95051373954598,11.539856630824373,0.0,29444.585296694542
Shelton School District,1260011,Booth Hill School,1261011,K,4,325,28.0,8386,1296,0,343,0,843,895,0,0,0.0,11762,2018,251.1,1.282206292313819,10752.581967343687,1661.7393548387095,0.0,439.79675826363996,0.0,1080.8999044205495,1147.574631620868,0.0,0.0,0.0,15081.310410195141
Shelton School District,1260011,Elizabeth Shelton School,1260511,K,4,467,28.9,6745,1246,0,200,0,781,696,0,0,0.0,9668,2018,251.1,1.282206292313819,8648.48144165671,1597.6290402230186,0.0,256.4412584627638,0.0,1001.4031142970928,892.4155794504181,0.0,0.0,0.0,12396.370434090004
Shelton School District,1260011,Intermediate School,1265111,7,8,765,31.4,9056,1139,0,165,0,844,1342,0,0,0.0,12546,2018,251.1,1.282206292313819,11611.660183193946,1460.43296694544,0.0,211.56403823178016,0.0,1082.1821107128633,1720.7208442851452,0.0,0.0,0.0,16086.560143369175
Shelton School District,1260011,Long Hill School,1260811,K,4,372,48.1,8379,1162,0,283,0,1001,829,0,0,0.0,11655,2018,251.1,1.282206292313819,10743.60652329749,1489.923711668658,0.0,362.8643807248108,0.0,1283.488498606133,1062.949016328156,0.0,0.0,0.0,14944.114336917562
Shelton School District,1260011,Mohegan School,1260911,PK,4,295,24.1,6929,2128,0,461,0,931,1003,0,0,0.0,11452,2018,251.1,1.282206292313819,8884.407399442453,2728.5349900438073,0.0,591.0971007566706,0.0,1193.7340581441656,1286.0529111907606,0.0,0.0,0.0,14683.826459577856
Shelton School District,1260011,Perry Hill Elementary School,1261111,5,6,726,32.4,8247,1470,0,144,0,774,1110,0,0,0.0,11744,2018,251.1,1.282206292313819,10574.355292712065,1884.843249701314,0.0,184.63770609318996,0.0,992.427670250896,1423.2489844683391,0.0,0.0,0.0,15058.230696933491
Shelton School District,1260011,Shelton High School,1266111,9,12,1444,30.4,7897,1076,0,124,0,887,1304,0,0,478.0,11765,2018,251.1,1.282206292313819,10125.58309040223,1379.6539705296693,0.0,158.99358024691358,0.0,1137.3169812823576,1671.9970051772202,0.0,0.0,612.8946077260056,15085.157029072081
Shelton School District,1260011,Sunnyside School,1260611,K,4,221,56.1,9695,1492,0,523,0,1170,1261,0,0,0.0,14142,2018,251.1,1.282206292313819,12430.990003982477,1913.051788132218,0.0,670.5938908801274,0.0,1500.1813620071684,1616.862134607726,0.0,0.0,0.0,18132.96138590203
Sherman School District,1270011,Sherman School,1270111,PK,8,301,20.9,14375,189,661,1431,5,1290,2028,0,254,0.0,20233,2018,251.1,1.282206292313819,18431.71545201115,242.3369892473118,847.5383592194345,1834.8372043010752,6.411031461569095,1654.0461170848266,2600.314360812425,0.0,325.68039824771006,0.0,25942.879912385502
Side By Side Charter School District,2700013,Side By Side Charter School,2700113,PK,8,235,53.2,6350,564,0,0,41,5,949,0,0,32.0,7941,2018,251.1,1.282206292313819,8142.009956192751,723.1643488649939,0.0,0.0,52.570457984866586,6.411031461569095,1216.8137714058144,0.0,0.0,41.03060135404221,10182.000167264037
Simsbury School District,1280011,Central School,1280111,K,6,386,18.1,9464,919,204,350,350,809,1456,0,0,0.0,13551,2018,251.1,1.282206292313819,12134.800350457985,1178.3475826363997,261.5700836320191,448.7722023098367,448.7722023098367,1037.3048904818797,1866.8923616089205,0.0,0.0,0.0,17375.177467144564
Simsbury School District,1280011,Henry James Memorial School,1285111,7,8,655,17.7,10407,1542,59,289,350,862,1670,0,0,0.0,15179,2018,251.1,1.282206292313819,13343.920884109915,1977.162102747909,75.65017124651533,370.5576184786937,448.7722023098367,1105.261823974512,2141.284508164078,0.0,0.0,0.0,19462.60931103146
