"Smarter Balanced Assessments, 2018-19"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Brookfield School District","=""0180011""","ELA",1199,1154,96.2,1153,153,13.3,217,18.8,439,38.1,344,29.8,783,67.9
,,"Math",1199,1151,96.0,1149,126,11.0,298,25.9,358,31.2,367,31.9,725,63.1
"Brooklyn School District","=""0190011""","ELA",537,535,99.6,535,93,17.4,108,20.2,189,35.3,145,27.1,334,62.4
,,"Math",537,535,99.6,535,113,21.1,166,31.0,144,26.9,112,20.9,256,47.9
"Canaan School District","=""0210011""","ELA",44,43,97.7,43,"*","*","*","*",18,41.9,12,27.9,30,69.8
,,"Math",44,43,97.7,43,9,20.9,15,34.9,10,23.3,9,20.9,19,44.2
"Canterbury School District","=""0220011""","ELA",276,274,99.3,274,50,18.2,66,24.1,101,36.9,57,20.8,158,57.7
,,"Math",276,273,98.9,273,53,19.4,97,35.5,83,30.4,40,14.7,123,45.1
"Canton School District","=""0230011""","ELA",719,710,98.7,710,87,12.3,107,15.1,254,35.8,262,36.9,516,72.7
,,"Math",719,708,98.5,708,88,12.4,132,18.6,202,28.5,286,40.4,488,68.9
"Capital Preparatory Harbor School District","=""2970013""","ELA",278,278,100.0,278,106,38.1,86,30.9,63,22.7,23,8.3,86,30.9
,,"Math",277,277,100.0,277,123,44.4,84,30.3,51,18.4,19,6.9,70,25.3
"Capitol Region Education Council","=""2410014""","ELA",3621,3570,98.6,3568,1034,29.0,851,23.9,986,27.6,697,19.5,1683,47.2
,,"Math",3622,3549,98.0,3544,1391,39.2,970,27.4,651,18.4,532,15.0,1183,33.4
"Chaplin School District","=""0240011""","ELA",80,80,100.0,80,16,20.0,16,20.0,23,28.8,25,31.3,48,60.0
,,"Math",79,79,100.0,79,6,7.6,24,30.4,28,35.4,21,26.6,49,62.0
"Cheshire School District","=""0250011""","ELA",1851,1825,98.6,1825,106,5.8,211,11.6,623,34.1,885,48.5,1508,82.6
,,"Math",1851,1821,98.4,1821,134,7.4,317,17.4,482,26.5,888,48.8,1370,75.2
"Chester School District","=""0260011""","ELA",102,102,100.0,102,6,5.9,12,11.8,38,37.3,46,45.1,84,82.4
,,"Math",102,102,100.0,102,7,6.9,20,19.6,26,25.5,49,48.0,75,73.5
"Clinton School District","=""0270011""","ELA",796,779,97.9,779,125,16.0,176,22.6,300,38.5,178,22.8,478,61.4
,,"Math",796,779,97.9,779,121,15.5,228,29.3,246,31.6,184,23.6,430,55.2
"Colchester School District","=""0280011""","ELA",1010,1005,99.5,1005,113,11.2,185,18.4,387,38.5,320,31.8,707,70.3
,,"Math",1010,1003,99.3,1003,107,10.7,198,19.7,313,31.2,385,38.4,698,69.6
"Colebrook School District","=""0290011""","ELA",55,52,94.5,52,"*","*","*","*",19,36.5,25,48.1,44,84.6
,,"Math",55,52,94.5,52,6,11.5,11,21.2,15,28.8,20,38.5,35,67.3
"Columbia School District","=""0300011""","ELA",248,242,97.6,242,30,12.4,48,19.8,98,40.5,66,27.3,164,67.8
,,"Math",248,239,96.4,239,40,16.7,84,35.1,67,28.0,48,20.1,115,48.1
"Cooperative Educational Services","=""2430014""","ELA",331,329,99.4,329,109,33.1,77,23.4,94,28.6,49,14.9,143,43.5
,,"Math",331,328,99.1,328,126,38.4,92,28.0,75,22.9,35,10.7,110,33.5
"Cornwall School District","=""0310011""","ELA",67,64,95.5,64,6,9.4,16,25.0,19,29.7,23,35.9,42,65.6
,,"Math",67,64,95.5,64,7,10.9,19,29.7,22,34.4,16,25.0,38,59.4
"Coventry School District","=""0320011""","ELA",729,723,99.2,723,48,6.6,124,17.2,259,35.8,292,40.4,551,76.2
,,"Math",729,722,99.0,722,67,9.3,156,21.6,235,32.5,264,36.6,499,69.1
"Cromwell School District","=""0330011""","ELA",936,935,99.9,935,129,13.8,175,18.7,348,37.2,283,30.3,631,67.5
,,"Math",936,934,99.8,934,139,14.9,233,24.9,247,26.4,315,33.7,562,60.2
"Danbury School District","=""0340011""","ELA",5409,5383,99.5,5376,1495,27.8,1396,26.0,1588,29.5,897,16.7,2485,46.2
,,"Math",5408,5372,99.3,5360,1763,32.9,1583,29.5,1190,22.2,824,15.4,2014,37.6
"Darien School District","=""0350011""","ELA",2204,2192,99.5,2191,89,4.1,252,11.5,694,31.7,1156,52.8,1850,84.4
,,"Math",2204,2191,99.4,2190,81,3.7,251,11.5,522,23.8,1336,61.0,1858,84.8
"Deep River School District","=""0360011""","ELA",154,154,100.0,154,10,6.5,34,22.1,52,33.8,58,37.7,110,71.4
,,"Math",154,154,100.0,154,9,5.8,30,19.5,45,29.2,70,45.5,115,74.7
"Derby School District","=""0370011""","ELA",659,656,99.5,656,262,39.9,157,23.9,161,24.5,76,11.6,237,36.1
,,"Math",659,657,99.7,657,294,44.7,152,23.1,136,20.7,75,11.4,211,32.1
"East Granby School District","=""0400011""","ELA",394,392,99.5,392,49,12.5,62,15.8,122,31.1,159,40.6,281,71.7
,,"Math",395,392,99.2,392,43,11.0,83,21.2,111,28.3,155,39.5,266,67.9
"East Haddam School District","=""0410011""","ELA",443,440,99.3,440,50,11.4,83,18.9,149,33.9,158,35.9,307,69.8
,,"Math",443,435,98.2,435,67,15.4,112,25.7,125,28.7,131,30.1,256,58.9
"East Hampton School District","=""0420011""","ELA",895,878,98.1,878,112,12.8,187,21.3,342,39.0,237,27.0,579,65.9
,,"Math",894,877,98.1,877,119,13.6,255,29.1,322,36.7,181,20.6,503,57.4
"East Hartford School District","=""0430011""","ELA",2932,2923,99.7,2920,1130,38.7,728,24.9,731,25.0,331,11.3,1062,36.4
,,"Math",2930,2909,99.3,2905,1474,50.7,785,27.0,433,14.9,213,7.3,646,22.2
"East Haven School District","=""0440011""","ELA",1227,1215,99.0,1215,354,29.1,297,24.4,372,30.6,192,15.8,564,46.4
,,"Math",1227,1212,98.8,1212,429,35.4,369,30.4,249,20.5,165,13.6,414,34.2
"East Lyme School District","=""0450011""","ELA",1140,1114,97.7,1114,98,8.8,187,16.8,369,33.1,460,41.3,829,74.4
,,"Math",1140,1114,97.7,1114,126,11.3,233,20.9,302,27.1,453,40.7,755,67.8
"East Windsor School District","=""0470011""","ELA",463,457,98.7,456,143,31.4,136,29.8,122,26.8,55,12.1,177,38.8
,,"Math",463,457,98.7,457,195,42.7,142,31.1,83,18.2,37,8.1,120,26.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA",59,55,93.2,55,48,87.3,"*","*","*","*",0,0.0,"*","*"
,,"Math",59,53,89.8,53,48,90.6,"*","*",0,0.0,"*","*","*","*"
"Eastford School District","=""0390011""","ELA",90,90,100.0,90,13,14.4,19,21.1,35,38.9,23,25.6,58,64.4
,,"Math",90,90,100.0,90,15,16.7,20,22.2,28,31.1,27,30.0,55,61.1
"Easton School District","=""0460011""","ELA",621,609,98.1,609,44,7.2,73,12.0,199,32.7,293,48.1,492,80.8
,,"Math",621,607,97.7,607,41,6.8,115,18.9,159,26.2,292,48.1,451,74.3
"EdAdvance","=""2420014""","ELA",25,19,76.0,19,"*","*","*","*","*","*","*","*","*","*"
,,"Math",25,"*","*","*","*","*","*","*",0,0.0,0,0.0,0,0.0
"Ellington School District","=""0480011""","ELA",1225,1217,99.3,1216,170,14.0,224,18.4,406,33.4,416,34.2,822,67.6
,,"Math",1225,1217,99.3,1216,158,13.0,292,24.0,323,26.6,443,36.4,766,63.0
"Elm City College Preparatory School District","=""2890013""","ELA",372,367,98.7,367,75,20.4,74,20.2,119,32.4,99,27.0,218,59.4
,,"Math",372,367,98.7,367,90,24.5,77,21.0,96,26.2,104,28.3,200,54.5
"Elm City Montessori School District","=""2910013""","ELA",36,36,100.0,36,17,47.2,6,16.7,6,16.7,7,19.4,13,36.1
,,"Math",36,36,100.0,36,14,38.9,14,38.9,"*","*","*","*",8,22.2
"Enfield School District","=""0490011""","ELA",2269,2262,99.7,2261,561,24.8,576,25.5,743,32.9,381,16.9,1124,49.7
,,"Math",2258,2252,99.7,2251,655,29.1,707,31.4,571,25.4,318,14.1,889,39.5
"Essex School District","=""0500011""","ELA",189,183,96.8,183,11,6.0,22,12.0,59,32.2,91,49.7,150,82.0
,,"Math",189,183,96.8,183,14,7.7,37,20.2,50,27.3,82,44.8,132,72.1
"Fairfield School District","=""0510011""","ELA",4597,4566,99.3,4566,316,6.9,687,15.0,1673,36.6,1890,41.4,3563,78.0
,,"Math",4597,4557,99.1,4557,393,8.6,861,18.9,1316,28.9,1987,43.6,3303,72.5
"Farmington School District","=""0520011""","ELA",1903,1893,99.5,1893,137,7.2,210,11.1,566,29.9,980,51.8,1546,81.7
,,"Math",1902,1891,99.4,1891,171,9.0,312,16.5,447,23.6,961,50.8,1408,74.5
"Franklin School District","=""0530011""","ELA",93,93,100.0,93,12,12.9,19,20.4,28,30.1,34,36.6,62,66.7
,,"Math",93,93,100.0,93,16,17.2,23,24.7,31,33.3,23,24.7,54,58.1
"Glastonbury School District","=""0540011""","ELA",2658,2650,99.7,2650,207,7.8,373,14.1,852,32.2,1218,46.0,2070,78.1
,,"Math",2659,2649,99.6,2649,221,8.3,427,16.1,670,25.3,1331,50.2,2001,75.5
"Granby School District","=""0560011""","ELA",814,809,99.4,809,77,9.5,118,14.6,300,37.1,314,38.8,614,75.9
,,"Math",815,807,99.0,806,93,11.5,206,25.6,243,30.1,264,32.8,507,62.9
"Great Oaks Charter School District","=""2940013""","ELA",301,298,99.0,298,140,47.0,99,33.2,53,17.8,6,2.0,59,19.8
,,"Math",301,298,99.0,298,197,66.1,66,22.1,25,8.4,10,3.4,35,11.7
"Greenwich School District","=""0570011""","ELA",4126,4110,99.6,4108,357,8.7,568,13.8,1314,32.0,1869,45.5,3183,77.5
,,"Math",4127,4105,99.5,4105,405,9.9,721,17.6,1033,25.2,1946,47.4,2979,72.6
"Griswold School District","=""0580011""","ELA",773,769,99.5,769,141,18.3,210,27.3,259,33.7,159,20.7,418,54.4
,,"Math",773,769,99.5,769,140,18.2,205,26.7,222,28.9,202,26.3,424,55.1
"Groton School District","=""0590011""","ELA",1907,1902,99.7,1902,371,19.5,395,20.8,663,34.9,473,24.9,1136,59.7
,,"Math",1903,1895,99.6,1895,416,22.0,550,29.0,535,28.2,394,20.8,929,49.0
"Guilford School District","=""0600011""","ELA",1535,1535,100.0,1535,112,7.3,176,11.5,510,33.2,737,48.0,1247,81.2
,,"Math",1534,1534,100.0,1534,106,6.9,238,15.5,409,26.7,781,50.9,1190,77.6
"Hamden School District","=""0620011""","ELA",2514,2465,98.1,2465,690,28.0,567,23.0,659,26.7,549,22.3,1208,49.0
,,"Math",2515,2465,98.0,2465,698,28.3,658,26.7,548,22.2,561,22.8,1109,45.0
"Hampton School District","=""0630011""","ELA",47,47,100.0,47,12,25.5,11,23.4,14,29.8,10,21.3,24,51.1
,,"Math",47,47,100.0,47,12,25.5,12,25.5,14,29.8,9,19.1,23,48.9
"Hartford School District","=""0640011""","ELA",8635,8569,99.2,8564,4518,52.8,1951,22.8,1525,17.8,570,6.7,2095,24.5
,,"Math",8616,8504,98.7,8502,4852,57.1,2102,24.7,997,11.7,551,6.5,1548,18.2
"Hartland School District","=""0650011""","ELA",103,103,100.0,103,9,8.7,15,14.6,44,42.7,35,34.0,79,76.7
,,"Math",103,103,100.0,103,16,15.5,28,27.2,30,29.1,29,28.2,59,57.3
"Hebron School District","=""0670011""","ELA",351,351,100.0,351,51,14.5,74,21.1,123,35.0,103,29.3,226,64.4
,,"Math",351,351,100.0,351,33,9.4,93,26.5,122,34.8,103,29.3,225,64.1
"Highville Charter School District","=""2860013""","ELA",198,198,100.0,198,61,30.8,66,33.3,59,29.8,12,6.1,71,35.9
,,"Math",198,198,100.0,198,87,43.9,84,42.4,20,10.1,7,3.5,27,13.6
"Integrated Day Charter School District","=""2640013""","ELA",200,197,98.5,197,42,21.3,51,25.9,74,37.6,30,15.2,104,52.8
,,"Math",200,197,98.5,197,60,30.5,58,29.4,46,23.4,33,16.8,79,40.1
"Interdistrict School for Arts and Comm District","=""2650013""","ELA",256,255,99.6,255,89,34.9,89,34.9,64,25.1,13,5.1,77,30.2
,,"Math",256,255,99.6,255,147,57.6,81,31.8,"*","*","*","*",27,10.6
"Jumoke Academy District","=""2610013""","ELA",411,410,99.8,410,161,39.3,110,26.8,93,22.7,46,11.2,139,33.9
,,"Math",411,408,99.3,408,191,46.8,120,29.4,71,17.4,26,6.4,97,23.8
"Kent School District","=""0680011""","ELA",136,132,97.1,132,6,4.5,13,9.8,40,30.3,73,55.3,113,85.6
,,"Math",136,132,97.1,132,11,8.3,23,17.4,39,29.5,59,44.7,98,74.2
"Killingly School District","=""0690011""","ELA",991,983,99.2,983,172,17.5,242,24.6,370,37.6,199,20.2,569,57.9
,,"Math",989,976,98.7,976,243,24.9,322,33.0,263,26.9,148,15.2,411,42.1
"Learn","=""2450014""","ELA",581,575,99.0,575,174,30.3,156,27.1,158,27.5,87,15.1,245,42.6
,,"Math",581,575,99.0,575,236,41.0,179,31.1,107,18.6,53,9.2,160,27.8
"Lebanon School District","=""0710011""","ELA",440,426,96.8,426,78,18.3,95,22.3,125,29.3,128,30.0,253,59.4
,,"Math",440,426,96.8,426,80,18.8,118,27.7,114,26.8,114,26.8,228,53.5
"Ledyard School District","=""0720011""","ELA",1071,1063,99.3,1063,257,24.2,243,22.9,338,31.8,225,21.2,563,53.0
,,"Math",1070,1061,99.2,1061,251,23.7,314,29.6,265,25.0,231,21.8,496,46.7
"Lisbon School District","=""0730011""","ELA",261,261,100.0,261,53,20.3,54,20.7,88,33.7,66,25.3,154,59.0
,,"Math",261,259,99.2,259,55,21.2,92,35.5,68,26.3,44,17.0,112,43.2
"Litchfield School District","=""0740011""","ELA",394,384,97.5,384,41,10.7,77,20.1,118,30.7,148,38.5,266,69.3
,,"Math",394,384,97.5,384,35,9.1,78,20.3,102,26.6,169,44.0,271,70.6
"Madison School District","=""0760011""","ELA",1117,1014,90.8,1014,138,13.6,176,17.4,346,34.1,354,34.9,700,69.0
,,"Math",1117,1010,90.4,1010,137,13.6,198,19.6,321,31.8,354,35.0,675,66.8
"Manchester School District","=""0770011""","ELA",2730,2656,97.3,2655,1054,39.7,667,25.1,632,23.8,302,11.4,934,35.2
,,"Math",2726,2614,95.9,2609,1108,42.5,751,28.8,496,19.0,254,9.7,750,28.7
"Mansfield School District","=""0780011""","ELA",787,754,95.8,754,74,9.8,107,14.2,239,31.7,334,44.3,573,76.0
,,"Math",787,752,95.6,752,69,9.2,147,19.5,203,27.0,333,44.3,536,71.3
"Marlborough School District","=""0790011""","ELA",276,275,99.6,275,39,14.2,54,19.6,89,32.4,93,33.8,182,66.2
,,"Math",277,276,99.6,276,33,12.0,60,21.7,83,30.1,100,36.2,183,66.3
"Meriden School District","=""0800011""","ELA",3639,3591,98.7,3589,990,27.6,889,24.8,1046,29.1,664,18.5,1710,47.6
,,"Math",3636,3560,97.9,3558,1148,32.3,1048,29.5,804,22.6,558,15.7,1362,38.3
"Middletown School District","=""0830011""","ELA",1980,1977,99.8,1975,522,26.4,447,22.6,591,29.9,415,21.0,1006,50.9
,,"Math",1978,1974,99.8,1972,647,32.8,527,26.7,429,21.8,369,18.7,798,40.5
"Milford School District","=""0840011""","ELA",2507,2438,97.2,2438,273,11.2,508,20.8,950,39.0,707,29.0,1657,68.0
,,"Math",2507,2442,97.4,2442,327,13.4,631,25.8,733,30.0,751,30.8,1484,60.8
"Monroe School District","=""0850011""","ELA",1432,1414,98.7,1414,73,5.2,175,12.4,469,33.2,697,49.3,1166,82.5
,,"Math",1431,1410,98.5,1410,116,8.2,260,18.4,400,28.4,634,45.0,1034,73.3
"Montville School District","=""0860011""","ELA",964,964,100.0,964,158,16.4,203,21.1,319,33.1,284,29.5,603,62.6
,,"Math",962,960,99.8,960,166,17.3,238,24.8,248,25.8,308,32.1,556,57.9
"Naugatuck School District","=""0880011""","ELA",1967,1951,99.2,1951,431,22.1,449,23.0,624,32.0,447,22.9,1071,54.9
,,"Math",1969,1953,99.2,1953,520,26.6,478,24.5,500,25.6,455,23.3,955,48.9
"New Beginnings Inc Family Academy District","=""2800013""","ELA",256,256,100.0,256,99,38.7,69,27.0,70,27.3,18,7.0,88,34.4
,,"Math",256,256,100.0,256,133,52.0,68,26.6,39,15.2,16,6.3,55,21.5
"New Britain School District","=""0890011""","ELA",4704,4657,99.0,4654,2652,57.0,1064,22.9,692,14.9,246,5.3,938,20.2
,,"Math",4705,4621,98.2,4619,3090,66.9,1005,21.8,370,8.0,154,3.3,524,11.3
"New Canaan School District","=""0900011""","ELA",1985,1967,99.1,1967,67,3.4,138,7.0,539,27.4,1223,62.2,1762,89.6
,,"Math",1985,1966,99.0,1966,59,3.0,171,8.7,384,19.5,1352,68.8,1736,88.3
"New Fairfield School District","=""0910011""","ELA",972,959,98.7,959,89,9.3,166,17.3,364,38.0,340,35.5,704,73.4
,,"Math",972,956,98.4,956,91,9.5,222,23.2,283,29.6,360,37.7,643,67.3
"New Hartford School District","=""0920011""","ELA",260,258,99.2,258,35,13.6,58,22.5,87,33.7,78,30.2,165,64.0
,,"Math",260,258,99.2,258,38,14.7,74,28.7,86,33.3,60,23.3,146,56.6
"New Haven School District","=""0930011""","ELA",9162,9117,99.5,9116,3503,38.4,2473,27.1,2162,23.7,978,10.7,3140,34.4
,,"Math",9155,9090,99.3,9086,4413,48.6,2627,28.9,1301,14.3,745,8.2,2046,22.5
"New London School District","=""0950011""","ELA",1536,1523,99.2,1523,692,45.4,351,23.0,294,19.3,186,12.2,480,31.5
,,"Math",1538,1520,98.8,1519,772,50.8,398,26.2,222,14.6,127,8.4,349,23.0
"New Milford School District","=""0960011""","ELA",1784,1744,97.8,1744,358,20.5,414,23.7,611,35.0,361,20.7,972,55.7
,,"Math",1783,1735,97.3,1733,353,20.4,488,28.2,534,30.8,358,20.7,892,51.5
"Newington School District","=""0940011""","ELA",1891,1887,99.8,1885,377,20.0,446,23.7,666,35.3,396,21.0,1062,56.3
,,"Math",1891,1881,99.5,1880,371,19.7,518,27.6,560,29.8,431,22.9,991,52.7
"Newtown School District","=""0970011""","ELA",1866,1854,99.4,1854,167,9.0,310,16.7,666,35.9,711,38.3,1377,74.3
,,"Math",1866,1854,99.4,1854,193,10.4,411,22.2,510,27.5,740,39.9,1250,67.4
"Norfolk School District","=""0980011""","ELA",53,53,100.0,53,7,13.2,14,26.4,18,34.0,14,26.4,32,60.4
,,"Math",53,53,100.0,53,10,18.9,13,24.5,20,37.7,10,18.9,30,56.6
"North Branford School District","=""0990011""","ELA",812,800,98.5,800,173,21.6,203,25.4,255,31.9,169,21.1,424,53.0
,,"Math",811,798,98.4,798,155,19.4,235,29.4,209,26.2,199,24.9,408,51.1
"North Canaan School District","=""1000011""","ELA",147,147,100.0,146,20,13.7,33,22.6,45,30.8,48,32.9,93,63.7
,,"Math",147,146,99.3,146,35,24.0,41,28.1,36,24.7,34,23.3,70,47.9
"North Haven School District","=""1010011""","ELA",1394,1377,98.8,1377,152,11.0,221,16.0,482,35.0,522,37.9,1004,72.9
,,"Math",1394,1374,98.6,1374,170,12.4,309,22.5,379,27.6,516,37.6,895,65.1
"North Stonington School District","=""1020011""","ELA",346,342,98.8,342,26,7.6,42,12.3,125,36.5,149,43.6,274,80.1
,,"Math",346,342,98.8,342,20,5.8,54,15.8,89,26.0,179,52.3,268,78.4
"Norwalk School District","=""1030011""","ELA",5185,5134,99.0,5134,1422,27.7,1239,24.1,1464,28.5,1009,19.7,2473,48.2
,,"Math",5187,5134,99.0,5131,1543,30.1,1507,29.4,1078,21.0,1003,19.5,2081,40.6
"Norwich School District","=""1040011""","ELA",2151,2131,99.1,2131,933,43.8,450,21.1,482,22.6,266,12.5,748,35.1
,,"Math",2151,2126,98.8,2126,957,45.0,596,28.0,347,16.3,226,10.6,573,27.0
"Odyssey Community School District","=""2630013""","ELA",218,218,100.0,218,41,18.8,55,25.2,77,35.3,45,20.6,122,56.0
,,"Math",218,217,99.5,217,43,19.8,73,33.6,52,24.0,49,22.6,101,46.5
"Old Saybrook School District","=""1060011""","ELA",526,518,98.5,518,44,8.5,96,18.5,191,36.9,187,36.1,378,73.0
,,"Math",526,517,98.3,517,46,8.9,130,25.1,155,30.0,186,36.0,341,66.0
"Orange School District","=""1070011""","ELA",668,667,99.9,667,58,8.7,102,15.3,213,31.9,294,44.1,507,76.0
,,"Math",668,665,99.6,664,55,8.3,154,23.2,217,32.7,238,35.8,455,68.5
"Oxford School District","=""1080011""","ELA",860,853,99.2,853,95,11.1,187,21.9,341,40.0,230,27.0,571,66.9
,,"Math",861,853,99.1,853,101,11.8,262,30.7,275,32.2,215,25.2,490,57.4
"Park City Prep Charter School District","=""2830013""","ELA",350,350,100.0,350,94,26.9,89,25.4,115,32.9,52,14.9,167,47.7
,,"Math",349,345,98.9,345,128,37.1,103,29.9,67,19.4,47,13.6,114,33.0
"Plainfield School District","=""1090011""","ELA",974,964,99.0,963,194,20.1,212,22.0,341,35.4,216,22.4,557,57.8
,,"Math",975,965,99.0,965,222,23.0,320,33.2,253,26.2,170,17.6,423,43.8
"Plainville School District","=""1100011""","ELA",1033,1030,99.7,1030,151,14.7,212,20.6,394,38.3,273,26.5,667,64.8
,,"Math",1030,1027,99.7,1027,198,19.3,281,27.4,269,26.2,279,27.2,548,53.4
"Plymouth School District","=""1110011""","ELA",652,646,99.1,646,121,18.7,132,20.4,229,35.4,164,25.4,393,60.8
,,"Math",652,646,99.1,646,110,17.0,189,29.3,189,29.3,158,24.5,347,53.7
"Pomfret School District","=""1120011""","ELA",268,267,99.6,267,35,13.1,50,18.7,99,37.1,83,31.1,182,68.2
,,"Math",268,266,99.3,266,24,9.0,67,25.2,82,30.8,93,35.0,175,65.8
"Portland School District","=""1130011""","ELA",610,598,98.0,598,95,15.9,118,19.7,180,30.1,205,34.3,385,64.4
,,"Math",610,597,97.9,597,98,16.4,132,22.1,157,26.3,210,35.2,367,61.5
"Preston School District","=""1140011""","ELA",276,275,99.6,273,43,15.8,58,21.2,105,38.5,67,24.5,172,63.0
,,"Math",276,275,99.6,273,53,19.4,80,29.3,82,30.0,58,21.2,140,51.3
"Putnam School District","=""1160011""","ELA",529,523,98.9,523,125,23.9,126,24.1,180,34.4,92,17.6,272,52.0
,,"Math",529,522,98.7,520,160,30.8,153,29.4,130,25.0,77,14.8,207,39.8
"Redding School District","=""1170011""","ELA",538,532,98.9,531,30,5.6,81,15.3,170,32.0,250,47.1,420,79.1
,,"Math",538,531,98.7,531,35,6.6,83,15.6,140,26.4,273,51.4,413,77.8
"Regional School District 01","=""2010012""","ELA",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
,,"Math",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","ELA",284,280,98.6,280,33,11.8,56,20.0,102,36.4,89,31.8,191,68.2
