"Smarter Balanced Assessments, 2016-17"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Bethel School District","=""0090011""","ELA",1381,1375,99.6,1375,181,13.2,274,19.9,515,37.5,405,29.5,920,66.9
,,"Math",1379,1369,99.3,1369,216,15.8,399,29.1,393,28.7,361,26.4,754,55.1
"Bloomfield School District","=""0110011""","ELA",786,780,99.2,779,264,33.9,193,24.8,233,29.9,89,11.4,322,41.3
,,"Math",786,779,99.1,777,306,39.4,263,33.8,148,19.0,60,7.7,208,26.8
"Bolton School District","=""0120011""","ELA",371,363,97.8,363,32,8.8,62,17.1,149,41.0,120,33.1,269,74.1
,,"Math",371,363,97.8,363,52,14.3,84,23.1,115,31.7,112,30.9,227,62.5
"Booker T. Washington Academy District","=""2950013""","ELA",31,31,100.0,31,"*","*","*","*",12,38.7,11,35.5,23,74.2
,,"Math",31,31,100.0,31,0,0.0,"*","*","*","*",14,45.2,"*","*"
"Bozrah School District","=""0130011""","ELA",136,134,98.5,134,38,28.4,35,26.1,40,29.9,21,15.7,61,45.5
,,"Math",136,134,98.5,134,38,28.4,48,35.8,34,25.4,14,10.4,48,35.8
"Branford School District","=""0140011""","ELA",1301,1293,99.4,1290,224,17.4,291,22.6,449,34.8,326,25.3,775,60.1
,,"Math",1302,1293,99.3,1289,253,19.6,349,27.1,385,29.9,302,23.4,687,53.3
"Brass City Charter School District","=""2900013""","ELA",76,76,100.0,76,6,7.9,17,22.4,19,25.0,34,44.7,53,69.7
,,"Math",76,76,100.0,76,8,10.5,23,30.3,21,27.6,24,31.6,45,59.2
"Bridgeport School District","=""0150011""","ELA",9327,9254,99.2,9254,4926,53.2,2255,24.4,1556,16.8,517,5.6,2073,22.4
,,"Math",9323,9233,99.0,9231,5633,61.0,2362,25.6,928,10.1,308,3.3,1236,13.4
"Bristol School District","=""0170011""","ELA",3610,3592,99.5,3592,859,23.9,905,25.2,1139,31.7,689,19.2,1828,50.9
,,"Math",3608,3588,99.4,3588,1070,29.8,1102,30.7,871,24.3,545,15.2,1416,39.5
"Brookfield School District","=""0180011""","ELA",1288,1213,94.2,1213,159,13.1,256,21.1,445,36.7,353,29.1,798,65.8
,,"Math",1287,1210,94.0,1210,160,13.2,308,25.5,378,31.2,364,30.1,742,61.3
"Brooklyn School District","=""0190011""","ELA",508,505,99.4,505,80,15.8,104,20.6,181,35.8,140,27.7,321,63.6
,,"Math",509,504,99.0,504,98,19.4,185,36.7,140,27.8,81,16.1,221,43.8
"Canaan School District","=""0210011""","ELA",54,52,96.3,51,10,19.6,11,21.6,19,37.3,11,21.6,30,58.8
,,"Math",54,52,96.3,52,13,25.0,18,34.6,14,26.9,7,13.5,21,40.4
"Canterbury School District","=""0220011""","ELA",291,289,99.3,289,68,23.5,69,23.9,95,32.9,57,19.7,152,52.6
,,"Math",291,289,99.3,289,65,22.5,101,34.9,82,28.4,41,14.2,123,42.6
"Canton School District","=""0230011""","ELA",769,762,99.1,762,77,10.1,124,16.3,292,38.3,269,35.3,561,73.6
,,"Math",768,759,98.8,759,89,11.7,181,23.8,224,29.5,265,34.9,489,64.4
"Capital Preparatory Harbor School District","=""2970013""","ELA",115,115,100.0,115,25,21.7,43,37.4,36,31.3,11,9.6,47,40.9
,,"Math",115,115,100.0,115,47,40.9,29,25.2,31,27.0,8,7.0,39,33.9
"Capitol Region Education Council","=""2410014""","ELA",3325,3277,98.6,3277,894,27.3,837,25.5,916,28.0,630,19.2,1546,47.2
,,"Math",3323,3253,97.9,3251,1150,35.4,954,29.3,655,20.1,492,15.1,1147,35.3
"Chaplin School District","=""0240011""","ELA",69,69,100.0,69,10,14.5,18,26.1,27,39.1,14,20.3,41,59.4
,,"Math",69,69,100.0,69,"*","*",32,46.4,19,27.5,"*","*","*","*"
"Cheshire School District","=""0250011""","ELA",2003,1988,99.3,1988,160,8.0,300,15.1,709,35.7,819,41.2,1528,76.9
,,"Math",2003,1985,99.1,1985,221,11.1,443,22.3,589,29.7,732,36.9,1321,66.5
"Chester School District","=""0260011""","ELA",123,123,100.0,123,13,10.6,13,10.6,42,34.1,55,44.7,97,78.9
,,"Math",123,123,100.0,123,8,6.5,26,21.1,43,35.0,46,37.4,89,72.4
"Clinton School District","=""0270011""","ELA",869,855,98.4,853,125,14.7,188,22.0,300,35.2,240,28.1,540,63.3
,,"Math",869,854,98.3,854,132,15.5,232,27.2,290,34.0,200,23.4,490,57.4
"Colchester School District","=""0280011""","ELA",1100,1090,99.1,1090,101,9.3,222,20.4,388,35.6,379,34.8,767,70.4
,,"Math",1100,1090,99.1,1090,111,10.2,278,25.5,338,31.0,363,33.3,701,64.3
"Colebrook School District","=""0290011""","ELA",47,43,91.5,43,"*","*","*","*",22,51.2,9,20.9,31,72.1
,,"Math",47,43,91.5,43,"*","*",10,23.3,21,48.8,"*","*","*","*"
"Columbia School District","=""0300011""","ELA",283,269,95.1,269,46,17.1,64,23.8,100,37.2,59,21.9,159,59.1
,,"Math",283,269,95.1,269,56,20.8,80,29.7,78,29.0,55,20.4,133,49.4
"Cooperative Educational Services","=""2430014""","ELA",322,319,99.1,319,107,33.5,80,25.1,81,25.4,51,16.0,132,41.4
,,"Math",322,318,98.8,318,109,34.3,105,33.0,62,19.5,42,13.2,104,32.7
"Cornwall School District","=""0310011""","ELA",54,54,100.0,54,"*","*","*","*",19,35.2,21,38.9,40,74.1
,,"Math",55,55,100.0,55,7,12.7,17,30.9,16,29.1,15,27.3,31,56.4
"Coventry School District","=""0320011""","ELA",752,745,99.1,745,68,9.1,131,17.6,289,38.8,257,34.5,546,73.3
,,"Math",752,739,98.3,739,88,11.9,181,24.5,251,34.0,219,29.6,470,63.6
"Cromwell School District","=""0330011""","ELA",915,913,99.8,913,151,16.5,219,24.0,323,35.4,220,24.1,543,59.5
,,"Math",914,908,99.3,908,193,21.3,269,29.6,245,27.0,201,22.1,446,49.1
"Danbury School District","=""0340011""","ELA",5254,5230,99.5,5226,1394,26.7,1507,28.8,1583,30.3,742,14.2,2325,44.5
,,"Math",5253,5219,99.4,5218,1633,31.3,1718,32.9,1176,22.5,691,13.2,1867,35.8
"Darien School District","=""0350011""","ELA",2265,2227,98.3,2227,91,4.1,249,11.2,767,34.4,1120,50.3,1887,84.7
,,"Math",2265,2225,98.2,2225,105,4.7,320,14.4,606,27.2,1194,53.7,1800,80.9
"Deep River School District","=""0360011""","ELA",176,176,100.0,176,17,9.7,37,21.0,56,31.8,66,37.5,122,69.3
,,"Math",176,176,100.0,176,17,9.7,55,31.3,57,32.4,47,26.7,104,59.1
"Derby School District","=""0370011""","ELA",687,683,99.4,683,250,36.6,179,26.2,171,25.0,83,12.2,254,37.2
,,"Math",687,682,99.3,682,309,45.3,207,30.4,116,17.0,50,7.3,166,24.3
"East Granby School District","=""0400011""","ELA",413,407,98.5,407,51,12.5,62,15.2,154,37.8,140,34.4,294,72.2
,,"Math",413,403,97.6,403,40,9.9,89,22.1,139,34.5,135,33.5,274,68.0
"East Haddam School District","=""0410011""","ELA",473,462,97.7,462,55,11.9,79,17.1,159,34.4,169,36.6,328,71.0
,,"Math",473,462,97.7,462,69,14.9,131,28.4,129,27.9,133,28.8,262,56.7
"East Hampton School District","=""0420011""","ELA",905,877,96.9,876,129,14.7,189,21.6,322,36.8,236,26.9,558,63.7
,,"Math",906,878,96.9,878,159,18.1,279,31.8,273,31.1,167,19.0,440,50.1
"East Hartford School District","=""0430011""","ELA",3001,2975,99.1,2965,1266,42.7,800,27.0,642,21.7,257,8.7,899,30.3
,,"Math",2996,2904,96.9,2890,1551,53.7,846,29.3,373,12.9,120,4.2,493,17.1
"East Haven School District","=""0440011""","ELA",1263,1251,99.0,1251,373,29.8,295,23.6,405,32.4,178,14.2,583,46.6
,,"Math",1263,1248,98.8,1248,462,37.0,379,30.4,266,21.3,141,11.3,407,32.6
"East Lyme School District","=""0450011""","ELA",1213,1195,98.5,1195,117,9.8,195,16.3,443,37.1,440,36.8,883,73.9
,,"Math",1213,1195,98.5,1195,147,12.3,259,21.7,339,28.4,450,37.7,789,66.0
"East Windsor School District","=""0470011""","ELA",465,463,99.6,462,130,28.1,131,28.4,137,29.7,64,13.9,201,43.5
,,"Math",463,460,99.4,460,173,37.6,158,34.3,93,20.2,36,7.8,129,28.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA",55,54,98.2,53,48,90.6,"*","*","*","*",0,0.0,"*","*"
,,"Math",55,54,98.2,54,51,94.4,"*","*","*","*",0,0.0,"*","*"
"Eastford School District","=""0390011""","ELA",89,89,100.0,89,12,13.5,14,15.7,42,47.2,21,23.6,63,70.8
,,"Math",89,89,100.0,89,21,23.6,24,27.0,24,27.0,20,22.5,44,49.4
"Easton School District","=""0460011""","ELA",612,600,98.0,600,29,4.8,62,10.3,220,36.7,289,48.2,509,84.8
,,"Math",612,598,97.7,598,40,6.7,107,17.9,165,27.6,286,47.8,451,75.4
"EdAdvance","=""2420014""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA",1257,1248,99.3,1248,164,13.1,214,17.1,448,35.9,422,33.8,870,69.7
,,"Math",1257,1247,99.2,1247,167,13.4,306,24.5,387,31.0,387,31.0,774,62.1
"Elm City College Preparatory School District","=""2890013""","ELA",380,379,99.7,379,76,20.1,89,23.5,131,34.6,83,21.9,214,56.5
,,"Math",379,378,99.7,378,79,20.9,122,32.3,104,27.5,73,19.3,177,46.8
"Enfield School District","=""0490011""","ELA",2237,2224,99.4,2224,514,23.1,589,26.5,738,33.2,383,17.2,1121,50.4
,,"Math",2238,2227,99.5,2227,578,26.0,789,35.4,576,25.9,284,12.8,860,38.6
"Essex School District","=""0500011""","ELA",209,201,96.2,201,15,7.5,36,17.9,59,29.4,91,45.3,150,74.6
,,"Math",209,201,96.2,201,25,12.4,44,21.9,63,31.3,69,34.3,132,65.7
"Fairfield School District","=""0510011""","ELA",4738,4692,99.0,4690,401,8.6,794,16.9,1744,37.2,1751,37.3,3495,74.5
,,"Math",4738,4688,98.9,4686,463,9.9,1040,22.2,1402,29.9,1781,38.0,3183,67.9
"Farmington School District","=""0520011""","ELA",1939,1935,99.8,1934,153,7.9,254,13.1,624,32.3,903,46.7,1527,79.0
,,"Math",1940,1935,99.7,1934,164,8.5,344,17.8,550,28.4,876,45.3,1426,73.7
"Franklin School District","=""0530011""","ELA",101,101,100.0,101,17,16.8,22,21.8,37,36.6,25,24.8,62,61.4
,,"Math",101,101,100.0,101,26,25.7,38,37.6,23,22.8,14,13.9,37,36.6
"Glastonbury School District","=""0540011""","ELA",2784,2771,99.5,2770,227,8.2,407,14.7,885,31.9,1251,45.2,2136,77.1
,,"Math",2784,2770,99.5,2770,237,8.6,493,17.8,748,27.0,1292,46.6,2040,73.6
"Granby School District","=""0560011""","ELA",818,811,99.1,811,72,8.9,143,17.6,306,37.7,290,35.8,596,73.5
,,"Math",818,809,98.9,809,98,12.1,205,25.3,242,29.9,264,32.6,506,62.5
"Great Oaks Charter School District","=""2940013""","ELA",300,297,99.0,297,170,57.2,76,25.6,44,14.8,7,2.4,51,17.2
,,"Math",300,293,97.7,293,180,61.4,73,24.9,30,10.2,10,3.4,40,13.7
"Greenwich School District","=""0570011""","ELA",4079,4074,99.9,4074,364,8.9,630,15.5,1311,32.2,1769,43.4,3080,75.6
,,"Math",4078,4071,99.8,4071,420,10.3,772,19.0,1002,24.6,1877,46.1,2879,70.7
"Griswold School District","=""0580011""","ELA",804,795,98.9,795,135,17.0,212,26.7,269,33.8,179,22.5,448,56.4
,,"Math",801,792,98.9,792,133,16.8,217,27.4,236,29.8,206,26.0,442,55.8
"Groton School District","=""0590011""","ELA",1946,1938,99.6,1938,416,21.5,442,22.8,644,33.2,436,22.5,1080,55.7
,,"Math",1942,1933,99.5,1933,458,23.7,584,30.2,499,25.8,392,20.3,891,46.1
"Guilford School District","=""0600011""","ELA",1581,1572,99.4,1571,121,7.7,223,14.2,545,34.7,682,43.4,1227,78.1
,,"Math",1581,1571,99.4,1571,117,7.4,267,17.0,457,29.1,730,46.5,1187,75.6
"Hamden School District","=""0620011""","ELA",2429,2386,98.2,2386,649,27.2,565,23.7,656,27.5,516,21.6,1172,49.1
,,"Math",2426,2373,97.8,2373,677,28.5,679,28.6,555,23.4,462,19.5,1017,42.9
"Hampton School District","=""0630011""","ELA",54,54,100.0,54,9,16.7,14,25.9,18,33.3,13,24.1,31,57.4
,,"Math",54,53,98.1,53,12,22.6,14,26.4,13,24.5,14,26.4,27,50.9
"Hartford School District","=""0640011""","ELA",9056,8956,98.9,8953,4960,55.4,2030,22.7,1440,16.1,523,5.8,1963,21.9
,,"Math",9053,8825,97.5,8821,5297,60.0,2154,24.4,908,10.3,462,5.2,1370,15.5
"Hartland School District","=""0650011""","ELA",129,129,100.0,129,13,10.1,18,14.0,63,48.8,35,27.1,98,76.0
,,"Math",128,128,100.0,127,18,14.2,42,33.1,39,30.7,28,22.0,67,52.8
"Hebron School District","=""0670011""","ELA",403,401,99.5,401,60,15.0,78,19.5,163,40.6,100,24.9,263,65.6
,,"Math",403,401,99.5,401,42,10.5,100,24.9,138,34.4,121,30.2,259,64.6
"Highville Charter School District","=""2860013""","ELA",213,213,100.0,213,87,40.8,68,31.9,51,23.9,7,3.3,58,27.2
,,"Math",213,213,100.0,213,102,47.9,64,30.0,38,17.8,9,4.2,47,22.1
"Integrated Day Charter School District","=""2640013""","ELA",195,195,100.0,193,34,17.6,48,24.9,71,36.8,40,20.7,111,57.5
,,"Math",194,190,97.9,190,62,32.6,56,29.5,46,24.2,26,13.7,72,37.9
"Interdistrict School for Arts and Comm District","=""2650013""","ELA",262,262,100.0,262,90,34.4,87,33.2,70,26.7,15,5.7,85,32.4
,,"Math",262,262,100.0,262,149,56.9,83,31.7,24,9.2,6,2.3,30,11.5
"Jumoke Academy District","=""2610013""","ELA",416,412,99.0,412,154,37.4,124,30.1,95,23.1,39,9.5,134,32.5
,,"Math",416,409,98.3,409,188,46.0,129,31.5,67,16.4,25,6.1,92,22.5
"Kent School District","=""0680011""","ELA",164,159,97.0,159,11,6.9,24,15.1,61,38.4,63,39.6,124,78.0
,,"Math",164,159,97.0,159,11,6.9,43,27.0,57,35.8,48,30.2,105,66.0
"Killingly School District","=""0690011""","ELA",1003,991,98.8,991,217,21.9,258,26.0,356,35.9,160,16.1,516,52.1
,,"Math",1002,987,98.5,987,322,32.6,377,38.2,204,20.7,84,8.5,288,29.2
"Learn","=""2450014""","ELA",487,482,99.0,480,153,31.9,106,22.1,143,29.8,78,16.3,221,46.0
,,"Math",487,480,98.6,475,176,37.1,158,33.3,93,19.6,48,10.1,141,29.7
"Lebanon School District","=""0710011""","ELA",432,408,94.4,408,65,15.9,82,20.1,141,34.6,120,29.4,261,64.0
,,"Math",433,407,94.0,407,69,17.0,124,30.5,110,27.0,104,25.6,214,52.6
"Ledyard School District","=""0720011""","ELA",1033,1027,99.4,1025,221,21.6,244,23.8,346,33.8,214,20.9,560,54.6
,,"Math",1030,1020,99.0,1018,242,23.8,330,32.4,247,24.3,199,19.5,446,43.8
"Lisbon School District","=""0730011""","ELA",266,265,99.6,263,45,17.1,55,20.9,104,39.5,59,22.4,163,62.0
,,"Math",266,265,99.6,263,72,27.4,92,35.0,67,25.5,32,12.2,99,37.6
"Litchfield School District","=""0740011""","ELA",409,403,98.5,403,42,10.4,64,15.9,134,33.3,163,40.4,297,73.7
,,"Math",410,404,98.5,404,36,8.9,90,22.3,114,28.2,164,40.6,278,68.8
"Madison School District","=""0760011""","ELA",1275,1151,90.3,1151,160,13.9,221,19.2,391,34.0,379,32.9,770,66.9
,,"Math",1275,1141,89.5,1141,145,12.7,282,24.7,355,31.1,359,31.5,714,62.6
"Manchester School District","=""0770011""","ELA",2747,2689,97.9,2688,1107,41.2,606,22.5,672,25.0,303,11.3,975,36.3
,,"Math",2746,2667,97.1,2667,1116,41.8,738,27.7,512,19.2,301,11.3,813,30.5
"Mansfield School District","=""0780011""","ELA",788,753,95.6,753,79,10.5,114,15.1,243,32.3,317,42.1,560,74.4
,,"Math",788,752,95.4,752,69,9.2,164,21.8,194,25.8,325,43.2,519,69.0
"Marlborough School District","=""0790011""","ELA",330,329,99.7,329,33,10.0,59,17.9,105,31.9,132,40.1,237,72.0
,,"Math",330,329,99.7,329,26,7.9,77,23.4,98,29.8,128,38.9,226,68.7
"Meriden School District","=""0800011""","ELA",3478,3442,99.0,3442,1300,37.8,837,24.3,822,23.9,483,14.0,1305,37.9
,,"Math",3476,3427,98.6,3425,1400,40.9,1009,29.5,675,19.7,341,10.0,1016,29.7
"Middletown School District","=""0830011""","ELA",2107,2103,99.8,2103,584,27.8,501,23.8,589,28.0,429,20.4,1018,48.4
,,"Math",2105,2097,99.6,2096,674,32.2,607,29.0,452,21.6,363,17.3,815,38.9
"Milford School District","=""0840011""","ELA",2695,2640,98.0,2640,339,12.8,592,22.4,1039,39.4,670,25.4,1709,64.7
,,"Math",2696,2624,97.3,2623,428,16.3,722,27.5,718,27.4,755,28.8,1473,56.2
"Monroe School District","=""0850011""","ELA",1473,1457,98.9,1457,95,6.5,197,13.5,538,36.9,627,43.0,1165,80.0
,,"Math",1473,1455,98.8,1455,127,8.7,323,22.2,454,31.2,551,37.9,1005,69.1
"Montville School District","=""0860011""","ELA",1047,1043,99.6,1043,168,16.1,258,24.7,353,33.8,264,25.3,617,59.2
,,"Math",1047,1042,99.5,1042,201,19.3,302,29.0,334,32.1,205,19.7,539,51.7
"Naugatuck School District","=""0880011""","ELA",1931,1921,99.5,1920,540,28.1,462,24.1,588,30.6,330,17.2,918,47.8
,,"Math",1931,1917,99.3,1917,565,29.5,563,29.4,443,23.1,346,18.0,789,41.2
"New Beginnings Inc Family Academy District","=""2800013""","ELA",244,244,100.0,244,107,43.9,77,31.6,52,21.3,8,3.3,60,24.6
,,"Math",244,244,100.0,244,140,57.4,75,30.7,"*","*","*","*",29,11.9
"New Britain School District","=""0890011""","ELA",4497,4456,99.1,4456,2620,58.8,971,21.8,602,13.5,263,5.9,865,19.4
,,"Math",4499,4443,98.8,4438,2818,63.5,1079,24.3,401,9.0,140,3.2,541,12.2
"New Canaan School District","=""0900011""","ELA",2028,2016,99.4,2015,60,3.0,183,9.1,638,31.7,1134,56.3,1772,87.9
,,"Math",2028,2012,99.2,2012,64,3.2,236,11.7,424,21.1,1288,64.0,1712,85.1
"New Fairfield School District","=""0910011""","ELA",1014,970,95.7,970,101,10.4,173,17.8,403,41.5,293,30.2,696,71.8
,,"Math",1014,965,95.2,965,111,11.5,235,24.4,297,30.8,322,33.4,619,64.1
"New Hartford School District","=""0920011""","ELA",278,271,97.5,271,49,18.1,55,20.3,93,34.3,74,27.3,167,61.6
,,"Math",278,271,97.5,271,49,18.1,86,31.7,85,31.4,51,18.8,136,50.2
"New Haven School District","=""0930011""","ELA",9319,9249,99.2,9245,3831,41.4,2507,27.1,2037,22.0,870,9.4,2907,31.4
,,"Math",9319,9220,98.9,9217,4677,50.7,2627,28.5,1242,13.5,671,7.3,1913,20.8
"New London School District","=""0950011""","ELA",1579,1560,98.8,1556,763,49.0,367,23.6,286,18.4,140,9.0,426,27.4
,,"Math",1575,1554,98.7,1552,826,53.2,453,29.2,186,12.0,87,5.6,273,17.6
"New Milford School District","=""0960011""","ELA",1911,1852,96.9,1851,419,22.6,489,26.4,597,32.3,346,18.7,943,50.9
,,"Math",1911,1828,95.7,1828,399,21.8,568,31.1,503,27.5,358,19.6,861,47.1
"Newington School District","=""0940011""","ELA",1909,1902,99.6,1901,409,21.5,469,24.7,643,33.8,380,20.0,1023,53.8
,,"Math",1910,1899,99.4,1897,353,18.6,600,31.6,551,29.0,393,20.7,944,49.8
"Newtown School District","=""0970011""","ELA",1972,1953,99.0,1953,191,9.8,391,20.0,755,38.7,616,31.5,1371,70.2
,,"Math",1972,1950,98.9,1950,174,8.9,444,22.8,581,29.8,751,38.5,1332,68.3
"Norfolk School District","=""0980011""","ELA",52,52,100.0,52,13,25.0,12,23.1,16,30.8,11,21.2,27,51.9
,,"Math",52,52,100.0,52,12,23.1,20,38.5,10,19.2,10,19.2,20,38.5
"North Branford School District","=""0990011""","ELA",840,813,96.8,813,135,16.6,192,23.6,308,37.9,178,21.9,486,59.8
,,"Math",839,811,96.7,811,158,19.5,254,31.3,214,26.4,185,22.8,399,49.2
"North Canaan School District","=""1000011""","ELA",170,170,100.0,170,31,18.2,34,20.0,58,34.1,47,27.6,105,61.8
,,"Math",170,170,100.0,170,36,21.2,53,31.2,50,29.4,31,18.2,81,47.6
"North Haven School District","=""1010011""","ELA",1433,1409,98.3,1409,172,12.2,263,18.7,493,35.0,481,34.1,974,69.1
,,"Math",1431,1403,98.0,1403,179,12.8,349,24.9,400,28.5,475,33.9,875,62.4
"North Stonington School District","=""1020011""","ELA",344,342,99.4,342,29,8.5,49,14.3,142,41.5,122,35.7,264,77.2
,,"Math",344,342,99.4,342,25,7.3,73,21.3,102,29.8,142,41.5,244,71.3
"Norwalk School District","=""1030011""","ELA",5167,5127,99.2,5125,1335,26.0,1312,25.6,1510,29.5,968,18.9,2478,48.4
,,"Math",5164,5120,99.1,5115,1614,31.6,1492,29.2,1113,21.8,896,17.5,2009,39.3
"Norwich School District","=""1040011""","ELA",2185,2171,99.4,2170,858,39.5,589,27.1,475,21.9,248,11.4,723,33.3
,,"Math",2186,2167,99.1,2164,987,45.6,644,29.8,327,15.1,206,9.5,533,24.6
"Odyssey Community School District","=""2630013""","ELA",212,212,100.0,212,48,22.6,61,28.8,74,34.9,29,13.7,103,48.6
,,"Math",212,212,100.0,212,62,29.2,64,30.2,51,24.1,35,16.5,86,40.6
"Old Saybrook School District","=""1060011""","ELA",559,545,97.5,545,50,9.2,119,21.8,220,40.4,156,28.6,376,69.0
,,"Math",559,545,97.5,545,73,13.4,148,27.2,181,33.2,143,26.2,324,59.4
"Orange School District","=""1070011""","ELA",674,665,98.7,665,66,9.9,107,16.1,198,29.8,294,44.2,492,74.0
,,"Math",674,665,98.7,665,61,9.2,142,21.4,211,31.7,251,37.7,462,69.5
"Oxford School District","=""1080011""","ELA",922,915,99.2,915,119,13.0,218,23.8,352,38.5,226,24.7,578,63.2
,,"Math",922,911,98.8,911,137,15.0,285,31.3,290,31.8,199,21.8,489,53.7
"Park City Prep Charter School District","=""2830013""","ELA",343,342,99.7,342,118,34.5,95,27.8,100,29.2,29,8.5,129,37.7
,,"Math",343,338,98.5,338,174,51.5,104,30.8,42,12.4,18,5.3,60,17.8
"Plainfield School District","=""1090011""","ELA",1023,1010,98.7,1009,180,17.8,247,24.5,373,37.0,209,20.7,582,57.7
,,"Math",1023,1010,98.7,1008,195,19.3,366,36.3,272,27.0,175,17.4,447,44.3
"Plainville School District","=""1100011""","ELA",1058,1051,99.3,1051,186,17.7,276,26.3,376,35.8,213,20.3,589,56.0
,,"Math",1057,1049,99.2,1049,244,23.3,329,31.4,292,27.8,184,17.5,476,45.4
"Plymouth School District","=""1110011""","ELA",670,667,99.6,667,132,19.8,165,24.7,223,33.4,147,22.0,370,55.5
,,"Math",671,668,99.6,668,131,19.6,200,29.9,207,31.0,130,19.5,337,50.4
"Pomfret School District","=""1120011""","ELA",256,254,99.2,247,31,12.6,57,23.1,91,36.8,68,27.5,159,64.4
,,"Math",256,255,99.6,247,28,11.3,66,26.7,76,30.8,77,31.2,153,61.9
"Portland School District","=""1130011""","ELA",627,613,97.8,613,61,10.0,106,17.3,236,38.5,210,34.3,446,72.8
,,"Math",627,611,97.4,611,67,11.0,161,26.4,182,29.8,201,32.9,383,62.7
"Preston School District","=""1140011""","ELA",282,280,99.3,279,37,13.3,58,20.8,115,41.2,69,24.7,184,65.9
,,"Math",283,281,99.3,280,49,17.5,88,31.4,82,29.3,61,21.8,143,51.1
"Putnam School District","=""1160011""","ELA",542,539,99.4,536,132,24.6,129,24.1,174,32.5,101,18.8,275,51.3
,,"Math",541,526,97.2,525,162,30.9,164,31.2,121,23.0,78,14.9,199,37.9
"Redding School District","=""1170011""","ELA",631,627,99.4,627,40,6.4,109,17.4,221,35.2,257,41.0,478,76.2
,,"Math",631,627,99.4,627,46,7.3,108,17.2,199,31.7,274,43.7,473,75.4
"Regional School District 01","=""2010012""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","ELA",332,329,99.1,329,23,7.0,74,22.5,136,41.3,96,29.2,232,70.5
,,"Math",332,324,97.6,324,48,14.8,85,26.2,80,24.7,111,34.3,191,59.0
"Regional School District 05","=""2050012""","ELA",775,759,97.9,759,42,5.5,121,15.9,316,41.6,280,36.9,596,78.5
