"Smarter Balanced Assessments, 2022-23"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Cornwall School District","=""0310011""","ELA",58,56,96.6,56,8,14.3,13,23.2,20,35.7,15,26.8,35,62.5
,,"Math",58,56,96.6,56,6,10.7,17,30.4,15,26.8,18,32.1,33,58.9
"Coventry School District","=""0320011""","ELA",718,712,99.2,712,83,11.7,121,17.0,242,34.0,266,37.4,508,71.3
,,"Math",718,713,99.3,712,107,15.0,185,26.0,196,27.5,224,31.5,420,59.0
"Cromwell School District","=""0330011""","ELA",919,914,99.5,913,213,23.3,217,23.8,279,30.6,204,22.3,483,52.9
,,"Math",917,906,98.8,905,212,23.4,258,28.5,222,24.5,213,23.5,435,48.1
"Danbury School District","=""0340011""","ELA",5451,5418,99.4,5418,2311,42.7,1312,24.2,1200,22.1,595,11.0,1795,33.1
,,"Math",5452,5409,99.2,5407,2514,46.5,1548,28.6,878,16.2,467,8.6,1345,24.9
"Darien School District","=""0350011""","ELA",2125,2113,99.4,2113,145,6.9,291,13.8,687,32.5,990,46.9,1677,79.4
,,"Math",2125,2110,99.3,2110,119,5.6,287,13.6,529,25.1,1175,55.7,1704,80.8
"Deep River School District","=""0360011""","ELA",112,112,100.0,112,9,8.0,23,20.5,44,39.3,36,32.1,80,71.4
,,"Math",112,112,100.0,112,11,9.8,28,25.0,40,35.7,33,29.5,73,65.2
"Derby School District","=""0370011""","ELA",577,575,99.7,575,225,39.1,157,27.3,129,22.4,64,11.1,193,33.6
,,"Math",577,574,99.5,574,303,52.8,146,25.4,76,13.2,49,8.5,125,21.8
"East Granby School District","=""0400011""","ELA",392,390,99.5,390,70,17.9,73,18.7,117,30.0,130,33.3,247,63.3
,,"Math",392,389,99.2,389,77,19.8,95,24.4,103,26.5,114,29.3,217,55.8
"East Haddam School District","=""0410011""","ELA",450,447,99.3,447,89,19.9,101,22.6,131,29.3,126,28.2,257,57.5
,,"Math",449,445,99.1,445,108,24.3,121,27.2,113,25.4,103,23.1,216,48.5
"East Hampton School District","=""0420011""","ELA",812,801,98.6,801,127,15.9,194,24.2,267,33.3,213,26.6,480,59.9
,,"Math",812,796,98.0,796,187,23.5,214,26.9,223,28.0,172,21.6,395,49.6
"East Hartford School District","=""0430011""","ELA",2579,2558,99.2,2557,1038,40.6,587,23.0,611,23.9,321,12.6,932,36.4
,,"Math",2573,2538,98.6,2538,1158,45.6,647,25.5,443,17.5,290,11.4,733,28.9
"East Haven School District","=""0440011""","ELA",1205,1192,98.9,1191,413,34.7,327,27.5,311,26.1,140,11.8,451,37.9
,,"Math",1205,1187,98.5,1186,470,39.6,363,30.6,223,18.8,130,11.0,353,29.8
"East Lyme School District","=""0450011""","ELA",1065,1035,97.2,1035,182,17.6,218,21.1,315,30.4,320,30.9,635,61.4
,,"Math",1064,1030,96.8,1030,187,18.2,229,22.2,271,26.3,343,33.3,614,59.6
"East Windsor School District","=""0470011""","ELA",473,471,99.6,471,136,28.9,141,29.9,120,25.5,74,15.7,194,41.2
,,"Math",471,468,99.4,468,181,38.7,123,26.3,84,17.9,80,17.1,164,35.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA",25,"*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math",26,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","ELA",82,82,100.0,82,"*","*","*","*",30,36.6,36,43.9,66,80.5
,,"Math",82,82,100.0,81,9,11.1,23,28.4,28,34.6,21,25.9,49,60.5
"Easton School District","=""0460011""","ELA",587,580,98.8,580,29,5.0,83,14.3,208,35.9,260,44.8,468,80.7
,,"Math",587,579,98.6,579,39,6.7,101,17.4,163,28.2,276,47.7,439,75.8
"EdAdvance","=""2420014""","ELA",33,31,93.9,31,22,71.0,"*","*","*","*",0,0.0,"*","*"
,,"Math",33,31,93.9,31,26,83.9,"*","*","*","*",0,0.0,"*","*"
"Ellington School District","=""0480011""","ELA",1186,1174,99.0,1174,140,11.9,238,20.3,357,30.4,439,37.4,796,67.8
,,"Math",1186,1169,98.6,1169,149,12.7,220,18.8,314,26.9,486,41.6,800,68.4
"Elm City College Preparatory School District","=""2890013""","ELA",370,365,98.6,365,124,34.0,106,29.0,90,24.7,45,12.3,135,37.0
,,"Math",370,364,98.4,364,191,52.5,109,29.9,48,13.2,16,4.4,64,17.6
"Elm City Montessori School District","=""2910013""","ELA",114,113,99.1,113,39,34.5,26,23.0,21,18.6,27,23.9,48,42.5
,,"Math",114,113,99.1,113,52,46.0,29,25.7,24,21.2,8,7.1,32,28.3
"Enfield School District","=""0490011""","ELA",2074,2042,98.5,2042,633,31.0,565,27.7,537,26.3,307,15.0,844,41.3
,,"Math",2072,2032,98.1,2032,760,37.4,589,29.0,424,20.9,259,12.7,683,33.6
"Essex School District","=""0500011""","ELA",160,147,91.9,147,13,8.8,26,17.7,49,33.3,59,40.1,108,73.5
,,"Math",160,147,91.9,147,18,12.2,30,20.4,41,27.9,58,39.5,99,67.3
"Fairfield School District","=""0510011""","ELA",4165,4122,99.0,4122,429,10.4,700,17.0,1376,33.4,1617,39.2,2993,72.6
,,"Math",4165,4122,99.0,4122,478,11.6,877,21.3,1190,28.9,1577,38.3,2767,67.1
"Farmington School District","=""0520011""","ELA",1893,1883,99.5,1883,171,9.1,298,15.8,591,31.4,823,43.7,1414,75.1
,,"Math",1893,1876,99.1,1876,195,10.4,313,16.7,445,23.7,923,49.2,1368,72.9
"Franklin School District","=""0530011""","ELA",107,106,99.1,106,14,13.2,32,30.2,38,35.8,22,20.8,60,56.6
,,"Math",107,106,99.1,106,12,11.3,33,31.1,30,28.3,31,29.2,61,57.5
"Glastonbury School District","=""0540011""","ELA",2527,2511,99.4,2511,256,10.2,423,16.8,787,31.3,1045,41.6,1832,73.0
,,"Math",2527,2509,99.3,2509,256,10.2,425,16.9,648,25.8,1180,47.0,1828,72.9
"Goodwin University Educational Services (GUES)","=""2310018""","ELA",377,377,100.0,377,179,47.5,101,26.8,84,22.3,13,3.4,97,25.7
,,"Math",377,377,100.0,377,247,65.5,90,23.9,33,8.8,7,1.9,40,10.6
"Granby School District","=""0560011""","ELA",783,782,99.9,782,113,14.5,156,19.9,284,36.3,229,29.3,513,65.6
,,"Math",782,778,99.5,777,164,21.1,199,25.6,215,27.7,199,25.6,414,53.3
"Great Oaks Charter School District","=""2940013""","ELA",281,270,96.1,270,114,42.2,77,28.5,63,23.3,16,5.9,79,29.3
,,"Math",281,274,97.5,274,180,65.7,57,20.8,26,9.5,11,4.0,37,13.5
"Greenwich School District","=""0570011""","ELA",3778,3755,99.4,3755,410,10.9,562,15.0,1101,29.3,1682,44.8,2783,74.1
,,"Math",3778,3748,99.2,3748,444,11.8,668,17.8,861,23.0,1775,47.4,2636,70.3
"Griswold School District","=""0580011""","ELA",722,711,98.5,710,199,28.0,215,30.3,210,29.6,86,12.1,296,41.7
,,"Math",723,710,98.2,710,238,33.5,203,28.6,170,23.9,99,13.9,269,37.9
"Groton School District","=""0590011""","ELA",1801,1783,99.0,1780,499,28.0,416,23.4,482,27.1,383,21.5,865,48.6
,,"Math",1801,1771,98.3,1767,548,31.0,503,28.5,401,22.7,315,17.8,716,40.5
"Guilford School District","=""0600011""","ELA",1405,1395,99.3,1395,129,9.2,248,17.8,490,35.1,528,37.8,1018,73.0
,,"Math",1405,1394,99.2,1394,174,12.5,296,21.2,358,25.7,566,40.6,924,66.3
"Hamden School District","=""0620011""","ELA",2376,2342,98.6,2339,841,36.0,506,21.6,567,24.2,425,18.2,992,42.4
,,"Math",2376,2336,98.3,2336,893,38.2,559,23.9,446,19.1,438,18.8,884,37.8
"Hampton School District","=""0630011""","ELA",33,33,100.0,33,12,36.4,10,30.3,"*","*","*","*",11,33.3
,,"Math",33,33,100.0,33,11,33.3,11,33.3,"*","*","*","*",11,33.3
"Hartford School District","=""0640011""","ELA",7130,7045,98.8,7039,4407,62.6,1384,19.7,909,12.9,339,4.8,1248,17.7
,,"Math",7123,6984,98.0,6979,4677,67.0,1335,19.1,630,9.0,337,4.8,967,13.9
"Hartland School District","=""0650011""","ELA",83,82,98.8,82,12,14.6,11,13.4,34,41.5,25,30.5,59,72.0
,,"Math",83,82,98.8,82,10,12.2,25,30.5,24,29.3,23,28.0,47,57.3
"Hebron School District","=""0670011""","ELA",349,347,99.4,347,53,15.3,43,12.4,122,35.2,129,37.2,251,72.3
,,"Math",349,347,99.4,347,31,8.9,102,29.4,107,30.8,107,30.8,214,61.7
"Highville Charter School District","=""2860013""","ELA",200,200,100.0,200,121,60.5,40,20.0,"*","*","*","*",39,19.5
,,"Math",200,200,100.0,200,136,68.0,46,23.0,"*","*","*","*",18,9.0
"Integrated Day Charter School District","=""2640013""","ELA",225,225,100.0,225,43,19.1,65,28.9,79,35.1,38,16.9,117,52.0
,,"Math",225,224,99.6,224,62,27.7,74,33.0,46,20.5,42,18.8,88,39.3
"Interdistrict School for Arts and Comm District","=""2650013""","ELA",265,261,98.5,261,80,30.7,86,33.0,79,30.3,16,6.1,95,36.4
,,"Math",265,257,97.0,256,111,43.4,85,33.2,40,15.6,20,7.8,60,23.4
"Jumoke Academy District","=""2610013""","ELA",349,347,99.4,347,174,50.1,82,23.6,65,18.7,26,7.5,91,26.2
,,"Math",349,346,99.1,346,201,58.1,90,26.0,38,11.0,17,4.9,55,15.9
"Kent School District","=""0680011""","ELA",118,115,97.5,115,9,7.8,21,18.3,41,35.7,44,38.3,85,73.9
,,"Math",118,115,97.5,115,12,10.4,26,22.6,31,27.0,46,40.0,77,67.0
"Killingly School District","=""0690011""","ELA",1004,991,98.7,990,313,31.6,270,27.3,282,28.5,125,12.6,407,41.1
,,"Math",1004,981,97.7,981,416,42.4,306,31.2,162,16.5,97,9.9,259,26.4
"Learn","=""2450014""","ELA",260,258,99.2,258,94,36.4,54,20.9,58,22.5,52,20.2,110,42.6
,,"Math",260,258,99.2,257,114,44.4,59,23.0,52,20.2,32,12.5,84,32.7
"Lebanon School District","=""0710011""","ELA",399,395,99.0,395,89,22.5,76,19.2,115,29.1,115,29.1,230,58.2
,,"Math",398,394,99.0,394,82,20.8,93,23.6,103,26.1,116,29.4,219,55.6
"Ledyard School District","=""0720011""","ELA",1067,1055,98.9,1055,315,29.9,262,24.8,304,28.8,174,16.5,478,45.3
,,"Math",1068,1053,98.6,1053,308,29.2,316,30.0,221,21.0,208,19.8,429,40.7
"Lisbon School District","=""0730011""","ELA",260,249,95.8,249,56,22.5,63,25.3,80,32.1,50,20.1,130,52.2
,,"Math",260,248,95.4,248,44,17.7,74,29.8,64,25.8,66,26.6,130,52.4
"Litchfield School District","=""0740011""","ELA",371,369,99.5,369,44,11.9,65,17.6,137,37.1,123,33.3,260,70.5
,,"Math",371,369,99.5,369,44,11.9,80,21.7,97,26.3,148,40.1,245,66.4
"Madison School District","=""0760011""","ELA",1035,1031,99.6,1031,61,5.9,162,15.7,377,36.6,431,41.8,808,78.4
,,"Math",1035,1030,99.5,1030,55,5.3,159,15.4,304,29.5,512,49.7,816,79.2
"Manchester School District","=""0770011""","ELA",2687,2641,98.3,2641,1308,49.5,568,21.5,494,18.7,271,10.3,765,29.0
,,"Math",2686,2619,97.5,2619,1383,52.8,628,24.0,369,14.1,239,9.1,608,23.2
"Mansfield School District","=""0780011""","ELA",640,627,98.0,626,93,14.9,116,18.5,189,30.2,228,36.4,417,66.6
,,"Math",639,624,97.7,624,116,18.6,135,21.6,149,23.9,224,35.9,373,59.8
"Marlborough School District","=""0790011""","ELA",243,243,100.0,243,32,13.2,50,20.6,79,32.5,82,33.7,161,66.3
,,"Math",243,243,100.0,243,26,10.7,48,19.8,73,30.0,96,39.5,169,69.5
"Meriden School District","=""0800011""","ELA",4024,3975,98.8,3974,1293,32.5,934,23.5,1083,27.3,664,16.7,1747,44.0
,,"Math",4016,3947,98.3,3945,1531,38.8,989,25.1,798,20.2,627,15.9,1425,36.1
"Middletown School District","=""0830011""","ELA",2016,2006,99.5,2006,721,35.9,460,22.9,477,23.8,348,17.3,825,41.1
,,"Math",2014,2000,99.3,1998,904,45.2,517,25.9,333,16.7,244,12.2,577,28.9
"Milford School District","=""0840011""","ELA",2334,2310,99.0,2309,500,21.7,553,23.9,769,33.3,487,21.1,1256,54.4
,,"Math",2333,2308,98.9,2306,583,25.3,614,26.6,583,25.3,526,22.8,1109,48.1
"Monroe School District","=""0850011""","ELA",1538,1512,98.3,1512,152,10.1,258,17.1,516,34.1,586,38.8,1102,72.9
,,"Math",1538,1507,98.0,1507,203,13.5,334,22.2,462,30.7,508,33.7,970,64.4
"Montville School District","=""0860011""","ELA",945,942,99.7,942,227,24.1,232,24.6,300,31.8,183,19.4,483,51.3
,,"Math",945,943,99.8,943,276,29.3,247,26.2,224,23.8,196,20.8,420,44.5
"Naugatuck School District","=""0880011""","ELA",1935,1907,98.6,1907,647,33.9,507,26.6,492,25.8,261,13.7,753,39.5
,,"Math",1936,1904,98.3,1903,788,41.4,538,28.3,354,18.6,223,11.7,577,30.3
"New Beginnings Inc Family Academy District","=""2800013""","ELA",167,166,99.4,166,85,51.2,44,26.5,27,16.3,10,6.0,37,22.3
,,"Math",167,166,99.4,166,101,60.8,40,24.1,"*","*","*","*",25,15.1
"New Britain School District","=""0890011""","ELA",4419,4374,99.0,4371,2822,64.6,853,19.5,492,11.3,204,4.7,696,15.9
,,"Math",4415,4329,98.1,4328,3109,71.8,777,18.0,306,7.1,136,3.1,442,10.2
"New Canaan School District","=""0900011""","ELA",1935,1927,99.6,1927,100,5.2,222,11.5,568,29.5,1037,53.8,1605,83.3
,,"Math",1934,1925,99.5,1925,103,5.4,226,11.7,436,22.6,1160,60.3,1596,82.9
"New Fairfield School District","=""0910011""","ELA",941,939,99.8,938,125,13.3,204,21.7,326,34.8,283,30.2,609,64.9
,,"Math",941,935,99.4,935,111,11.9,196,21.0,282,30.2,346,37.0,628,67.2
"New Hartford School District","=""0920011""","ELA",245,244,99.6,244,43,17.6,60,24.6,67,27.5,74,30.3,141,57.8
,,"Math",244,243,99.6,243,52,21.4,70,28.8,70,28.8,51,21.0,121,49.8
"New Haven School District","=""0930011""","ELA",8139,8023,98.6,8023,4364,54.4,1888,23.5,1235,15.4,536,6.7,1771,22.1
,,"Math",8134,7966,97.9,7964,5251,65.9,1638,20.6,688,8.6,387,4.9,1075,13.5
"New London School District","=""0950011""","ELA",1340,1322,98.7,1322,785,59.4,260,19.7,190,14.4,87,6.6,277,21.0
,,"Math",1336,1317,98.6,1315,903,68.7,250,19.0,106,8.1,56,4.3,162,12.3
"New Milford School District","=""0960011""","ELA",1584,1545,97.5,1545,513,33.2,414,26.8,438,28.3,180,11.7,618,40.0
,,"Math",1583,1534,96.9,1534,550,35.9,498,32.5,314,20.5,172,11.2,486,31.7
"Newington School District","=""0940011""","ELA",1731,1718,99.2,1718,421,24.5,416,24.2,534,31.1,347,20.2,881,51.3
,,"Math",1730,1708,98.7,1707,447,26.2,488,28.6,448,26.2,324,19.0,772,45.2
"Newtown School District","=""0970011""","ELA",1768,1756,99.3,1756,207,11.8,357,20.3,603,34.3,589,33.5,1192,67.9
,,"Math",1768,1753,99.2,1753,214,12.2,401,22.9,478,27.3,660,37.6,1138,64.9
"Norfolk School District","=""0980011""","ELA",35,35,100.0,35,10,28.6,"*","*",11,31.4,"*","*","*","*"
,,"Math",35,35,100.0,35,11,31.4,10,28.6,"*","*","*","*",14,40.0
"North Branford School District","=""0990011""","ELA",714,704,98.6,704,115,16.3,167,23.7,239,33.9,183,26.0,422,59.9
,,"Math",714,704,98.6,704,111,15.8,192,27.3,211,30.0,190,27.0,401,57.0
"North Canaan School District","=""1000011""","ELA",146,145,99.3,145,19,13.1,33,22.8,42,29.0,51,35.2,93,64.1
,,"Math",146,145,99.3,145,26,17.9,38,26.2,36,24.8,45,31.0,81,55.9
"North Haven School District","=""1010011""","ELA",1467,1448,98.7,1448,242,16.7,294,20.3,441,30.5,471,32.5,912,63.0
,,"Math",1467,1443,98.4,1443,242,16.8,358,24.8,377,26.1,466,32.3,843,58.4
"North Stonington School District","=""1020011""","ELA",348,330,94.8,330,44,13.3,71,21.5,110,33.3,105,31.8,215,65.2
,,"Math",348,330,94.8,330,29,8.8,65,19.7,101,30.6,135,40.9,236,71.5
"Norwalk School District","=""1030011""","ELA",4908,4875,99.3,4872,1868,38.3,1118,22.9,1187,24.4,699,14.3,1886,38.7
,,"Math",4907,4860,99.0,4856,1960,40.4,1325,27.3,859,17.7,712,14.7,1571,32.4
"Norwich School District","=""1040011""","ELA",2111,2080,98.5,2077,1068,51.4,492,23.7,359,17.3,158,7.6,517,24.9
,,"Math",2112,2064,97.7,2064,1211,58.7,485,23.5,240,11.6,128,6.2,368,17.8
"Odyssey Community School District","=""2630013""","ELA",218,216,99.1,216,49,22.7,65,30.1,62,28.7,40,18.5,102,47.2
,,"Math",218,216,99.1,216,51,23.6,61,28.2,60,27.8,44,20.4,104,48.1
"Old Saybrook School District","=""1060011""","ELA",465,456,98.1,456,66,14.5,86,18.9,154,33.8,150,32.9,304,66.7
,,"Math",465,455,97.8,455,97,21.3,107,23.5,116,25.5,135,29.7,251,55.2
"Orange School District","=""1070011""","ELA",720,715,99.3,711,84,11.8,133,18.7,216,30.4,278,39.1,494,69.5
,,"Math",720,715,99.3,709,77,10.9,165,23.3,215,30.3,252,35.5,467,65.9
"Oxford School District","=""1080011""","ELA",760,744,97.9,744,120,16.1,172,23.1,274,36.8,178,23.9,452,60.8
,,"Math",760,741,97.5,741,142,19.2,230,31.0,194,26.2,175,23.6,369,49.8
"Park City Prep Charter School District","=""2830013""","ELA",373,373,100.0,373,107,28.7,90,24.1,123,33.0,53,14.2,176,47.2
,,"Math",372,365,98.1,365,130,35.6,107,29.3,81,22.2,47,12.9,128,35.1
"Plainfield School District","=""1090011""","ELA",856,851,99.4,851,216,25.4,231,27.1,256,30.1,148,17.4,404,47.5
,,"Math",856,849,99.2,849,273,32.2,277,32.6,186,21.9,113,13.3,299,35.2
"Plainville School District","=""1100011""","ELA",1035,1030,99.5,1030,222,21.6,267,25.9,304,29.5,237,23.0,541,52.5
,,"Math",1035,1028,99.3,1028,232,22.6,314,30.5,258,25.1,224,21.8,482,46.9
"Plymouth School District","=""1110011""","ELA",586,578,98.6,578,164,28.4,152,26.3,172,29.8,90,15.6,262,45.3
,,"Math",586,576,98.3,576,161,28.0,179,31.1,153,26.6,83,14.4,236,41.0
"Pomfret School District","=""1120011""","ELA",247,247,100.0,245,25,10.2,48,19.6,88,35.9,84,34.3,172,70.2
,,"Math",247,247,100.0,245,21,8.6,47,19.2,87,35.5,90,36.7,177,72.2
"Portland School District","=""1130011""","ELA",623,620,99.5,620,113,18.2,125,20.2,193,31.1,189,30.5,382,61.6
,,"Math",623,618,99.2,618,133,21.5,148,23.9,156,25.2,181,29.3,337,54.5
"Preston School District","=""1140011""","ELA",266,265,99.6,264,47,17.8,50,18.9,90,34.1,77,29.2,167,63.3
,,"Math",266,266,100.0,265,49,18.5,91,34.3,65,24.5,60,22.6,125,47.2
"Putnam School District","=""1160011""","ELA",519,507,97.7,506,200,39.5,136,26.9,108,21.3,62,12.3,170,33.6
,,"Math",519,505,97.3,505,202,40.0,156,30.9,100,19.8,47,9.3,147,29.1
"Redding School District","=""1170011""","ELA",536,528,98.5,528,53,10.0,93,17.6,179,33.9,203,38.4,382,72.3
,,"Math",536,527,98.3,527,42,8.0,109,20.7,150,28.5,226,42.9,376,71.3
"Regional School District 01","=""2010012""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
