"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
,,"Math",1606,1594,99.3,1575,311,19.7,516,32.8,452,28.7,296,18.8,748,47.5
"Bethany School District","=""0080011""","ELA",240,234,97.5,233,29,12.4,46,19.7,73,31.3,85,36.5,158,67.8
,,"Math",240,234,97.5,234,31,13.2,64,27.4,76,32.5,63,26.9,139,59.4
"Bethel School District","=""0090011""","ELA",1526,1507,98.8,1506,163,10.8,319,21.2,566,37.6,458,30.4,1024,68.0
,,"Math",1526,1512,99.1,1511,361,23.9,525,34.7,395,26.1,230,15.2,625,41.4
"Bloomfield School District","=""0110011""","ELA",907,878,96.8,878,190,21.6,268,30.5,303,34.5,117,13.3,420,47.8
,,"Math",906,881,97.2,881,387,43.9,311,35.3,151,17.1,32,3.6,183,20.8
"Bolton School District","=""0120011""","ELA",449,443,98.7,442,46,10.4,67,15.2,166,37.6,163,36.9,329,74.4
,,"Math",449,444,98.9,444,80,18.0,124,27.9,119,26.8,121,27.3,240,54.1
"Bozrah School District","=""0130011""","ELA",129,129,100.0,129,32,24.8,33,25.6,42,32.6,22,17.1,64,49.6
,,"Math",129,129,100.0,129,46,35.7,33,25.6,37,28.7,13,10.1,50,38.8
"Branford School District","=""0140011""","ELA",1612,1571,97.5,1571,278,17.7,364,23.2,556,35.4,373,23.7,929,59.1
,,"Math",1612,1569,97.3,1567,460,29.4,400,25.5,400,25.5,307,19.6,707,45.1
"Bridgeport School District","=""0150011""","ELA",10461,9942,95.0,9905,4863,49.1,2688,27.1,1852,18.7,502,5.1,2354,23.8
,,"Math",10462,10109,96.6,10102,6860,67.9,2345,23.2,723,7.2,174,1.7,897,8.9
"Bristol School District","=""0170011""","ELA",4207,4139,98.4,4135,897,21.7,1100,26.6,1424,34.4,714,17.3,2138,51.7
,,"Math",4210,4161,98.8,4160,1483,35.6,1320,31.7,933,22.4,424,10.2,1357,32.6
"Brookfield School District","=""0180011""","ELA",1510,1438,95.2,1430,163,11.4,262,18.3,540,37.8,465,32.5,1005,70.3
,,"Math",1510,1456,96.4,1454,231,15.9,399,27.4,458,31.5,366,25.2,824,56.7
"Brooklyn School District","=""0190011""","ELA",545,536,98.3,536,55,10.3,119,22.2,204,38.1,158,29.5,362,67.5
,,"Math",545,538,98.7,537,147,27.4,205,38.2,120,22.3,65,12.1,185,34.5
"Canaan School District","=""0210011""","ELA",53,52,98.1,52,"*","*",14,26.9,22,42.3,"*","*","*","*"
,,"Math",53,53,100.0,53,9,17.0,18,34.0,20,37.7,6,11.3,26,49.1
"Canterbury School District","=""0220011""","ELA",312,309,99.0,309,52,16.8,94,30.4,113,36.6,50,16.2,163,52.8
,,"Math",312,309,99.0,309,87,28.2,104,33.7,82,26.5,36,11.7,118,38.2
"Canton School District","=""0230011""","ELA",904,900,99.6,900,79,8.8,146,16.2,336,37.3,339,37.7,675,75.0
,,"Math",903,895,99.1,895,132,14.7,255,28.5,263,29.4,245,27.4,508,56.8
"Capitol Region Education Council","=""2410014""","ELA",3499,3348,95.7,3336,860,25.8,830,24.9,1041,31.2,605,18.1,1646,49.3
,,"Math",3501,3354,95.8,3341,1334,39.9,974,29.2,607,18.2,426,12.8,1033,30.9
"Chaplin School District","=""0240011""","ELA",75,58,77.3,58,18,31.0,9,15.5,12,20.7,19,32.8,31,53.4
,,"Math",75,58,77.3,58,17,29.3,25,43.1,"*","*","*","*",16,27.6
"Cheshire School District","=""0250011""","ELA",2523,2487,98.6,2486,172,6.9,366,14.7,934,37.6,1014,40.8,1948,78.4
,,"Math",2523,2486,98.5,2486,379,15.2,652,26.2,754,30.3,701,28.2,1455,58.5
"Chester School District","=""0260011""","ELA",137,137,100.0,137,8,5.8,13,9.5,49,35.8,67,48.9,116,84.7
,,"Math",138,138,100.0,138,8,5.8,38,27.5,52,37.7,40,29.0,92,66.7
"Clinton School District","=""0270011""","ELA",1057,1032,97.6,1032,111,10.8,221,21.4,394,38.2,306,29.7,700,67.8
,,"Math",1056,1035,98.0,1034,213,20.6,279,27.0,319,30.9,223,21.6,542,52.4
"Colchester School District","=""0280011""","ELA",1423,1406,98.8,1405,140,10.0,288,20.5,516,36.7,461,32.8,977,69.5
,,"Math",1422,1400,98.5,1399,258,18.4,424,30.3,399,28.5,318,22.7,717,51.3
"Colebrook School District","=""0290011""","ELA",52,48,92.3,48,"*","*","*","*",15,31.3,23,47.9,38,79.2
,,"Math",52,48,92.3,48,6,12.5,15,31.3,10,20.8,17,35.4,27,56.3
"Columbia School District","=""0300011""","ELA",296,288,97.3,288,35,12.2,66,22.9,107,37.2,80,27.8,187,64.9
,,"Math",296,287,97.0,286,61,21.3,89,31.1,89,31.1,47,16.4,136,47.6
"Common Ground High School District","=""2680013""","ELA",32,32,100.0,32,9,28.1,8,25.0,9,28.1,6,18.8,15,46.9
,,"Math",32,32,100.0,32,14,43.8,8,25.0,"*","*","*","*",10,31.3
"Connecticut Technical Education and Career System","=""9000016""","ELA",2523,2435,96.5,2434,472,19.4,829,34.1,886,36.4,247,10.1,1133,46.5
,,"Math",2522,2428,96.3,2428,1507,62.1,699,28.8,200,8.2,22,0.9,222,9.1
"Cooperative Educational Services","=""2430014""","ELA",359,355,98.9,355,114,32.1,95,26.8,95,26.8,51,14.4,146,41.1
,,"Math",358,355,99.2,355,141,39.7,111,31.3,73,20.6,30,8.5,103,29.0
"Cornwall School District","=""0310011""","ELA",65,61,93.8,61,"*","*","*","*",26,42.6,15,24.6,41,67.2
,,"Math",65,61,93.8,61,11,18.0,13,21.3,24,39.3,13,21.3,37,60.7
"Coventry School District","=""0320011""","ELA",882,849,96.3,848,102,12.0,172,20.3,349,41.2,225,26.5,574,67.7
,,"Math",882,837,94.9,837,181,21.6,281,33.6,240,28.7,135,16.1,375,44.8
"Cromwell School District","=""0330011""","ELA",1071,1067,99.6,1067,142,13.3,228,21.4,398,37.3,299,28.0,697,65.3
,,"Math",1070,1066,99.6,1066,282,26.5,318,29.8,287,26.9,179,16.8,466,43.7
"Danbury School District","=""0340011""","ELA",5607,4771,85.1,4748,1170,24.6,1314,27.7,1496,31.5,768,16.2,2264,47.7
,,"Math",5607,4848,86.5,4839,1814,37.5,1616,33.4,979,20.2,430,8.9,1409,29.1
"Darien School District","=""0350011""","ELA",2623,2550,97.2,2536,108,4.3,267,10.5,896,35.3,1265,49.9,2161,85.2
,,"Math",2623,2528,96.4,2513,186,7.4,418,16.6,786,31.3,1123,44.7,1909,76.0
"Deep River School District","=""0360011""","ELA",199,199,100.0,198,25,12.6,40,20.2,61,30.8,72,36.4,133,67.2
,,"Math",199,199,100.0,199,35,17.6,53,26.6,75,37.7,36,18.1,111,55.8
"Derby School District","=""0370011""","ELA",778,768,98.7,764,228,29.8,215,28.1,226,29.6,95,12.4,321,42.0
,,"Math",778,764,98.2,763,334,43.8,251,32.9,139,18.2,39,5.1,178,23.3
"East Granby School District","=""0400011""","ELA",470,468,99.6,468,41,8.8,91,19.4,180,38.5,156,33.3,336,71.8
,,"Math",469,466,99.4,466,69,14.8,124,26.6,135,29.0,138,29.6,273,58.6
"East Haddam School District","=""0410011""","ELA",601,583,97.0,582,74,12.7,100,17.2,235,40.4,173,29.7,408,70.1
,,"Math",601,582,96.8,582,125,21.5,174,29.9,164,28.2,119,20.4,283,48.6
"East Hampton School District","=""0420011""","ELA",1020,990,97.1,990,132,13.3,225,22.7,367,37.1,266,26.9,633,63.9
,,"Math",1020,987,96.8,987,219,22.2,339,34.3,291,29.5,138,14.0,429,43.5
"East Hartford School District","=""0430011""","ELA",3472,3389,97.6,3383,1317,38.9,947,28.0,858,25.4,261,7.7,1119,33.1
,,"Math",3451,3391,98.3,3387,1846,54.5,975,28.8,436,12.9,130,3.8,566,16.7
"East Haven School District","=""0440011""","ELA",1571,1545,98.3,1543,426,27.6,432,28.0,484,31.4,201,13.0,685,44.4
,,"Math",1571,1550,98.7,1549,686,44.3,502,32.4,278,17.9,83,5.4,361,23.3
"East Lyme School District","=""0450011""","ELA",1467,1437,98.0,1437,126,8.8,205,14.3,534,37.2,572,39.8,1106,77.0
,,"Math",1467,1434,97.8,1434,207,14.4,353,24.6,427,29.8,447,31.2,874,60.9
"East Windsor School District","=""0470011""","ELA",539,535,99.3,532,118,22.2,151,28.4,181,34.0,82,15.4,263,49.4
,,"Math",539,537,99.6,535,190,35.5,183,34.2,103,19.3,59,11.0,162,30.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA",116,98,84.5,95,63,66.3,"*","*",14,14.7,"*","*","*","*"
,,"Math",116,95,81.9,93,83,89.2,7,7.5,"*","*","*","*","*","*"
"Eastford School District","=""0390011""","ELA",84,84,100.0,84,6,7.1,13,15.5,35,41.7,30,35.7,65,77.4
,,"Math",84,84,100.0,84,12,14.3,25,29.8,26,31.0,21,25.0,47,56.0
"Easton School District","=""0460011""","ELA",635,626,98.6,626,40,6.4,113,18.1,234,37.4,239,38.2,473,75.6
,,"Math",635,628,98.9,627,59,9.4,173,27.6,199,31.7,196,31.3,395,63.0
"EdAdvance","=""2420014""","ELA",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math",13,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA",1456,1432,98.4,1415,148,10.5,229,16.2,509,36.0,529,37.4,1038,73.4
,,"Math",1455,1435,98.6,1415,223,15.8,370,26.1,444,31.4,378,26.7,822,58.1
"Elm City College Preparatory School District","=""2890013""","ELA",356,356,100.0,356,66,18.5,93,26.1,135,37.9,62,17.4,197,55.3
,,"Math",356,356,100.0,356,86,24.2,120,33.7,99,27.8,51,14.3,150,42.1
"Enfield School District","=""0490011""","ELA",2585,2550,98.6,2545,436,17.1,712,28.0,961,37.8,436,17.1,1397,54.9
,,"Math",2584,2542,98.4,2537,706,27.8,946,37.3,639,25.2,246,9.7,885,34.9
"Essex School District","=""0500011""","ELA",267,260,97.4,259,21,8.1,26,10.0,92,35.5,120,46.3,212,81.9
,,"Math",267,260,97.4,260,36,13.8,82,31.5,73,28.1,69,26.5,142,54.6
"Explorations District","=""2720013""","ELA",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
,,"Math",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","ELA",5586,5472,98.0,5468,473,8.7,930,17.0,2115,38.7,1950,35.7,4065,74.3
,,"Math",5584,5402,96.7,5400,745,13.8,1425,26.4,1766,32.7,1464,27.1,3230,59.8
"Farmington School District","=""0520011""","ELA",2170,2119,97.6,2116,165,7.8,298,14.1,766,36.2,887,41.9,1653,78.1
,,"Math",2173,2104,96.8,2100,273,13.0,487,23.2,591,28.1,749,35.7,1340,63.8
"Franklin School District","=""0530011""","ELA",111,109,98.2,109,16,14.7,19,17.4,45,41.3,29,26.6,74,67.9
,,"Math",111,108,97.3,108,26,24.1,34,31.5,32,29.6,16,14.8,48,44.4
"Glastonbury School District","=""0540011""","ELA",3440,3410,99.1,3407,226,6.6,535,15.7,1255,36.8,1391,40.8,2646,77.7
,,"Math",3442,3407,99.0,3407,390,11.4,735,21.6,1009,29.6,1273,37.4,2282,67.0
"Granby School District","=""0560011""","ELA",1086,1013,93.3,1012,76,7.5,177,17.5,429,42.4,330,32.6,759,75.0
,,"Math",1086,1009,92.9,1008,122,12.1,274,27.2,342,33.9,270,26.8,612,60.7
"Great Oaks Charter School District","=""2940013""","ELA",116,114,98.3,114,70,61.4,31,27.2,13,11.4,0,0.0,13,11.4
,,"Math",116,114,98.3,114,77,67.5,"*","*","*","*",0,0.0,"*","*"
"Greenwich School District","=""0570011""","ELA",4605,4534,98.5,4531,359,7.9,647,14.3,1519,33.5,2006,44.3,3525,77.8
,,"Math",4604,4581,99.5,4579,669,14.6,990,21.6,1242,27.1,1678,36.6,2920,63.8
"Griswold School District","=""0580011""","ELA",945,932,98.6,930,141,15.2,222,23.9,364,39.1,203,21.8,567,61.0
,,"Math",947,931,98.3,931,266,28.6,299,32.1,240,25.8,126,13.5,366,39.3
"Groton School District","=""0590011""","ELA",2221,2046,92.1,2045,468,22.9,498,24.4,682,33.3,397,19.4,1079,52.8
,,"Math",2226,2059,92.5,2058,597,29.0,666,32.4,492,23.9,303,14.7,795,38.6
"Guilford School District","=""0600011""","ELA",1870,1860,99.5,1860,116,6.2,257,13.8,694,37.3,793,42.6,1487,79.9
,,"Math",1870,1860,99.5,1860,208,11.2,466,25.1,562,30.2,624,33.5,1186,63.8
"Hamden School District","=""0620011""","ELA",2842,2694,94.8,2692,591,22.0,660,24.5,827,30.7,614,22.8,1441,53.5
,,"Math",2843,2716,95.5,2712,970,35.8,763,28.1,582,21.5,397,14.6,979,36.1
"Hampton School District","=""0630011""","ELA",47,44,93.6,44,10,22.7,6,13.6,15,34.1,13,29.5,28,63.6
,,"Math",47,43,91.5,43,11,25.6,13,30.2,9,20.9,10,23.3,19,44.2
"Hartford School District","=""0640011""","ELA",10579,9777,92.4,9716,4551,46.8,2568,26.4,1903,19.6,694,7.1,2597,26.7
,,"Math",10576,9934,93.9,9911,6078,61.3,2446,24.7,950,9.6,437,4.4,1387,14.0
"Hartland School District","=""0650011""","ELA",137,135,98.5,135,25,18.5,37,27.4,51,37.8,22,16.3,73,54.1
,,"Math",137,135,98.5,135,33,24.4,44,32.6,46,34.1,12,8.9,58,43.0
"Hebron School District","=""0670011""","ELA",493,492,99.8,491,73,14.9,101,20.6,189,38.5,128,26.1,317,64.6
,,"Math",493,492,99.8,492,84,17.1,167,33.9,167,33.9,74,15.0,241,49.0
"Highville Charter School District","=""2860013""","ELA",212,212,100.0,212,43,20.3,86,40.6,66,31.1,17,8.0,83,39.2
,,"Math",212,212,100.0,212,110,51.9,78,36.8,"*","*","*","*",24,11.3
"Integrated Day Charter School District","=""2640013""","ELA",198,197,99.5,195,34,17.4,56,28.7,64,32.8,41,21.0,105,53.8
,,"Math",198,198,100.0,195,75,38.5,62,31.8,34,17.4,24,12.3,58,29.7
"Interdistrict School for Arts and Comm District","=""2650013""","ELA",253,251,99.2,251,78,31.1,82,32.7,77,30.7,14,5.6,91,36.3
,,"Math",253,252,99.6,251,139,55.4,66,26.3,38,15.1,8,3.2,46,18.3
"Jumoke Academy District","=""2610013""","ELA",427,425,99.5,425,124,29.2,141,33.2,111,26.1,49,11.5,160,37.6
,,"Math",427,425,99.5,425,191,44.9,165,38.8,56,13.2,13,3.1,69,16.2
"Kent School District","=""0680011""","ELA",164,162,98.8,162,8,4.9,17,10.5,71,43.8,66,40.7,137,84.6
,,"Math",164,162,98.8,162,16,9.9,36,22.2,77,47.5,33,20.4,110,67.9
"Killingly School District","=""0690011""","ELA",1217,1201,98.7,1199,240,20.0,318,26.5,464,38.7,177,14.8,641,53.5
,,"Math",1217,1195,98.2,1194,401,33.6,454,38.0,269,22.5,70,5.9,339,28.4
"Learn","=""2450014""","ELA",582,567,97.4,564,97,17.2,147,26.1,187,33.2,133,23.6,320,56.7
,,"Math",582,570,97.9,568,225,39.6,189,33.3,105,18.5,49,8.6,154,27.1
"Lebanon School District","=""0710011""","ELA",577,559,96.9,559,82,14.7,130,23.3,214,38.3,133,23.8,347,62.1
,,"Math",577,551,95.5,551,117,21.2,178,32.3,150,27.2,106,19.2,256,46.5
"Ledyard School District","=""0720011""","ELA",1268,1238,97.6,1236,191,15.5,279,22.6,469,37.9,297,24.0,766,62.0
,,"Math",1269,1244,98.0,1241,285,23.0,409,33.0,322,25.9,225,18.1,547,44.1
"Lisbon School District","=""0730011""","ELA",258,255,98.8,255,35,13.7,55,21.6,110,43.1,55,21.6,165,64.7
,,"Math",258,255,98.8,255,80,31.4,114,44.7,47,18.4,14,5.5,61,23.9
"Litchfield School District","=""0740011""","ELA",565,557,98.6,555,63,11.4,110,19.8,192,34.6,190,34.2,382,68.8
,,"Math",565,557,98.6,557,89,16.0,131,23.5,177,31.8,160,28.7,337,60.5
"Madison School District","=""0760011""","ELA",1715,1328,77.4,1323,106,8.0,227,17.2,521,39.4,469,35.4,990,74.8
,,"Math",1715,1325,77.3,1324,168,12.7,364,27.5,415,31.3,377,28.5,792,59.8
"Manchester School District","=""0770011""","ELA",3043,2805,92.2,2798,978,35.0,733,26.2,741,26.5,346,12.4,1087,38.8
,,"Math",3042,2804,92.2,2799,1166,41.7,856,30.6,527,18.8,250,8.9,777,27.8
"Mansfield School District","=""0780011""","ELA",782,723,92.5,722,61,8.4,92,12.7,230,31.9,339,47.0,569,78.8
,,"Math",784,735,93.8,733,70,9.5,165,22.5,183,25.0,315,43.0,498,67.9
"Marlborough School District","=""0790011""","ELA",367,366,99.7,366,37,10.1,53,14.5,124,33.9,152,41.5,276,75.4
,,"Math",367,366,99.7,366,32,8.7,87,23.8,126,34.4,121,33.1,247,67.5
"Meriden School District","=""0800011""","ELA",3858,3720,96.4,3707,1293,34.9,987,26.6,979,26.4,448,12.1,1427,38.5
,,"Math",3853,3756,97.5,3749,1988,53.0,1087,29.0,505,13.5,169,4.5,674,18.0
"Middletown School District","=""0830011""","ELA",2447,2415,98.7,2413,527,21.8,627,26.0,770,31.9,489,20.3,1259,52.2
,,"Math",2445,2422,99.1,2421,889,36.7,726,30.0,489,20.2,317,13.1,806,33.3
"Milford School District","=""0840011""","ELA",3312,3222,97.3,3216,454,14.1,747,23.2,1206,37.5,809,25.2,2015,62.7
,,"Math",3315,3224,97.3,3221,743,23.1,1048,32.5,858,26.6,572,17.8,1430,44.4
"Monroe School District","=""0850011""","ELA",1737,1715,98.7,1712,81,4.7,183,10.7,630,36.8,818,47.8,1448,84.6
,,"Math",1738,1712,98.5,1711,250,14.6,440,25.7,561,32.8,460,26.9,1021,59.7
"Montville School District","=""0860011""","ELA",1239,1223,98.7,1223,219,17.9,298,24.4,429,35.1,277,22.6,706,57.7
,,"Math",1239,1223,98.7,1223,347,28.4,436,35.7,284,23.2,156,12.8,440,36.0
"Naugatuck School District","=""0880011""","ELA",2262,2220,98.1,2218,568,25.6,576,26.0,715,32.2,359,16.2,1074,48.4
,,"Math",2265,2226,98.3,2224,831,37.4,745,33.5,466,21.0,182,8.2,648,29.1
"New Beginnings Inc Family Academy District","=""2800013""","ELA",242,242,100.0,242,74,30.6,68,28.1,81,33.5,19,7.9,100,41.3
,,"Math",242,242,100.0,242,111,45.9,89,36.8,"*","*","*","*",42,17.4
"New Britain School District","=""0890011""","ELA",4810,4679,97.3,4663,2456,52.7,1136,24.4,768,16.5,303,6.5,1071,23.0
,,"Math",4821,4749,98.5,4743,2928,61.7,1135,23.9,498,10.5,182,3.8,680,14.3
"New Canaan School District","=""0900011""","ELA",2249,2196,97.6,2194,93,4.2,298,13.6,763,34.8,1040,47.4,1803,82.2
,,"Math",2249,2196,97.6,2196,163,7.4,406,18.5,628,28.6,999,45.5,1627,74.1
"New Fairfield School District","=""0910011""","ELA",1381,1201,87.0,1198,168,14.0,242,20.2,463,38.6,325,27.1,788,65.8
,,"Math",1381,1179,85.4,1177,263,22.3,370,31.4,319,27.1,225,19.1,544,46.2
"New Hartford School District","=""0920011""","ELA",305,293,96.1,291,32,11.0,38,13.1,109,37.5,112,38.5,221,75.9
,,"Math",305,288,94.4,288,43,14.9,84,29.2,108,37.5,53,18.4,161,55.9
"New Haven School District","=""0930011""","ELA",10068,9418,93.5,9360,4039,43.2,2602,27.8,1998,21.3,721,7.7,2719,29.0
,,"Math",10061,9497,94.4,9471,5675,59.9,2528,26.7,894,9.4,374,3.9,1268,13.4
"New London School District","=""0950011""","ELA",1601,1551,96.9,1536,604,39.3,464,30.2,352,22.9,116,7.6,468,30.5
,,"Math",1591,1562,98.2,1553,818,52.7,451,29.0,213,13.7,71,4.6,284,18.3
"New Milford School District","=""0960011""","ELA",2301,2118,92.0,2109,442,21.0,554,26.3,697,33.0,416,19.7,1113,52.8
,,"Math",2301,2133,92.7,2120,542,25.6,731,34.5,551,26.0,296,14.0,847,40.0
"Newington School District","=""0940011""","ELA",2203,2161,98.1,2150,306,14.2,529,24.6,812,37.8,503,23.4,1315,61.2
,,"Math",2201,2162,98.2,2157,445,20.6,674,31.2,609,28.2,429,19.9,1038,48.1
"Newtown School District","=""0970011""","ELA",2597,2480,95.5,2476,172,6.9,451,18.2,1031,41.6,822,33.2,1853,74.8
,,"Math",2597,2436,93.8,2435,331,13.6,652,26.8,764,31.4,688,28.3,1452,59.6
"Norfolk School District","=""0980011""","ELA",63,63,100.0,63,13,20.6,13,20.6,18,28.6,19,30.2,37,58.7
,,"Math",63,63,100.0,63,12,19.0,20,31.7,18,28.6,13,20.6,31,49.2
"North Branford School District","=""0990011""","ELA",1077,1039,96.5,1039,221,21.3,272,26.2,313,30.1,233,22.4,546,52.6
,,"Math",1077,1040,96.6,1039,325,31.3,340,32.7,243,23.4,131,12.6,374,36.0
"North Canaan School District","=""1000011""","ELA",161,154,95.7,154,32,20.8,37,24.0,57,37.0,28,18.2,85,55.2
,,"Math",161,154,95.7,154,42,27.3,49,31.8,46,29.9,17,11.0,63,40.9
"North Haven School District","=""1010011""","ELA",1744,1437,82.4,1417,288,20.3,367,25.9,450,31.8,312,22.0,762,53.8
,,"Math",1744,1427,81.8,1426,338,23.7,526,36.9,363,25.5,199,14.0,562,39.4
"North Stonington School District","=""1020011""","ELA",381,374,98.2,374,38,10.2,81,21.7,138,36.9,117,31.3,255,68.2
,,"Math",381,374,98.2,374,65,17.4,100,26.7,100,26.7,109,29.1,209,55.9
"Norwalk School District","=""1030011""","ELA",5737,5556,96.8,5543,1388,25.0,1512,27.3,1682,30.3,961,17.3,2643,47.7
,,"Math",5739,5639,98.3,5633,2350,41.7,1668,29.6,1055,18.7,560,9.9,1615,28.7
"Norwich Free Academy District","=""9010022""","ELA",547,494,90.3,479,139,29.0,128,26.7,127,26.5,85,17.7,212,44.3
,,"Math",549,494,90.0,490,251,51.2,122,24.9,81,16.5,36,7.3,117,23.9
"Norwich School District","=""1040011""","ELA",2254,2198,97.5,2191,915,41.8,628,28.7,482,22.0,166,7.6,648,29.6
,,"Math",2251,2208,98.1,2204,1161,52.7,678,30.8,260,11.8,105,4.8,365,16.6
"Odyssey Community School District","=""2630013""","ELA",214,210,98.1,210,30,14.3,58,27.6,84,40.0,38,18.1,122,58.1
,,"Math",214,210,98.1,210,55,26.2,79,37.6,49,23.3,27,12.9,76,36.2
"Old Saybrook School District","=""1060011""","ELA",752,730,97.1,724,54,7.5,156,21.5,303,41.9,211,29.1,514,71.0
,,"Math",752,732,97.3,728,136,18.7,231,31.7,214,29.4,147,20.2,361,49.6
"Orange School District","=""1070011""","ELA",710,695,97.9,692,42,6.1,99,14.3,234,33.8,317,45.8,551,79.6
,,"Math",710,700,98.6,699,47,6.7,198,28.3,229,32.8,225,32.2,454,64.9
"Oxford School District","=""1080011""","ELA",1126,1106,98.2,1106,92,8.3,225,20.3,439,39.7,350,31.6,789,71.3
,,"Math",1126,1102,97.9,1102,249,22.6,365,33.1,327,29.7,161,14.6,488,44.3
"Park City Prep Charter School District","=""2830013""","ELA",346,341,98.6,341,137,40.2,108,31.7,88,25.8,8,2.3,96,28.2
,,"Math",346,344,99.4,344,178,51.7,119,34.6,33,9.6,14,4.1,47,13.7
"Path Academy District","=""2930013""","ELA",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math",18,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","ELA",1235,1169,94.7,1168,287,24.6,331,28.3,369,31.6,181,15.5,550,47.1
,,"Math",1235,1196,96.8,1195,437,36.6,443,37.1,250,20.9,65,5.4,315,26.4
"Plainville School District","=""1100011""","ELA",1255,1244,99.1,1243,222,17.9,319,25.7,464,37.3,238,19.1,702,56.5
,,"Math",1255,1247,99.4,1247,402,32.2,387,31.0,312,25.0,146,11.7,458,36.7
"Plymouth School District","=""1110011""","ELA",799,775,97.0,774,160,20.7,216,27.9,253,32.7,145,18.7,398,51.4
,,"Math",797,772,96.9,769,262,34.1,233,30.3,200,26.0,74,9.6,274,35.6
"Pomfret School District","=""1120011""","ELA",293,293,100.0,289,20,6.9,54,18.7,114,39.4,101,34.9,215,74.4
,,"Math",293,293,100.0,289,33,11.4,80,27.7,92,31.8,84,29.1,176,60.9
"Portland School District","=""1130011""","ELA",732,696,95.1,696,45,6.5,109,15.7,265,38.1,277,39.8,542,77.9
,,"Math",734,696,94.8,696,95,13.6,187,26.9,225,32.3,189,27.2,414,59.5
"Preston School District","=""1140011""","ELA",282,263,93.3,263,41,15.6,50,19.0,98,37.3,74,28.1,172,65.4
,,"Math",282,262,92.9,262,39,14.9,86,32.8,82,31.3,55,21.0,137,52.3
"Putnam School District","=""1160011""","ELA",630,616,97.8,608,163,26.8,177,29.1,173,28.5,95,15.6,268,44.1
,,"Math",630,619,98.3,611,242,39.6,215,35.2,105,17.2,49,8.0,154,25.2
"Redding School District","=""1170011""","ELA",696,643,92.4,636,52,8.2,94,14.8,234,36.8,256,40.3,490,77.0
,,"Math",695,629,90.5,628,69,11.0,135,21.5,192,30.6,232,36.9,424,67.5
