"Smarter Balanced Assessments, 2021-22"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
,,"Math",777,765,98.5,765,394,51.5,212,27.7,102,13.3,57,7.5,159,20.8
"Bolton School District","=""0120011""","ELA",350,338,96.6,338,67,19.8,65,19.2,114,33.7,92,27.2,206,60.9
,,"Math",350,337,96.3,337,69,20.5,90,26.7,100,29.7,78,23.1,178,52.8
"Booker T. Washington Academy District","=""2950013""","ELA",310,309,99.7,309,134,43.4,99,32.0,57,18.4,19,6.1,76,24.6
,,"Math",310,309,99.7,309,158,51.1,91,29.4,47,15.2,13,4.2,60,19.4
"Bozrah School District","=""0130011""","ELA",111,109,98.2,109,27,24.8,44,40.4,28,25.7,10,9.2,38,34.9
,,"Math",111,109,98.2,109,35,32.1,31,28.4,33,30.3,10,9.2,43,39.4
"Branford School District","=""0140011""","ELA",1164,1158,99.5,1157,276,23.9,271,23.4,367,31.7,243,21.0,610,52.7
,,"Math",1164,1156,99.3,1155,280,24.2,330,28.6,316,27.4,229,19.8,545,47.2
"Brass City Charter School District","=""2900013""","ELA",206,206,100.0,206,59,28.6,52,25.2,63,30.6,32,15.5,95,46.1
,,"Math",206,206,100.0,206,72,35.0,65,31.6,42,20.4,27,13.1,69,33.5
"Bridgeport School District","=""0150011""","ELA",8737,8676,99.3,8676,5030,58.0,1860,21.4,1347,15.5,439,5.1,1786,20.6
,,"Math",8733,8653,99.1,8652,5840,67.5,1876,21.7,691,8.0,245,2.8,936,10.8
"Bristol School District","=""0170011""","ELA",3312,3269,98.7,3269,925,28.3,760,23.2,997,30.5,587,18.0,1584,48.5
,,"Math",3311,3249,98.1,3249,1190,36.6,861,26.5,668,20.6,530,16.3,1198,36.9
"Brookfield School District","=""0180011""","ELA",1113,1082,97.2,1080,192,17.8,273,25.3,341,31.6,274,25.4,615,56.9
,,"Math",1113,1081,97.1,1081,207,19.1,359,33.2,286,26.5,229,21.2,515,47.6
"Brooklyn School District","=""0190011""","ELA",517,514,99.4,514,119,23.2,143,27.8,161,31.3,91,17.7,252,49.0
,,"Math",517,514,99.4,514,162,31.5,162,31.5,120,23.3,70,13.6,190,37.0
"Canaan School District","=""0210011""","ELA",47,47,100.0,47,"*","*","*","*",23,48.9,11,23.4,34,72.3
,,"Math",47,47,100.0,47,9,19.1,15,31.9,9,19.1,14,29.8,23,48.9
"Canterbury School District","=""0220011""","ELA",288,286,99.3,286,63,22.0,78,27.3,96,33.6,49,17.1,145,50.7
,,"Math",288,279,96.9,279,90,32.3,111,39.8,63,22.6,15,5.4,78,28.0
"Canton School District","=""0230011""","ELA",661,651,98.5,651,102,15.7,131,20.1,240,36.9,178,27.3,418,64.2
,,"Math",661,649,98.2,649,116,17.9,167,25.7,182,28.0,184,28.4,366,56.4
"Capital Preparatory Harbor School District","=""2970013""","ELA",372,371,99.7,371,170,45.8,102,27.5,68,18.3,31,8.4,99,26.7
,,"Math",372,371,99.7,371,215,58.0,105,28.3,35,9.4,16,4.3,51,13.7
"Capitol Region Education Council","=""2410014""","ELA",3601,3489,96.9,3489,1716,49.2,777,22.3,642,18.4,354,10.1,996,28.5
,,"Math",3602,3446,95.7,3446,2083,60.4,789,22.9,354,10.3,220,6.4,574,16.7
"Chaplin School District","=""0240011""","ELA",77,77,100.0,77,19,24.7,16,20.8,27,35.1,15,19.5,42,54.5
,,"Math",77,77,100.0,77,14,18.2,29,37.7,16,20.8,18,23.4,34,44.2
"Cheshire School District","=""0250011""","ELA",1841,1809,98.3,1809,173,9.6,294,16.3,607,33.6,735,40.6,1342,74.2
,,"Math",1841,1803,97.9,1803,186,10.3,350,19.4,500,27.7,767,42.5,1267,70.3
"Chester School District","=""0260011""","ELA",113,109,96.5,109,"*","*","*","*",40,36.7,39,35.8,79,72.5
,,"Math",113,109,96.5,109,9,8.3,22,20.2,35,32.1,43,39.4,78,71.6
"Clinton School District","=""0270011""","ELA",651,645,99.1,645,132,20.5,173,26.8,212,32.9,128,19.8,340,52.7
,,"Math",652,646,99.1,645,141,21.9,209,32.4,173,26.8,122,18.9,295,45.7
"Colchester School District","=""0280011""","ELA",919,915,99.6,915,134,14.6,201,22.0,359,39.2,221,24.2,580,63.4
,,"Math",919,913,99.3,913,107,11.7,222,24.3,278,30.4,306,33.5,584,64.0
"Colebrook School District","=""0290011""","ELA",46,46,100.0,46,"*","*","*","*",16,34.8,22,47.8,38,82.6
,,"Math",46,46,100.0,46,"*","*","*","*",14,30.4,18,39.1,32,69.6
"Columbia School District","=""0300011""","ELA",286,276,96.5,276,65,23.6,68,24.6,94,34.1,49,17.8,143,51.8
,,"Math",285,275,96.5,275,60,21.8,98,35.6,69,25.1,48,17.5,117,42.5
"Cooperative Educational Services","=""2430014""","ELA",308,305,99.0,305,95,31.1,81,26.6,85,27.9,44,14.4,129,42.3
,,"Math",308,304,98.7,304,120,39.5,100,32.9,53,17.4,31,10.2,84,27.6
"Cornwall School District","=""0310011""","ELA",70,65,92.9,65,7,10.8,11,16.9,22,33.8,25,38.5,47,72.3
,,"Math",70,65,92.9,65,7,10.8,15,23.1,24,36.9,19,29.2,43,66.2
"Coventry School District","=""0320011""","ELA",749,742,99.1,742,81,10.9,132,17.8,264,35.6,265,35.7,529,71.3
,,"Math",749,740,98.8,740,115,15.5,204,27.6,229,30.9,192,25.9,421,56.9
"Cromwell School District","=""0330011""","ELA",902,897,99.4,897,174,19.4,229,25.5,286,31.9,208,23.2,494,55.1
,,"Math",901,895,99.3,895,202,22.6,257,28.7,233,26.0,203,22.7,436,48.7
"Danbury School District","=""0340011""","ELA",5575,5540,99.4,5540,2346,42.3,1403,25.3,1189,21.5,602,10.9,1791,32.3
,,"Math",5574,5535,99.3,5535,2698,48.7,1547,27.9,875,15.8,415,7.5,1290,23.3
"Darien School District","=""0350011""","ELA",2133,2126,99.7,2125,126,5.9,283,13.3,688,32.4,1028,48.4,1716,80.8
,,"Math",2133,2123,99.5,2121,140,6.6,294,13.9,552,26.0,1135,53.5,1687,79.5
"Deep River School District","=""0360011""","ELA",124,124,100.0,123,13,10.6,23,18.7,42,34.1,45,36.6,87,70.7
,,"Math",124,124,100.0,123,14,11.4,23,18.7,47,38.2,39,31.7,86,69.9
"Derby School District","=""0370011""","ELA",565,563,99.6,563,246,43.7,117,20.8,135,24.0,65,11.5,200,35.5
,,"Math",566,562,99.3,562,266,47.3,164,29.2,81,14.4,51,9.1,132,23.5
"East Granby School District","=""0400011""","ELA",401,399,99.5,399,66,16.5,74,18.5,141,35.3,118,29.6,259,64.9
,,"Math",401,399,99.5,399,81,20.3,100,25.1,121,30.3,97,24.3,218,54.6
"East Haddam School District","=""0410011""","ELA",450,448,99.6,448,69,15.4,100,22.3,150,33.5,129,28.8,279,62.3
,,"Math",450,447,99.3,447,114,25.5,124,27.7,110,24.6,99,22.1,209,46.8
"East Hampton School District","=""0420011""","ELA",830,816,98.3,815,139,17.1,201,24.7,284,34.8,191,23.4,475,58.3
,,"Math",828,810,97.8,810,170,21.0,249,30.7,234,28.9,157,19.4,391,48.3
"East Hartford School District","=""0430011""","ELA",2664,2636,98.9,2636,1094,41.5,621,23.6,621,23.6,300,11.4,921,34.9
,,"Math",2666,2634,98.8,2633,1348,51.2,673,25.6,377,14.3,235,8.9,612,23.2
"East Haven School District","=""0440011""","ELA",1192,1188,99.7,1188,380,32.0,324,27.3,335,28.2,149,12.5,484,40.7
,,"Math",1193,1189,99.7,1189,452,38.0,382,32.1,230,19.3,125,10.5,355,29.9
"East Lyme School District","=""0450011""","ELA",1103,1062,96.3,1061,166,15.6,226,21.3,366,34.5,303,28.6,669,63.1
,,"Math",1103,1060,96.1,1060,195,18.4,278,26.2,253,23.9,334,31.5,587,55.4
"East Windsor School District","=""0470011""","ELA",455,454,99.8,454,147,32.4,115,25.3,126,27.8,66,14.5,192,42.3
,,"Math",455,452,99.3,452,176,38.9,115,25.4,84,18.6,77,17.0,161,35.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA",39,33,84.6,33,23,69.7,"*","*","*","*",0,0.0,"*","*"
,,"Math",39,33,84.6,32,32,100.0,0,0.0,0,0.0,0,0.0,0,0.0
"Eastford School District","=""0390011""","ELA",78,78,100.0,78,10,12.8,16,20.5,32,41.0,20,25.6,52,66.7
,,"Math",78,78,100.0,78,15,19.2,19,24.4,24,30.8,20,25.6,44,56.4
"Easton School District","=""0460011""","ELA",599,586,97.8,586,39,6.7,95,16.2,216,36.9,236,40.3,452,77.1
,,"Math",599,584,97.5,584,49,8.4,126,21.6,162,27.7,247,42.3,409,70.0
"EdAdvance","=""2420014""","ELA",36,32,88.9,32,19,59.4,9,28.1,"*","*","*","*","*","*"
,,"Math",37,"*","*","*",25,78.1,"*","*","*","*",0,0.0,"*","*"
"Ellington School District","=""0480011""","ELA",1188,1178,99.2,1178,161,13.7,199,16.9,400,34.0,418,35.5,818,69.4
,,"Math",1188,1176,99.0,1176,169,14.4,263,22.4,305,25.9,439,37.3,744,63.3
"Elm City College Preparatory School District","=""2890013""","ELA",373,366,98.1,366,106,29.0,113,30.9,102,27.9,45,12.3,147,40.2
,,"Math",373,365,97.9,364,184,50.5,118,32.4,47,12.9,15,4.1,62,17.0
"Elm City Montessori School District","=""2910013""","ELA",104,104,100.0,104,32,30.8,21,20.2,23,22.1,28,26.9,51,49.0
,,"Math",104,104,100.0,104,45,43.3,30,28.8,16,15.4,13,12.5,29,27.9
"Enfield School District","=""0490011""","ELA",2119,2099,99.1,2098,643,30.6,593,28.3,593,28.3,269,12.8,862,41.1
,,"Math",2118,2091,98.7,2091,801,38.3,650,31.1,404,19.3,236,11.3,640,30.6
"Essex School District","=""0500011""","ELA",164,158,96.3,158,15,9.5,23,14.6,50,31.6,70,44.3,120,75.9
,,"Math",163,157,96.3,157,16,10.2,31,19.7,48,30.6,62,39.5,110,70.1
"Fairfield School District","=""0510011""","ELA",4173,4132,99.0,4131,413,10.0,726,17.6,1418,34.3,1574,38.1,2992,72.4
,,"Math",4173,4121,98.8,4121,529,12.8,860,20.9,1213,29.4,1519,36.9,2732,66.3
"Farmington School District","=""0520011""","ELA",1882,1868,99.3,1867,191,10.2,286,15.3,621,33.3,769,41.2,1390,74.5
,,"Math",1881,1861,98.9,1861,249,13.4,369,19.8,464,24.9,779,41.9,1243,66.8
"Franklin School District","=""0530011""","ELA",102,102,100.0,102,12,11.8,30,29.4,40,39.2,20,19.6,60,58.8
,,"Math",102,102,100.0,102,12,11.8,34,33.3,30,29.4,26,25.5,56,54.9
"Glastonbury School District","=""0540011""","ELA",2520,2499,99.2,2499,267,10.7,421,16.8,774,31.0,1037,41.5,1811,72.5
,,"Math",2520,2497,99.1,2497,282,11.3,497,19.9,640,25.6,1078,43.2,1718,68.8
"Goodwin University Educational Services (GUES)","=""2310018""","ELA",300,300,100.0,300,134,44.7,80,26.7,71,23.7,15,5.0,86,28.7
,,"Math",300,300,100.0,300,192,64.0,72,24.0,28,9.3,8,2.7,36,12.0
"Granby School District","=""0560011""","ELA",775,772,99.6,771,121,15.7,159,20.6,262,34.0,229,29.7,491,63.7
,,"Math",775,772,99.6,771,165,21.4,222,28.8,195,25.3,189,24.5,384,49.8
"Great Oaks Charter School District","=""2940013""","ELA",276,270,97.8,270,135,50.0,69,25.6,54,20.0,12,4.4,66,24.4
,,"Math",276,271,98.2,271,177,65.3,63,23.2,24,8.9,7,2.6,31,11.4
"Greenwich School District","=""0570011""","ELA",3905,3881,99.4,3881,410,10.6,543,14.0,1282,33.0,1646,42.4,2928,75.4
,,"Math",3905,3872,99.2,3872,501,12.9,739,19.1,952,24.6,1680,43.4,2632,68.0
"Griswold School District","=""0580011""","ELA",737,730,99.1,730,270,37.0,207,28.4,194,26.6,59,8.1,253,34.7
,,"Math",737,730,99.1,730,299,41.0,206,28.2,153,21.0,72,9.9,225,30.8
"Groton School District","=""0590011""","ELA",1755,1738,99.0,1737,436,25.1,374,21.5,542,31.2,385,22.2,927,53.4
,,"Math",1758,1736,98.7,1735,534,30.8,506,29.2,413,23.8,282,16.3,695,40.1
"Guilford School District","=""0600011""","ELA",1390,1383,99.5,1382,144,10.4,201,14.5,470,34.0,567,41.0,1037,75.0
,,"Math",1390,1382,99.4,1381,154,11.2,293,21.2,383,27.7,551,39.9,934,67.6
"Hamden School District","=""0620011""","ELA",2432,2396,98.5,2396,792,33.1,558,23.3,582,24.3,464,19.4,1046,43.7
,,"Math",2429,2382,98.1,2381,956,40.2,604,25.4,414,17.4,407,17.1,821,34.5
"Hampton School District","=""0630011""","ELA",35,35,100.0,35,10,28.6,11,31.4,6,17.1,8,22.9,14,40.0
,,"Math",35,35,100.0,35,"*","*",14,40.0,10,28.6,"*","*","*","*"
"Hartford School District","=""0640011""","ELA",7372,7287,98.8,7286,4469,61.3,1422,19.5,1024,14.1,371,5.1,1395,19.1
,,"Math",7353,7207,98.0,7198,4923,68.4,1365,19.0,588,8.2,322,4.5,910,12.6
"Hartland School District","=""0650011""","ELA",96,96,100.0,96,13,13.5,21,21.9,30,31.3,32,33.3,62,64.6
,,"Math",96,96,100.0,96,23,24.0,25,26.0,34,35.4,14,14.6,48,50.0
"Hebron School District","=""0670011""","ELA",354,353,99.7,353,47,13.3,73,20.7,123,34.8,110,31.2,233,66.0
,,"Math",354,352,99.4,352,50,14.2,90,25.6,113,32.1,99,28.1,212,60.2
"Highville Charter School District","=""2860013""","ELA",202,200,99.0,200,109,54.5,58,29.0,27,13.5,6,3.0,33,16.5
,,"Math",202,199,98.5,199,140,70.4,47,23.6,12,6.0,0,0.0,12,6.0
"Integrated Day Charter School District","=""2640013""","ELA",214,213,99.5,213,33,15.5,51,23.9,81,38.0,48,22.5,129,60.6
,,"Math",214,213,99.5,213,52,24.4,66,31.0,47,22.1,48,22.5,95,44.6
"Interdistrict School for Arts and Comm District","=""2650013""","ELA",271,270,99.6,270,96,35.6,81,30.0,73,27.0,20,7.4,93,34.4
,,"Math",271,270,99.6,270,147,54.4,88,32.6,25,9.3,10,3.7,35,13.0
"Jumoke Academy District","=""2610013""","ELA",366,365,99.7,365,206,56.4,77,21.1,58,15.9,24,6.6,82,22.5
,,"Math",366,364,99.5,364,219,60.2,80,22.0,51,14.0,14,3.8,65,17.9
"Kent School District","=""0680011""","ELA",122,121,99.2,121,16,13.2,16,13.2,37,30.6,52,43.0,89,73.6
,,"Math",122,121,99.2,121,18,14.9,24,19.8,28,23.1,51,42.1,79,65.3
"Killingly School District","=""0690011""","ELA",993,983,99.0,982,288,29.3,267,27.2,308,31.4,119,12.1,427,43.5
,,"Math",992,979,98.7,979,403,41.2,321,32.8,170,17.4,85,8.7,255,26.0
"Learn","=""2450014""","ELA",257,254,98.8,254,94,37.0,62,24.4,49,19.3,49,19.3,98,38.6
,,"Math",257,252,98.1,252,108,42.9,68,27.0,46,18.3,30,11.9,76,30.2
"Lebanon School District","=""0710011""","ELA",392,389,99.2,389,65,16.7,69,17.7,135,34.7,120,30.8,255,65.6
,,"Math",392,386,98.5,386,64,16.6,104,26.9,103,26.7,115,29.8,218,56.5
"Ledyard School District","=""0720011""","ELA",1073,1067,99.4,1067,291,27.3,252,23.6,322,30.2,202,18.9,524,49.1
,,"Math",1074,1067,99.3,1067,312,29.2,324,30.4,242,22.7,189,17.7,431,40.4
"Lisbon School District","=""0730011""","ELA",252,249,98.8,249,46,18.5,67,26.9,87,34.9,49,19.7,136,54.6
,,"Math",251,248,98.8,248,43,17.3,68,27.4,79,31.9,58,23.4,137,55.2
"Litchfield School District","=""0740011""","ELA",387,380,98.2,380,64,16.8,74,19.5,120,31.6,122,32.1,242,63.7
,,"Math",386,379,98.2,379,53,14.0,84,22.2,116,30.6,126,33.2,242,63.9
"Madison School District","=""0760011""","ELA",1042,1030,98.8,1030,107,10.4,167,16.2,343,33.3,413,40.1,756,73.4
,,"Math",1042,1030,98.8,1030,93,9.0,201,19.5,287,27.9,449,43.6,736,71.5
"Manchester School District","=""0770011""","ELA",2664,2572,96.5,2570,1235,48.1,613,23.9,496,19.3,226,8.8,722,28.1
,,"Math",2665,2549,95.6,2548,1395,54.7,640,25.1,325,12.8,188,7.4,513,20.1
"Mansfield School District","=""0780011""","ELA",659,644,97.7,644,81,12.6,96,14.9,229,35.6,238,37.0,467,72.5
,,"Math",659,639,97.0,639,101,15.8,143,22.4,168,26.3,227,35.5,395,61.8
"Marlborough School District","=""0790011""","ELA",233,229,98.3,229,39,17.0,39,17.0,83,36.2,68,29.7,151,65.9
,,"Math",233,229,98.3,229,22,9.6,53,23.1,69,30.1,85,37.1,154,67.2
"Meriden School District","=""0800011""","ELA",3949,3907,98.9,3905,1324,33.9,935,23.9,1019,26.1,627,16.1,1646,42.2
,,"Math",3944,3883,98.5,3881,1648,42.5,1048,27.0,715,18.4,470,12.1,1185,30.5
"Middletown School District","=""0830011""","ELA",2018,2012,99.7,2012,621,30.9,465,23.1,546,27.1,380,18.9,926,46.0
,,"Math",2017,2006,99.5,2006,891,44.4,548,27.3,336,16.7,231,11.5,567,28.3
"Milford School District","=""0840011""","ELA",2369,2334,98.5,2334,458,19.6,562,24.1,797,34.1,517,22.2,1314,56.3
,,"Math",2372,2331,98.3,2331,532,22.8,701,30.1,623,26.7,475,20.4,1098,47.1
"Monroe School District","=""0850011""","ELA",1512,1492,98.7,1492,133,8.9,228,15.3,544,36.5,587,39.3,1131,75.8
,,"Math",1512,1485,98.2,1484,217,14.6,379,25.5,437,29.4,451,30.4,888,59.8
"Montville School District","=""0860011""","ELA",965,960,99.5,960,219,22.8,246,25.6,301,31.4,194,20.2,495,51.6
,,"Math",964,958,99.4,958,299,31.2,281,29.3,200,20.9,178,18.6,378,39.5
"Naugatuck School District","=""0880011""","ELA",1952,1922,98.5,1922,666,34.7,486,25.3,485,25.2,285,14.8,770,40.1
,,"Math",1952,1917,98.2,1917,766,40.0,527,27.5,369,19.2,255,13.3,624,32.6
"New Beginnings Inc Family Academy District","=""2800013""","ELA",246,244,99.2,244,111,45.5,58,23.8,61,25.0,14,5.7,75,30.7
,,"Math",245,242,98.8,242,150,62.0,62,25.6,"*","*","*","*",30,12.4
"New Britain School District","=""0890011""","ELA",4486,4416,98.4,4415,2884,65.3,809,18.3,560,12.7,162,3.7,722,16.4
,,"Math",4487,4387,97.8,4382,3357,76.6,698,15.9,227,5.2,100,2.3,327,7.5
"New Canaan School District","=""0900011""","ELA",1916,1908,99.6,1908,74,3.9,230,12.1,583,30.6,1021,53.5,1604,84.1
,,"Math",1916,1908,99.6,1908,81,4.2,262,13.7,459,24.1,1106,58.0,1565,82.0
"New Fairfield School District","=""0910011""","ELA",956,949,99.3,949,108,11.4,204,21.5,336,35.4,301,31.7,637,67.1
,,"Math",956,948,99.2,948,122,12.9,224,23.6,294,31.0,308,32.5,602,63.5
"New Hartford School District","=""0920011""","ELA",256,252,98.4,252,50,19.8,62,24.6,70,27.8,70,27.8,140,55.6
,,"Math",256,251,98.0,250,47,18.8,80,32.0,72,28.8,51,20.4,123,49.2
"New Haven School District","=""0930011""","ELA",8387,8250,98.4,8248,4386,53.2,1919,23.3,1338,16.2,605,7.3,1943,23.6
,,"Math",8390,8182,97.5,8179,5577,68.2,1660,20.3,626,7.7,316,3.9,942,11.5
"New London School District","=""0950011""","ELA",1405,1378,98.1,1378,829,60.2,262,19.0,199,14.4,88,6.4,287,20.8
,,"Math",1400,1363,97.4,1361,955,70.2,253,18.6,105,7.7,48,3.5,153,11.2
"New Milford School District","=""0960011""","ELA",1565,1540,98.4,1540,472,30.6,377,24.5,484,31.4,207,13.4,691,44.9
,,"Math",1565,1526,97.5,1525,527,34.6,470,30.8,337,22.1,191,12.5,528,34.6
"Newington School District","=""0940011""","ELA",1723,1705,99.0,1705,397,23.3,417,24.5,514,30.1,377,22.1,891,52.3
,,"Math",1721,1692,98.3,1692,475,28.1,502,29.7,426,25.2,289,17.1,715,42.3
"Newtown School District","=""0970011""","ELA",1744,1734,99.4,1734,197,11.4,293,16.9,610,35.2,634,36.6,1244,71.7
,,"Math",1744,1732,99.3,1732,202,11.7,416,24.0,475,27.4,639,36.9,1114,64.3
"Norfolk School District","=""0980011""","ELA",45,45,100.0,45,12,26.7,12,26.7,13,28.9,8,17.8,21,46.7
,,"Math",45,42,93.3,42,"*","*",17,40.5,11,26.2,"*","*","*","*"
"North Branford School District","=""0990011""","ELA",728,724,99.5,724,115,15.9,167,23.1,251,34.7,191,26.4,442,61.0
,,"Math",728,722,99.2,722,123,17.0,217,30.1,198,27.4,184,25.5,382,52.9
"North Canaan School District","=""1000011""","ELA",157,157,100.0,157,23,14.6,30,19.1,52,33.1,52,33.1,104,66.2
,,"Math",156,156,100.0,156,36,23.1,44,28.2,31,19.9,45,28.8,76,48.7
"North Haven School District","=""1010011""","ELA",1412,1391,98.5,1391,201,14.5,276,19.8,465,33.4,449,32.3,914,65.7
,,"Math",1412,1388,98.3,1388,241,17.4,376,27.1,350,25.2,421,30.3,771,55.5
"North Stonington School District","=""1020011""","ELA",352,344,97.7,344,36,10.5,68,19.8,132,38.4,108,31.4,240,69.8
,,"Math",352,344,97.7,344,33,9.6,80,23.3,116,33.7,115,33.4,231,67.2
"Norwalk School District","=""1030011""","ELA",4927,4866,98.8,4865,1715,35.3,1188,24.4,1237,25.4,725,14.9,1962,40.3
,,"Math",4927,4845,98.3,4842,1997,41.2,1393,28.8,798,16.5,654,13.5,1452,30.0
"Norwich School District","=""1040011""","ELA",2106,2072,98.4,2070,1069,51.6,478,23.1,363,17.5,160,7.7,523,25.3
,,"Math",2101,2052,97.7,2051,1266,61.7,448,21.8,221,10.8,116,5.7,337,16.4
"Odyssey Community School District","=""2630013""","ELA",208,204,98.1,204,50,24.5,48,23.5,68,33.3,38,18.6,106,52.0
,,"Math",208,204,98.1,204,58,28.4,63,30.9,54,26.5,29,14.2,83,40.7
"Old Saybrook School District","=""1060011""","ELA",479,474,99.0,473,58,12.3,105,22.2,162,34.2,148,31.3,310,65.5
,,"Math",479,469,97.9,469,82,17.5,113,24.1,138,29.4,136,29.0,274,58.4
"Orange School District","=""1070011""","ELA",681,677,99.4,677,71,10.5,117,17.3,214,31.6,275,40.6,489,72.2
,,"Math",681,677,99.4,677,81,12.0,164,24.2,197,29.1,235,34.7,432,63.8
"Oxford School District","=""1080011""","ELA",762,748,98.2,748,113,15.1,182,24.3,254,34.0,199,26.6,453,60.6
,,"Math",762,745,97.8,745,130,17.4,254,34.1,201,27.0,160,21.5,361,48.5
"Park City Prep Charter School District","=""2830013""","ELA",336,336,100.0,336,88,26.2,88,26.2,113,33.6,47,14.0,160,47.6
,,"Math",334,329,98.5,329,120,36.5,108,32.8,63,19.1,38,11.6,101,30.7
"Plainfield School District","=""1090011""","ELA",894,886,99.1,886,232,26.2,269,30.4,255,28.8,130,14.7,385,43.5
,,"Math",894,885,99.0,885,312,35.3,312,35.3,181,20.5,80,9.0,261,29.5
"Plainville School District","=""1100011""","ELA",1046,1039,99.3,1039,250,24.1,227,21.8,354,34.1,208,20.0,562,54.1
,,"Math",1046,1038,99.2,1038,317,30.5,309,29.8,247,23.8,165,15.9,412,39.7
"Plymouth School District","=""1110011""","ELA",593,585,98.7,585,140,23.9,129,22.1,194,33.2,122,20.9,316,54.0
,,"Math",594,584,98.3,584,147,25.2,177,30.3,178,30.5,82,14.0,260,44.5
"Pomfret School District","=""1120011""","ELA",246,246,100.0,245,26,10.6,58,23.7,78,31.8,83,33.9,161,65.7
,,"Math",246,245,99.6,245,27,11.0,65,26.5,69,28.2,84,34.3,153,62.4
"Portland School District","=""1130011""","ELA",599,594,99.2,594,128,21.5,111,18.7,174,29.3,181,30.5,355,59.8
,,"Math",599,594,99.2,594,139,23.4,144,24.2,123,20.7,188,31.6,311,52.4
"Preston School District","=""1140011""","ELA",265,264,99.6,263,42,16.0,81,30.8,69,26.2,71,27.0,140,53.2
,,"Math",265,264,99.6,263,68,25.9,89,33.8,60,22.8,46,17.5,106,40.3
"Putnam School District","=""1160011""","ELA",521,506,97.1,506,196,38.7,117,23.1,127,25.1,66,13.0,193,38.1
,,"Math",521,499,95.8,499,204,40.9,136,27.3,104,20.8,55,11.0,159,31.9
"Redding School District","=""1170011""","ELA",507,503,99.2,503,46,9.1,86,17.1,175,34.8,196,39.0,371,73.8
,,"Math",506,498,98.4,498,46,9.2,96,19.3,140,28.1,216,43.4,356,71.5
"Regional School District 01","=""2010012""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
