"Total Expenditures Used for Special Education, 2006-07"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
="Greenwich School District",14866653,4991871,4501817,1280897,3403123,153953,70202,1654959,109350,8867,31074762
="Griswold School District",2469797,794387,633886,316772,611980,15992,43887,417885,24217,2033,5360178
="Groton School District",6334698,1909111,1548491,1118185,2543728,74968,8244,1609362,16081,1177,15240089
="Guilford School District",3592105,1679460,1589763,310271,1534435,39245,0,1015650,14517,0,9775446
="Hamden School District",6939939,1968203,3237142,433839,6678436,26658,402,2044203,12539,400,21341966
="Hampton School District",85223,74996,43920,87602,0,3953,0,22928,0,0,318622
="Hartford School District",28158361,8270769,9890351,759492,19133598,156164,205,10650597,13278,175352,77259343
="Hartland School District",69079,70181,24388,319744,152588,1969,0,32317,0,0,670266
="Hebron School District",1000199,642038,314787,277926,110608,10541,0,160814,10578,0,2542116
="Kent School District",302586,136062,126150,26520,0,2337,0,37859,403,0,631917
="Killingly School District",2560390,1233723,1139265,254167,1854292,22844,18183,23984,141271,736,7350918
="Lebanon School District",1089284,341027,443610,250576,567645,20225,5548,233953,16281,685,2968834
="Ledyard School District",3379759,854111,888675,335816,1304982,215921,0,545030,20308,0,7546620
="Lisbon School District",777128,174070,248822,67106,412514,6395,0,120274,0,441,1813227
="Litchfield School District",1116114,451423,570759,149212,284550,19690,0,219517,8809,1383,2822009
="Madison School District",2760155,1044598,848762,377482,1679230,46717,1379,767556,4866,740,7531505
="Manchester School District",7605195,3682472,3547334,306620,5323616,154840,43773,1643861,23149,808,22331668
="Mansfield School District",1392847,913663,484606,276786,449661,27314,2160,165103,3999,560,3737269
="Marlborough School District",609380,172324,124109,62547,105902,11425,55,70319,3464,288,1161016
="Meriden School District",9368372,3586017,3349036,1309102,6545339,116788,13976,1840180,61362,375,26203507
="Middletown School District",4654503,2384617,1439869,488795,3326546,44315,0,1598346,30701,0,13968829
="Milford School District",8484071,3714975,3118151,536197,2190563,123533,9624,1131467,75317,27086,19410984
="Monroe School District",3563977,955410,912122,306805,847607,51489,0,518032,36674,10314,7223555
="Montville School District",3391841,1088377,1082570,228338,466685,155281,30745,13826,41960,1329,6513470
="Naugatuck School District",5062313,1536592,1976500,87964,1414153,43494,0,940560,6815,3919,11113730
="New Britain School District",12990298,6112221,4013391,516173,7498306,204932,0,2887194,76215,21045,34415325
="New Canaan School District",4987520,3102965,1773956,1021638,1503499,48605,0,79591,86330,-622,12611375
="New Fairfield School District",2980700,719146,1007025,124754,577874,33641,0,336225,16198,0,5797964
="New Hartford School District",671102,274224,203768,37002,114046,19097,0,52379,4916,706,1377800
="New Haven School District",20841320,3980687,7558937,2081929,12651634,191265,592602,4932404,36118,518587,53408597
="New London School District",4422225,1122987,1472478,1268619,1489027,98944,450,770239,45264,0,10699926
="New Milford School District",4610580,1629261,1754103,854509,1751718,92185,0,952741,49505,37622,11732224
="Newington School District",3096396,250742,684406,2351828,1835044,180633,34042,0,111176,2823,8607446
="Newtown School District",4211876,1721273,1349720,227512,1554868,117844,435,1069064,32402,0,10367287
="Norfolk School District",45561,10172,7667,244010,37034,555,0,34658,0,350,380007
="North Branford School District",2043457,613862,418922,348008,822560,49743,13507,503959,6343,725,4825212
="North Canaan School District",451985,108285,161542,36612,0,1884,0,53473,561,0,814342
="North Haven School District",3065515,591377,850670,263862,1671754,21539,50090,1043481,0,11043,7579256
="North Stonington School District",1007668,347645,381126,78920,165501,16477,0,101685,8274,4775,2114466
="Norwalk School District",12763264,4000574,4509538,1382408,5297354,67095,2720,1931093,48856,283,30007798
="Norwich School District",3038123,1039407,1298699,3316102,7485606,19970,28405,1898279,7413,113231,18388258
="Old Saybrook School District",1420636,687506,340596,207526,646389,16440,71,356307,3296,605,3681726
="Orange School District",1585892,866464,532547,395776,212797,10191,0,174626,9718,0,3800638
="Oxford School District",1302782,785312,592321,469585,1401582,32803,4820,492253,24416,50021,5168484
="Plainfield School District",2264412,1491581,1001650,1068132,1495256,20890,832,484937,22750,1098,7909453
="Plainville School District",2268340,978578,639452,198188,2298307,31704,12980,328370,0,1815,6758219
="Plymouth School District",1556773,488023,617625,279950,1367481,15437,0,781341,20891,654,5146775
="Pomfret School District",539110,207490,189045,127788,794238,17774,0,118951,3949,0,2000791
="Portland School District",1257637,442685,575935,196226,547044,15264,0,250585,0,0,3285376
="Preston School District",838244,483144,180388,154194,1103796,15602,0,64332,895,1255,2841932
="Putnam School District",1268042,615587,525138,52714,733671,16709,0,55821,14,1018,3277673
="Redding School District",1559838,683680,538324,233869,176733,17517,0,195682,14243,906,3425069
="Regional School District 01",741907,183323,256285,58170,665097,2993,0,83744,891,0,1992410
="Regional School District 04",1085023,360390,252907,77185,458760,19279,215,183850,1905,2012,2441526
="Regional School District 05",2442617,511582,727458,91114,1314010,6856,400,382560,185,2763,5492949
="Regional School District 06",1173159,506842,317505,132381,286340,14037,0,156665,2877,609,2592733
="Regional School District 07",709974,242521,218971,1154778,395819,9969,0,180735,600,813,2914180
="Regional School District 08",1551094,606699,391144,232851,968399,9271,17753,224102,0,0,4023086
="Regional School District 09",845023,316598,167261,190392,1358669,8576,0,298653,9555,847,3196240
="Regional School District 10",2228786,798618,632122,258287,957969,42746,4091,445297,106514,13643,5488073
="Regional School District 11",397251,112115,101011,96464,505146,3478,0,152534,0,223,1369946
="Regional School District 12",1388505,685739,370304,237041,394877,29881,0,258082,20098,300,3385690
="Regional School District 13",1829616,838700,712084,269637,853855,32036,0,589845,18040,0,5143813
="Regional School District 14",2431297,942326,781961,465866,1315880,46099,0,388120,27782,381,6399712
="Regional School District 15",5064619,1607928,1276256,477629,668988,17790,15365,989714,21803,390,10168238
="Regional School District 16",1774156,861780,644064,431826,710032,46662,1346,564497,13187,0,5055149
="Regional School District 17",1985693,828442,746244,155305,585649,29041,4580,375572,29018,5728,4755598
="Regional School District 18",2237521,934961,645108,321025,1005960,55531,17173,340052,5232,5399,5590591
="Regional School District 19",1094734,215664,225670,672166,661972,9656,573,245362,10383,375,3139629
="Ridgefield School District",4294575,1621962,1648882,638267,2327519,57568,0,702454,4289,12052,11315722
="Rocky Hill School District",1956424,1043391,584351,109177,1210143,10708,20176,378011,9235,185,5329422
="Salem School District",377743,124200,91181,259547,488097,890,7008,135895,0,0,1491756
="Salisbury School District",356940,87122,124251,44817,0,3171,0,42407,451,0,659159
="Scotland School District",265885,92582,35595,51966,71015,4692,0,31275,0,0,553430
="Seymour School District",2260968,627516,629247,298395,590120,71399,0,385827,14305,9942,4890135
="Sharon School District",255542,77574,96594,22209,76007,0,0,31973,340,0,560239
="Shelton School District",5430505,1472442,1786993,512457,935051,85580,7824,761714,13940,109,11009723
="Sherman School District",538523,187700,141529,180139,377148,15910,580,118643,1016,1419,1562607
="Simsbury School District",4623207,2234468,1161869,252465,1549401,26169,0,633195,12890,6811,10507519
="Somers School District",1326123,546694,379332,157009,598325,9707,25090,317144,427,379,3360574
="South Windsor School District",3345325,1702950,1169073,397571,2404326,53005,49317,872666,44606,3335,10059395
="Southington School District",5622824,2628967,2645963,1873980,2874058,103460,0,1518133,13842,8261,17289488
="Sprague School District",446555,193037,161209,139792,1042863,9007,0,107844,2076,629,2106603
="Stafford School District",1933691,572987,619147,153625,1084201,25104,22769,358211,367,8360,4778462
="Stamford School District",18540814,5258542,5415424,3278954,6234933,245280,249294,3706667,65635,13702,43009905
="Sterling School District",527178,390480,244144,133239,488185,27019,9263,0,13522,384,1854493
="Stonington School District",2240624,1030926,647721,294274,1066305,22667,0,491913,35428,859,5830717
="Stratford School District",6910745,1528929,2038392,1222017,4207121,40962,19569,997743,28466,354,17066816
="Suffield School District",1687474,846445,523904,208372,1060718,32996,0,164239,7178,675,4533038
="Thomaston School District",1128105,334975,425302,258945,434435,20641,1761,248033,4455,2999,2868714
="Thompson School District",785535,485285,344075,87290,1034248,12793,0,56895,8103,888,2819076
="Tolland School District",1716649,832675,581937,28031,1615932,13900,0,321139,12542,844,5146146
="Torrington School District",4105385,2358065,1890777,423979,3806603,36005,0,1269436,3322,6010,13899582
="Trumbull School District",6579681,2195426,1676045,705019,1854071,63442,0,1066915,35999,950,14177548
="Union School District",64736,12714,25423,25847,53564,92,0,9709,0,0,192085
="Vernon School District",3891588,1239033,982955,460683,2823451,31750,991,1082785,8746,9459,10548767
="Voluntown School District",305714,377462,109339,73267,739816,11629,11190,32551,2599,0,1671067
="Wallingford School District",7561650,2561283,1246991,1073286,3573626,185186,52032,2002882,44257,1240,18302433
="Waterbury School District",17268651,7936874,10825130,2884225,6331076,339368,199863,4128732,0,0,49964769
="Waterford School District",3069087,1245009,1127334,526047,1814424,67575,0,610431,50354,36472,8555783
="Watertown School District",2584685,1022866,361982,428753,714020,42598,1473,539830,9203,379,5705789
="West Hartford School District",11500161,2718720,4287284,220917,3094132,202251,60516,1690720,0,1223,23776228
="West Haven School District",6672161,2443021,2169693,572280,4734569,45159,0,775887,0,555,17413325
="Westbrook School District",917027,268234,324269,93005,188582,10369,3860,87108,2456,30,1894940
="Weston School District",2948015,1100035,796118,886774,1148044,16599,0,460833,4931,5101,7381830
="Westport School District",7078980,2701047,1747059,547913,2422855,163171,16803,814176,33811,2037,15527852
="Wethersfield School District",2991242,1572865,868944,326197,2081090,46226,15473,1088755,30943,5066,9026801
="Willington School District",671321,147274,227310,265148,0,17821,7519,0,1658,527,1338843
="Wilton School District",4756434,2808714,1579525,783028,1397669,60277,0,377782,4599,338,11769412
="Winchester School District",1395398,1014375,489094,256768,1850576,46516,35004,336067,258,0,5424056
="Windham School District",5500706,1995933,1807559,610198,2113256,108244,197824,594165,0,0,12927885
="Windsor Locks School District",1936992,1119719,423355,565144,855916,9622,0,407787,0,0,5318535
="Windsor School District",4510301,1795728,1419927,218738,2406987,18371,0,706839,14137,0,11091028
="Wolcott School District",2150784,688427,525616,697975,847352,55365,0,500097,10759,6932,5488971
="Woodbridge School District",939741,340881,337537,152004,509275,8726,4031,114835,2926,3092,2415631
="Woodstock School District",621842,647549,241469,207524,626860,7750,10313,44314,18725,294,2428212

