"Total Expenditures Used for Special Education, 2008-09"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
="Eastford School District",116499,100730,49260,108986,149285,2920,529,28870,492,57,558161
="Easton School District",1203333,559763,414535,440156,289375,11255,0,215394,16674,400,3155614
="Ellington School District",2559085,826085,952803,421316,978563,33514,0,305543,8570,1755,6087234
="Enfield School District",6457762,2034088,1731192,553350,1528119,31954,26144,1413078,21826,0,13797513
="Essex School District",670421,424655,284787,108222,42080,11041,3836,39680,3363,1237,1592067
="Fairfield School District",14033855,3862136,5675171,3490120,3452246,92140,75273,1703344,97642,718,32501632
="Farmington School District",3910211,1229772,830412,384846,2033625,46750,0,611571,6841,2050,9060843
="Franklin School District",278959,29733,41687,38560,300707,7146,0,20700,0,0,717492
="Glastonbury School District",6627915,2784559,1257291,571190,3934662,113767,117786,84407,9053,444,15501074
="Granby School District",1856490,1108760,581101,139859,644869,53018,0,273344,296,2823,4663941
="Greenwich School District",15400465,5613104,4639080,1667082,3192628,141113,11780,1680659,104525,18038,32493509
="Griswold School District",2460538,967468,761325,351232,489609,14788,41896,364027,15402,2244,5510103
="Groton School District",6836825,2122416,1576354,1158951,2436963,88207,2848,1355641,6725,2731,15660954
="Guilford School District",3918612,1817167,1780406,336958,2476293,36499,0,1324062,13016,0,11703013
="Hamden School District",8238516,2182609,5609802,436137,7811204,289620,5979,1916814,6710,16344,26513735
="Hampton School District",91323,82118,62380,67657,0,5077,0,0,0,0,308599
="Hartford School District",21889406,8423493,9100851,996463,24203684,110292,0,14534513,15784,175930,79490712
="Hartland School District",46309,106001,13257,373644,227439,3653,0,40463,0,0,810766
="Hebron School District",1070751,628633,373470,265893,26022,9863,0,109875,8291,0,2500524
="Kent School District",294822,144452,127574,43768,158236,6970,0,39232,3716,0,818770
="Killingly School District",2854939,1422568,1170392,176107,2651693,9709,13084,91513,53336,2263,8569477
="Lebanon School District",1159693,422481,575796,279850,1175313,17391,9923,388290,8166,535,4037438
="Ledyard School District",3744338,1181027,838804,405451,1556831,279618,0,696013,7712,0,8718458
="Lisbon School District",791660,255351,142969,26198,552986,7595,0,106199,0,0,1884500
="Litchfield School District",1142015,503785,605370,153680,333973,23459,0,146610,6059,1439,2918651
="Madison School District",2966594,1331708,874695,245410,2148145,77633,0,980623,7769,1555,8634297
="Manchester School District",8223844,4109795,3781926,488288,4843229,309013,0,1622608,22841,3140,23405155
="Mansfield School District",1667820,936006,695735,253339,324086,23633,1316,196080,430,1259,4118418
="Marlborough School District",676340,166824,147764,56535,187917,8382,6414,73933,10492,449,1337517
="Meriden School District",9953532,3661174,3682660,1048267,8262864,76127,8380,2066463,2062,611,28763783
="Middletown School District",5137225,2463129,1607322,726961,4428079,89605,0,1722166,12069,0,16187177
="Milford School District",9233276,4471448,4169581,500650,2671270,114860,6919,1417581,127246,34419,22772857
="Monroe School District",3964180,1214401,1060532,332534,1049241,42696,0,610357,19432,26164,8332748
="Montville School District",3654515,1140531,1118857,139008,844467,148412,15044,14147,23685,2060,7122511
="Naugatuck School District",5730232,1513772,2118494,104744,1581505,29505,0,1273636,4211,44897,12433133
="New Britain School District",13763015,6894343,4030455,497504,8793278,155512,0,3418231,38172,23469,37808730
="New Canaan School District",5684756,3565653,2143912,1122503,2064707,41829,1134,85657,144043,0,14863047
="New Fairfield School District",3701531,655288,1239515,120912,592595,47262,2409,317351,79275,11105,6778626
="New Hartford School District",805004,345457,367774,39602,20673,13715,0,63289,3468,1042,1660024
="New Haven School District",22549294,3832511,8449557,2596207,13085486,16695,443971,6196524,30777,631560,57968744
="New London School District",4585337,1460983,1384695,1538843,2448608,45332,14571,937210,0,0,12425844
="New Milford School District",5274280,1923255,1728859,1118403,2053586,66760,0,1271967,28256,12945,13487438
="Newington School District",3344286,328623,719290,2467288,2211270,89087,41838,0,104172,2077,9344318
="Newtown School District",4451189,2160166,1478051,350404,1977602,94068,109,1333644,42777,60,12006992
="Norfolk School District",52669,16385,8392,222181,62550,881,0,23474,0,350,386882
="North Branford School District",2460004,633360,554029,238379,693849,42305,12657,512529,30543,704,5181896
="North Canaan School District",465696,111449,165565,60915,21502,8307,0,58915,5205,0,897554
="North Haven School District",3358422,593985,958589,239065,1830975,29294,0,1103283,0,7192,8128989
="North Stonington School District",986938,388877,531485,115167,135543,8491,0,72354,1697,5570,2255085
="Norwalk School District",12900583,4008329,4633906,1652412,5415710,35232,0,2210167,8562,0,30864901
="Norwich School District",2978126,1132321,1495585,3983419,7980216,20327,29828,2173099,4936,236046,20199938
="Old Saybrook School District",1583446,820383,406173,185614,671404,24136,0,311081,1330,1092,4007919
="Orange School District",1601130,968105,667784,517870,640766,25456,5225,291690,4677,0,4726488
="Oxford School District",1876664,882811,599345,466591,964313,38097,7444,419485,11249,12537,5279386
="Plainfield School District",2553392,1586138,1046876,811999,1419498,23926,2135,528691,20680,0,8230987
="Plainville School District",2428254,1120727,669359,97740,2008280,22598,0,275124,1150,905,6631452
="Plymouth School District",1615071,484824,670213,238659,1488190,11275,0,781885,6489,2553,5314055
="Pomfret School District",571693,273800,206030,106348,925712,15356,0,182223,20428,541,2306851
="Portland School District",1290062,506935,580259,140506,474521,19339,0,247974,0,0,3259596
="Preston School District",753319,398288,284487,117585,1310510,58950,0,66655,33,185,2990046
="Putnam School District",1573381,694110,613541,153714,729357,17376,4894,39299,16660,633,3850057
="Redding School District",1914159,667039,521127,190229,563340,20810,0,320752,15430,969,4219856
="Regional School District 01",637823,177957,231575,94080,800793,6034,0,84876,8039,0,2041177
="Regional School District 04",1218208,406421,340940,159724,849253,18585,216,261856,2134,431,3257768
="Regional School District 05",2313071,542640,671250,188704,1609381,5884,354,535666,13624,5543,5895843
="Regional School District 06",1156289,543092,349482,156990,169087,10931,0,167037,0,305,2554691
="Regional School District 07",797338,291814,238590,1221172,781838,0,0,230143,0,732,3567945
="Regional School District 08",1869042,662001,515945,251506,1046931,4712,0,240863,7338,0,4613877
="Regional School District 09",812034,365534,228301,228981,1267845,6225,0,232876,7522,875,3150748
="Regional School District 10",2567867,974968,784715,498119,1093283,39731,16408,691188,9307,1605,6677191
="Regional School District 11",311989,108881,97506,120349,785524,1382,0,178780,0,0,1604411
="Regional School District 12",1506015,747982,420961,287512,383435,25317,0,211966,19998,400,3604169
="Regional School District 13",2320490,1326836,894464,356557,1080896,32836,18046,490972,15123,0,6536220
="Regional School District 14",2293894,1034722,687731,604251,2075073,42358,321,470944,7030,175,7216499
="Regional School District 15",5404875,1937922,1296149,690256,1312160,7020,6737,1150921,19722,350,11886193
="Regional School District 16",2058315,1086306,839136,497988,962261,60655,0,807492,2989,139,6331436
="Regional School District 17",2272489,871242,729555,92000,677532,29293,2495,350341,2798,11282,5062331
="Regional School District 18",2271590,1023272,763383,436295,1268662,26818,0,561935,15165,5245,6387004
="Regional School District 19",1187732,249048,247964,853666,919606,12003,873,290742,22688,271,3789474
="Ridgefield School District",4941153,2089377,2017671,1515463,3244202,57386,0,743315,8071,15744,14650625
="Rocky Hill School District",2314588,991944,783771,130348,978954,16787,70,352075,10249,410,5585498
="Salem School District",484360,122888,106214,364019,664577,2009,2344,211514,0,0,1963935
="Salisbury School District",382214,95042,125506,86737,21696,5988,0,46865,4439,0,768487
="Scotland School District",315238,183002,45149,56440,0,3570,500,15200,0,0,620318
="Seymour School District",2172870,641097,655053,269144,602436,20999,4071,491722,3900,0,4864079
="Sharon School District",251228,82825,95489,37057,1302,2377,0,33431,3167,0,506876
="Shelton School District",6151069,1848743,1923255,723843,1394201,70809,0,1024252,37799,2857,13187263
="Sherman School District",658254,363978,212404,133699,323598,17838,224,113138,0,1724,1824857
="Simsbury School District",4777322,2416095,1228788,253498,1867203,27570,0,733253,12364,8225,11328732
="Somers School District",1404275,596247,436875,193347,932837,6765,32797,481725,4183,1096,4090388
="South Windsor School District",3542959,2217827,1318429,249690,2967177,15399,55914,1238380,39455,3185,11670010
="Southington School District",6324920,3326181,3428485,1796877,3423759,94607,0,1531373,1201,6576,19933979
="Sprague School District",435419,159967,165986,153310,439246,10282,0,25550,402,2286,1411812
="Stafford School District",2135241,717143,717440,82000,1436562,16616,16823,563815,32,2089,5687761
="Stamford School District",20541115,5450018,5941465,2362534,9494312,137274,194110,3995757,31358,29481,48177732
="Sterling School District",516700,470501,222694,203190,665476,14147,7116,350,5359,1452,2119533
="Stonington School District",2525823,1470496,871827,124173,1446270,21707,0,602253,39077,973,7106000
="Stratford School District",7523907,1692266,2165338,1815407,4719297,41479,19397,1205128,14279,636,19203087
="Suffield School District",2006683,1032612,580235,191224,1126728,37075,55469,296334,5521,1757,5336781
="Thomaston School District",1098739,359172,447158,176783,730526,16634,794,381748,1726,1592,3216006
="Thompson School District",894869,378474,340034,39311,1440849,9788,0,112447,1042,1136,3223446
="Tolland School District",1938458,1040111,708324,260933,1910539,27165,7497,644070,12275,1097,6577609
="Torrington School District",4826864,2637718,2343529,563385,5482304,52896,0,1509264,8994,17881,17443823
="Trumbull School District",7388577,2554383,1886582,396667,2917775,52907,0,1548411,33030,1125,16788111
="Union School District",37168,14578,19115,77731,58143,1105,0,3979,0,0,211819
="Vernon School District",4144272,1586091,997853,509429,2317592,35707,24363,1333892,18457,3085,11003110
="Voluntown School District",368225,341680,155029,83998,615593,13116,13443,14097,5300,315,1619091
="Wallingford School District",8331033,2875564,1389039,1180526,4643693,204904,84113,2144611,14104,517,20868104
="Waterbury School District",19039347,9517770,12183098,3167023,6977446,258917,30917,4346413,0,0,55591879
="Waterford School District",3426804,1467874,1293715,436519,1946690,90720,0,933640,49477,10208,9662502
="Watertown School District",2849830,1106396,416048,418836,968776,48536,6718,487902,36529,115,6339720
="West Hartford School District",11785790,3461915,5209701,323962,3907588,178111,32852,2184886,0,999,27087015
="West Haven School District",7114971,3101578,2504834,372378,4949658,100523,0,744119,115000,1450,19004511
="Westbrook School District",1025790,258729,322960,108394,140215,9472,180,128614,3907,0,1998261
="Weston School District",3271032,1332682,1093961,820888,1345713,41143,0,516043,22862,14031,8458926
="Westport School District",7574038,3147766,2309334,573124,2593228,149127,30082,976841,35725,1530,17406020
="Wethersfield School District",3310482,1844371,912543,317591,2477791,21177,0,1415421,23324,2063,10331612
="Willington School District",814519,152697,202726,372807,96589,15197,38722,79325,5595,6469,1784929
="Wilton School District",5267649,3039470,1956398,1138561,2309564,52258,0,447013,18702,402,14239741
="Winchester School District",1317987,899728,471032,240555,2371441,24040,1576,443352,5769,499,5782289
="Windham School District",5575388,2199736,2179811,728892,2151815,73975,274331,844459,2862,204,14044271
="Windsor Locks School District",2251105,1163152,472875,167405,892299,33990,0,375820,0,1125,5357771
="Windsor School District",4978823,1775356,1526518,167618,3707370,29789,0,1135846,25686,0,13347006
="Wolcott School District",2285922,738849,488628,1021400,562800,71549,0,415743,1324,9880,5605631
="Woodbridge School District",1028111,384100,422451,113465,181246,6939,3396,117324,1944,9297,2279178
="Woodstock School District",779478,744230,266760,135004,589739,7870,11625,48521,66873,10509,2661283

