"Total Expenditures Used for Special Education, 2015-16"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
="Deep River School District",613688,270778,245943,69969,319019,6285,138,96748,0,274,1622842
="Derby School District",1383676,881970,713846,169404,1389558,12515,1056,504721,4847,1865,5063458
="East Granby School District",1079934,617171,356893,187872,878094,6509,0,262704,12781,6222,3418220
="East Haddam School District",1613730,624890,659697,252140,974352,13979,0,390301,26067,1130,4556286
="East Hampton School District",2834578,1151676,950282,800903,973742,28430,0,510870,0,4201,7254723
="East Hartford School District",8759177,3571584,2112250,233696,4122756,62276,8689,1962351,84805,0,20995340
="East Haven School District",3307473,1038276,1818672,196802,3815556,2350,89699,1255003,0,380363,11916135
="East Lyme School District",3849507,2655966,1238399,957199,531900,46500,9143,690399,0,4549,9983562
="East Windsor School District",2454224,1044222,456551,301846,1271059,28782,0,343893,40675,685,5942794
="Eastford School District",183500,127845,70756,108593,166904,1176,0,59350,0,185,718313
="Easton School District",1447457,780257,552232,421752,457786,6728,0,177556,18466,600,3868228
="Ellington School District",3105864,1283492,1178423,519596,931418,62316,0,499422,6038,3064,7589633
="Enfield School District",6708833,2695727,2462315,405552,3178337,71393,0,2018947,15919,0,17569229
="Essex School District",815402,580838,333834,133451,302053,8869,163,175545,1107,0,2351262
="Fairfield School District",16788046,4807669,8255176,4344831,6376055,178446,37837,2577854,85768,743,43476770
="Farmington School District",7079118,514223,1470555,596227,2356499,62421,0,1171588,5255,1549,13274572
="Franklin School District",269776,65803,49669,45301,196978,2714,0,24460,0,0,654701
="Glastonbury School District",7857368,3316625,1523204,953091,3458868,91160,187160,0,3145,2080,17526270
="Granby School District",2276156,866610,642215,199434,1123843,52454,0,357576,0,17053,5535809
="Greenwich School District",20411354,6078113,7493919,1658464,4383269,138311,302656,2162194,79459,79251,42812385
="Griswold School District",2840175,1629141,882475,81248,1169124,3650,16810,482675,6089,0,7128423
="Groton School District",7392489,3247454,2098446,2572320,4416397,246630,1045,1606536,177290,2075,21760682
="Guilford School District",4960497,2251611,2523276,935255,3776094,58391,0,1293413,76343,0,15874880
="Hamden School District",9645291,2884732,6390312,681612,9687878,77557,4449,2684828,0,0,32056659
="Hampton School District",104769,126336,40283,74877,0,3892,0,0,0,0,350157
="Hartland School District",0,0,0,394993,451513,4500,0,89335,0,0,940341
="Hebron School District",827027,607442,761075,212395,84334,26799,0,115900,12969,0,2647941
="Kent School District",528206,295803,253556,41265,0,7692,0,85420,2598,0,1214540
="Killingly School District",3130613,2123149,1840115,73991,6304534,19463,50859,656495,32551,492,14334198
="Lebanon School District",1363702,789479,611331,211573,1445645,10297,0,591935,11908,1824,5057342
="Ledyard School District",4089533,1053057,1460394,424319,2419680,84414,18936,972221,13178,0,10535732
="Lisbon School District",807411,134979,205664,128644,994300,1204,10687,200433,1929,250,2490679
="Litchfield School District",1194475,390322,411436,112417,926011,18056,0,210308,15841,685,3280445
="Madison School District",3790161,2166188,1618742,938986,1732513,4613,0,1353071,6919,0,11674472
="Manchester School District",9826209,4642215,6405466,465085,4259792,225624,32399,1866390,4438,5533,27771943
="Mansfield School District",1664230,765269,762822,221561,622373,12032,380,278757,2761,0,4339311
="Marlborough School District",596680,301906,184654,120790,6939,12093,14218,88631,0,6166,1332645
="Meriden School District",10475826,4291604,3570526,229690,7754725,59417,62990,2896111,0,520,29352886
="Middletown School District",5567672,2953796,2097683,1046494,5962536,29347,34500,2976922,13164,55,20691069
="Milford School District",10078223,4630852,5240556,537527,4295413,79467,8635,2085113,83387,44439,27096031
="Monroe School District",4515373,1522568,1374473,1131189,1798690,4083,11025,1072181,5054,1306,11458413
="Montville School District",3885728,1731713,1118323,421928,1126450,107541,0,156172,9127,1650,8558632
="Naugatuck School District",5366345,2715285,2710153,295002,1625782,63455,0,576542,3375,185,13356539
="New Britain School District",12521840,7329862,5461384,1100350,12926168,63599,0,4526398,0,75265,44057996
="New Canaan School District",6323070,2952023,2023038,1417319,3626963,37367,0,1811776,33316,66388,18299940
="New Fairfield School District",3435994,1170539,1163678,293584,817396,54008,2317,647423,18712,125,7627160
="New Hartford School District",746976,356101,418653,95887,82511,3310,0,80772,9617,1166,1798340
="New Haven School District",23780825,3036395,11462868,3238900,18900227,10973,458760,7677073,62475,445950,69282290
="New London School District",4037675,2552936,1789620,2489431,4172059,113096,1481,1146832,132467,80,16456639
="New Milford School District",5469811,1934960,1658081,1974430,2378090,79491,0,966467,6466,60,14468325
="Newington School District",4466377,605570,1255668,2886404,2322743,97365,126957,0,236916,918,12038600
="Newtown School District",5533942,2789479,1927014,805269,4163880,85572,33952,1492364,26320,1632,16900936
="Norfolk School District",60674,25681,5486,213696,0,344,0,19142,0,0,325023
="North Branford School District",2633955,942772,616405,349588,1035662,41201,3208,488754,20704,505,6135842
="North Canaan School District",532224,254927,255522,49019,0,6722,0,75739,1532,0,1175685
="North Haven School District",3586955,975628,1290109,631541,3622051,25856,0,1684675,0,35972,11861873
="North Stonington School District",1128125,346769,487197,70133,0,1401,0,12835,18490,17544,2099625
="Norwalk School District",14053931,5048666,5168523,7357239,11548207,30415,0,3843688,21999,0,47080071
="Norwich School District",4822750,1954330,1338718,1836696,10897448,12522,26834,2872841,7651,345,23793985
="Old Saybrook School District",2134436,1198820,512081,160422,1104865,24033,0,519423,18032,876,5688467
="Orange School District",1749058,684367,708920,413561,612053,37519,0,321402,71962,42642,4644100
="Oxford School District",2655189,1190453,1077132,431367,1483263,17348,0,827818,9223,550,7694724
="Plainfield School District",2423793,2058111,953598,312226,1954976,7797,1115,898097,11828,185,8640763
="Plainville School District",3181740,2014406,1029909,50726,1248077,26857,475,398479,10944,1300,7970480
="Plymouth School District",2274295,653681,932956,363688,1622186,31628,0,609231,4047,2380,6508783
="Pomfret School District",591840,273992,246941,106558,1212401,24523,0,259686,4969,5083,2727288
="Portland School District",1333439,659664,813946,168606,829620,29047,0,329648,4600,0,4168570
="Preston School District",771121,396449,303379,96860,1487047,7438,0,183571,4406,0,3252730
="Putnam School District",1833808,673751,589411,193633,1594881,31328,213,208999,0,3775,5134938
="Redding School District",2237909,1012776,883715,521640,272714,14035,0,175677,11565,629,5136992
="Regional School District 01",748588,292194,345724,68947,803673,9454,0,106529,2155,0,2377264
="Regional School District 04",1768781,447765,378298,219789,1149614,21709,253,281404,0,1000,4268613
="Regional School District 05",2480022,709929,867941,354418,2960779,13128,0,844988,23259,1036,8265049
="Regional School District 06",1526309,676484,503286,564329,458346,49483,635,215167,35356,310,4029705
="Regional School District 07",818087,296779,273495,1445282,1220219,7479,5834,420760,7982,0,4495917
="Regional School District 08",1704550,731437,465516,144748,1284494,10238,6343,512064,505,342,4861115
="Regional School District 09",1021881,495897,336417,366804,1871086,5872,0,448909,7387,984,4562277
="Regional School District 10",3117574,1177413,991153,312288,1494093,49428,26475,512535,20000,1249,7702208
="Regional School District 11",316446,160707,121471,154819,650282,2208,0,205883,381,0,1612197
="Regional School District 12",1690834,743394,468635,504966,359092,34934,0,391105,2963,310,4196915
="Regional School District 13",2717672,1730351,1542255,278592,914169,109470,40880,597851,25438,0,7956678
="Regional School District 14",3185759,1130498,968232,386299,985078,70027,0,575680,0,660,7302233
="Regional School District 15",5833839,2653296,2383591,1005457,2833320,19256,45511,1515488,44913,1596,16388371
="Regional School District 16",2091709,1501740,942118,781772,1204688,46991,2323,1095600,0,0,7666941
="Regional School District 17",2648363,1201331,994775,425280,1741124,19485,2139,812588,6589,649,7868642
="Regional School District 18",2743504,1410577,810464,223941,910934,39901,0,430610,6930,4200,6591460
="Regional School District 19",1622694,285088,386128,1333244,1054348,17128,493,400944,34299,375,5145068
="Ridgefield School District",6012967,2380136,2351778,1886488,3629789,54808,0,1212278,27961,31853,17615899
="Rocky Hill School District",3231668,1018141,839285,378112,1655498,37294,17011,494245,6055,340,7679744
="Salem School District",582823,267937,122376,353683,1613436,0,0,346789,0,0,3293557
="Salisbury School District",546697,207976,240466,81892,0,7341,0,73854,1494,0,1159720
="Scotland School District",251937,148116,54614,39411,59500,6460,0,21600,203,0,581841
="Seymour School District",2783393,926335,926982,352067,1708057,36451,2356,802196,2218,0,7540055
="Sharon School District",352786,154535,167615,30990,0,4249,0,47881,966,0,759022
="Shelton School District",7013543,1960121,1948494,165704,2335709,93730,0,1507104,26918,7046,15064255
="Sherman School District",785376,424273,196748,111783,481951,8947,106,131916,0,1578,2142678
="Simsbury School District",5458789,3383226,1583269,740824,2080739,70937,0,1300291,53589,202601,14874265
="Somers School District",1793922,814358,577396,195045,795934,34589,0,397137,822,0,4609928
="South Windsor School District",4111692,2792074,2198935,187344,4088264,26457,47410,1487136,45994,6323,15016969
="Southington School District",7405616,5250670,5104993,1262367,4332157,97513,0,1723046,8173,13649,25198184
="Sprague School District",357563,429767,183025,127178,522769,1003,0,53459,5639,803,1685941
="Stafford School District",1873384,748073,727305,252306,1107555,42866,14800,651350,3276,10740,5431655
="Stamford School District",23072207,8806934,8815601,5618154,15092740,316847,219362,4855400,67886,40415,66910168
="Sterling School District",457669,409369,255995,141163,1054164,18270,25080,32940,27911,2139,2439257
="Stonington School District",3606528,1809461,1518277,218488,2420167,15993,0,801650,51808,40,10459492
="Stratford School District",9493647,2340035,4218989,3085217,5408167,27047,2038,2156130,9419,185,26747598
="Suffield School District",2641086,1608310,988171,586748,1602094,70738,585,422541,9102,1415,7932162
="Thomaston School District",1129909,422465,464005,390570,978844,64055,450,546471,7174,4065,4017413
="Thompson School District",949841,539225,513891,122576,1662838,5620,0,175375,1988,1667,3981993
="Tolland School District",2210663,1309769,963004,384377,3263931,21086,0,735544,3342,554,8921047
="Torrington School District",5660944,2822976,3082538,391093,7372117,13367,0,1647425,673,250,20991383
="Trumbull School District",9687369,3773870,2921222,607661,3397787,73094,0,1761322,15119,3054,22247739
="Union School District",118347,45931,36828,116151,59598,4040,0,2820,1809,0,385524
="Vernon School District",5061651,2283545,2058848,225688,2557419,87329,16000,1657150,8363,5115,13977735
="Voluntown School District",380578,260662,131062,133540,657640,14118,12312,4393,1351,1164,1602510
="Wallingford School District",9497774,3299388,2019252,1320549,5045427,191269,10311,3219448,51599,483,24655500
="Waterbury School District",20356749,13047149,16880927,4033103,7313584,215852,2025,5498816,0,0,67443265
="Waterford School District",4353474,1628398,1743225,627601,2145036,97859,0,686765,27970,1443,11311771
="Watertown School District",3327142,1232352,1324185,897694,1874442,59995,17967,873265,0,888,9608419
="West Hartford School District",14780602,4894275,7693647,432515,7062128,174908,56779,3285274,0,2116,38382244
="West Haven School District",9096897,3307620,3604777,472017,9679068,107847,7475,1740251,0,2600,28022145
="Westbrook School District",1606008,486365,747164,440537,329366,33827,0,229035,12710,0,3885012
="Weston School District",3935703,2130802,1870910,1018074,2306518,37102,0,363021,2394,3280,11667804
="Westport School District",9104636,4285347,3090510,643270,2636537,194827,8399,1389840,86735,2732,21462020
="Wethersfield School District",3019809,2125403,1317285,361849,5263555,23718,0,2031957,2740,670,14150661
="Willington School District",854231,254553,195790,598534,280984,14308,17864,228684,2847,814,2448992
="Wilton School District",7096660,3753271,3108280,2270282,3214439,121350,28340,924051,6150,1661,20524834
="Winchester School District",1548482,735876,706724,517320,3061307,18516,0,628428,2055,0,7218708
="Windham School District",3730425,2361266,1424319,872854,3777276,23896,976,1233187,0,0,13440195
="Windsor Locks School District",3005102,1399676,610062,206476,830294,274004,0,415792,74886,2125,6818417
="Windsor School District",5467792,3408565,0,401295,4733729,35246,0,2041904,10978,0,16099700
="Wolcott School District",2406808,746026,434206,1179245,1025035,38448,0,542688,12801,4510,6392476
="Woodbridge School District",1116261,399565,438925,175495,491625,6286,0,270297,1022,3128,2911714
="Woodstock School District",851204,963925,431933,204776,1282505,17466,11853,53230,34613,4205,3855768

