"Total Expenditures Used for Special Education, 2012-13"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
="Colchester School District",3399271,1185357,1232958,191006,1910358,10271,0,1026304,0,0,8967099
="Colebrook School District",68683,17747,24372,115009,49724,710,0,18512,0,26980,321737
="Columbia School District",798524,356578,232132,168155,976840,32086,0,217203,14338,415,2798493
="Cornwall School District",174661,78588,72948,24532,76315,3296,0,26123,3992,33,460488
="Coventry School District",2257897,834857,590278,283651,1621284,12495,0,647557,14511,3625,6270065
="Cromwell School District",1659835,876076,621955,154825,763521,4088,0,405879,236,537,4494665
="Danbury School District",11817628,4389450,3539422,704100,2605490,60763,2006,2270800,29215,21866,25460745
="Darien School District",9640220,3262601,3751384,1666109,3308444,68693,0,1165297,24905,0,23016666
="Deep River School District",572502,264353,240801,104275,191944,6026,143,141327,1093,118,1522582
="Derby School District",1483536,781582,73186,124064,1558665,17382,0,343145,0,3146,4385208
="East Granby School District",1190753,542929,389442,174800,359304,20598,0,191868,8157,80,2877931
="East Haddam School District",1516268,449344,580495,304004,1229075,27053,0,354274,22517,1691,4484721
="East Hampton School District",2387576,1152999,917906,536115,656604,25703,0,544195,0,225,6226634
="East Hartford School District",8796916,3906244,1997200,344918,3259944,105828,0,2273199,0,0,20732262
="East Haven School District",2811672,654090,1316168,268999,4376641,8850,6305,1149836,0,43915,10640103
="East Lyme School District",3579914,2313770,1084608,334806,1327753,25165,0,766966,12563,682,9446227
="East Windsor School District",1723117,748889,580206,195493,925057,10095,0,661557,4972,1052,4853041
="Eastford School District",211279,123789,67055,126693,133593,496,0,15145,814,10,681252
="Easton School District",1172795,712583,511216,647924,251891,8853,0,182274,4819,0,3505635
="Ellington School District",2241663,973229,1080907,433157,1166159,28022,0,391957,9650,2848,6327592
="Enfield School District",6861551,2383834,2234259,324504,2784926,26044,300,1729286,17611,752,16372876
="Essex School District",866940,530581,341560,148190,206752,7498,180,146599,6690,0,2254990
="Fairfield School District",15823270,3533205,5645693,3929492,5047446,110094,28667,2251947,78311,290,36463750
="Farmington School District",5755409,516699,1408283,464603,2308547,59246,0,920307,8343,1045,11451052
="Franklin School District",253028,60829,43422,36577,330407,0,0,62661,0,0,786924
="Glastonbury School District",7233821,3176252,1505354,676973,3630684,49869,100000,0,1380,3744,16572730
="Granby School District",1979899,893393,617709,134335,777717,38853,0,343835,0,3132,4788873
="Greenwich School District",19543896,4736575,6916209,1911652,4035698,140270,229146,1935432,116086,106265,39708348
="Griswold School District",2659205,1089633,820531,138261,1038009,7645,3364,478067,6813,923,6257819
="Groton School District",6457670,2533578,1547220,1408859,2947166,38643,967,1608900,1334,4576,16557282
="Guilford School District",4188305,2140400,2218224,638616,3627364,52784,0,1192507,4753,0,14062953
="Hamden School District",9053878,2625714,5956591,563804,6847489,42764,9178,2186782,0,269,27286469
="Hampton School District",124838,94919,60242,90268,9137,2235,0,0,0,0,381639
="Hartford School District",22535085,10618165,10032273,995483,38542359,111978,4460,15516772,185760,117223,98678521
="Hartland School District",0,0,0,379088,154921,2543,0,22522,0,0,559074
="Hebron School District",992557,644927,478145,218943,121033,7935,0,90314,0,0,2566692
="Kent School District",417048,193639,175293,42285,187885,6775,0,64423,1479,0,1088827
="Killingly School District",3230386,1563848,1781110,160829,3874547,18488,32570,313250,4045,563,10980616
="Lebanon School District",1290760,704796,560770,290031,1256780,18468,206,266392,5626,289,4394118
="Ledyard School District",4510667,1313100,1048677,520610,2176769,395317,0,1109121,0,0,11091510
="Lisbon School District",783707,100757,157101,239998,938007,8035,0,134173,0,350,2366715
="Litchfield School District",1047476,501024,541975,27351,917905,2041,0,251778,8592,638,3298931
="Madison School District",3386288,1967720,1182769,327027,1530027,2310,0,1231664,4181,1380,9694219
="Manchester School District",8567143,4049088,6077646,431203,4518470,302742,0,2088440,3500,2517,26052093
="Mansfield School District",1712507,631560,550578,246439,467818,16093,700,207715,2033,388,3849700
="Marlborough School District",579527,191944,156591,97933,4125,3774,0,79155,4800,185,1121298
="Meriden School District",10261455,3981165,3415669,523956,8333398,103545,151582,2819715,1412,665,29662118
="Middletown School District",5257272,2425260,1803212,869664,4909286,43147,0,1781184,4160,442,17094525
="Milford School District",9759515,4484694,4685947,564858,3439517,60255,3865,1718709,40262,58792,24827855
="Monroe School District",4551116,1299035,1341809,677415,1512225,18132,33873,733988,9401,1428,10188245
="Montville School District",3841403,1289670,1240616,509607,787446,140743,3315,38850,17539,1662,7871016
="Naugatuck School District",4005864,2980031,4151930,215532,1380453,24887,0,1036367,2934,63627,13871454
="New Britain School District",13690644,7624364,5613507,1449625,10348895,23620,0,4367996,19201,20286,43176392
="New Canaan School District",3988653,4407544,2147967,1705640,2703170,42839,0,54550,68104,633,15120421
="New Fairfield School District",3685730,1262642,1345957,180161,599772,19417,0,481065,0,0,7595051
="New Hartford School District",854697,371303,481719,74681,223774,3829,0,152604,4212,400,2167814
="New Haven School District",23263647,3232541,7581842,2875157,16102588,6450,454630,6468709,11091,806942,60943286
="New London School District",4299482,1883522,1659084,1182641,3956187,39285,5086,1420218,4728,0,14457613
="New Milford School District",5662074,1927646,1513116,1358114,2076087,50478,0,993247,8632,1218,13594197
="Newington School District",4006503,576215,1150236,2532570,2872537,85636,93074,0,186585,1566,11544526
="Newtown School District",4691568,2414580,1622135,566695,2434003,84433,23493,1004477,8621,1872,12984377
="Norfolk School District",70839,22381,12680,217235,35522,316,0,31172,0,0,390145
="North Branford School District",2663755,834685,582213,245918,586443,46485,6388,545993,43891,809,5560439
="North Canaan School District",462054,123926,185264,46430,66296,6423,0,71375,1638,0,963406
="North Haven School District",3167769,844074,1007805,532851,2514482,32595,0,1080886,13490,14446,9217177
="North Stonington School District",939510,328101,512835,62535,6008,0,0,20788,12106,1975,1890942
="Norwalk School District",12945356,5039270,5334863,3516784,7623498,25806,0,2257364,44351,0,36844745
="Norwich School District",3794567,1674190,1319714,3185815,7890516,16358,22170,2511586,1747,80,20461047
="Old Saybrook School District",1871131,1084197,449933,223653,1126500,15610,0,378635,4324,0,5160121
="Orange School District",1691854,965253,722203,361459,239900,12999,0,222016,599,0,4223190
="Oxford School District",2218175,1036559,912817,364105,1053667,32848,0,544434,13147,0,6179984
="Plainfield School District",2471244,1652623,1319591,248929,1972443,11355,1329,576434,100,443,8275950
="Plainville School District",2521476,1378030,991463,107968,2168515,18538,0,365588,1995,920,7564247
="Plymouth School District",1825333,588755,857675,224619,1121050,10611,0,586007,8641,3569,5238430
="Pomfret School District",606554,268582,254464,96112,1326657,28534,0,259719,10400,2592,2861848
="Portland School District",1369595,550377,691146,303289,679617,9149,0,227751,2491,0,3833415
="Preston School District",753253,349982,285161,223317,1216658,6408,0,113029,0,0,2951114
="Putnam School District",1831603,686354,568669,254253,1306223,68487,607,116099,2196,2916,4839393
="Redding School District",2157211,1129742,708810,153558,141043,14989,0,165846,6946,753,4488746
="Regional School District 01",703917,273937,276596,102207,119158,10813,0,113349,2659,0,1602636
="Regional School District 04",1438619,380265,385204,224402,436294,12501,227,209343,6366,1119,3094340
="Regional School District 05",2570028,585972,649461,383352,2276574,12466,225,553352,9665,1562,7051326
="Regional School District 06",1346231,656334,405992,177090,304622,24455,0,208612,2230,0,3137567
="Regional School District 07",802385,278979,274664,1023797,870901,8348,0,262411,4385,696,3526566
="Regional School District 08",2081005,751167,817001,298941,1128623,6145,0,239562,0,0,5327299
="Regional School District 09",932642,348148,263936,263805,1515076,6573,0,425650,4138,1033,3771875
="Regional School District 10",3006874,1092683,1022478,477750,1661458,30654,30882,546448,5374,8263,7882864
="Regional School District 11",296477,142499,90592,183630,765295,2564,0,250039,4443,0,1735539
="Regional School District 12",1782235,756589,521748,391393,597613,35603,0,321827,13182,310,4420957
="Regional School District 13",2692179,1788541,1702209,337294,674138,38236,28761,377267,7409,0,7688220
="Regional School District 14",2776171,1274052,933521,348736,1750984,42713,0,566475,8520,452,7701624
="Regional School District 15",5578870,2102907,1944461,884931,1767352,6498,10295,1199068,16537,2023,13550198
="Regional School District 16",2181648,1149894,937701,711497,1103672,34567,0,996627,900,0,7200055
="Regional School District 17",2637182,913791,801587,198037,984913,6927,1833,886432,12186,4028,6468389
="Regional School District 18",2606901,1205734,792059,309930,596684,43196,0,336869,5817,4066,5920575
="Regional School District 19",1416208,250900,230896,1091058,916994,12676,266,401060,52902,545,4375123
="Ridgefield School District",5457710,2105757,2119277,1443952,3646305,57636,0,1257779,5794,30302,16139839
="Rocky Hill School District",2699388,1160327,1174178,170397,1129630,16581,91,475769,4163,723,6848237
="Salem School District",459774,217402,63091,186541,1111082,0,0,326055,0,0,2368066
="Salisbury School District",492618,125211,187603,64723,67402,7493,0,72116,1655,0,1018821
="Scotland School District",344876,164021,54833,19581,0,6766,0,0,0,0,590205
="Seymour School District",2360858,747312,821943,312909,1083919,22958,6810,564383,2849,0,5933468
="Sharon School District",286513,90956,119826,28791,0,3983,0,44259,1016,0,575344
="Shelton School District",5951126,1639361,1717633,215711,1634192,53185,11490,1142589,0,35,12380246
="Sherman School District",852434,406336,248540,38553,383515,7602,318,93396,0,286,2030980
="Simsbury School District",4752240,2646105,1561285,332617,2149426,18802,0,837949,0,0,12343827
="Somers School District",1662245,726002,550420,165843,1002171,17875,9449,375981,1843,431,4516241
="South Windsor School District",3833176,2554035,1648680,134142,4457981,22239,0,1283260,59414,3063,14013184
="Southington School District",6957448,3843799,4254195,1833983,4604688,90927,0,1885366,4428,7952,23482786
="Sprague School District",492671,304283,194911,179309,488098,9728,277,79268,59,4201,1768568
="Stafford School District",2369492,807097,839660,203487,1087607,40996,14334,576663,3386,185,5942907
="Stamford School District",21226376,6851982,8035917,3609663,11022016,262449,202714,4435003,253897,27388,55933462
="Sterling School District",517494,434547,258382,122776,776565,4840,10983,9119,9125,435,2179029
="Stonington School District",3066541,1573632,1114993,216272,2157279,6952,0,1028992,15884,735,9185421
="Stratford School District",8350054,1908817,3857665,2543327,5554944,18176,17717,2077017,17049,35217,24390375
="Suffield School District",2456997,1209349,947404,245673,1697244,37096,0,496886,2176,1924,7095520
="Thomaston School District",998566,390406,476417,136340,963009,22232,405,414043,2795,2626,3422011
="Thompson School District",1008908,529228,507066,31603,1469740,9021,0,141845,3088,669,3727642
="Tolland School District",1880571,1088574,730282,358810,2931589,18189,8507,640103,10378,303,7686831
="Torrington School District",5072040,2774032,2905216,344984,5221169,62704,0,996367,15268,245,17392025
="Trumbull School District",8336670,3188277,2492135,555082,3494181,46290,0,1871295,25003,2337,20018851
="Union School District",76395,14279,27202,61768,43813,4508,0,1408,458,0,229831
="Vernon School District",4207337,2007246,1329857,390584,2888514,60258,0,1426882,34892,3212,12355522
="Voluntown School District",425962,252618,87739,114812,535257,11839,14696,0,20265,1108,1473854
="Wallingford School District",9265250,2948475,1887073,1230927,4643076,131580,11477,2940043,14981,537,23073419
="Waterbury School District",20539067,11326878,16050931,3765545,5856362,241958,38061,5185928,0,0,63140817
="Waterford School District",3897768,1498546,2040115,743913,1837461,60818,0,918834,51673,26364,11089811
="Watertown School District",3150146,1234582,817210,332361,1025468,29969,1592,859638,4006,89,7455061
="West Hartford School District",13018793,3997843,6510703,140521,6090033,146518,48155,2730888,0,1174,32684628
="West Haven School District",8996641,3214465,3311518,426405,6989691,41762,0,1079066,0,7277,24066825
="Westbrook School District",1415140,385952,561987,313121,498573,17107,0,267543,9414,0,3469974
="Weston School District",3723443,1839811,1663501,1159413,1279746,30692,0,371194,12124,18703,10098825
="Westport School District",8412415,3461247,3689127,534934,2764437,139988,20636,1035145,27750,2067,20100795
="Wethersfield School District",2908590,2375638,1523182,236391,3714184,8719,0,1328061,9743,0,12105476
="Willington School District",925237,241240,260547,547606,67276,13028,11446,64326,1903,2570,2135491
="Wilton School District",5941068,3456075,2538402,1830659,2482078,92358,17902,539004,10457,0,16908944
="Winchester School District",1674306,839106,293177,306237,1648598,11138,0,738691,0,0,5523936
="Windham School District",3804089,1176450,1386480,141508,4024010,0,0,1039735,0,0,11587764
="Windsor Locks School District",2445125,1093329,490076,77268,1452742,42778,0,566974,0,1380,6169672
="Windsor School District",5088602,2606983,1775366,394003,4373070,42839,0,1427822,29061,1437,15739183
="Wolcott School District",2434679,695792,439006,1073630,826697,33270,0,551156,6080,7354,6072313
="Woodbridge School District",1105196,323195,423376,116422,268383,28433,0,107520,0,16314,2397535
="Woodstock School District",897780,799543,281219,170869,595904,16652,16602,64788,12960,4587,2862279

