"Total Expenditures Used for Special Education, 2013-14"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
="Stafford School District",2212457,803094,967355,195737,907423,40128,13606,586951,5936,185,5732872
="Stamford School District",22136504,7254939,8130332,4477289,12260569,401006,216601,4359004,340740,14757,59608920
="Sterling School District",491388,433634,253508,120576,1068566,2582,10503,2946,7792,198,2420476
="Stonington School District",3137880,1536048,1136162,285308,1994168,3270,0,932122,10714,40,9038698
="Stratford School District",8606516,1977941,3385971,2914609,5309579,17969,18233,2063582,19807,367,24323981
="Suffield School District",2482480,1322592,885171,346697,1561559,66803,396,531072,5901,986,7205152
="Thomaston School District",1308049,427756,513278,70470,1009301,27255,202,442390,6513,2684,3820775
="Thompson School District",1087466,516725,397499,113846,1497481,5895,0,162267,9958,9654,3807564
="Tolland School District",2213058,1201760,888567,315974,2919553,19506,0,719052,17533,557,8318330
="Torrington School District",5027135,3144772,3206956,322935,5815215,25406,394093,1301095,612,12,19238442
="Trumbull School District",8495855,3427358,2595747,347438,3105576,54157,0,2077830,13883,2909,20128966
="Union School District",78170,7557,22620,61483,96086,4371,0,12574,0,0,282861
="Vernon School District",4582969,2178552,1601646,191298,2650538,30564,50988,1403902,5200,3483,12731115
="Voluntown School District",489561,270063,104510,90594,568082,10040,10614,5905,3577,1390,1564180
="Wallingford School District",9147058,3219909,1942868,1256273,4974629,131458,21195,2972749,27170,873,23696263
="Waterbury School District",20437722,11274223,16390374,4019615,6016327,156728,22401,4933266,0,0,63319707
="Waterford School District",4044529,1547363,1936162,829871,2162073,64449,0,762171,17451,46524,11440517
="Watertown School District",3717848,1327191,1583871,539354,739590,59787,6991,1041820,2791,499,9020100
="West Hartford School District",13607918,4435009,7512497,328636,5727557,128554,37049,2791271,0,2905,34571396
="West Haven School District",8369939,3425710,3500218,481619,7579307,43879,0,1421702,0,1800,24824174
="Westbrook School District",1467036,402362,484883,434144,692155,22846,0,326728,11970,0,3843543
="Weston School District",3691562,1866894,1743633,988182,1913969,32291,0,354915,5692,17874,10615271
="Westport School District",8698502,3742369,3727996,578047,2775425,153465,17051,1113697,71314,2113,20895950
="Wethersfield School District",2841481,2302602,986052,222638,4131558,46182,0,1679478,4143,0,12214739
="Willington School District",925462,242131,273346,556152,123044,10073,7961,97248,2274,755,2238855
="Wilton School District",6341423,3630805,2330681,2922058,3616982,82987,18166,559589,7999,2127,19513167
="Windham School District",3532544,2007489,1578836,413713,3371530,7687,803,981009,0,0,11904683
="Windsor Locks School District",2601071,1134182,517333,89116,1268633,81655,0,581193,0,1450,6274633
="Windsor School District",5114642,3122950,2136628,380078,4648888,50104,0,1425433,7489,0,16886212
="Wolcott School District",2440085,729177,443376,1208857,768903,29726,0,516600,5413,7241,6152683
="Woodbridge School District",1097201,325160,370748,121264,215148,7715,0,144206,3424,16209,2310056
="Woodstock School District",901211,797853,298640,150339,990989,10758,20419,119785,23495,351,3314316

