"Total Expenditures Used for Special Education, 2007-08"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
="Meriden School District",9427717,3613201,3358079,1566153,7479728,73950,2793,1838286,2449,1245,27423301
="Middletown School District",4968001,2529557,1392380,493371,4076066,53569,0,1861852,27310,0,15402661
="Milford School District",8852661,4119175,3530702,579545,2385938,104688,4561,1117873,80216,27554,20812656
="Monroe School District",3808433,1197844,984680,288008,809484,44631,0,644315,4048,17076,7818429
="Montville School District",3578119,1187118,1108107,228345,655782,142311,33262,6765,38264,3172,7002971
="Naugatuck School District",5247785,1676643,2147983,88908,1275933,47925,0,1038198,12585,3546,11588241
="New Britain School District",14037231,6115442,4144216,514123,7693081,170950,0,3230505,78468,20026,36192626
="New Canaan School District",5032540,3250762,1922636,1349494,1912210,73275,1098,82144,42952,0,13706837
="New Fairfield School District",3521261,719204,1163866,127204,562527,31291,14145,336101,1709,5512,6489892
="New Hartford School District",757664,293850,224965,9026,171320,11788,0,67402,3121,945,1542631
="New Haven School District",21500380,3867864,8153943,2351772,12976600,8209,498550,4989933,52858,600301,55145583
="New London School District",4597822,1488920,1526295,1823124,2049679,50172,9205,1013683,5759,0,12571378
="New Milford School District",4921233,1802802,1977759,888227,1810989,56083,11781,957608,22180,13562,12462224
="Newington School District",3221663,238927,733952,2543991,1704418,302504,28460,0,158395,2635,8967783
="Newtown School District",4383046,2038457,1478389,275536,1706136,105804,1987,1146393,20336,0,11240163
="Norfolk School District",48922,13945,7762,237986,73398,795,0,36610,0,350,419768
="North Branford School District",2165237,650933,438600,367687,756033,46756,4624,547989,6899,1215,4990504
="North Canaan School District",443824,85278,157517,49562,0,5627,0,65591,229,0,807628
="North Haven School District",3212804,575749,955103,280082,2109580,34551,54560,1177535,0,8314,8413707
="North Stonington School District",995876,397083,554575,96174,30337,13061,0,91039,6680,6551,2193363
="Norwalk School District",13143263,4012022,4233842,1592479,4762289,40237,7179,2122623,17066,50,29938909
="Norwich School District",3140097,1093574,1259919,3921443,7793190,41293,29103,2026513,11695,97780,19535392
="Old Saybrook School District",1557572,742587,346496,166193,578371,17890,257,251366,129,435,3663611
="Orange School District",1543567,889442,663244,319930,349077,23760,5465,187973,6574,0,4001180
="Oxford School District",1580237,1046362,781565,479908,1023834,38656,1800,412656,28407,21752,5415177
="Plainfield School District",2433472,1690885,1099873,1072210,1713057,21785,875,580307,3798,629,8643922
="Plainville School District",2398116,1115191,625060,120643,2106209,54481,7036,295680,3398,1095,6727190
="Plymouth School District",1476706,535094,741811,269611,1383122,9893,0,854904,14754,3263,5308448
="Pomfret School District",559554,219124,200990,150270,907601,13767,0,173209,16315,0,2248171
="Portland School District",1263758,392542,568538,158033,469434,42384,0,213501,54669,0,3162859
="Preston School District",798884,469453,227053,85635,1208671,12602,0,29172,13852,30,2845352
="Putnam School District",1448387,678979,630567,89218,777939,23850,2994,54296,0,429,3715218
="Redding School District",1768332,683369,535001,248300,424816,18561,0,205297,18058,762,3907953
="Regional School District 01",626192,137429,226456,80696,872857,4031,0,97804,349,0,2045814
="Regional School District 04",1182468,383859,281871,135530,546887,17250,216,235738,1179,1056,2786054
="Regional School District 05",2209676,527824,646947,132802,1241356,9771,245,429071,5707,1607,5215393
="Regional School District 06",1079467,507843,423118,191658,210369,28625,0,187107,2019,415,2630737
="Regional School District 07",752645,258827,220350,1088371,434416,10340,0,200292,0,723,2965964
="Regional School District 08",1720633,676203,459552,184140,1242472,11839,0,228093,27761,0,4562538
="Regional School District 09",897300,369676,216424,282314,1508318,7781,0,236928,10652,898,3531234
="Regional School District 10",2402564,888783,674996,322333,1196279,47243,3895,433468,10998,1314,5981873
="Regional School District 11",373969,127980,107496,97952,502181,2226,0,152355,0,140,1364299
="Regional School District 12",1483028,713359,390947,262697,426918,25117,0,244512,13895,185,3561410
="Regional School District 13",1900631,973217,783273,372152,826218,51309,0,520660,25409,0,5452869
="Regional School District 14",2374153,1069935,765610,765706,1448830,55892,0,372007,16592,901,6869626
="Regional School District 15",5138236,1846214,1395324,543058,953463,227766,29532,1103578,4523,300,11269568
="Regional School District 16",1958393,964429,695789,572606,712951,35034,758,631822,6061,79,5588756
="Regional School District 17",2343130,773144,580031,113276,676051,26632,8726,248282,15924,9405,4808874
="Regional School District 18",2317486,992203,766151,344835,1132311,41750,0,352235,33218,5866,6010978
="Regional School District 19",1192981,304902,222034,881398,660608,24363,714,242763,17076,374,3550199
="Ridgefield School District",4619464,1883477,1848581,517265,2851833,52430,0,708979,13017,12246,12511648
="Rocky Hill School District",2153623,1029535,714500,139946,1183552,12487,157,356250,11393,250,5613878
="Salem School District",402139,142266,93282,294540,515113,2584,6604,187168,0,0,1654280
="Salisbury School District",367685,72105,125630,59927,26500,5063,0,54394,194,0,711498
="Scotland School District",283479,127723,42416,46376,0,2590,0,14400,869,0,518448
="Seymour School District",1919764,622990,552542,258568,562321,19483,0,398546,295,0,4334509
="Sharon School District",257844,61164,93899,36373,60552,1660,0,40272,144,0,551908
="Shelton School District",6019823,1676034,1739206,492811,1143250,63196,5763,743889,23747,426,11912763
="Sherman School District",621170,285628,185412,156249,369926,17162,1702,128109,11009,1387,1777754
="Simsbury School District",4844194,2308283,1234832,175141,1689711,22720,0,697263,778,4723,10982820
="Somers School District",1417136,597227,400391,163635,774182,9913,31781,426699,9685,383,3831076
="South Windsor School District",3508563,1998849,1232534,285078,2323006,47168,59751,1086646,102026,1956,10683475
="Southington School District",6040378,2998306,3056346,1722267,3449430,112750,0,1598096,16106,5725,18999404
="Sprague School District",366908,177431,147836,191947,1027174,9294,923,102572,591,355,2044837
="Stafford School District",2040847,635303,664930,90638,1414714,20910,24182,460039,161,7070,5358794
="Stamford School District",20070925,5139722,5854058,2373064,8068720,124612,291092,3964554,44828,22369,45954944
="Sterling School District",543797,432518,264652,152761,771209,10669,5563,0,4917,327,2203002
="Stonington School District",2397259,1329553,817732,462996,1134848,23237,0,571764,35677,1003,6776208
="Stratford School District",7341172,1644382,2154771,1543703,4667329,44837,22164,1135897,25989,691,18653353
="Suffield School District",1959614,911102,618243,216866,1300212,42498,0,182579,5702,2508,5240568
="Thomaston School District",1037358,333883,471448,158346,558255,31672,794,290765,3250,2776,2894880
="Thompson School District",794343,467514,324381,81846,1043097,7957,0,29700,2708,1111,2754204
="Tolland School District",1677106,930985,590530,1552,1597621,10507,0,461327,24993,1288,5317255
="Torrington School District",4411839,2519028,2092386,419977,4899298,42523,0,1486088,16885,8439,15896463
="Trumbull School District",6980854,2331530,1741416,700650,2025409,59390,0,1203454,35655,689,15079047
="Union School District",36086,14186,16817,42763,59784,5176,0,0,0,0,174812
="Vernon School District",3993282,1325657,976158,496421,3048724,29413,10000,1261119,58530,423,11214418
="Voluntown School District",358850,308889,121144,70168,589799,12014,6103,14040,2776,329,1487157
="Wallingford School District",7907310,2837431,1277686,1045319,4064543,263194,80800,1936294,50870,921,19464368
="Waterbury School District",17363360,8983574,12054253,3346466,6341616,257474,62975,4373060,0,0,52860116
="Waterford School District",3151641,1370270,1190084,591217,1961138,65048,0,809117,42050,36967,9221816
="Watertown School District",2654096,1095905,390109,514730,902624,22749,5005,510023,27400,17040,6148468
="West Hartford School District",11391557,3186693,4883543,222917,3379976,182258,27741,1815856,0,949,25091955
="West Haven School District",6958067,2760092,2385856,449000,5701658,183917,15500,716546,118823,1455,19290914
="Westbrook School District",939482,292155,326029,107800,200143,10140,2264,97784,1185,60,1977042
="Weston School District",3052169,1274125,915535,930074,1450435,35986,0,456383,21047,10064,8146281
="Westport School District",7223471,2903435,2123995,565315,2394714,129395,20909,928034,24484,1489,16315241
="Wethersfield School District",3206924,1761114,1045207,308795,2026342,36252,0,940968,12005,871,9339681
="Willington School District",783730,144669,204251,286071,101644,12142,8281,40700,3105,677,1585834
="Wilton School District",5043480,2762236,1863731,951464,1976506,44786,0,407821,27215,915,13078893
="Winchester School District",1495091,1078411,502001,195116,1937156,37399,5834,354150,1425,354150,5960733
="Windham School District",5780077,2197572,2062137,748582,2148012,83122,271887,693008,27183,0,14023801
="Windsor Locks School District",2188658,1185774,467359,225412,954273,45116,0,399744,0,1905,5468241
="Windsor School District",4746539,1722742,1491642,216609,3145114,32091,0,741975,12394,0,12109106
="Wolcott School District",2259546,747913,553235,959137,732770,68316,0,486614,10387,7658,5844360
="Woodbridge School District",991202,329912,360830,130734,501727,9131,5166,144668,1656,17655,2502331
="Woodstock School District",773444,670072,267727,119362,696917,8975,9879,47737,6023,298,2601177

