"Total Expenditures Used for Special Education, 2016-17"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
="East Hampton School District",2968753,1335594,1049413,764298,989922,22752,0,505353,4243,2134,7642677
="East Hartford School District",9827420,5156781,2030356,224009,4052768,140739,1069,2270236,43924,448,23795502
="East Haven School District",3171068,1342434,2067895,261108,4208391,1615,54923,1389774,0,341541,12851997
="East Lyme School District",3798272,2583820,1266377,597347,693485,27114,13083,697572,0,0,9677070
="East Windsor School District",2698637,1238976,519658,184550,1384970,20493,0,471495,20917,9209,6548905
="Eastford School District",187892,172251,56631,144637,123376,4013,0,52320,0,200,746202
="Easton School District",1433776,653322,593353,395179,156669,12538,0,211009,11073,0,3470990
="Ellington School District",3357638,1545471,1279442,468586,1077152,32949,0,456468,9820,2863,8230389
="Enfield School District",6596401,2770564,2560624,536726,3610842,30604,0,2213684,4152,0,18333635
="Essex School District",819489,490295,419196,92894,333973,9210,160,189718,1995,0,2356930
="Fairfield School District",17516386,5183091,7438284,5017261,7196312,113571,96716,2758585,96971,3541,45451576
="Farmington School District",7960398,379298,1498956,710946,2024099,57976,0,1202725,26603,2352,13868797
="Franklin School District",270977,76970,50566,51956,181889,6525,0,62746,0,0,701629
="Glastonbury School District",8167343,3465627,1549550,934869,3646800,81011,180602,0,2991,1655,18156652
="Granby School District",2335533,894050,686561,79085,1031719,46035,0,381012,0,12580,5466649
="Greenwich School District",18753987,6321720,6044202,1616585,4973388,175372,314045,2078752,96323,99593,40493583
="Griswold School District",2801690,1703093,891616,134324,1279167,3164,15708,637497,8142,4207,7491361
="Groton School District",7869282,3501772,1999499,1346953,4066450,149129,2379,1930809,342,3780,20882702
="Guilford School District",4864168,2149200,2614363,1056124,3829786,81639,0,1364221,6554,0,15966055
="Hamden School District",10980032,2754436,6867234,635143,10686516,63238,378,2733347,0,0,34720324
="Hampton School District",107517,130940,27235,80475,0,1673,0,0,0,0,347840
="Hartford School District",24711679,13986073,10732166,1215760,56599520,64526,7118,13437992,26074,60869,120864053
="Hartland School District",14158,0,0,414478,324138,2636,0,58154,0,0,813564
="Hebron School District",750673,655839,693918,323668,72247,24276,0,89326,41359,0,2651306
="Kent School District",475541,277094,240505,39808,0,3701,0,72160,4073,0,1112882
="Killingly School District",3119886,1696932,1470814,108431,6380579,20995,35680,1210421,12773,294,14057867
="Lebanon School District",1508314,881654,628504,299470,1316610,15940,0,641878,30829,7270,5362134
="Ledyard School District",4000831,1025075,1401929,686902,2416553,57805,634,1082893,21791,0,10694413
="Lisbon School District",824222,142248,195969,197106,1350154,5133,0,342095,5061,250,3063947
="Litchfield School District",1294327,468548,444016,153942,960194,5717,0,240816,5584,304,3574515
="Madison School District",4084423,2374002,1760652,685523,1760863,5021,0,1351950,7591,0,12098310
="Manchester School District",10057894,4873036,6331943,813662,4787762,170390,6233,2099934,53342,6226,29225540
="Mansfield School District",1646940,781196,853060,295681,370502,13109,955,179010,7982,0,4171196
="Marlborough School District",577068,275260,166419,113277,42171,7232,11999,81906,1874,3570,1281485
="Meriden School District",10547402,4445413,3552141,281770,7336216,96100,71709,3118461,0,475,29457061
="Middletown School District",6206140,3395989,2480000,1488929,5806850,32824,34500,2684162,14872,0,22165572
="Milford School District",10192039,4684718,5172883,465857,5155102,74592,3566,2122574,27960,44967,27956921
="Monroe School District",4612912,1518112,1423387,1259440,1965394,4605,11093,1151477,4465,1702,11962776
="Montville School District",3890042,1812322,1098040,357715,1393065,93461,1246,208809,9889,1034,8865994
="Naugatuck School District",6439376,2020691,2869729,306799,1552149,86126,0,537996,0,200,13814343
="New Britain School District",13740472,7505927,4205694,1384082,11273065,33383,0,4857978,0,328185,43439863
="New Canaan School District",6773727,3280782,2008321,1507056,3759331,42423,0,1947169,19848,68773,19417289
="New Fairfield School District",3618476,1456605,1333182,269646,861985,97318,830,629475,46643,24186,8346795
="New Hartford School District",730189,440001,435514,128813,225404,3864,0,125123,503,12097,2101931
="New Haven School District",24869290,3357911,11931089,3668783,19560359,71095,443318,7928329,121162,508219,72675183
="New London School District",4419596,2523902,1829724,2427009,3880652,52999,1766,1673908,44958,0,16895820
="New Milford School District",5714255,2082358,1816503,2375794,2016152,105950,14000,753036,21437,79,14899664
="Newington School District",4550974,650169,1223990,2978473,2664045,37244,149374,0,8466,900,12282979
="Newtown School District",5610219,3016651,2127157,481787,4079313,115218,27422,1570798,54762,1465,17113985
="Norfolk School District",63532,25873,5985,253728,0,1240,0,10100,0,0,360458
="North Branford School District",2679001,971704,698207,366521,1096178,42877,3547,479189,12592,836,6353097
="North Canaan School District",515110,244054,261234,44596,0,3628,0,78150,4411,0,1151183
="North Haven School District",3704922,976184,1270221,584613,3620864,8969,0,1634656,6041,35960,12079892
="North Stonington School District",1097565,356971,452930,59589,0,2629,0,19434,2688,4424,1997966
="Norwalk School District",16295095,5365396,5386041,6988126,10668433,23861,0,4381112,37381,0,49233723
="Norwich School District",5104867,2219404,1933511,2299262,12971771,127890,56495,3112625,23359,814,27908504
="Old Saybrook School District",2142696,1272066,503217,178761,1125977,25016,0,444669,11163,1176,5719346
="Orange School District",1674950,729133,658019,356409,667681,53298,0,364451,44105,12575,4561487
="Oxford School District",2848989,1296970,1104834,269604,1608942,26093,0,871046,6881,550,8036319
="Plainfield School District",2494739,2094497,924739,352796,2137268,11107,4478,1073696,0,285,9125217
="Plainville School District",3163745,2140692,1093431,62571,1845551,22316,375,758654,3642,1000,9099185
="Plymouth School District",2359557,732807,828605,324552,1826869,25406,0,638024,494,3853,6763479
="Pomfret School District",672415,343767,221920,113671,1099776,42890,0,287783,3444,3674,2789933
="Portland School District",1488005,566166,722120,191331,806875,28190,0,406122,17765,0,4226574
="Preston School District",789322,508217,337441,119598,1379945,2706,0,107999,3500,0,3273101
="Putnam School District",1725315,670000,508276,252310,1582848,29994,0,31907,1504,2354,4804508
="Redding School District",2363196,946206,812636,525007,197891,15959,0,202276,13224,259,5081777
="Regional School District 01",831361,317991,405992,68948,841988,5856,0,126129,7120,0,2605385
="Regional School District 04",1749650,606674,589787,197036,1036285,17472,254,213422,0,2068,4412648
="Regional School District 05",2866129,727102,912850,332174,3109609,11224,0,889738,885,1372,8866722
="Regional School District 06",1745335,665763,509097,553763,448712,34361,912,191620,1023,0,4150586
="Regional School District 07",974132,170550,284166,1590839,1252172,4092,1828,357491,3951,0,4639221
="Regional School District 08",1795162,866634,549062,697802,1808523,20586,5333,718007,1134,90,6462333
="Regional School District 09",1214141,568989,429427,324642,2742087,6637,0,534559,22392,775,5845469
="Regional School District 10",3268047,1164743,931883,389494,1723871,30815,14764,522424,4000,1141,8051182
="Regional School District 11",324184,177205,110004,151867,534285,1558,0,232766,0,0,1531869
="Regional School District 12",1557142,715409,435803,519560,300336,38973,0,351744,10087,385,3930373
="Regional School District 13",2647886,1701167,1400429,297506,982653,75535,35572,539535,27447,15018,7722748
="Regional School District 14",3204977,1094067,885461,476835,1170649,38792,0,558454,1897,535,7431667
="Regional School District 15",5966822,2770198,2285667,1176084,3086517,19271,127354,1517026,17729,1674,17007362
="Regional School District 16",2184533,1462038,1103743,784325,1163338,53333,0,1070660,2323,0,7840993
="Regional School District 17",2763136,1250094,1071561,399657,1806395,27039,4454,892394,279,688,8224141
="Regional School District 18",2724355,1449038,805361,251455,757011,46903,0,339909,6238,3868,6397808
="Regional School District 19",1626638,267670,390244,1077654,1464225,16033,1814,582047,4830,478,5433350
="Ridgefield School District",6510215,2676930,2574306,1921548,3933851,40344,0,1212475,41419,12093,18960314
="Rocky Hill School District",3430522,1078070,846652,410036,1524359,49301,976,560533,906,0,7914908
="Salem School District",566981,315880,108125,289214,1548292,0,0,299521,0,0,3139305
="Salisbury School District",578447,210466,269162,74523,0,3935,0,83480,4712,0,1224725
="Scotland School District",245211,125966,52887,36250,0,4108,4649,0,500,0,470571
="Seymour School District",2966842,962493,906177,416437,1675848,52967,2225,767737,9385,0,7760111
="Sharon School District",342031,143675,169637,26944,0,2289,0,49292,2782,0,736650
="Shelton School District",7900746,2226285,1913734,268611,2199155,43025,16593,1254181,21159,525,15861348
="Sherman School District",799937,436257,224884,123742,329554,20351,1440,41300,0,1302,1978767
="Simsbury School District",5882283,3516112,1834359,606110,2433189,72388,0,1515078,54568,276677,16190764
="Somers School District",1842565,834062,615041,207049,938176,23814,0,434240,0,265,4896323
="South Windsor School District",4174109,2825565,2021637,198552,4312421,21671,52847,1608629,25807,6750,15267068
="Southington School District",7790219,6147781,5098296,975043,4903713,104280,0,1950122,12049,13843,26995346
="Sprague School District",347930,306493,188070,306447,540165,3347,0,73226,4183,1151,1781367
="Stafford School District",2069107,983221,839820,227327,1210290,35249,0,658724,998,200,6024936
="Stamford School District",24085019,8770778,9398654,5009635,16624232,279903,228155,5310974,78369,35577,69826575
="Sterling School District",535006,429256,342940,109814,1283435,6572,7663,27280,475,599,2770663
="Stonington School District",3730960,1832627,1568320,148120,2474153,5362,1821,799345,44210,0,10631809
="Stratford School District",10203829,2374751,4776159,3213672,6590904,26082,20883,2161840,10950,200,29444760
="Suffield School District",2646134,1426328,894199,705408,2072688,3828,0,491956,0,11432,8252384
="Thomaston School District",1098025,467490,397713,473406,798581,29101,0,565030,1696,2263,3841988
="Thompson School District",975571,508084,438071,198243,1444830,11876,0,222875,16240,17748,3844128
="Tolland School District",2084084,1350711,1034615,389026,3513049,11604,0,898252,11438,200,9311877
="Torrington School District",5684717,3177606,3135138,515666,7495128,23199,53448,1664748,23485,8909,21804104
="Trumbull School District",9712142,3956452,2933935,757058,3322759,71859,0,1959367,10322,136991,22868924
="Union School District",120895,51109,39222,114966,45592,3663,0,3174,0,0,378621
="Vernon School District",5130188,2565767,1895976,244280,2610751,45176,24000,1706740,39096,0,14295024
="Voluntown School District",406919,283633,132069,140195,843136,8568,7745,33364,2849,893,1864836
="Wallingford School District",9143115,3584111,2098371,1906835,5783245,152815,10366,3030458,17694,628,25727638
="Waterbury School District",20598011,12923289,17041989,3633475,7666189,506618,1920,6081378,2750,0,68627402
="Waterford School District",4495348,1741002,1749224,455419,2204888,80612,0,543005,54258,1492,11342283
="Watertown School District",3710000,1457315,1511622,914302,1773173,45138,16383,1067467,2931,65,10499466
="West Hartford School District",15738629,5260909,8879423,544666,7305270,180019,55981,3783158,0,122953,41871008
="West Haven School District",9237384,3261088,3647129,806916,9924915,108261,0,1601462,17429,2100,28631593
="Westbrook School District",1684402,532555,925776,448125,546115,23739,0,231380,7873,0,4399965
="Weston School District",4075206,2242327,1748061,1190560,2557771,40296,926,366484,3909,7609,12233149
="Westport School District",9440592,4516317,2883164,783227,3235185,152031,9080,1449759,55821,2330,22545768
="Wethersfield School District",3529891,2220719,1224162,386074,5567863,30783,0,2008474,16559,520,14993893
="Willington School District",900057,283069,214880,520383,284185,27734,21338,214928,3500,453,2470940
="Wilton School District",7036343,3711838,4019333,2178872,4726419,89610,14613,1072349,6065,315,22856116
="Winchester School District",1580318,782139,705337,332072,3087657,32245,0,755378,8308,0,7283454
="Windham School District",3901643,2490530,1406766,1121145,3998698,7778,803,1125166,0,191,14078483
="Windsor Locks School District",3235680,1197320,613970,294640,734089,120394,0,334186,0,3262,6533541
="Windsor School District",5476361,3323283,0,328558,5023547,41518,0,1833844,37015,0,16064194
="Wolcott School District",2379255,879427,445200,1092870,1068895,36233,0,581580,4554,13603,6502936
="Woodbridge School District",1141194,413305,432398,182912,663550,9980,0,287621,2020,4807,3147078
="Woodstock School District",774903,987035,323868,250607,1584546,11322,8935,127580,0,0,4069453

