"Total Expenditures Used for Special Education, 2010-11"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
="Marlborough School District",561063,180506,142919,81033,0,7345,15366,53223,529,389,1049047
="Meriden School District",10593796,3569201,3280660,998310,10366883,39451,4723,2469521,28946,857,31369593
="Middletown School District",5512343,2225568,1636161,1254807,4362671,143901,0,1875061,22241,285,17033538
="Milford School District",10152788,4632443,4377148,411760,3132682,128666,4280,1356031,34527,41938,24286023
="Monroe School District",4386747,1365873,1263645,793660,1057701,25360,16146,655701,2892,15328,9634621
="Montville School District",3889410,1315661,1186439,386436,778047,96285,26128,39239,23245,234,7742830
="Naugatuck School District",5477815,1866295,3739831,55128,1461759,65169,17543,1014847,3971,51199,13846592
="New Britain School District",11870306,6946141,4008195,543099,11333240,181589,0,3722075,66515,15105,38705323
="New Canaan School District",6472450,3552790,2175102,1451617,2285765,47805,10960,98361,37524,0,16133833
="New Fairfield School District",3431565,1264867,1358295,180879,495428,53217,0,498770,50447,1160,7340371
="New Hartford School District",805646,366635,459625,180191,95795,7934,0,94988,1309,611,2013221
="New Haven School District",23159595,3352751,9331897,4125615,15414526,29258,444264,5780117,64537,884980,63217826
="New London School District",4615764,1565969,1475635,1771308,3071156,98346,7495,1373182,11668,0,13996851
="New Milford School District",5803980,1902952,1876573,1442237,1857505,57260,0,927359,284336,2067,14596212
="Newington School District",3681822,304059,845978,2629246,2572065,91291,55825,0,352740,2385,10586688
="Newtown School District",4650324,2382638,1703078,600922,2070532,124356,553,1352803,84435,200,13058823
="Norfolk School District",61869,12769,10559,226575,16481,565,0,12716,0,0,341534
="North Branford School District",2635330,766030,596023,286327,737242,45336,16274,477803,30658,705,5619442
="North Canaan School District",465491,103457,186052,40365,69873,6576,0,70711,991,51188,994704
="North Haven School District",3511927,561483,1066438,804397,2282779,53019,8000,1008332,16000,8105,9340672
="North Stonington School District",1071738,357709,645253,50356,64135,23841,0,17551,30711,6965,2289931
="Norwalk School District",12826750,4422598,4639572,2665544,6625377,5268,33586,2119883,0,0,33458814
="Norwich School District",3034532,1479534,1739658,3211067,7610030,20956,23762,2100422,6018,245,19260612
="Old Saybrook School District",1719765,921148,365086,309635,972316,18828,0,371080,450,4067,4689396
="Orange School District",1702426,961467,734511,396927,562593,47649,0,281838,6074,6728,4714908
="Oxford School District",2093085,1197885,967587,517898,947139,35454,0,539667,8067,946,6307728
="Plainfield School District",2656609,1467813,962970,599844,2216171,36083,1339,678154,0,370,8647467
="Plainville School District",2551839,1296851,694471,101838,2368355,14925,8488,296438,538,1454,7343098
="Plymouth School District",1726349,403740,809645,223606,1084385,31583,0,543660,1175,2613,4832657
="Pomfret School District",570053,238686,178963,151364,1204526,13626,0,260868,10055,2666,2640340
="Portland School District",1486429,530377,744864,263901,464337,25810,0,207831,0,0,3723549
="Preston School District",675073,410810,290433,207259,1504237,17181,0,153696,7766,0,3271957
="Putnam School District",1684788,748293,566907,324673,652427,34100,4200,20842,2000,886,4046583
="Redding School District",2074277,924967,643271,190778,74222,20025,0,306638,2053,1124,4245321
="Regional School District 01",661021,159135,270103,62088,819025,10115,0,108766,1524,0,2091777
="Regional School District 04",1347755,372873,396746,128518,673671,8845,222,130479,1257,972,3061338
="Regional School District 05",2524451,537906,648214,258723,2043392,6851,760,378656,3690,13115,6453944
="Regional School District 06",1257534,606334,344577,166130,298194,20235,0,175521,6911,413,2883417
="Regional School District 07",846547,313707,323043,1038194,907785,9211,0,253685,0,744,3692916
="Regional School District 08",1980656,694055,711597,196137,1390188,8011,345,372347,3684,0,5368268
="Regional School District 09",853337,395896,250104,317426,1613337,7558,0,166661,41068,809,3648518
="Regional School District 10",2797631,909252,925280,555963,1158944,36166,29505,450491,0,11640,6874872
="Regional School District 11",312141,104887,96874,130096,631609,3007,0,184410,4120,291,1467435
="Regional School District 12",1847195,742516,540990,328445,539843,26332,0,420184,79305,185,4525293
="Regional School District 13",2591360,1593112,1353558,317985,770838,32510,18120,366241,83167,0,7130856
="Regional School District 14",2748461,941848,750484,415862,1975745,42736,1934,583720,1532,634,7462956
="Regional School District 15",5322639,2161945,2061771,1261567,1335000,11355,11016,1133787,16040,1240,13360574
="Regional School District 16",2201586,1116066,939310,663850,984725,63464,0,863999,40318,0,6940899
="Regional School District 17",2417029,920405,857015,330109,849756,36069,4507,626793,10647,7218,6066172
="Regional School District 18",2475543,1164453,723114,264128,1041991,64752,0,363723,42389,4453,6163686
="Regional School District 19",1348537,202209,231965,828396,1403960,22040,977,349914,9716,0,4400136
="Ridgefield School District",5558143,2197272,2507546,1147382,3249619,41177,0,954487,7779,8713,15685863
="Rocky Hill School District",2467729,1066161,1181945,173086,841967,9151,1875,367781,4754,598,6122281
="Salem School District",494674,123265,138226,377457,660849,887,0,230629,2477,0,2044600
="Salisbury School District",431247,98102,166891,55396,11960,7367,0,67051,940,0,838954
="Scotland School District",319919,207852,68622,31325,0,8140,3974,0,3644,0,644861
="Seymour School District",2253478,651557,765174,355169,676450,36488,8654,420907,863,0,5170691
="Sharon School District",268902,78269,114650,25257,0,4115,0,44246,620,0,536059
="Shelton School District",6274967,1732606,2173291,175288,1707876,72096,2882,1055777,29996,0,13241925
="Sherman School District",850576,471496,232155,103665,293534,33858,119,79375,0,179,2064957
="Simsbury School District",5179882,2709909,1636018,331416,1933399,30382,0,773441,23857,8846,12705489
="Somers School District",1613051,705372,579350,177113,1003828,10292,0,463478,16456,488,4569915
="South Windsor School District",3750150,2294136,1795414,180914,3504640,109496,46908,1441361,-21061,48647,13177907
="Southington School District",6849491,3546249,4206436,1617459,4049524,111271,0,1687204,27662,5787,22101083
="Sprague School District",421225,221663,220879,179103,443672,5575,5071,30369,1975,2566,1543499
="Stafford School District",2172148,724138,747365,229267,1356596,52049,17404,470677,0,185,5769829
="Stamford School District",20525296,6509129,7112867,3018413,10268537,273332,239617,4519628,94046,25443,52595237
="Sterling School District",588842,455304,283262,133917,628418,10494,7341,14384,2852,184,2143105
="Stonington School District",2799061,1560050,1167399,184839,1780984,26124,0,754010,31279,745,8308317
="Stratford School District",8102819,1825690,3642149,2781918,5058657,35849,11578,1842048,99273,364,23563788
="Suffield School District",2191525,1062219,735891,328345,1790577,88796,0,134789,10331,1677,6345586
="Thomaston School District",1124071,343705,456934,145158,879000,14350,794,400064,27490,3021,3400375
="Thompson School District",888315,517008,457180,51813,1332558,16431,0,44155,5863,705,3320142
="Tolland School District",2208032,1099158,867872,340774,2336204,22668,4883,486995,21359,3885,7415753
="Torrington School District",4918829,2352977,2721518,495508,5878192,20963,0,1363155,2116,2506,17755764
="Trumbull School District",8045727,3101696,2198088,532859,2770640,48136,0,1527359,29538,2145,18264200
="Union School District",54517,13902,19763,71129,74379,1041,0,0,3801,0,238532
="Vernon School District",4307188,1514718,1303328,542781,2709313,51105,0,1331382,26839,615,11805317
="Voluntown School District",431121,257230,100360,72131,638260,14997,17343,14973,877,780,1553951
="Wallingford School District",8356623,2598351,1612758,1473955,5170505,89917,4186,2541511,30836,0,21878642
="Waterbury School District",20495354,10641240,17239599,4170238,6134032,270301,51026,5100747,249984,1478,65458322
="Waterford School District",3564143,1547043,1601583,570742,2202788,104360,0,1030114,43505,31230,10736386
="Watertown School District",3263536,1161872,1310321,445299,1274862,36839,0,901027,4611,0,8398411
="West Hartford School District",12719785,3637088,5900017,332633,4909784,187786,68499,2514890,0,74854,30345336
="West Haven School District",7209218,3312020,2755317,549723,6068704,46402,0,1035724,0,5703,20982811
="Westbrook School District",945992,272442,368678,222963,258746,37422,0,123566,13949,0,2244742
="Weston School District",3466341,1598033,1698947,1130477,1567725,37658,0,545369,6912,7048,10059010
="Westport School District",8159885,3440005,2700943,631813,3266366,202988,19219,1003481,78060,1221,19519719
="Wethersfield School District",2734300,2364229,1563511,307862,3254816,30335,0,1044166,19667,0,11362439
="Willington School District",935759,175310,256223,520701,301278,9312,8090,87619,250,7823,2302786
="Wilton School District",5595466,3357804,2076451,1916388,2200688,62980,11053,478786,30886,147,15734455
="Winchester School District",847683,832522,385036,4120,3300946,95,0,442475,0,0,5816761
="Windham School District",4127205,1534773,1697604,525733,3860016,24005,1955,958196,4423,0,12751572
="Windsor Locks School District",2241109,1207492,477631,60856,1054924,23954,0,415185,21758,1594,5504503
="Windsor School District",5342635,2462857,1913693,267884,3526513,26375,0,1522442,11444,635,15082904
="Wolcott School District",2272687,778219,445040,920010,826318,31261,0,477939,4620,9219,5768276
="Woodbridge School District",1118921,353995,438996,123945,215498,9640,3157,133579,0,15240,2421024
="Woodstock School District",854339,725145,279667,198607,811294,10179,11745,85406,3023,2954,2983798

