"Total Expenditures Used for Special Education, 2014-15"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
="Litchfield School District",1136930,511501,428940,99088,633292,8354,0,150857,36702,1209,3007964
="Madison School District",3677619,1971208,1609736,763769,1656705,2479,0,1255759,7349,1187,11012717
="Manchester School District",9082207,4333995,6474073,358878,4104878,419589,28068,1987337,49959,3165,27050784
="Mansfield School District",1696201,742589,723683,501397,446332,18690,157,224288,0,0,4365981
="Marlborough School District",588344,267038,173069,127874,95840,18676,16995,49406,0,990,1338899
="Meriden School District",10291637,4050450,3648546,226253,7768058,84881,68715,2874164,0,680,29024062
="Middletown School District",5490890,2731578,2360650,931690,5871551,71942,0,2669489,12216,437,20155713
="Milford School District",10346716,4499730,5291864,564438,4250675,86841,4212,1801205,45700,31792,26934195
="Monroe School District",4566458,1428458,1255030,1060628,1985247,15291,11449,933437,16401,904,11276465
="Montville School District",3781668,1499234,1097739,398726,1027931,162590,911,99087,50903,1135,8119924
="Naugatuck School District",5890761,1825819,2944992,82623,1376088,23829,0,612407,0,555,12757390
="New Britain School District",12123209,6644388,5642819,1112573,11380978,42035,3124,4285985,0,51376,41307155
="New Canaan School District",6588181,3344598,2091827,1214451,3420343,45040,0,1335023,34979,66150,18152988
="New Fairfield School District",3544966,1126506,1243710,289388,689986,58180,1785,616646,0,600,7592909
="New Hartford School District",755720,349768,445390,161310,346391,4060,0,124081,600,310,2190613
="New Haven School District",22873669,3334508,8665286,2870633,17635653,2708,459432,7196026,45678,546791,63815694
="New London School District",3249506,2226884,1505199,2031151,4014048,53610,2080,1375805,114238,0,14613190
="New Milford School District",5545267,1942588,1865348,1850738,2210819,56286,0,894421,21428,1148,14404885
="Newington School District",4367373,551566,1266745,2598267,2888645,78165,101502,0,332440,21180,12242527
="Newtown School District",5335716,2783702,1952238,623711,3214067,85180,44635,1367845,14820,2188,15484895
="Norfolk School District",62391,24407,6545,198958,80195,128,0,47649,0,0,420273
="North Branford School District",2698682,901521,607813,238852,811586,37320,2555,581231,8516,1000,5890848
="North Canaan School District",560705,160138,265075,24199,28595,6564,0,94808,2900,0,1142984
="North Haven School District",3425776,779163,1209550,454510,2968811,41911,0,1369746,9116,29177,10310439
="North Stonington School District",939211,320248,642271,60325,118711,0,0,13857,7688,12662,2136581
="Norwalk School District",13590114,4853336,5764575,3849500,10034303,101756,0,2904261,21369,0,41119214
="Norwich School District",4591631,2112824,1383235,2309315,12387257,12223,31609,2825579,0,185,25698612
="Old Saybrook School District",2063179,1165309,493401,117138,1206938,23669,0,566370,21319,1797,5670019
="Orange School District",1479971,956783,776416,389028,421615,98796,0,258326,15513,8294,4415376
="Oxford School District",2586900,1202230,1099898,183434,1411774,12095,0,736060,2214,40,7240177
="Plainfield School District",2545319,1775391,1022162,338622,1753408,10612,2002,914826,1849,476,8400344
="Plainville School District",2958328,1662452,1027258,142851,1610793,24329,0,411238,9137,2675,7850840
="Plymouth School District",2032229,628981,969556,364075,1311661,4534,0,555248,22344,23525,5933770
="Pomfret School District",604413,272227,290548,95659,1374717,32239,0,262934,7843,4736,2946517
="Portland School District",1373467,611378,751889,341798,741326,25991,0,279986,21073,0,4146908
="Preston School District",658711,404715,256680,146587,1151321,5754,0,113525,2742,0,2743742
="Putnam School District",1825214,639076,565520,245301,1494713,25584,0,151878,424,2045,4955364
="Redding School District",2138993,1135222,907143,405113,113224,19298,0,149075,11191,378,4888555
="Regional School District 01",793443,226624,375182,34184,740739,10476,0,134171,4083,0,2318902
="Regional School District 04",1692571,414376,372662,254496,1193662,9022,243,215761,0,1280,4154073
="Regional School District 05",2712580,656518,772591,313723,2965456,15097,0,799361,33155,1331,8282296
="Regional School District 06",1377384,647843,425868,368221,411423,42121,0,229431,8066,195,3511467
="Regional School District 07",833400,256729,269624,1283630,1011764,9781,0,340009,2956,0,4007893
="Regional School District 08",1670054,768537,539540,134864,1391605,11845,0,317341,495,809,4848960
="Regional School District 09",1049217,447475,339394,401682,1442264,10448,0,345641,15543,704,4058756
="Regional School District 10",2798544,1353243,930816,349842,1411176,89915,27951,590457,0,63594,7615538
="Regional School District 11",315839,136371,108530,131086,711264,664,0,186564,0,0,1590318
="Regional School District 12",1611175,742310,513035,344601,578950,52571,0,354283,1794,310,4199788
="Regional School District 13",2686967,1884476,1440957,238675,924038,44495,43608,635743,18963,0,7938377
="Regional School District 14",2896318,1272308,880383,291543,1517255,37586,0,640280,1850,450,7537973
="Regional School District 15",5692215,2397782,2256477,945807,2132706,9644,39346,1373841,7059,1134,14903782
="Regional School District 16",2137414,1403589,897695,756630,1205799,46212,2323,1029543,0,0,7479205
="Regional School District 17",2684422,1170775,847370,317883,1446711,10891,29066,846283,5370,802,7360615
="Regional School District 18",2682633,1385107,775290,256397,412952,48696,0,340135,5488,4908,5926037
="Regional School District 19",1599617,255122,322038,1254508,811241,15314,1524,361871,8220,1687,4635623
="Ridgefield School District",6048795,2202338,2311958,1906201,4115681,63525,0,1306024,28226,20064,18030077
="Rocky Hill School District",2946523,1292263,1099371,217184,1086207,14920,70,446656,8686,816,7123852
="Salem School District",548741,259915,146747,245977,1747312,3700,0,307845,0,0,3268085
="Salisbury School District",535875,143456,213296,40869,2050,10548,0,89169,1909,0,1037172
="Scotland School District",292187,162764,57293,32042,49010,3039,0,0,0,0,596335
="Seymour School District",2762840,785120,869922,273487,1797423,17383,2720,773132,119,0,7282146
="Sharon School District",325598,105335,154109,13041,11619,3963,0,50728,1543,0,665936
="Shelton School District",6660579,1790957,1868860,252318,2016327,76454,0,1101655,46052,39,13817494
="Sherman School District",848675,395757,202232,96998,509693,15008,529,103164,4369,915,2177340
="Simsbury School District",5178865,3089054,1650739,692050,2395008,22323,0,1234426,33739,135690,14469000
="Somers School District",1760942,771839,569088,183077,863782,17808,100,370360,0,220,4546091
="South Windsor School District",3921338,2824335,2051219,145377,4652194,17810,46915,1557917,54377,2901,15293265
="Southington School District",7098955,5026119,4677954,1393567,4661259,108905,0,1923544,32127,9822,24932252
="Sprague School District",538645,309032,187514,137346,424490,4296,0,72645,0,445,1674413
="Stafford School District",1933082,756413,822601,203209,1039152,37053,17580,573073,3202,185,5385550
="Stamford School District",22025697,8320793,8269954,5092529,14735654,332052,224749,4903550,66877,34705,64008928
="Sterling School District",422280,407155,250932,113967,1089746,23035,13451,13814,26771,980,2385712
="Stonington School District",3235768,1538575,1193386,335775,2086905,24139,0,880078,10496,0,9317802
="Stratford School District",8819123,2168748,4139766,2660577,5415325,22801,28153,2147715,1193,248,25411002
="Suffield School District",2688028,1502303,986866,501035,1183677,65382,0,423157,6891,1574,7360213
="Thomaston School District",1345065,452341,555398,112321,963871,29372,850,475732,20988,912,3963066
="Thompson School District",1054504,459047,360487,116212,1777651,7428,0,213961,797,4031,4011418
="Tolland School District",2212055,1323842,946027,331076,3143553,17990,0,736016,9106,199,8745934
="Torrington School District",5636290,3383724,3430359,356885,6471463,16180,29065,1442599,727,0,20767292
="Trumbull School District",9089378,3506780,2918181,534232,3063213,101263,0,1805628,107293,1447,21134705
="Union School District",131867,46777,35883,180374,38332,4920,0,41070,1613,0,480836
="Vernon School District",4904930,2298325,1679202,217897,2441188,40063,27065,1614209,12361,2764,13279319
="Voluntown School District",507529,249201,130364,124696,683372,13858,5091,7280,1065,828,1730850
="Wallingford School District",9289236,3321357,1820690,1259799,5097421,168703,10966,3025786,36255,834,24031047
="Waterbury School District",20013158,12552992,16572499,4004411,6156782,221305,19235,5608543,0,0,65321640
="Waterford School District",4402438,1502121,1780659,674731,2470298,80865,0,729774,33686,1578,11693550
="Watertown School District",3315328,1427793,1567022,590533,1373077,31279,4970,812345,161,490,9123057
="West Hartford School District",14009359,4516756,7955242,406737,6432152,216337,36729,3126706,0,1561,36701579
="West Haven School District",8610527,3653914,3500748,609950,8955117,52695,7590,1456315,0,1800,26854926
="Westbrook School District",1597402,412105,564837,515948,477737,22182,0,214619,6696,0,3811526
="Weston School District",3826445,1770720,1659133,949724,2198357,25779,0,379784,11635,6572,10828149
="Westport School District",8839280,3972770,3085399,637677,2707351,192219,7456,1234765,36821,2849,20735100
="Wethersfield School District",2791478,2147329,1248284,360467,4731405,31587,0,1816018,4208,370,13134383
="Willington School District",831923,260236,236143,544513,178341,13532,15784,126064,4824,674,2212519
="Wilton School District",6840382,3676291,2578155,2942614,3989650,86224,12290,756345,22234,1774,20906150
="Windham School District",3661659,2117273,1505974,539209,3902458,6990,1519,1174878,0,0,12946203
="Windsor Locks School District",2759706,1130435,538785,113708,888546,72174,0,431306,0,2146,5936806
="Windsor School District",5494166,3453367,2124639,217619,4891984,38664,0,1826898,5919,0,18053256
="Wolcott School District",2557862,757516,436129,1289299,953510,51271,0,564207,8569,8954,6631062
="Woodbridge School District",1074130,337492,397485,149895,275617,8440,0,157977,4148,15769,2430238
="Woodstock School District",825858,938549,426019,191966,805543,14387,13988,80504,25369,4239,3326954

