sedaadmin,sedaadminname,year,fips,stateabb,subcat,subgroup,gap,gradecenter,multi_comp,tot_asmts,cellcount,mn_asmts,flag_estasmt,gcs_mn_avg_ol,gcs_mn_avg_ol_se,gcs_mn_avg_ol_se_adj,gcs_mn_avg_eb,gcs_mn_avg_eb_se,gcs_mn_avg_eb_se_adj
903990,Seymour School District,2010,9,CT,race,wht,0,5.5,0,1986,12,165.5,0,6.47518622978814,.0736435520780034,.0827191261010332,6.404989848861072,.0470365859185039,.0598639218708809
903990,Seymour School District,2011,9,CT,all,all,0,5.5,0,2350,12,195.8333333333333,0,6.137212235038936,.067281770560082,.0884939880750765,6.186089277311614,.050965526170428,.0754493659898268
903990,Seymour School District,2011,9,CT,race,asn,0,5.5,0,84,12,7,0,7.551091146436842,.4038154156932324,.4078863067415115,7.636581639103516,.1106985540065663,.1238922589574624
903990,Seymour School District,2011,9,CT,race,blk,0,5.5,0,108,12,9,0,4.577955414857763,.2377439289671565,.2445946136701964,4.256207518239244,.0529401972750768,.076797047195594
903990,Seymour School District,2011,9,CT,ecd,ecd,0,5.5,0,576,12,48,0,5.000514762133994,.1252569311325399,.1378174447320589,5.024956547452806,.0631783464337387,.084182096840954
903990,Seymour School District,2011,9,CT,gender,fem,0,5.5,0,1114,12,92.83333333333333,0,6.260501055588298,.0914181827084894,.1079890429879579,6.292001582624774,.0527578197194501,.0766714386977853
903990,Seymour School District,2011,9,CT,race,hsp,0,5.5,0,180,12,15,0,5.489875874822075,.2176180667951379,.2250821456077433,5.275642292784024,.0528288701842734,.0767203460327511
903990,Seymour School District,2011,9,CT,gender,mal,0,5.5,0,1236,12,103,0,6.053153877521327,.0930234652726595,.1093513345463418,6.102898813626505,.0526271452059594,.076581579919504
903990,Seymour School District,2011,9,CT,gender,mfg,1,5.5,0,2350,12,195.8333333333333,0,-.2073471780669713,.1304248796091315,.1304248796091315,-.1891027689982696,.0189217926852072,.0189217926852072
903990,Seymour School District,2011,9,CT,ecd,nec,0,5.5,0,1774,12,147.8333333333333,0,6.501137252384828,.0770165680675733,.0961035953158852,6.555733541378009,.0605930139151559,.0822595605735924
903990,Seymour School District,2011,9,CT,ecd,neg,1,5.5,0,2350,12,195.8333333333333,0,1.500622490250834,.147040302480813,.147040302480813,1.530776993925203,.0496794432111171,.0496794432111171
903990,Seymour School District,2011,9,CT,race,wag,1,5.5,0,2054,12,171.1666666666667,0,-1.317296054753907,.4103676424742517,.4103676424742517,-1.306125533336597,.0984055694203787,.0984055694203787
903990,Seymour School District,2011,9,CT,race,wbg,1,5.5,0,2078,12,173.1666666666667,0,1.655839676825172,.2487104497183773,.2487104497183773,2.074248587527675,.0152364930784066,.0152364930784066
903990,Seymour School District,2011,9,CT,race,whg,1,5.5,0,2150,12,179.1666666666667,0,.7439192168608599,.229548110499804,.229548110499804,1.054813812982895,.0148450583950047,.0148450583950047
903990,Seymour School District,2011,9,CT,race,wht,0,5.5,0,1970,12,164.1666666666667,0,6.233795091682935,.0730391130722241,.0929465508456845,6.33045610576692,.0512294441650644,.075627891150684
903990,Seymour School District,2012,9,CT,all,all,0,5.5,0,2347,12,195.5833333333333,0,6.018491945194302,.0659024619992613,.0753178081122937,6.066938039760706,.0573004964723893,.0677239001367458
903990,Seymour School District,2012,9,CT,race,asn,0,5.5,0,73,11,6.636363636363637,0,7.383828956369871,.4278968811517258,.4294477600601153,7.53946087867318,.111242903261294,.1169536800607456
903990,Seymour School District,2012,9,CT,race,blk,0,5.5,0,94,12,7.833333333333333,0,3.939601546094702,.2515766154564751,.2542054900386917,4.198079658672047,.0609109527440423,.0708048297641945
903990,Seymour School District,2012,9,CT,ecd,ecd,0,5.5,0,649,12,54.08333333333334,0,4.964490478985935,.117374922105359,.1229085434805706,4.946573125681065,.0710164840368418,.0796650535599181
903990,Seymour School District,2012,9,CT,gender,fem,0,5.5,0,1155,12,96.25,0,6.120895222245022,.0866080688978699,.093971247302004,6.179847164267832,.0595722085903311,.069656498548804
903990,Seymour School District,2012,9,CT,race,hsp,0,5.5,0,192,12,16,0,5.028748867112245,.2081637805559218,.2113333794188939,5.151334248179979,.0587781452317631,.0689786206779742
903990,Seymour School District,2012,9,CT,gender,mal,0,5.5,0,1192,12,99.33333333333333,0,5.977863926202234,.0979487891159024,.1045160418813673,5.967155684683801,.0592936995180922,.0694184597660551
903990,Seymour School District,2012,9,CT,gender,mfg,1,5.5,0,2347,12,195.5833333333333,0,-.1430312960427882,.1307475540401797,.1307475540401797,-.2126914795840307,.0223136067659874,.0223136067659874
903990,Seymour School District,2012,9,CT,ecd,nec,0,5.5,0,1698,12,141.5,0,6.421423501608863,.0782891984822026,.086364554767925,6.468396552415738,.0677211492463383,.0767419950808841
903990,Seymour School District,2012,9,CT,ecd,neg,1,5.5,0,2347,12,195.5833333333333,0,1.456933022622928,.1410888760258044,.1410888760258044,1.521823426734674,.0553425809683215,.0553425809683215
