sedaadmin,sedaadminname,year,fips,stateabb,subcat,subgroup,gap,gradecenter,multi_comp_mth,multi_comp_rla,tot_asmts_mth,tot_asmts_rla,cellcount_mth,cellcount_rla,mn_asmts_mth,mn_asmts_rla,flag_estasmt_mth,flag_estasmt_rla,gcs_mn_avg_mth_ol,gcs_mn_avg_rla_ol,gcs_mn_avg_mth_ol_se,gcs_mn_avg_rla_ol_se,gcs_mn_avg_mth_ol_se_adj,gcs_mn_avg_rla_ol_se_adj,gcs_mn_avg_mth_eb,gcs_mn_avg_rla_eb,gcs_mn_avg_mth_eb_se,gcs_mn_avg_rla_eb_se,gcs_mn_avg_mth_eb_se_adj,gcs_mn_avg_rla_eb_se_adj
904920,West Hartford School District,2009,9,CT,ecd,nec,0,5.5,0,0,3755,3755,6,6,625.8333333333334,625.8333333333334,0,0,7.371289650652895,7.755667003976169,.0563052896787363,.0580308515671437,.0892453311344079,.0899429432493318,7.354299764276755,7.729821886963329,.0543370628986852,.0564066606900597,.0861446534696464,.0871242021743766
904920,West Hartford School District,2009,9,CT,ecd,neg,1,5.5,0,0,4548,4548,6,6,758,758,0,0,2.687478147682792,3.410503473926965,.1142601783495736,.1230632347683696,.1142601783495736,.1230632347683696,2.829725462964164,3.425759460428837,.0504615148408161,.0516383086748331,.0504615148408161,.0516383086748331
904920,West Hartford School District,2009,9,CT,race,wag,1,5.5,0,0,3434,3434,6,6,572.3333333333334,572.3333333333334,0,0,-.1074961331758582,.8136700428423307,.1609308013288161,.1611718093608614,.1609308013288161,.1611718093608614,.0557618000716769,.9781172064739891,.100197494781478,.0826661551802339,.100197494781478,.0826661551802339
904920,West Hartford School District,2009,9,CT,race,wbg,1,5.5,0,0,3371,3371,6,6,561.8333333333334,561.8333333333334,0,0,2.767454682606461,3.049291983072965,.1435440020833121,.1631024499527987,.1435440020833121,.1631024499527987,3.1629396977005,3.225502613734889,.0201557998109573,.0171419004236441,.0201557998109573,.0171419004236441
904920,West Hartford School District,2009,9,CT,race,whg,1,5.5,0,0,3561,3561,6,6,593.5,593.5,0,0,2.720302196021749,3.279423769125207,.1239201377812781,.1427357898944132,.1239201377812781,.1427357898944132,2.867611418361783,3.304046945478352,.0272878715500026,.0172325449027809,.0272878715500026,.0172325449027809
904920,West Hartford School District,2009,9,CT,race,wht,0,5.5,0,0,2916,2916,6,6,486,486,0,0,7.541884247178516,8.001995682502452,.0628805205884508,.064290176939902,.0935328998425596,.0941030294820978,7.61611080323279,8.033292145767076,.0496798825521755,.0512710523943291,.0832855068265046,.0838906195467656
904920,West Hartford School District,2010,9,CT,all,all,0,5.5,0,0,4563,4563,6,6,760.5,760.5,0,0,6.785760298631327,7.242428205292314,.0510794130312735,.0557163998028666,.0745339291549303,.0764308174176019,6.793715595501371,7.248696539456835,.0347531307063402,.0418762579793577,.0631527937859619,.0662048023284954
904920,West Hartford School District,2010,9,CT,race,asn,0,5.5,0,0,527,527,6,6,87.83333333333333,87.83333333333333,0,0,7.273435628141865,7.042982210575624,.148834621866196,.1460395499783719,.1584233089722163,.1551286653137173,7.31901017718383,7.079294620443093,.0678996990345458,.0478164508469393,.0859701366642054,.0701132501072315
904920,West Hartford School District,2010,9,CT,race,blk,0,5.5,0,0,441,441,6,6,73.5,73.5,0,0,4.590384641465435,5.129180098069668,.1314874640869775,.14964623004353,.1422503194079962,.158528693965386,4.413802376525592,4.989528616528888,.0350585242115672,.0419997929456286,.0633213659752638,.066283010466311
904920,West Hartford School District,2010,9,CT,ecd,ecd,0,5.5,0,0,811,811,6,6,135.1666666666667,135.1666666666667,0,0,4.575177181066962,4.491892334238553,.0941844597006801,.1048830698577408,.108705623629883,.1172084083456203,4.52686575058049,4.582581207142524,.0444214467393479,.0495688562593494,.0689475177181672,.0713198876882281
904920,West Hartford School District,2010,9,CT,gender,fem,0,5.5,0,0,2272,2272,6,6,378.6666666666667,378.6666666666667,0,0,6.777652635484447,7.479148395799306,.0709682227998237,.0783279430509923,.0893458941810879,.0941945821516791,6.785774179770519,7.567379418894567,.035106900978432,.0421827534620627,.0633481630782589,.0663990930558738
904920,West Hartford School District,2010,9,CT,race,hsp,0,5.5,0,0,666,666,6,6,111,111,0,0,4.743059403595484,4.820512838105125,.1059573877414676,.1223885990813979,.119051115814378,.1331026740123468,4.685496396808631,4.877357615756401,.03573145652954,.0427447235764309,.0636964069222328,.0667575183977574
904920,West Hartford School District,2010,9,CT,gender,mal,0,5.5,0,0,2291,2291,6,6,381.8333333333333,381.8333333333333,0,0,6.772183003060928,7.00154884656523,.0733141402387985,.0783048849752313,.091220410646998,.0941754089723752,6.802146631568702,6.942409321439221,.0352303892741512,.0420849546301624,.0634166823279844,.066337005323004
904920,West Hartford School District,2010,9,CT,gender,mfg,1,5.5,0,0,4563,4563,6,6,760.5,760.5,0,0,-.0054696324235186,-.4775995492340757,.1020365219238662,.1107561360538715,.1020365219238662,.1107561360538715,.0163724517981825,-.6249700974553463,.0076232956740324,.0065792196464744,.0076232956740324,.0065792196464744
904920,West Hartford School District,2010,9,CT,ecd,nec,0,5.5,0,0,3752,3752,6,6,625.3333333333334,625.3333333333334,0,0,7.254312027249183,7.823039444047395,.0560627149475229,.0592900438139546,.0780335066938552,.0790737752961788,7.26263613412217,7.822688849145149,.0409495701535374,.0479452748411061,.0667634822701733,.0702011698520091
904920,West Hartford School District,2010,9,CT,ecd,neg,1,5.5,0,0,4563,4563,6,6,760.5,760.5,0,0,2.679134846182221,3.331147109808842,.1096072098741512,.1204813995529783,.1096072098741512,.1204813995529783,2.73577038354168,3.240107642002625,.0351364773190523,.0353352363193146,.0351364773190523,.0353352363193146
904920,West Hartford School District,2010,9,CT,race,wag,1,5.5,0,0,3445,3445,6,6,574.1666666666666,574.1666666666666,0,0,.1954710474660049,1.067528071942459,.1617119015905943,.1604692250771986,.1617119015905943,.1604692250771986,.1791706941908275,1.033294093740878,.0583394625457809,.0231066150199999,.0583394625457809,.0231066150199999
904920,West Hartford School District,2010,9,CT,race,wbg,1,5.5,0,0,3359,3359,6,6,559.8333333333334,559.8333333333334,0,0,2.878522034142435,2.981330184448415,.1459038987210989,.1637584080443882,.1459038987210989,.1637584080443882,3.084378494849066,3.123060097655083,.004714221149004,.003388995951663,.004714221149004,.003388995951663
904920,West Hartford School District,2010,9,CT,race,whg,1,5.5,0,0,3584,3584,6,6,597.3333333333334,597.3333333333334,0,0,2.725847272012386,3.289997444412958,.1233935268439483,.1392903127431996,.1233935268439483,.1392903127431996,2.812684474566026,3.23523109842757,.0083582741562525,.0086379441830915,.0083582741562525,.0086379441830915
904920,West Hartford School District,2010,9,CT,race,wht,0,5.5,0,0,2918,2918,6,6,486.3333333333333,486.3333333333333,0,0,7.46890667560787,8.110510282518083,.0632376031328867,.0665043009059657,.083337834202991,.0846178154003112,7.498180871374657,8.112588714183971,.0347661322112859,.0418896723643448,.0631599494775991,.0662132880907872
904920,West Hartford School District,2011,9,CT,all,all,0,5.5,0,0,4615,4585,6,6,769.1666666666666,764.1666666666666,0,0,6.867391831441085,7.276670832663124,.0539465256297806,.0549166835756981,.0995016823106616,.0961410391286072,6.847343354978939,7.321541353147292,.0465882993952504,.0412562116361284,.0915730343902806,.0864975152207035
904920,West Hartford School District,2011,9,CT,race,asn,0,5.5,0,0,505,489,6,6,84.16666666666667,81.5,0,0,7.457432046929597,7.197134848483891,.1537171127193188,.1507602655207345,.1749837360953612,.170164376206236,7.396002612023196,7.183025058778825,.0935491443951978,.0714772350684942,.1223380292630857,.1043491268474614
904920,West Hartford School District,2011,9,CT,race,blk,0,5.5,0,0,411,407,6,6,68.5,67.83333333333333,0,0,4.309745437615613,4.857550405330971,.1370341782991309,.1566026178154373,.1605263940205636,.1753614472351975,4.537857486502157,5.111383319890361,.0471331261047814,.042530173929831,.0918514156848508,.087112346055496
904920,West Hartford School District,2011,9,CT,ecd,ecd,0,5.5,0,0,862,848,6,6,143.6666666666667,141.3333333333333,0,0,4.661002510559652,4.737041697505676,.0940874293321922,.1004216947186653,.1258681910312034,.1277175557233376,4.637600619597276,4.752413071290074,.0541758722234243,.0504564255993284,.0956565529280186,.0912447040931768
904920,West Hartford School District,2011,9,CT,gender,fem,0,5.5,0,0,2284,2273,6,6,380.6666666666667,378.8333333333333,0,0,6.827477958283992,7.547855953403932,.0736747548684148,.0785496150014133,.1114375460069372,.1113431600352949,6.830048771604667,7.635385689443345,.0467907306478487,.042328918443026,.0916761880831743,.0870142659415521
904920,West Hartford School District,2011,9,CT,race,hsp,0,5.5,0,0,698,694,6,6,116.3333333333333,115.6666666666667,0,0,4.828815642716262,4.969164981706217,.1017758302169697,.1156107737836338,.1317143757206506,.1399753845668073,4.81758315047695,5.044000838542591,.0471084647139705,.041437602043887,.0918387632462972,.0865841787160817
904920,West Hartford School District,2011,9,CT,gender,mal,0,5.5,0,0,2331,2312,6,6,388.5,385.3333333333333,0,0,6.900365518778134,7.007548322714634,.078734667239535,.0762039635309202,.1148455701385454,.109700963202685,6.868080322729924,7.018728163077498,.0468907609246922,.0423299587647329,.0917272830023798,.0870147720207024
904920,West Hartford School District,2011,9,CT,gender,mfg,1,5.5,0,0,4615,4585,6,6,769.1666666666666,764.1666666666666,0,0,.0728875604941424,-.5403076306892975,.1078291117010676,.1094398742446832,.1078291117010676,.1094398742446832,.0380315511252567,-.6166575263658469,.0068685263028682,.0133945044122691,.0068685263028682,.0133945044122691
904920,West Hartford School District,2011,9,CT,ecd,nec,0,5.5,0,0,3753,3737,6,6,625.5,622.8333333333334,0,0,7.367291888930477,7.849816530047564,.0603768434676422,.0600095506645882,.1031296290221361,.0991383046089695,7.364065419646415,7.905246400855554,.0517752692010418,.0475270103102206,.0943177050597732,.0896580272469712
904920,West Hartford School District,2011,9,CT,ecd,neg,1,5.5,0,0,4615,4585,6,6,769.1666666666666,764.1666666666666,0,0,2.706289378370824,3.112774832541888,.1117935936691206,.1169857381954509,.1117935936691206,.1169857381954509,2.726464800049139,3.15283332956548,.035703842243184,.0374234898981689,.035703842243184,.0374234898981689
