District,District Code,fiscal_year,rev_local,rev_state,rev_federal,rev_tuition_other,rev_total,pct_local,pct_state,pct_federal,pct_tuition_other
Path Academy District,2930013,2018,211170.0,1548485.0,61524.0,60666.0,1881845.0,11.2,82.3,3.3,3.2
Plainfield School District,1090011,2018,18949292.0,14470188.0,1031194.0,1760526.0,36211199.0,52.3,40.0,2.8,4.9
Plainville School District,1100011,2018,26684610.0,11368840.0,1043650.0,0.0,39097100.0,68.3,29.1,2.7,0.0
Plymouth School District,1110011,2018,14333580.0,9423496.0,703177.0,228670.0,24688923.0,58.1,38.2,2.8,0.9
Pomfret School District,1120011,2018,7479048.0,3121811.0,231931.0,31494.0,10864284.0,68.8,28.7,2.1,0.3
Portland School District,1130011,2018,16702867.0,4781178.0,350671.0,40689.0,21875405.0,76.4,21.9,1.6,0.2
Preston School District,1140011,2018,8820315.0,2713567.0,252075.0,14620.0,11800577.0,74.7,23.0,2.1,0.1
Putnam School District,1160011,2018,9590686.0,10338184.0,715223.0,313033.0,20957126.0,45.8,49.3,3.4,1.5
Redding School District,1170011,2018,20643880.0,326411.0,264556.0,234434.0,21469280.0,96.2,1.5,1.2,1.1
Regional School District 01,2010012,2018,9456158.0,1321159.0,247643.0,110832.0,11135792.0,84.9,11.9,2.2,1.0
Regional School District 04,2040012,2018,16711362.0,1492136.0,280866.0,0.0,18484364.0,90.4,8.1,1.5,0.0
Regional School District 05,2050012,2018,39408748.0,2738252.0,520896.0,120065.0,42787961.0,92.1,6.4,1.2,0.3
Regional School District 06,2060012,2018,18108609.0,804245.0,318423.0,1259755.0,20491031.0,88.4,3.9,1.6,6.1
Regional School District 07,2070012,2018,16345085.0,3275517.0,270872.0,848769.0,20740243.0,78.8,15.8,1.3,4.1
Regional School District 08,2080012,2018,20242174.0,6444018.0,316896.0,186403.0,27189491.0,74.4,23.7,1.2,0.7
Regional School District 09,2090012,2018,21095417.0,1401579.0,218537.0,34009.0,22749542.0,92.7,6.2,1.0,0.1
