District,District Code,fiscal_year,rev_local,rev_state,rev_federal,rev_tuition_other,rev_total,pct_local,pct_state,pct_federal,pct_tuition_other
Madison School District,760011,2020,55152071.0,1375349.0,767652.0,329712.0,57624785.0,95.7,2.4,1.3,0.6
Manchester School District,770011,2020,84104169.0,40015291.0,5109372.0,2135380.0,131364212.0,64.0,30.5,3.9,1.6
Mansfield School District,780011,2020,17192395.0,6920314.0,535805.0,37410.0,24685924.0,69.6,28.0,2.2,0.2
Marlborough School District,790011,2020,6147570.0,1550463.0,194237.0,12275.0,7904545.0,77.8,19.6,2.5,0.2
Meriden School District,800011,2020,47815564.0,70365302.0,6039075.0,1781805.0,126001745.0,37.9,55.8,4.8,1.4
Middletown School District,830011,2020,66490503.0,25815326.0,3122092.0,1102487.0,96530407.0,68.9,26.7,3.2,1.1
Milford School District,840011,2020,106704857.0,11641478.0,2252211.0,242099.0,120840644.0,88.3,9.6,1.9,0.2
Monroe School District,850011,2020,51396040.0,6205278.0,855931.0,118885.0,58576134.0,87.7,10.6,1.5,0.2
Montville School District,860011,2020,24861724.0,13255863.0,985039.0,204984.0,39307610.0,63.2,33.7,2.5,0.5
Naugatuck School District,880011,2020,36448165.0,32334107.0,3891010.0,30077.0,72703359.0,50.1,44.5,5.4,0.0
New Beginnings Inc Family Academy District,2800013,2020,95500.0,5691612.0,270396.0,762678.0,6820185.0,1.4,83.5,4.0,11.2
New Britain School District,890011,2020,49143589.0,104719688.0,10390903.0,701226.0,164955406.0,29.8,63.5,6.3,0.4
New Canaan School District,900011,2020,89975789.0,1336547.0,1020782.0,619535.0,92952654.0,96.8,1.4,1.1,0.7
New Fairfield School District,910011,2020,36009520.0,3912311.0,919341.0,562831.0,41404003.0,87.0,9.4,2.2,1.4
New Hartford School District,920011,2020,6875002.0,1470523.0,206699.0,28000.0,8580223.0,80.1,17.1,2.4,0.3
New Haven School District,930011,2020,105640519.0,217901668.0,31466301.0,3826717.0,358835205.0,29.4,60.7,8.8,1.1
New London School District,950011,2020,21184124.0,37759194.0,4893209.0,2899659.0,66736186.0,31.7,56.6,7.3,4.3
New Milford School District,960011,2020,49970871.0,11998965.0,1430309.0,1084852.0,64484996.0,77.5,18.6,2.2,1.7
Newington School District,940011,2020,59396633.0,15126899.0,1229572.0,591080.0,76344184.0,77.8,19.8,1.6,0.8
Newtown School District,970011,2020,72576970.0,6367210.0,1401862.0,789592.0,81135634.0,89.5,7.8,1.7,1.0
Norfolk School District,980011,2020,2470456.0,14330.0,49313.0,13970.0,2548069.0,97.0,0.6,1.9,0.5
North Branford School District,990011,2020,24740499.0,7849615.0,953127.0,26850.0,33570091.0,73.7,23.4,2.8,0.1
North Canaan School District,1000011,2020,4090385.0,1417110.0,185166.0,0.0,5692661.0,71.9,24.9,3.3,0.0
North Haven School District,1010011,2020,51071909.0,5327357.0,847457.0,26006.0,57272729.0,89.2,9.3,1.5,0.0
North Stonington School District,1020011,2020,10950672.0,2659346.0,238790.0,0.0,13848809.0,79.1,19.2,1.7,0.0
Norwalk School District,1030011,2020,194809343.0,26522026.0,6143780.0,1546577.0,229021726.0,85.1,11.6,2.7,0.7
Norwich School District,1040011,2020,49565073.0,42756373.0,5411086.0,872406.0,98604938.0,50.3,43.4,5.5,0.9
Odyssey Community School District,2630013,2020,348087.0,3760262.0,47505.0,35524.0,4191379.0,8.3,89.7,1.1,0.8
Old Saybrook School District,1060011,2020,24680453.0,359069.0,449032.0,210215.0,25698770.0,96.0,1.4,1.7,0.8
Orange School District,1070011,2020,20775296.0,839735.0,396910.0,0.0,22011941.0,94.4,3.8,1.8,0.0
Oxford School District,1080011,2020,27260035.0,4493527.0,287761.0,126814.0,32168137.0,84.7,14.0,0.9,0.4
Park City Prep Charter School District,2830013,2020,133500.0,3757230.0,222870.0,0.0,4113600.0,3.2,91.3,5.4,0.0
Plainfield School District,1090011,2020,17785487.0,16178000.0,1113659.0,1822470.0,36899616.0,48.2,43.8,3.0,4.9
Plainville School District,1100011,2020,26996849.0,13244923.0,900939.0,0.0,41142711.0,65.6,32.2,2.2,0.0
Plymouth School District,1110011,2020,14562914.0,10482925.0,538769.0,67888.0,25652496.0,56.8,40.9,2.1,0.3
Pomfret School District,1120011,2020,7242365.0,3060972.0,236960.0,0.0,10540297.0,68.7,29.0,2.2,0.0
Portland School District,1130011,2020,17201402.0,5535731.0,395989.0,22965.0,23156087.0,74.3,23.9,1.7,0.1
Preston School District,1140011,2020,8764160.0,3053508.0,284206.0,0.0,12101874.0,72.4,25.2,2.3,0.0
Putnam School District,1160011,2020,10270899.0,9694375.0,776954.0,295355.0,21037583.0,48.8,46.1,3.7,1.4
Redding School District,1170011,2020,21477404.0,190097.0,258021.0,147766.0,22073288.0,97.3,0.9,1.2,0.7
Regional School District 01,2010012,2020,9276364.0,1377899.0,232941.0,56361.0,10943565.0,84.8,12.6,2.1,0.5
Regional School District 04,2040012,2020,16382989.0,1650412.0,260878.0,0.0,18294278.0,89.6,9.0,1.4,0.0
Regional School District 05,2050012,2020,40012896.0,2678616.0,526300.0,145385.0,43363198.0,92.3,6.2,1.2,0.3
Regional School District 06,2060012,2020,15634987.0,1261411.0,255800.0,1527698.0,18679896.0,83.7,6.8,1.4,8.2
Regional School District 07,2070012,2020,16124655.0,3685245.0,260620.0,1047277.0,21117797.0,76.4,17.5,1.2,5.0
Regional School District 08,2080012,2020,20230485.0,7019869.0,391880.0,37718.0,27679952.0,73.1,25.4,1.4,0.1
Regional School District 09,2090012,2020,19762818.0,826204.0,217635.0,37914.0,20844571.0,94.8,4.0,1.0,0.2
Regional School District 10,2100012,2020,31515825.0,7280412.0,562567.0,164439.0,39523243.0,79.7,18.4,1.4,0.4
Regional School District 11,2110012,2020,4195738.0,1786470.0,167880.0,40625.0,6190713.0,67.8,28.9,2.7,0.7
Regional School District 12,2120012,2020,18398881.0,112574.0,372247.0,981919.0,19865621.0,92.6,0.6,1.9,4.9
Regional School District 13,2130012,2020,28802518.0,5616981.0,452600.0,82814.0,34954914.0,82.4,16.1,1.3,0.2
Regional School District 14,2140012,2020,26999784.0,4805687.0,492487.0,1911862.0,34209821.0,78.9,14.0,1.4,5.6
Regional School District 15,2150012,2020,64558119.0,7265058.0,1129270.0,154948.0,73107395.0,88.3,9.9,1.5,0.2
Regional School District 16,2160012,2020,26768733.0,9535980.0,563740.0,40338.0,36908791.0,72.5,25.8,1.5,0.1
Regional School District 17,2170012,2020,35255814.0,4651046.0,539710.0,0.0,40446570.0,87.2,11.5,1.3,0.0
Regional School District 18,2180012,2020,28788381.0,393316.0,343619.0,171550.0,29696866.0,96.9,1.3,1.2,0.6
Regional School District 19,2190012,2020,12955793.0,5903747.0,387647.0,2933678.0,22180864.0,58.4,26.6,1.7,13.2
Ridgefield School District,1180011,2020,95826229.0,2239567.0,1053407.0,91555.0,99210758.0,96.6,2.3,1.1,0.1
Rocky Hill School District,1190011,2020,40503888.0,5276553.0,981579.0,154146.0,46916166.0,86.3,11.2,2.1,0.3
Salem School District,1210011,2020,7701676.0,2863163.0,210025.0,106584.0,10881448.0,70.8,26.3,1.9,1.0
Salisbury School District,1220011,2020,7000281.0,14065.0,163001.0,0.0,7177347.0,97.5,0.2,2.3,0.0
Scotland School District,1230011,2020,1557830.0,846559.0,54294.0,45653.0,2504335.0,62.2,33.8,2.2,1.8
Seymour School District,1240011,2020,23740287.0,11269942.0,906187.0,0.0,35916416.0,66.1,31.4,2.5,0.0
Sharon School District,1250011,2020,4808139.0,8845.0,136949.0,0.0,4953933.0,97.1,0.2,2.8,0.0
Shelton School District,1260011,2020,67172251.0,7854983.0,1489896.0,0.0,76517130.0,87.8,10.3,1.9,0.0
Sherman School District,1270011,2020,8810787.0,48198.0,151173.0,31971.0,9042129.0,97.4,0.5,1.7,0.4
Side By Side Charter School District,2700013,2020,102388.0,2756367.0,65090.0,37048.0,2960893.0,3.5,93.1,2.2,1.3
Simsbury School District,1280011,2020,64993479.0,9617026.0,1361346.0,80311.0,76052161.0,85.5,12.6,1.8,0.1
Somers School District,1290011,2020,18020025.0,6287844.0,391262.0,17070.0,24716201.0,72.9,25.4,1.6,0.1
South Windsor School District,1320011,2020,63124191.0,13779943.0,978007.0,808918.0,78691058.0,80.2,17.5,1.2,1.0
Southington School District,1310011,2020,74348726.0,23268436.0,2155521.0,1767999.0,101540682.0,73.2,22.9,2.1,1.7
Sprague School District,1330011,2020,3648742.0,2924033.0,159981.0,15137.0,6747894.0,54.1,43.3,2.4,0.2
Stafford School District,1340011,2020,18094082.0,10425851.0,845793.0,126866.0,29492593.0,61.4,35.4,2.9,0.4
Stamford Academy District,2820013,2020,423360.0,1659382.0,274502.0,808052.0,3165295.0,13.4,52.4,8.7,25.5
Stamford Charter School for Excellence District,2960013,2020,177443.0,3738661.0,186025.0,0.0,4102130.0,4.3,91.1,4.5,0.0
Stamford School District,1350011,2020,266051848.0,37636574.0,8448276.0,1345959.0,313482657.0,84.9,12.0,2.7,0.4
Sterling School District,1360011,2020,4831169.0,3423538.0,228398.0,81000.0,8564105.0,56.4,40.0,2.7,0.9
Stonington School District,1370011,2020,37609188.0,2141419.0,1004896.0,52187.0,40807690.0,92.2,5.2,2.5,0.1
Stratford School District,1380011,2020,93910824.0,25523438.0,3315424.0,145539.0,122895225.0,76.4,20.8,2.7,0.1
Suffield School District,1390011,2020,28114198.0,7730927.0,861607.0,1260811.0,37967542.0,74.0,20.4,2.3,3.3
The Bridge Academy District,2690013,2020,320387.0,3147245.0,153659.0,48135.0,3669426.0,8.7,85.8,4.2,1.3
Thomaston School District,1400011,2020,9621716.0,6222237.0,361730.0,114371.0,16320054.0,59.0,38.1,2.2,0.7
Thompson School District,1410011,2020,11840093.0,8057897.0,608045.0,58033.0,20564068.0,57.6,39.2,3.0,0.3
Tolland School District,1420011,2020,30236024.0,10405003.0,622957.0,40497.0,41304481.0,73.2,25.2,1.5,0.1
Torrington School District,1430011,2020,47804098.0,28544587.0,2348184.0,576750.0,79273619.0,60.3,36.0,3.0,0.7
Trumbull School District,1440011,2020,108729807.0,5024356.0,2488383.0,1260209.0,117502755.0,92.5,4.3,2.1,1.1
Union School District,1450011,2020,1823374.0,218481.0,49092.0,486.0,2091432.0,87.2,10.4,2.3,0.0
Vernon School District,1460011,2020,34846922.0,21276993.0,1750101.0,544285.0,58418301.0,59.7,36.4,3.0,0.9
Voluntown School District,1470011,2020,4541130.0,2498731.0,148799.0,0.0,7188660.0,63.2,34.8,2.1,0.0
Wallingford School District,1480011,2020,81615765.0,24776303.0,1627683.0,1968532.0,109988283.0,74.2,22.5,1.5,1.8
Waterbury School District,1510011,2020,90915516.0,178180580.0,19784148.0,1386665.0,290266909.0,31.3,61.4,6.8,0.5
Waterford School District,1520011,2020,49659476.0,945369.0,963376.0,113490.0,51681711.0,96.1,1.8,1.9,0.2
Watertown School District,1530011,2020,33804405.0,12755556.0,1010046.0,189710.0,47759716.0,70.8,26.7,2.1,0.4
West Hartford School District,1550011,2020,144272665.0,27218713.0,3689823.0,1970409.0,177151611.0,81.4,15.4,2.1,1.1
West Haven School District,1560011,2020,47923562.0,52209021.0,4778546.0,180918.0,105092047.0,45.6,49.7,4.5,0.2
Westbrook School District,1540011,2020,17659170.0,307562.0,252957.0,76282.0,18295971.0,96.5,1.7,1.4,0.4
Weston School District,1570011,2020,52352155.0,1012316.0,582340.0,195859.0,54142670.0,96.7,1.9,1.1,0.4
Westport School District,1580011,2020,118626622.0,1607974.0,1354201.0,337182.0,121925979.0,97.3,1.3,1.1,0.3
Wethersfield School District,1590011,2020,50927929.0,12923144.0,1110503.0,534299.0,65495875.0,77.8,19.7,1.7,0.8
Willington School District,1600011,2020,6185568.0,2489287.0,244973.0,1905.0,8921733.0,69.3,27.9,2.7,0.0
Wilton School District,1610011,2020,82135361.0,1998213.0,1503998.0,584424.0,86221996.0,95.3,2.3,1.7,0.7
Winchester School District,1620011,2020,12217722.0,10610386.0,548488.0,128761.0,23505357.0,52.0,45.1,2.3,0.5
Windham School District,1630011,2020,21242585.0,35849472.0,4797396.0,1527692.0,63417144.0,33.5,56.5,7.6,2.4
Windsor Locks School District,1650011,2020,26421068.0,6667899.0,700755.0,1795647.0,35585369.0,74.2,18.7,2.0,5.0
Windsor School District,1640011,2020,56558365.0,14368048.0,1705779.0,0.0,72632192.0,77.9,19.8,2.3,0.0
Wolcott School District,1660011,2020,22231073.0,13501985.0,989665.0,37469.0,36760193.0,60.5,36.7,2.7,0.1
Woodbridge School District,1670011,2020,14578490.0,583591.0,242448.0,34370.0,15438899.0,94.4,3.8,1.6,0.2
Woodstock School District,1690011,2020,14063237.0,5389549.0,710956.0,89187.0,20252929.0,69.4,26.6,3.5,0.4
Achievement First Bridgeport Academy District,2850013,2021,445619.0,11564445.0,2617507.0,0.0,14627570.0,3.0,79.1,17.9,0.0
Achievement First Hartford Academy District,2880013,2021,1473411.0,11329278.0,2854897.0,15580.0,15673166.0,9.4,72.3,18.2,0.1
Amistad Academy District,2790013,2021,311456.0,11337458.0,3556940.0,5962.0,15211817.0,2.0,74.5,23.4,0.0
Andover School District,10011,2021,3111672.0,973605.0,153764.0,96265.0,4335305.0,71.8,22.5,3.5,2.2
Ansonia School District,20011,2021,16430652.0,21864294.0,3950075.0,880502.0,43125523.0,38.1,50.7,9.2,2.0
Area Cooperative Educational Services,2440014,2021,631553.0,14839517.0,1502914.0,67473821.0,84447804.0,0.7,17.6,1.8,79.9
Ashford School District,30011,2021,5288356.0,2626307.0,341428.0,13034.0,8269125.0,64.0,31.8,4.1,0.2
Avon School District,40011,2021,56791143.0,2191969.0,1341909.0,1981484.0,62306506.0,91.1,3.5,2.2,3.2
Barkhamsted School District,50011,2021,3471018.0,677949.0,193683.0,39263.0,4381913.0,79.2,15.5,4.4,0.9
Berlin School District,70011,2021,43845446.0,8057640.0,1434465.0,1137716.0,54475266.0,80.5,14.8,2.6,2.1
Bethany School District,80011,2021,6135128.0,1018862.0,212447.0,49837.0,7416274.0,82.7,13.7,2.9,0.7
Bethel School District,90011,2021,43458344.0,8532076.0,1917241.0,31950.0,53939611.0,80.6,15.8,3.6,0.1
Bloomfield School District,110011,2021,39271525.0,14037469.0,2860491.0,1374204.0,57543688.0,68.2,24.4,5.0,2.4
Bolton School District,120011,2021,10728850.0,3168259.0,401465.0,645073.0,14943646.0,71.8,21.2,2.7,4.3
Booker T. Washington Academy District,2950013,2021,55156.0,5541399.0,626292.0,297073.0,6519921.0,0.8,85.0,9.6,4.6
Bozrah School District,130011,2021,4724354.0,1382800.0,453669.0,0.0,6560823.0,72.0,21.1,6.9,0.0
Branford School District,140011,2021,53446278.0,4004826.0,2228211.0,37706.0,59717022.0,89.5,6.7,3.7,0.1
Brass City Charter School District,2900013,2021,403118.0,3356177.0,980799.0,589.0,4740683.0,8.5,70.8,20.7,0.0
Bridgeport School District,150011,2021,70297827.0,222537258.0,37519596.0,4538312.0,334892993.0,21.0,66.5,11.2,1.4
Bristol School District,170011,2021,76486971.0,53746239.0,8693058.0,341730.0,139267998.0,54.9,38.6,6.2,0.2
Brookfield School District,180011,2021,45308429.0,1420503.0,1290237.0,113185.0,48132354.0,94.1,3.0,2.7,0.2
Brooklyn School District,190011,2021,12059886.0,7414107.0,784971.0,37056.0,20296021.0,59.4,36.5,3.9,0.2
Canaan School District,210011,2021,2267462.0,82779.0,38222.0,1186.0,2389649.0,94.9,3.5,1.6,0.0
Canterbury School District,220011,2021,7429982.0,4301515.0,557289.0,40501.0,12329287.0,60.3,34.9,4.5,0.3
Canton School District,230011,2021,23517791.0,5018336.0,639615.0,396445.0,29572187.0,79.5,17.0,2.2,1.3
Capital Preparatory Harbor School District,2970013,2021,574945.0,8261806.0,1334819.0,0.0,10171570.0,5.7,81.2,13.1,0.0
Capitol Region Education Council,2410014,2021,1373668.0,117615228.0,14983688.0,98457217.0,232429801.0,0.6,50.6,6.4,42.4
Chaplin School District,240011,2021,2793042.0,1104839.0,191585.0,38998.0,4128464.0,67.7,26.8,4.6,0.9
Cheshire School District,250011,2021,64268692.0,10087485.0,1776109.0,350745.0,76483030.0,84.0,13.2,2.3,0.5
Chester School District,260011,2021,4442235.0,389795.0,209992.0,0.0,5042022.0,88.1,7.7,4.2,0.0
Clinton School District,270011,2021,27105612.0,5755862.0,1090292.0,73144.0,34024910.0,79.7,16.9,3.2,0.2
Colchester School District,280011,2021,27773030.0,13258455.0,1353162.0,731583.0,43116230.0,64.4,30.8,3.1,1.7
Colebrook School District,290011,2021,1849487.0,190010.0,143872.0,102.0,2183471.0,84.7,8.7,6.6,0.0
Columbia School District,300011,2021,10098341.0,2328442.0,323681.0,27778.0,12778242.0,79.0,18.2,2.5,0.2
Common Ground High School District,2680013,2021,365148.0,2462229.0,1402975.0,298964.0,4529315.0,8.1,54.4,31.0,6.6
Connecticut Technical Education and Career System,9000016,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooperative Educational Services,2430014,2021,4083751.0,4545168.0,313834.0,25087555.0,34030308.0,12.0,13.4,0.9,73.7
Cornwall School District,310011,2021,2901998.0,7599.0,88085.0,37800.0,3035482.0,95.6,0.3,2.9,1.2
Coventry School District,320011,2021,20119027.0,8758281.0,665291.0,18759.0,29561359.0,68.1,29.6,2.3,0.1
Cromwell School District,330011,2021,26817456.0,6940398.0,1358601.0,171719.0,35288174.0,76.0,19.7,3.9,0.5
Danbury School District,340011,2021,110036025.0,48385202.0,7065670.0,606465.0,166093362.0,66.2,29.1,4.3,0.4
Darien School District,350011,2021,102984812.0,3162742.0,2039384.0,492948.0,108679886.0,94.8,2.9,1.9,0.5
Deep River School District,360011,2021,4599970.0,727011.0,269145.0,0.0,5596127.0,82.2,13.0,4.8,0.0
Derby School District,370011,2021,16688602.0,10490514.0,1931275.0,356.0,29110746.0,57.3,36.0,6.6,0.0
East Granby School District,400011,2021,16217872.0,2042860.0,374086.0,0.0,18634818.0,87.0,11.0,2.0,0.0
East Haddam School District,410011,2021,17345809.0,3826236.0,475017.0,688145.0,22335206.0,77.7,17.1,2.1,3.1
East Hampton School District,420011,2021,25647834.0,7612239.0,900814.0,71533.0,34232420.0,74.9,22.2,2.6,0.2
East Hartford School District,430011,2021,49716594.0,62476566.0,10561110.0,7385471.0,130139741.0,38.2,48.0,8.1,5.7
East Haven School District,440011,2021,29387088.0,22209290.0,5462001.0,571744.0,57630123.0,51.0,38.5,9.5,1.0
East Lyme School District,450011,2021,42129366.0,6098789.0,1661502.0,2977979.0,52867637.0,79.7,11.5,3.1,5.6
East Windsor School District,470011,2021,17775379.0,6972556.0,712736.0,1103701.0,26564372.0,66.9,26.2,2.7,4.2
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,2021,0.0,3213573.0,210233.0,15726389.0,19150195.0,0.0,16.8,1.1,82.1
Eastford School District,390011,2021,2990944.0,1125716.0,194114.0,27743.0,4338517.0,68.9,25.9,4.5,0.6
Easton School District,460011,2021,17175989.0,234644.0,338497.0,94974.0,17844104.0,96.3,1.3,1.9,0.5
EdAdvance,2420014,2021,10083479.0,106359.0,3453557.0,63118.0,13706512.0,73.6,0.8,25.2,0.5
Ellington School District,480011,2021,30723346.0,11453605.0,863814.0,936392.0,43977158.0,69.9,26.0,2.0,2.1
Elm City College Preparatory School District,2890013,2021,143748.0,8045523.0,1129504.0,2039253.0,11358028.0,1.3,70.8,9.9,18.0
Elm City Montessori School District,2910013,2021,3379178.0,712914.0,97839.0,0.0,4189930.0,80.6,17.0,2.3,0.0
Enfield School District,490011,2021,48591348.0,31934496.0,4773596.0,1424139.0,86723579.0,56.0,36.8,5.5,1.6
Essex School District,500011,2021,7277880.0,114637.0,269251.0,26500.0,7688268.0,94.7,1.5,3.5,0.3
Explorations District,2720013,2021,409124.0,904068.0,390980.0,15899.0,1720071.0,23.8,52.6,22.7,0.9
Fairfield School District,510011,2021,191803492.0,4822915.0,3858392.0,565235.0,201050034.0,95.4,2.4,1.9,0.3
Farmington School District,520011,2021,71722369.0,2526141.0,2404485.0,1637264.0,78290259.0,91.6,3.2,3.1,2.1
Franklin School District,530011,2021,4153056.0,738367.0,451431.0,0.0,5342854.0,77.7,13.8,8.4,0.0
Glastonbury School District,540011,2021,104109736.0,7374677.0,2122104.0,1450173.0,115056689.0,90.5,6.4,1.8,1.3
Granby School District,560011,2021,25415073.0,6528113.0,1097344.0,1091466.0,34131996.0,74.5,19.1,3.2,3.2
Great Oaks Charter School District,2940013,2021,708903.0,6883443.0,1617985.0,368634.0,9578965.0,7.4,71.9,16.9,3.8
Greenwich School District,570011,2021,204058466.0,1384702.0,7129403.0,1635526.0,214208097.0,95.3,0.6,3.3,0.8
Griswold School District,580011,2021,14197348.0,11940152.0,1394791.0,2432824.0,29965115.0,47.4,39.8,4.7,8.1
Groton School District,590011,2021,52309553.0,26604787.0,3076688.0,19006.0,82010034.0,63.8,32.4,3.8,0.0
Guilford School District,600011,2021,60163363.0,3123187.0,1559318.0,76381.0,64922250.0,92.7,4.8,2.4,0.1
Hamden School District,620011,2021,98268699.0,33484688.0,5287095.0,10997.0,137051479.0,71.7,24.4,3.9,0.0
Hampton School District,630011,2021,1494328.0,658361.0,91262.0,14360.0,2258312.0,66.2,29.2,4.0,0.6
Hartford School District,640011,2021,83179335.0,295829225.0,36287998.0,5597726.0,420894284.0,19.8,70.3,8.6,1.3
Hartland School District,650011,2021,4316572.0,1071937.0,181380.0,4278.0,5574166.0,77.4,19.2,3.3,0.1
Hebron School District,670011,2021,8541944.0,3244284.0,525962.0,10312.0,12322502.0,69.3,26.3,4.3,0.1
Highville Charter School District,2860013,2021,65754.0,4752466.0,134661.0,184355.0,5137236.0,1.3,92.5,2.6,3.6
Integrated Day Charter School District,2640013,2021,311384.0,3738834.0,335952.0,44535.0,4430705.0,7.0,84.4,7.6,1.0
Interdistrict School for Arts and Comm District,2650013,2021,956165.0,2659021.0,623043.0,2688.0,4240916.0,22.5,62.7,14.7,0.1
Jumoke Academy District,2610013,2021,189295.0,7720511.0,2242455.0,225626.0,10377887.0,1.8,74.4,21.6,2.2
Kent School District,680011,2021,5598926.0,22862.0,179450.0,32743.0,5833980.0,96.0,0.4,3.1,0.6
Killingly School District,690011,2021,22427609.0,17601173.0,2606680.0,2840019.0,45475481.0,49.3,38.7,5.7,6.2
Learn,2450014,2021,0.0,10382940.0,2995213.0,19137944.0,32516097.0,0.0,31.9,9.2,58.9
Lebanon School District,710011,2021,14491656.0,5412938.0,586699.0,793440.0,21284733.0,68.1,25.4,2.8,3.7
Ledyard School District,720011,2021,23830086.0,13316865.0,1225943.0,973339.0,39346232.0,60.6,33.8,3.1,2.5
Lisbon School District,730011,2021,6809109.0,3165300.0,366281.0,63521.0,10404211.0,65.4,30.4,3.5,0.6
Litchfield School District,740011,2021,17979834.0,1478875.0,488687.0,50000.0,19997396.0,89.9,7.4,2.4,0.3
Madison School District,760011,2021,56065072.0,1375637.0,1506222.0,229160.0,59176091.0,94.7,2.3,2.5,0.4
Manchester School District,770011,2021,83550266.0,41661662.0,5914729.0,2244226.0,133370883.0,62.6,31.2,4.4,1.7
Mansfield School District,780011,2021,17625920.0,6682359.0,623443.0,26486.0,24958209.0,70.6,26.8,2.5,0.1
Marlborough School District,790011,2021,6241776.0,1589432.0,570271.0,24.0,8401503.0,74.3,18.9,6.8,0.0
Meriden School District,800011,2021,49008560.0,73165930.0,10796564.0,1861763.0,134832818.0,36.3,54.3,8.0,1.4
Middletown School District,830011,2021,69075864.0,26496461.0,3195271.0,763473.0,99531069.0,69.4,26.6,3.2,0.8
Milford School District,840011,2021,107600745.0,12245015.0,3935688.0,60396.0,123841845.0,86.9,9.9,3.2,0.0
Monroe School District,850011,2021,51076518.0,5943625.0,1820797.0,48231.0,58889171.0,86.7,10.1,3.1,0.1
Montville School District,860011,2021,25670922.0,13182002.0,1478158.0,170595.0,40501677.0,63.4,32.5,3.6,0.4
Naugatuck School District,880011,2021,37613447.0,33316417.0,5215099.0,188173.0,76333135.0,49.3,43.6,6.8,0.2
New Beginnings Inc Family Academy District,2800013,2021,241479.0,5077682.0,1771046.0,6003.0,7096210.0,3.4,71.6,25.0,0.1
New Britain School District,890011,2021,50125777.0,109966055.0,15978026.0,993972.0,177063831.0,28.3,62.1,9.0,0.6
New Canaan School District,900011,2021,93544639.0,1450063.0,1453882.0,623077.0,97071661.0,96.4,1.5,1.5,0.6
New Fairfield School District,910011,2021,37067793.0,4030234.0,1787522.0,715253.0,43600801.0,85.0,9.2,4.1,1.6
New Hartford School District,920011,2021,7097673.0,1479378.0,320674.0,48340.0,8946065.0,79.3,16.5,3.6,0.5
New Haven School District,930011,2021,101539273.0,216969171.0,38998159.0,3441268.0,360947871.0,28.1,60.1,10.8,1.0
New London School District,950011,2021,19203527.0,39583900.0,5767243.0,2872898.0,67427568.0,28.5,58.7,8.6,4.3
New Milford School District,960011,2021,49563790.0,12196974.0,1790782.0,1141806.0,64693352.0,76.6,18.9,2.8,1.8
Newington School District,940011,2021,61352894.0,15426646.0,2862231.0,693987.0,80335758.0,76.4,19.2,3.6,0.9
Newtown School District,970011,2021,75084323.0,6159809.0,1901831.0,651014.0,83796977.0,89.6,7.4,2.3,0.8
Norfolk School District,980011,2021,2471721.0,14374.0,44019.0,5995.0,2536109.0,97.5,0.6,1.7,0.2
North Branford School District,990011,2021,24673334.0,7778128.0,1417025.0,46254.0,33914741.0,72.8,22.9,4.2,0.1
North Canaan School District,1000011,2021,3978856.0,1368482.0,361429.0,8988.0,5717755.0,69.6,23.9,6.3,0.2
North Haven School District,1010011,2021,53615257.0,5302805.0,1903205.0,12259.0,60833526.0,88.1,8.7,3.1,0.0
North Stonington School District,1020011,2021,11242129.0,2585925.0,375600.0,0.0,14203654.0,79.1,18.2,2.6,0.0
Norwalk School District,1030011,2021,199722215.0,26635705.0,13826344.0,1517370.0,241701634.0,82.6,11.0,5.7,0.6
Norwich School District,1040011,2021,50202087.0,44935482.0,10887866.0,370358.0,106395792.0,47.2,42.2,10.2,0.3
Odyssey Community School District,2630013,2021,254627.0,3646090.0,235799.0,200130.0,4336646.0,5.9,84.1,5.4,4.6
Old Saybrook School District,1060011,2021,25304383.0,291883.0,926684.0,197572.0,26720521.0,94.7,1.1,3.5,0.7
Orange School District,1070011,2021,21108655.0,818757.0,860490.0,0.0,22787902.0,92.6,3.6,3.8,0.0
Oxford School District,1080011,2021,28337417.0,4350669.0,679187.0,25375.0,33392648.0,84.9,13.0,2.0,0.1
Park City Prep Charter School District,2830013,2021,363840.0,3578230.0,942614.0,0.0,4884684.0,7.4,73.3,19.3,0.0
Plainfield School District,1090011,2021,18528432.0,16136342.0,1923461.0,1529403.0,38117638.0,48.6,42.3,5.0,4.0
Plainville School District,1100011,2021,27925174.0,13497623.0,2177340.0,79005.0,43679142.0,63.9,30.9,5.0,0.2
Plymouth School District,1110011,2021,14449651.0,10581858.0,981915.0,43070.0,26056494.0,55.5,40.6,3.8,0.2
Pomfret School District,1120011,2021,7682701.0,2948584.0,315510.0,0.0,10946795.0,70.2,26.9,2.9,0.0
Portland School District,1130011,2021,17474248.0,5381270.0,748659.0,43412.0,23647589.0,73.9,22.8,3.2,0.2
Preston School District,1140011,2021,9097326.0,3059715.0,549847.0,36266.0,12743154.0,71.4,24.0,4.3,0.3
Putnam School District,1160011,2021,10352200.0,10207583.0,1682468.0,346714.0,22588964.0,45.8,45.2,7.4,1.5
Redding School District,1170011,2021,22414077.0,451849.0,375532.0,118487.0,23359945.0,96.0,1.9,1.6,0.5
Regional School District 01,2010012,2021,8909330.0,1266503.0,1007534.0,56831.0,11240198.0,79.3,11.3,9.0,0.5
Regional School District 04,2040012,2021,16791980.0,1590974.0,421952.0,0.0,18804905.0,89.3,8.5,2.2,0.0
