district,district_code,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,level1_count,level1_pct,level2_count,level2_pct,level3_count,level3_pct,level4_count,level4_pct,level3_4_count,pct_prof
Putnam School District,1160011,2017,ELA,High Needs,344.0,341.0,99.1,338.0,115.0,34.0,87.0,25.7,100.0,29.6,36.0,10.7,136.0,40.2
Putnam School District,1160011,2017,Math,Non-High Needs,197.0,193.0,98.0,193.0,27.0,14.0,62.0,32.1,58.0,30.1,46.0,23.8,104.0,53.9
Putnam School District,1160011,2017,Math,High Needs,344.0,333.0,96.8,332.0,135.0,40.7,102.0,30.7,63.0,19.0,32.0,9.6,95.0,28.6
Redding School District,1170011,2017,ELA,Non-High Needs,538.0,536.0,99.6,536.0,12.0,2.2,82.0,15.3,199.0,37.1,243.0,45.3,442.0,82.5
Redding School District,1170011,2017,ELA,High Needs,93.0,91.0,97.8,91.0,28.0,30.8,27.0,29.7,22.0,24.2,14.0,15.4,36.0,39.6
Redding School District,1170011,2017,Math,Non-High Needs,538.0,536.0,99.6,536.0,21.0,3.9,79.0,14.7,172.0,32.1,264.0,49.3,436.0,81.3
Redding School District,1170011,2017,Math,High Needs,93.0,91.0,97.8,91.0,25.0,27.5,29.0,31.9,27.0,29.7,10.0,11.0,37.0,40.7
Regional School District 01,2010012,2017,ELA,High Needs,,,,,,,,,,,,,,
Regional School District 01,2010012,2017,Math,High Needs,,,,,,,,,,,,,,
Regional School District 04,2040012,2017,ELA,Non-High Needs,252.0,251.0,99.6,251.0,,,,,115.0,45.8,89.0,35.5,204.0,81.3
Regional School District 04,2040012,2017,ELA,High Needs,80.0,78.0,97.5,78.0,,,32.0,41.0,21.0,26.9,,,,
Regional School District 04,2040012,2017,Math,Non-High Needs,252.0,248.0,98.4,248.0,19.0,7.7,66.0,26.6,66.0,26.6,97.0,39.1,163.0,65.7
Regional School District 04,2040012,2017,Math,High Needs,80.0,76.0,95.0,76.0,29.0,38.2,19.0,25.0,14.0,18.4,14.0,18.4,28.0,36.8
Regional School District 05,2050012,2017,ELA,Non-High Needs,650.0,637.0,98.0,637.0,11.0,1.7,81.0,12.7,278.0,43.6,267.0,41.9,545.0,85.6
Regional School District 05,2050012,2017,ELA,High Needs,125.0,122.0,97.6,122.0,31.0,25.4,40.0,32.8,38.0,31.1,13.0,10.7,51.0,41.8
Regional School District 05,2050012,2017,Math,Non-High Needs,650.0,638.0,98.2,637.0,20.0,3.1,116.0,18.2,170.0,26.7,331.0,52.0,501.0,78.6
Regional School District 05,2050012,2017,Math,High Needs,125.0,122.0,97.6,122.0,47.0,38.5,38.0,31.1,26.0,21.3,11.0,9.0,37.0,30.3
Regional School District 06,2060012,2017,ELA,Non-High Needs,225.0,210.0,93.3,210.0,11.0,5.2,31.0,14.8,89.0,42.4,79.0,37.6,168.0,80.0
Regional School District 06,2060012,2017,ELA,High Needs,89.0,80.0,89.9,80.0,26.0,32.5,25.0,31.3,19.0,23.8,10.0,12.5,29.0,36.3
Regional School District 06,2060012,2017,Math,Non-High Needs,225.0,209.0,92.9,209.0,14.0,6.7,58.0,27.8,85.0,40.7,52.0,24.9,137.0,65.6
Regional School District 06,2060012,2017,Math,High Needs,89.0,79.0,88.8,79.0,35.0,44.3,22.0,27.8,14.0,17.7,8.0,10.1,22.0,27.8
Regional School District 07,2070012,2017,ELA,Non-High Needs,268.0,262.0,97.8,262.0,15.0,5.7,33.0,12.6,138.0,52.7,76.0,29.0,214.0,81.7
Regional School District 07,2070012,2017,ELA,High Needs,76.0,74.0,97.4,74.0,34.0,45.9,21.0,28.4,13.0,17.6,6.0,8.1,19.0,25.7
Regional School District 07,2070012,2017,Math,Non-High Needs,268.0,262.0,97.8,262.0,23.0,8.8,69.0,26.3,92.0,35.1,78.0,29.8,170.0,64.9
Regional School District 07,2070012,2017,Math,High Needs,76.0,74.0,97.4,74.0,35.0,47.3,22.0,29.7,11.0,14.9,6.0,8.1,17.0,23.0
Regional School District 08,2080012,2017,ELA,Non-High Needs,416.0,413.0,99.3,413.0,17.0,4.1,90.0,21.8,211.0,51.1,95.0,23.0,306.0,74.1
Regional School District 08,2080012,2017,ELA,High Needs,99.0,93.0,93.9,93.0,36.0,38.7,23.0,24.7,26.0,28.0,8.0,8.6,34.0,36.6
Regional School District 08,2080012,2017,Math,Non-High Needs,416.0,412.0,99.0,412.0,18.0,4.4,95.0,23.1,130.0,31.6,169.0,41.0,299.0,72.6
Regional School District 08,2080012,2017,Math,High Needs,99.0,93.0,93.9,93.0,43.0,46.2,21.0,22.6,13.0,14.0,16.0,17.2,29.0,31.2
Regional School District 10,2100012,2017,ELA,Non-High Needs,960.0,955.0,99.5,955.0,44.0,4.6,174.0,18.2,376.0,39.4,361.0,37.8,737.0,77.2
Regional School District 10,2100012,2017,ELA,High Needs,177.0,172.0,97.2,172.0,60.0,34.9,49.0,28.5,39.0,22.7,24.0,14.0,63.0,36.6
Regional School District 10,2100012,2017,Math,Non-High Needs,960.0,953.0,99.3,953.0,46.0,4.8,212.0,22.2,304.0,31.9,391.0,41.0,695.0,72.9
Regional School District 10,2100012,2017,Math,High Needs,177.0,171.0,96.6,171.0,56.0,32.7,57.0,33.3,38.0,22.2,20.0,11.7,58.0,33.9
Regional School District 11,2110012,2017,ELA,Non-High Needs,56.0,56.0,100.0,56.0,,,11.0,19.6,29.0,51.8,,,,
Regional School District 11,2110012,2017,ELA,High Needs,40.0,40.0,100.0,40.0,,,11.0,27.5,13.0,32.5,,,,
Regional School District 11,2110012,2017,Math,Non-High Needs,56.0,56.0,100.0,56.0,12.0,21.4,23.0,41.1,,,,,21.0,37.5
Regional School District 11,2110012,2017,Math,High Needs,40.0,40.0,100.0,40.0,16.0,40.0,17.0,42.5,,,,,7.0,17.5
Regional School District 12,2120012,2017,ELA,Non-High Needs,235.0,234.0,99.6,230.0,6.0,2.6,26.0,11.3,97.0,42.2,101.0,43.9,198.0,86.1
Regional School District 12,2120012,2017,ELA,High Needs,59.0,58.0,98.3,58.0,19.0,32.8,13.0,22.4,15.0,25.9,11.0,19.0,26.0,44.8
Regional School District 12,2120012,2017,Math,Non-High Needs,235.0,233.0,99.1,229.0,9.0,3.9,40.0,17.5,76.0,33.2,104.0,45.4,180.0,78.6
Regional School District 12,2120012,2017,Math,High Needs,59.0,57.0,96.6,57.0,15.0,26.3,20.0,35.1,12.0,21.1,10.0,17.5,22.0,38.6
Regional School District 13,2130012,2017,ELA,Non-High Needs,638.0,634.0,99.4,634.0,37.0,5.8,124.0,19.6,276.0,43.5,197.0,31.1,473.0,74.6
Regional School District 13,2130012,2017,ELA,High Needs,171.0,166.0,97.1,166.0,52.0,31.3,59.0,35.5,48.0,28.9,7.0,4.2,55.0,33.1
Regional School District 13,2130012,2017,Math,Non-High Needs,638.0,634.0,99.4,634.0,48.0,7.6,166.0,26.2,206.0,32.5,214.0,33.8,420.0,66.2
Regional School District 13,2130012,2017,Math,High Needs,171.0,166.0,97.1,166.0,60.0,36.1,67.0,40.4,33.0,19.9,6.0,3.6,39.0,23.5
Regional School District 14,2140012,2017,ELA,Non-High Needs,531.0,529.0,99.6,529.0,48.0,9.1,114.0,21.6,221.0,41.8,146.0,27.6,367.0,69.4
Regional School District 14,2140012,2017,ELA,High Needs,173.0,170.0,98.3,170.0,58.0,34.1,55.0,32.4,48.0,28.2,9.0,5.3,57.0,33.5
Regional School District 14,2140012,2017,Math,Non-High Needs,531.0,529.0,99.6,529.0,,,186.0,35.2,168.0,31.8,,,,
Regional School District 14,2140012,2017,Math,High Needs,173.0,170.0,98.3,170.0,90.0,52.9,53.0,31.2,,,,,27.0,15.9
Regional School District 15,2150012,2017,ELA,Non-High Needs,1423.0,1405.0,98.7,1405.0,58.0,4.1,174.0,12.4,578.0,41.1,595.0,42.3,1173.0,83.5
Regional School District 15,2150012,2017,ELA,High Needs,315.0,306.0,97.1,306.0,94.0,30.7,79.0,25.8,95.0,31.0,38.0,12.4,133.0,43.5
Regional School District 15,2150012,2017,Math,Non-High Needs,1423.0,1405.0,98.7,1405.0,59.0,4.2,268.0,19.1,403.0,28.7,675.0,48.0,1078.0,76.7
Regional School District 15,2150012,2017,Math,High Needs,315.0,304.0,96.5,304.0,122.0,40.1,81.0,26.6,62.0,20.4,39.0,12.8,101.0,33.2
Regional School District 16,2160012,2017,ELA,Non-High Needs,767.0,746.0,97.3,746.0,44.0,5.9,149.0,20.0,292.0,39.1,261.0,35.0,553.0,74.1
Regional School District 16,2160012,2017,ELA,High Needs,257.0,239.0,93.0,239.0,84.0,35.1,63.0,26.4,65.0,27.2,27.0,11.3,92.0,38.5
Regional School District 16,2160012,2017,Math,Non-High Needs,767.0,743.0,96.9,743.0,56.0,7.5,190.0,25.6,248.0,33.4,249.0,33.5,497.0,66.9
Regional School District 16,2160012,2017,Math,High Needs,257.0,236.0,91.8,236.0,81.0,34.3,84.0,35.6,47.0,19.9,24.0,10.2,71.0,30.1
Regional School District 17,2170012,2017,ELA,Non-High Needs,798.0,794.0,99.5,794.0,30.0,3.8,109.0,13.7,322.0,40.6,333.0,41.9,655.0,82.5
Regional School District 17,2170012,2017,ELA,High Needs,234.0,232.0,99.1,232.0,65.0,28.0,67.0,28.9,65.0,28.0,35.0,15.1,100.0,43.1
Regional School District 17,2170012,2017,Math,Non-High Needs,798.0,792.0,99.2,792.0,42.0,5.3,177.0,22.3,255.0,32.2,318.0,40.2,573.0,72.3
Regional School District 17,2170012,2017,Math,High Needs,234.0,230.0,98.3,230.0,70.0,30.4,85.0,37.0,43.0,18.7,32.0,13.9,75.0,32.6
Regional School District 18,2180012,2017,ELA,Non-High Needs,455.0,450.0,98.9,450.0,9.0,2.0,52.0,11.6,177.0,39.3,212.0,47.1,389.0,86.4
Regional School District 18,2180012,2017,ELA,High Needs,107.0,105.0,98.1,105.0,28.0,26.7,23.0,21.9,33.0,31.4,21.0,20.0,54.0,51.4
Regional School District 18,2180012,2017,Math,Non-High Needs,455.0,449.0,98.7,449.0,9.0,2.0,54.0,12.0,138.0,30.7,248.0,55.2,386.0,86.0
Regional School District 18,2180012,2017,Math,High Needs,107.0,104.0,97.2,104.0,24.0,23.1,34.0,32.7,22.0,21.2,24.0,23.1,46.0,44.2
Ridgefield School District,1180011,2017,ELA,Non-High Needs,2013.0,1958.0,97.3,1958.0,47.0,2.4,223.0,11.4,688.0,35.1,1000.0,51.1,1688.0,86.2
Ridgefield School District,1180011,2017,ELA,High Needs,330.0,312.0,94.5,312.0,92.0,29.5,101.0,32.4,76.0,24.4,43.0,13.8,119.0,38.1
Ridgefield School District,1180011,2017,Math,Non-High Needs,2013.0,1951.0,96.9,1951.0,69.0,3.5,394.0,20.2,599.0,30.7,889.0,45.6,1488.0,76.3
Ridgefield School District,1180011,2017,Math,High Needs,330.0,312.0,94.5,312.0,120.0,38.5,100.0,32.1,62.0,19.9,30.0,9.6,92.0,29.5
Rocky Hill School District,1190011,2017,ELA,Non-High Needs,887.0,887.0,100.0,887.0,33.0,3.7,143.0,16.1,337.0,38.0,374.0,42.2,711.0,80.2
Rocky Hill School District,1190011,2017,ELA,High Needs,284.0,283.0,99.6,283.0,90.0,31.8,79.0,27.9,76.0,26.9,38.0,13.4,114.0,40.3
Rocky Hill School District,1190011,2017,Math,Non-High Needs,887.0,887.0,100.0,887.0,52.0,5.9,209.0,23.6,252.0,28.4,374.0,42.2,626.0,70.6
Rocky Hill School District,1190011,2017,Math,High Needs,284.0,283.0,99.6,283.0,106.0,37.5,90.0,31.8,54.0,19.1,33.0,11.7,87.0,30.7
Salem School District,1210011,2017,ELA,Non-High Needs,193.0,193.0,100.0,193.0,,,,,75.0,38.9,99.0,51.3,174.0,90.2
Salem School District,1210011,2017,ELA,High Needs,69.0,69.0,100.0,69.0,,,18.0,26.1,31.0,44.9,,,,
Salem School District,1210011,2017,Math,Non-High Needs,193.0,193.0,100.0,193.0,,,27.0,14.0,64.0,33.2,,,,
Salem School District,1210011,2017,Math,High Needs,69.0,69.0,100.0,69.0,,,27.0,39.1,19.0,27.5,,,,
Salisbury School District,1220011,2017,ELA,Non-High Needs,132.0,132.0,100.0,132.0,,,20.0,15.2,,,62.0,47.0,,
Salisbury School District,1220011,2017,ELA,High Needs,39.0,37.0,94.9,37.0,,,17.0,45.9,,,9.0,24.3,,
Salisbury School District,1220011,2017,Math,Non-High Needs,132.0,132.0,100.0,132.0,,,,,40.0,30.3,53.0,40.2,93.0,70.5
Salisbury School District,1220011,2017,Math,High Needs,39.0,37.0,94.9,37.0,,,8.0,21.6,12.0,32.4,,,,
Scotland School District,1230011,2017,ELA,Non-High Needs,36.0,36.0,100.0,36.0,0.0,0.0,,,16.0,44.4,,,,
Scotland School District,1230011,2017,ELA,High Needs,22.0,22.0,100.0,22.0,,,,,7.0,31.8,,,,
Scotland School District,1230011,2017,Math,Non-High Needs,36.0,36.0,100.0,36.0,,,12.0,33.3,12.0,33.3,,,,
Scotland School District,1230011,2017,Math,High Needs,22.0,22.0,100.0,22.0,,,7.0,31.8,6.0,27.3,,,,
Seymour School District,1240011,2017,ELA,Non-High Needs,678.0,673.0,99.3,673.0,73.0,10.8,157.0,23.3,268.0,39.8,175.0,26.0,443.0,65.8
Seymour School District,1240011,2017,ELA,High Needs,388.0,384.0,99.0,384.0,144.0,37.5,93.0,24.2,108.0,28.1,39.0,10.2,147.0,38.3
Seymour School District,1240011,2017,Math,Non-High Needs,677.0,671.0,99.1,671.0,88.0,13.1,210.0,31.3,182.0,27.1,191.0,28.5,373.0,55.6
Seymour School District,1240011,2017,Math,High Needs,388.0,383.0,98.7,383.0,161.0,42.0,110.0,28.7,70.0,18.3,42.0,11.0,112.0,29.2
Sharon School District,1250011,2017,ELA,Non-High Needs,64.0,64.0,100.0,64.0,,,15.0,23.4,24.0,37.5,,,,
Sharon School District,1250011,2017,ELA,High Needs,37.0,37.0,100.0,37.0,13.0,35.1,10.0,27.0,,,,,14.0,37.8
Sharon School District,1250011,2017,Math,Non-High Needs,63.0,63.0,100.0,63.0,,,27.0,42.9,22.0,34.9,,,,
Sharon School District,1250011,2017,Math,High Needs,37.0,37.0,100.0,37.0,15.0,40.5,13.0,35.1,,,,,9.0,24.3
Shelton School District,1260011,2017,ELA,Non-High Needs,1468.0,1461.0,99.5,1461.0,62.0,4.2,210.0,14.4,569.0,38.9,620.0,42.4,1189.0,81.4
Shelton School District,1260011,2017,ELA,High Needs,709.0,704.0,99.3,702.0,191.0,27.2,197.0,28.1,205.0,29.2,109.0,15.5,314.0,44.7
Shelton School District,1260011,2017,Math,Non-High Needs,1468.0,1460.0,99.5,1460.0,86.0,5.9,357.0,24.5,438.0,30.0,579.0,39.7,1017.0,69.7
Shelton School District,1260011,2017,Math,High Needs,709.0,703.0,99.2,701.0,246.0,35.1,221.0,31.5,140.0,20.0,94.0,13.4,234.0,33.4
Sherman School District,1270011,2017,ELA,Non-High Needs,172.0,161.0,93.6,161.0,10.0,6.2,28.0,17.4,,,,,123.0,76.4
Sherman School District,1270011,2017,ELA,High Needs,34.0,23.0,67.6,23.0,9.0,39.1,6.0,26.1,,,,,8.0,34.8
Sherman School District,1270011,2017,Math,Non-High Needs,172.0,159.0,92.4,159.0,10.0,6.3,44.0,27.7,,,,,105.0,66.0
Sherman School District,1270011,2017,Math,High Needs,34.0,23.0,67.6,23.0,6.0,26.1,10.0,43.5,,,,,7.0,30.4
Side By Side Charter School District,2700013,2017,ELA,Non-High Needs,58.0,58.0,100.0,58.0,,,15.0,25.9,25.0,43.1,,,,
Side By Side Charter School District,2700013,2017,ELA,High Needs,70.0,70.0,100.0,70.0,,,20.0,28.6,24.0,34.3,,,,
Side By Side Charter School District,2700013,2017,Math,Non-High Needs,58.0,58.0,100.0,58.0,,,19.0,32.8,,,18.0,31.0,,
Side By Side Charter School District,2700013,2017,Math,High Needs,70.0,70.0,100.0,70.0,,,20.0,28.6,23.0,32.9,,,,
Simsbury School District,1280011,2017,ELA,Non-High Needs,1486.0,1483.0,99.8,1483.0,34.0,2.3,133.0,9.0,519.0,35.0,797.0,53.7,1316.0,88.7
Simsbury School District,1280011,2017,ELA,High Needs,377.0,366.0,97.1,366.0,100.0,27.3,98.0,26.8,116.0,31.7,52.0,14.2,168.0,45.9
Simsbury School District,1280011,2017,Math,Non-High Needs,1483.0,1478.0,99.7,1478.0,39.0,2.6,271.0,18.3,425.0,28.8,743.0,50.3,1168.0,79.0
Simsbury School District,1280011,2017,Math,High Needs,377.0,361.0,95.8,360.0,123.0,34.2,131.0,36.4,62.0,17.2,44.0,12.2,106.0,29.4
Somers School District,1290011,2017,ELA,Non-High Needs,540.0,534.0,98.9,534.0,52.0,9.7,102.0,19.1,219.0,41.0,161.0,30.1,380.0,71.2
Somers School District,1290011,2017,ELA,High Needs,130.0,128.0,98.5,128.0,66.0,51.6,32.0,25.0,21.0,16.4,9.0,7.0,30.0,23.4
Somers School District,1290011,2017,Math,Non-High Needs,540.0,532.0,98.5,532.0,44.0,8.3,182.0,34.2,156.0,29.3,150.0,28.2,306.0,57.5
Somers School District,1290011,2017,Math,High Needs,130.0,128.0,98.5,128.0,74.0,57.8,29.0,22.7,17.0,13.3,8.0,6.3,25.0,19.5
South Windsor School District,1320011,2017,ELA,Non-High Needs,1441.0,1435.0,99.6,1435.0,40.0,2.8,186.0,13.0,544.0,37.9,665.0,46.3,1209.0,84.3
South Windsor School District,1320011,2017,ELA,High Needs,459.0,451.0,98.3,451.0,132.0,29.3,113.0,25.1,139.0,30.8,67.0,14.9,206.0,45.7
South Windsor School District,1320011,2017,Math,Non-High Needs,1441.0,1434.0,99.5,1434.0,49.0,3.4,231.0,16.1,394.0,27.5,760.0,53.0,1154.0,80.5
South Windsor School District,1320011,2017,Math,High Needs,459.0,450.0,98.0,450.0,124.0,27.6,167.0,37.1,90.0,20.0,69.0,15.3,159.0,35.3
Southington School District,1310011,2017,ELA,Non-High Needs,2284.0,2273.0,99.5,2273.0,109.0,4.8,416.0,18.3,941.0,41.4,807.0,35.5,1748.0,76.9
Southington School District,1310011,2017,ELA,High Needs,775.0,762.0,98.3,762.0,239.0,31.4,230.0,30.2,210.0,27.6,83.0,10.9,293.0,38.5
Southington School District,1310011,2017,Math,Non-High Needs,2285.0,2272.0,99.4,2272.0,137.0,6.0,566.0,24.9,777.0,34.2,792.0,34.9,1569.0,69.1
Southington School District,1310011,2017,Math,High Needs,775.0,761.0,98.2,761.0,278.0,36.5,264.0,34.7,158.0,20.8,61.0,8.0,219.0,28.8
Sprague School District,1330011,2017,ELA,Non-High Needs,76.0,76.0,100.0,76.0,14.0,18.4,20.0,26.3,28.0,36.8,14.0,18.4,42.0,55.3
Sprague School District,1330011,2017,ELA,High Needs,118.0,117.0,99.2,117.0,43.0,36.8,38.0,32.5,28.0,23.9,8.0,6.8,36.0,30.8
Sprague School District,1330011,2017,Math,Non-High Needs,76.0,76.0,100.0,76.0,9.0,11.8,35.0,46.1,22.0,28.9,10.0,13.2,32.0,42.1
Sprague School District,1330011,2017,Math,High Needs,118.0,117.0,99.2,117.0,48.0,41.0,43.0,36.8,15.0,12.8,11.0,9.4,26.0,22.2
Stafford School District,1340011,2017,ELA,Non-High Needs,419.0,413.0,98.6,413.0,30.0,7.3,88.0,21.3,175.0,42.4,120.0,29.1,295.0,71.4
Stafford School District,1340011,2017,ELA,High Needs,271.0,262.0,96.7,261.0,86.0,33.0,74.0,28.4,66.0,25.3,35.0,13.4,101.0,38.7
Stafford School District,1340011,2017,Math,Non-High Needs,418.0,411.0,98.3,411.0,53.0,12.9,139.0,33.8,139.0,33.8,80.0,19.5,219.0,53.3
Stafford School District,1340011,2017,Math,High Needs,271.0,262.0,96.7,261.0,93.0,35.6,92.0,35.2,59.0,22.6,17.0,6.5,76.0,29.1
Stamford School District,1350011,2017,ELA,Non-High Needs,2916.0,2887.0,99.0,2887.0,239.0,8.3,510.0,17.7,1026.0,35.5,1112.0,38.5,2138.0,74.1
Stamford School District,1350011,2017,ELA,High Needs,4254.0,4194.0,98.6,4194.0,1711.0,40.8,1218.0,29.0,962.0,22.9,303.0,7.2,1265.0,30.2
Stamford School District,1350011,2017,Math,Non-High Needs,2916.0,2886.0,99.0,2886.0,284.0,9.8,609.0,21.1,774.0,26.8,1219.0,42.2,1993.0,69.1
Stamford School District,1350011,2017,Math,High Needs,4253.0,4182.0,98.3,4182.0,1831.0,43.8,1239.0,29.6,781.0,18.7,331.0,7.9,1112.0,26.6
Sterling School District,1360011,2017,ELA,Non-High Needs,175.0,172.0,98.3,172.0,26.0,15.1,48.0,27.9,52.0,30.2,46.0,26.7,98.0,57.0
Sterling School District,1360011,2017,ELA,High Needs,107.0,102.0,95.3,102.0,39.0,38.2,25.0,24.5,29.0,28.4,9.0,8.8,38.0,37.3
Sterling School District,1360011,2017,Math,Non-High Needs,175.0,171.0,97.7,171.0,49.0,28.7,60.0,35.1,44.0,25.7,18.0,10.5,62.0,36.3
Sterling School District,1360011,2017,Math,High Needs,107.0,102.0,95.3,102.0,60.0,58.8,30.0,29.4,12.0,11.8,0.0,0.0,12.0,11.8
Stonington School District,1370011,2017,ELA,Non-High Needs,675.0,670.0,99.3,670.0,25.0,3.7,77.0,11.5,274.0,40.9,294.0,43.9,568.0,84.8
Stonington School District,1370011,2017,ELA,High Needs,283.0,277.0,97.9,277.0,79.0,28.5,59.0,21.3,79.0,28.5,60.0,21.7,139.0,50.2
Stonington School District,1370011,2017,Math,Non-High Needs,675.0,670.0,99.3,670.0,45.0,6.7,108.0,16.1,213.0,31.8,304.0,45.4,517.0,77.2
Stonington School District,1370011,2017,Math,High Needs,283.0,277.0,97.9,276.0,99.0,35.9,72.0,26.1,66.0,23.9,39.0,14.1,105.0,38.0
Stratford School District,1380011,2017,ELA,Non-High Needs,1543.0,1533.0,99.4,1533.0,187.0,12.2,353.0,23.0,581.0,37.9,412.0,26.9,993.0,64.8
Stratford School District,1380011,2017,ELA,High Needs,1711.0,1704.0,99.6,1704.0,659.0,38.7,480.0,28.2,419.0,24.6,146.0,8.6,565.0,33.2
Stratford School District,1380011,2017,Math,Non-High Needs,1543.0,1533.0,99.4,1533.0,334.0,21.8,528.0,34.4,420.0,27.4,251.0,16.4,671.0,43.8
Stratford School District,1380011,2017,Math,High Needs,1710.0,1701.0,99.5,1701.0,854.0,50.2,513.0,30.2,251.0,14.8,83.0,4.9,334.0,19.6
Suffield School District,1390011,2017,ELA,Non-High Needs,786.0,776.0,98.7,776.0,51.0,6.6,150.0,19.3,320.0,41.2,255.0,32.9,575.0,74.1
Suffield School District,1390011,2017,ELA,High Needs,205.0,191.0,93.2,191.0,75.0,39.3,53.0,27.7,44.0,23.0,19.0,9.9,63.0,33.0
Suffield School District,1390011,2017,Math,Non-High Needs,786.0,774.0,98.5,774.0,77.0,9.9,227.0,29.3,247.0,31.9,223.0,28.8,470.0,60.7
Suffield School District,1390011,2017,Math,High Needs,205.0,188.0,91.7,188.0,97.0,51.6,54.0,28.7,27.0,14.4,10.0,5.3,37.0,19.7
The Bridge Academy District,2690013,2017,ELA,Non-High Needs,17.0,17.0,,17.0,,,,,,,,,,
The Bridge Academy District,2690013,2017,ELA,High Needs,73.0,73.0,100.0,73.0,,,,,,,,,,
The Bridge Academy District,2690013,2017,Math,Non-High Needs,17.0,17.0,,17.0,,,,,,,,,,
The Bridge Academy District,2690013,2017,Math,High Needs,72.0,72.0,100.0,72.0,,,,,,,,,,
The Gilbert School District,9020022,2017,ELA,Non-High Needs,66.0,66.0,100.0,66.0,,,18.0,27.3,24.0,36.4,,,,
The Gilbert School District,9020022,2017,ELA,High Needs,100.0,99.0,99.0,99.0,,,35.0,35.4,33.0,33.3,,,,
The Gilbert School District,9020022,2017,Math,Non-High Needs,66.0,66.0,100.0,66.0,25.0,37.9,22.0,33.3,,,,,19.0,28.8
The Gilbert School District,9020022,2017,Math,High Needs,100.0,98.0,98.0,98.0,66.0,67.3,21.0,21.4,,,,,11.0,11.2
Thomaston School District,1400011,2017,ELA,Non-High Needs,287.0,286.0,99.7,286.0,21.0,7.3,54.0,18.9,125.0,43.7,86.0,30.1,211.0,73.8
Thomaston School District,1400011,2017,ELA,High Needs,149.0,146.0,98.0,146.0,60.0,41.1,32.0,21.9,38.0,26.0,16.0,11.0,54.0,37.0
Thomaston School District,1400011,2017,Math,Non-High Needs,287.0,286.0,99.7,286.0,30.0,10.5,97.0,33.9,97.0,33.9,62.0,21.7,159.0,55.6
Thomaston School District,1400011,2017,Math,High Needs,149.0,146.0,98.0,146.0,71.0,48.6,45.0,30.8,22.0,15.1,8.0,5.5,30.0,20.5
Thompson School District,1410011,2017,ELA,Non-High Needs,296.0,288.0,97.3,288.0,45.0,15.6,88.0,30.6,107.0,37.2,48.0,16.7,155.0,53.8
Thompson School District,1410011,2017,ELA,High Needs,200.0,191.0,95.5,191.0,87.0,45.5,48.0,25.1,45.0,23.6,11.0,5.8,56.0,29.3
Thompson School District,1410011,2017,Math,Non-High Needs,296.0,288.0,97.3,288.0,50.0,17.4,127.0,44.1,82.0,28.5,29.0,10.1,111.0,38.5
Thompson School District,1410011,2017,Math,High Needs,200.0,191.0,95.5,191.0,89.0,46.6,67.0,35.1,29.0,15.2,6.0,3.1,35.0,18.3
Tolland School District,1420011,2017,ELA,Non-High Needs,950.0,941.0,99.1,941.0,40.0,4.3,166.0,17.6,398.0,42.3,337.0,35.8,735.0,78.1
Tolland School District,1420011,2017,ELA,High Needs,200.0,197.0,98.5,197.0,67.0,34.0,73.0,37.1,43.0,21.8,14.0,7.1,57.0,28.9
Tolland School District,1420011,2017,Math,Non-High Needs,949.0,940.0,99.1,940.0,56.0,6.0,233.0,24.8,329.0,35.0,322.0,34.3,651.0,69.3
Tolland School District,1420011,2017,Math,High Needs,200.0,197.0,98.5,197.0,80.0,40.6,72.0,36.5,30.0,15.2,15.0,7.6,45.0,22.8
Torrington School District,1430011,2017,ELA,Non-High Needs,828.0,798.0,96.4,798.0,115.0,14.4,227.0,28.4,282.0,35.3,174.0,21.8,456.0,57.1
Torrington School District,1430011,2017,ELA,High Needs,1213.0,1189.0,98.0,1189.0,434.0,36.5,352.0,29.6,289.0,24.3,114.0,9.6,403.0,33.9
Torrington School District,1430011,2017,Math,Non-High Needs,828.0,797.0,96.3,797.0,203.0,25.5,282.0,35.4,226.0,28.4,86.0,10.8,312.0,39.1
Torrington School District,1430011,2017,Math,High Needs,1215.0,1187.0,97.7,1187.0,566.0,47.7,391.0,32.9,179.0,15.1,51.0,4.3,230.0,19.4
Trailblazers Academy District,2780013,2017,ELA,Non-High Needs,,,,,,,,,,,,,,
Trailblazers Academy District,2780013,2017,ELA,High Needs,,,,,,,,,,,,,,
Trailblazers Academy District,2780013,2017,Math,Non-High Needs,,,,,,,,,,,,,,
Trailblazers Academy District,2780013,2017,Math,High Needs,,,,,,,,,,,0.0,0.0,,
Trumbull School District,1440011,2017,ELA,Non-High Needs,2492.0,2476.0,99.4,2476.0,54.0,2.2,235.0,9.5,865.0,34.9,1322.0,53.4,2187.0,88.3
Trumbull School District,1440011,2017,ELA,High Needs,585.0,574.0,98.1,574.0,131.0,22.8,146.0,25.4,186.0,32.4,111.0,19.3,297.0,51.7
Trumbull School District,1440011,2017,Math,Non-High Needs,2493.0,2475.0,99.3,2475.0,48.0,1.9,335.0,13.5,690.0,27.9,1402.0,56.6,2092.0,84.5
Trumbull School District,1440011,2017,Math,High Needs,584.0,571.0,97.8,571.0,135.0,23.6,174.0,30.5,152.0,26.6,110.0,19.3,262.0,45.9
Unified School District #2,3470015,2017,ELA,High Needs,25.0,24.0,96.0,24.0,16.0,66.7,,,,,,,,
Unified School District #2,3470015,2017,Math,High Needs,25.0,23.0,92.0,23.0,17.0,73.9,,,,,0.0,0.0,,
